   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   4.115	0.008390	  0.7566	 -0.0776	  0.7553	-0.045933	0.009151	  0.7565	1.004E+6	   0.075	  396.01	   25.82	  199.16	   0.000	 0.18465	 0.09336	 0.02191	-0.05582	-0.13596	-0.22328	-0.31274	-0.40598	-0.49109	-0.57625	-0.65291	-0.76956	-0.94076	-0.98150	-1.02576	-1.07362	-1.11640	-1.14478	-1.16467	-1.17111	-1.17637	-1.17512	-1.18763	-1.18617	-1.16901	-1.13200	-1.13191	-1.15661	-1.19829	-1.15242	-1.10104	-1.05417	-1.03285	-0.98893	-0.95010	-0.80286	-0.61135	-0.29679	 0.14388	 0.40122	 0.42047	 1.00000	 0.88054	 0.69014	 0.50984	 0.37022	 0.24994	 0.15027	 0.08515	 0.01988	-0.04580	-0.09219	-0.13388	-0.16025	-0.16946	-0.14178	-0.09665	-0.05045	-0.01040	 0.12572	 0.18856	 0.30511	 0.18620	  0.7558	-0.044794	 -0.0779	
       2	   0.006	0.007682	  0.2860	 -0.0722	  0.2860	0.007650	0.007260	  0.2860	1.007E+6	   0.075	  397.61	   25.87	  200.86	   0.000	 0.19249	 0.10106	 0.04032	-0.02593	-0.09441	-0.16570	-0.23740	-0.30907	-0.36989	-0.46763	-0.60043	-0.63842	-0.67783	-0.72951	-0.76815	-0.79679	-0.81561	-0.81782	-0.80970	-0.79096	-0.77089	-0.73734	-0.72006	-0.68404	-0.63864	-0.57715	-0.53186	-0.50533	-0.48568	-0.39400	-0.29106	-0.18302	-0.09616	 0.03026	 0.16704	 0.37109	 0.57504	 0.80310	 0.96511	 0.99108	 0.99793	 0.52701	 0.18481	-0.03595	-0.14517	-0.22631	-0.28851	-0.33536	-0.34660	-0.37129	-0.39995	-0.41071	-0.41967	-0.41527	-0.39227	-0.33442	-0.27785	-0.21964	-0.05150	 0.03261	 0.12515	 0.27600	 0.19338	  0.2861	0.007274	 -0.0724	
       3	   6.172	0.009256	  0.9780	 -0.0785	  0.9733	-0.095940	0.010972	  0.9774	1.006E+6	   0.075	  395.83	   25.80	  199.22	   0.000	 0.17308	 0.09264	 0.01909	-0.06231	-0.14730	-0.24094	-0.33865	-0.44025	-0.53561	-0.63592	-0.73472	-0.83394	-0.91498	-1.10301	-1.17346	-1.20983	-1.26476	-1.30602	-1.33748	-1.35921	-1.37962	-1.38739	-1.41706	-1.44142	-1.44206	-1.42547	-1.45220	-1.50627	-1.58248	-1.57215	-1.55367	-1.55170	-1.58422	-1.61037	-1.65230	-1.58009	-1.44935	-1.16990	-0.63707	-0.32798	-0.31419	 0.92458	 0.99126	 0.88887	 0.72940	 0.58919	 0.46018	 0.34488	 0.26353	 0.18881	 0.10986	 0.05000	-0.00379	-0.04201	-0.06443	-0.05153	-0.01914	 0.02012	 0.06101	 0.13550	 0.22304	 0.31765	 0.17554	  0.9740	-0.093578	 -0.0790	
       4	   0.002	0.007692	  0.2848	 -0.0722	  0.2848	0.007679	0.007330	  0.2848	1.009E+6	   0.075	  398.03	   25.86	  180.82	   0.000	 0.19183	 0.10051	 0.03991	-0.02627	-0.09469	-0.16575	-0.23749	-0.30924	-0.37002	-0.45996	-0.60128	-0.63896	-0.67801	-0.72889	-0.76726	-0.79509	-0.81421	-0.81756	-0.80877	-0.78925	-0.76889	-0.73537	-0.71795	-0.68153	-0.63704	-0.57497	-0.52918	-0.50267	-0.48336	-0.39167	-0.28859	-0.18624	-0.09347	 0.03282	 0.16978	 0.37257	 0.57761	 0.80472	 0.96615	 0.99215	 0.99774	 0.52500	 0.18312	-0.03816	-0.14643	-0.22815	-0.28917	-0.33631	-0.34695	-0.37194	-0.40096	-0.41126	-0.41978	-0.41602	-0.39289	-0.33501	-0.27808	-0.21779	-0.05161	 0.03284	 0.12443	 0.27584	 0.19340	  0.2849	0.007363	 -0.0724	
       5	   1.032	0.007736	  0.4070	 -0.0743	  0.4071	0.000405	0.007741	  0.4070	1.009E+6	   0.075	  397.70	   25.85	  179.21	   0.000	 0.19031	 0.09775	 0.03419	-0.03503	-0.10615	-0.18193	-0.25827	-0.33592	-0.40015	-0.45841	-0.66406	-0.69985	-0.73621	-0.78764	-0.83117	-0.86483	-0.89015	-0.90032	-0.89710	-0.88295	-0.86931	-0.84336	-0.83297	-0.80408	-0.76613	-0.71001	-0.67223	-0.65734	-0.65233	-0.57066	-0.47625	-0.38708	-0.30461	-0.19251	-0.06828	 0.13167	 0.34969	 0.61721	 0.86042	 0.95825	 0.97045	 0.73497	 0.42014	 0.18664	 0.04389	-0.05856	-0.13861	-0.20308	-0.23001	-0.26658	-0.30631	-0.32705	-0.34463	-0.34948	-0.33500	-0.28397	-0.22611	-0.18888	-0.01725	 0.05489	 0.14004	 0.28286	 0.19167	  0.4073	0.000498	 -0.0745	
       6	   2.057	0.008003	  0.5237	 -0.0757	  0.5237	-0.010800	0.007917	  0.5237	1.009E+6	   0.075	  397.50	   25.84	  180.78	   0.000	 0.18835	 0.09532	 0.02882	-0.04343	-0.11762	-0.19719	-0.27805	-0.36144	-0.43256	-0.49920	-0.60456	-0.76812	-0.79862	-0.84763	-0.89422	-0.93360	-0.96434	-0.98159	-0.98451	-0.97758	-0.97100	-0.95163	-0.94821	-0.92819	-0.89595	-0.84771	-0.81969	-0.81709	-0.82555	-0.75625	-0.67193	-0.59661	-0.52773	-0.43663	-0.33212	-0.14136	 0.07995	 0.37549	 0.69016	 0.84953	 0.86453	 0.88110	 0.61128	 0.37901	 0.21514	 0.09508	-0.00232	-0.08045	-0.12135	-0.16882	-0.21831	-0.24809	-0.27421	-0.28654	-0.28048	-0.23713	-0.18103	-0.13806	 0.00076	 0.07553	 0.15512	 0.28985	 0.18979	  0.5239	-0.010734	 -0.0760	
       7	   3.083	0.008220	  0.6410	 -0.0769	  0.6405	-0.026259	0.008870	  0.6408	1.008E+6	   0.075	  397.10	   25.83	  179.16	   0.000	 0.18614	 0.09359	 0.02455	-0.05054	-0.12778	-0.21121	-0.29643	-0.38485	-0.46292	-0.53932	-0.60690	-0.83058	-0.86736	-0.91201	-0.95914	-1.00295	-1.04053	-1.06310	-1.07467	-1.07386	-1.07340	-1.06151	-1.06582	-1.05439	-1.03130	-0.98394	-0.97211	-0.98360	-1.00703	-0.94542	-0.88030	-0.81769	-0.76986	-0.70397	-0.62537	-0.45178	-0.24047	 0.07004	 0.45147	 0.66181	 0.68018	 0.96968	 0.76539	 0.54716	 0.37122	 0.23782	 0.12808	 0.03803	-0.01592	-0.07333	-0.13085	-0.16991	-0.20344	-0.22373	-0.22505	-0.18945	-0.13862	-0.09242	-0.00994	 0.09951	 0.17128	 0.29683	 0.18779	  0.6409	-0.025353	 -0.0772	
       8	   4.104	0.008467	  0.7542	 -0.0774	  0.7529	-0.045535	0.009223	  0.7541	1.008E+6	   0.075	  397.07	   25.83	  180.76	   0.000	 0.18362	 0.09295	 0.02153	-0.05607	-0.13612	-0.22331	-0.31262	-0.40567	-0.49014	-0.57529	-0.65269	-0.75875	-0.94248	-0.98101	-1.02568	-1.07113	-1.11493	-1.14468	-1.16244	-1.16811	-1.17477	-1.17253	-1.18446	-1.18305	-1.16662	-1.12874	-1.12939	-1.15277	-1.19416	-1.14855	-1.09721	-1.05041	-1.02716	-0.98470	-0.94424	-0.79673	-0.60438	-0.29204	 0.15086	 0.40643	 0.42307	 1.00000	 0.87948	 0.68781	 0.50831	 0.36802	 0.24846	 0.14879	 0.08445	 0.01851	-0.04722	-0.09323	-0.13466	-0.16137	-0.17068	-0.14258	-0.09712	-0.05097	-0.01158	 0.12566	 0.18795	 0.30413	 0.18555	  0.7534	-0.044404	 -0.0778	
       9	   5.143	0.008804	  0.8654	 -0.0787	  0.8628	-0.068805	0.010481	  0.8650	1.008E+6	   0.075	  396.63	   25.82	  179.25	   0.000	 0.17974	 0.09259	 0.01965	-0.05984	-0.14274	-0.23317	-0.32635	-0.42349	-0.51312	-0.60590	-0.69492	-0.78053	-0.94893	-1.05520	-1.09435	-1.13926	-1.18665	-1.22261	-1.24667	-1.26060	-1.27379	-1.27290	-1.29355	-1.30849	-1.29979	-1.27094	-1.28433	-1.32193	-1.38119	-1.35089	-1.31459	-1.29388	-1.29233	-1.28044	-1.27750	-1.16337	-0.99319	-0.69356	-0.20436	 0.08378	 0.09824	 0.98609	 0.95325	 0.79888	 0.62561	 0.48191	 0.35676	 0.24663	 0.17324	 0.10417	 0.03110	-0.02144	-0.06967	-0.10241	-0.11820	-0.09712	-0.05817	-0.01453	 0.02430	 0.14279	 0.20472	 0.31091	 0.18182	  0.8633	-0.066636	 -0.0791	
