   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.008	0.011633	  0.2547	 -0.0658	  0.2547	0.011595	0.008992	  0.2548	2.995E+6	   0.229	 3720.09	   80.03	  179.38	   0.000	 0.16448	 0.09933	 0.04075	-0.02216	-0.08837	-0.16069	-0.23828	-0.31328	-0.38912	-0.46194	-0.53265	-0.60606	-0.66490	-0.71216	-0.75298	-0.79177	-0.80427	-0.80648	-0.78765	-0.77983	-0.75361	-0.72776	-0.68887	-0.65060	-0.59724	-0.54626	-0.50669	-0.55640	-0.45194	-0.35912	-0.25827	-0.15314	-0.05266	 0.06695	 0.21163	 0.40070	 0.61160	 0.81972	 0.97158	 0.99963	 0.99952	 0.49016	 0.15403	-0.07640	-0.16710	-0.24551	-0.28227	-0.40793	-0.34834	-0.38877	-0.41210	-0.42358	-0.44650	-0.43528	-0.41023	-0.34924	-0.27774	-0.17453	-0.08628	 0.00457	 0.10165	 0.23431	 0.16331	  0.2545	0.009016	 -0.0659	
       2	   1.034	0.011920	  0.3656	 -0.0664	  0.3658	0.005323	0.009681	  0.3658	2.997E+6	   0.230	 3736.86	   80.26	  180.77	   0.000	 0.15631	 0.09520	 0.03617	-0.02805	-0.09617	-0.17157	-0.25272	-0.33181	-0.41244	-0.49023	-0.56627	-0.64552	-0.71043	-0.76393	-0.81126	-0.85656	-0.87528	-0.88347	-0.87037	-0.86904	-0.84835	-0.82954	-0.79593	-0.76501	-0.71680	-0.67239	-0.64208	-0.71047	-0.61176	-0.52722	-0.43344	-0.33856	-0.24907	-0.14137	-0.00826	 0.18094	 0.40670	 0.65367	 0.88514	 0.97927	 0.98450	 0.69645	 0.38278	 0.14019	 0.01763	-0.08353	-0.14179	-0.27421	-0.24004	-0.29075	-0.32379	-0.34493	-0.37570	-0.37316	-0.35665	-0.30431	-0.24045	-0.14549	-0.06360	 0.02112	 0.11433	 0.24048	 0.15422	  0.3655	0.003177	 -0.0665	
       3	   2.060	0.012364	  0.4789	 -0.0667	  0.4790	-0.004855	0.010240	  0.4791	2.997E+6	   0.230	 3749.35	   80.43	  179.24	   0.000	 0.14536	 0.08937	 0.03103	-0.03353	-0.10312	-0.18135	-0.26607	-0.34933	-0.43491	-0.51777	-0.59957	-0.68464	-0.75609	-0.81653	-0.87058	-0.92296	-0.94824	-0.96295	-0.95653	-0.96199	-0.94705	-0.93629	-0.90854	-0.88538	-0.84306	-0.80653	-0.78692	-0.87612	-0.78455	-0.70984	-0.62601	-0.54394	-0.46820	-0.37905	-0.26345	-0.08176	 0.14976	 0.42528	 0.73448	 0.88825	 0.89826	 0.85324	 0.57998	 0.33785	 0.19123	 0.07116	-0.00560	-0.14509	-0.13552	-0.19325	-0.23548	-0.26587	-0.30418	-0.31023	-0.30209	-0.25847	-0.20229	-0.11578	-0.04048	 0.03841	 0.12715	 0.24584	 0.14252	  0.4787	-0.006826	 -0.0668	
       4	   3.082	0.012965	  0.5880	 -0.0666	  0.5878	-0.018666	0.010842	  0.5883	2.998E+6	   0.230	 3756.91	   80.55	  180.67	   0.000	 0.13257	 0.08265	 0.02633	-0.03750	-0.10754	-0.18803	-0.27594	-0.36330	-0.45376	-0.54177	-0.62914	-0.72037	-0.79833	-0.86549	-0.92641	-0.98593	-1.01832	-1.03956	-1.03968	-1.05247	-1.04384	-1.04104	-1.01975	-1.00486	-0.96929	-0.94077	-0.93215	-1.04430	-0.96046	-0.89702	-0.82489	-0.75761	-0.69955	-0.63258	-0.53982	-0.37297	-0.14523	 0.14684	 0.52627	 0.72828	 0.74112	 0.95184	 0.73548	 0.50587	 0.34427	 0.21110	 0.11896	-0.02562	-0.03370	-0.10093	-0.15160	-0.19019	-0.23543	-0.24942	-0.24908	-0.21370	-0.16479	-0.08647	-0.01738	 0.05561	 0.13983	 0.25060	 0.12804	  0.5875	-0.020559	 -0.0667	
       5	   4.107	0.013685	  0.6940	 -0.0661	  0.6932	-0.036051	0.011506	  0.6944	3.000E+6	   0.231	 3768.95	   80.71	  179.19	   0.000	 0.11579	 0.07277	 0.02039	-0.04092	-0.11008	-0.19194	-0.28266	-0.37401	-0.46942	-0.56258	-0.65573	-0.75307	-0.83777	-0.91192	-0.97977	-1.04676	-1.08618	-1.11427	-1.12151	-1.14160	-1.13968	-1.14519	-1.13086	-1.12458	-1.09647	-1.07559	-1.08015	-1.21612	-1.14164	-1.09010	-1.03167	-0.98178	-0.94417	-0.90381	-0.84068	-0.69600	-0.48127	-0.18369	 0.26022	 0.50179	 0.51670	 0.99632	 0.85344	 0.64710	 0.47930	 0.33798	 0.23403	 0.08621	 0.06118	-0.01320	-0.07143	-0.11771	-0.16925	-0.19070	-0.19767	-0.17022	-0.12834	-0.05803	 0.00501	 0.07223	 0.15179	 0.25400	 0.11006	  0.6928	-0.037907	 -0.0662	
       6	   5.149	0.014671	  0.7935	 -0.0650	  0.7916	-0.056598	0.012808	  0.7939	2.996E+6	   0.231	 3766.46	   80.70	  180.85	   0.000	 0.09517	 0.05939	 0.01279	-0.04368	-0.10988	-0.19155	-0.28435	-0.37947	-0.47972	-0.57831	-0.67733	-0.78068	-0.87209	-0.95333	-1.02820	-1.10228	-1.14916	-1.18426	-1.19832	-1.22609	-1.23102	-1.24511	-1.23796	-1.24065	-1.22034	-1.20657	-1.22517	-1.38587	-1.32161	-1.28275	-1.23954	-1.20809	-1.19381	-1.18342	-1.15453	-1.03811	-0.84496	-0.55195	-0.05155	 0.22044	 0.23500	 0.99624	 0.93381	 0.75991	 0.59407	 0.44917	 0.33688	 0.18791	 0.14852	 0.06746	 0.00314	-0.04996	-0.10710	-0.13525	-0.14913	-0.12899	-0.09367	-0.03089	 0.02624	 0.08791	 0.16284	 0.25601	 0.08855	  0.7912	-0.058049	 -0.0652	
       7	   6.166	0.015837	  0.8889	 -0.0632	  0.8855	-0.079730	0.013886	  0.8895	2.999E+6	   0.231	 3777.95	   80.85	  180.16	   0.000	 0.06887	 0.03939	 0.00064	-0.04795	-0.10793	-0.18668	-0.28009	-0.37859	-0.48393	-0.58819	-0.69321	-0.80307	-0.90149	-0.99011	-1.07224	-1.15391	-1.20823	-1.25056	-1.27244	-1.30809	-1.32011	-1.34321	-1.34343	-1.35620	-1.34374	-1.33818	-1.36951	-1.55846	-1.50577	-1.48007	-1.45390	-1.44333	-1.45536	-1.47902	-1.48982	-1.40820	-1.24568	-0.96659	-0.41531	-0.11955	-0.10529	 0.96059	 0.98219	 0.85017	 0.69344	 0.54917	 0.43147	 0.28232	 0.23110	 0.14464	 0.07421	 0.01534	-0.04735	-0.08181	-0.10230	-0.08919	-0.06050	-0.00503	 0.04595	 0.10236	 0.17252	 0.25599	 0.06063	  0.8851	-0.081177	 -0.0634	
       8	   7.188	0.017641	  0.9742	 -0.0604	  0.9687	-0.104386	0.015402	  0.9748	2.996E+6	   0.231	 3774.59	   80.83	  180.86	   0.000	 0.03465	 0.00898	-0.01978	-0.05690	-0.10554	-0.17509	-0.26516	-0.36563	-0.47603	-0.58640	-0.69817	-0.81475	-0.92061	-1.01707	-1.10677	-1.19594	-1.25810	-1.30799	-1.33778	-1.38165	-1.40081	-1.43324	-1.44131	-1.46410	-1.46016	-1.46426	-1.50079	-1.72449	-1.68470	-1.67213	-1.66402	-1.67605	-1.71592	-1.77618	-1.83016	-1.78870	-1.66335	-1.40640	-0.81107	-0.50067	-0.48930	 0.89178	 0.99978	 0.91611	 0.77494	 0.63515	 0.51469	 0.36708	 0.30544	 0.21491	 0.13917	 0.07466	 0.00770	-0.03266	-0.05927	-0.05280	-0.03031	 0.01825	 0.06339	 0.11428	 0.17976	 0.25265	 0.02290	  0.9684	-0.106056	 -0.0606	
       9	   8.211	0.021162	  1.0426	 -0.0566	  1.0349	-0.127952	0.017838	  1.0437	2.998E+6	   0.231	 3785.31	   80.97	  179.17	   0.000	-0.01166	-0.03718	-0.05560	-0.07935	-0.11126	-0.16177	-0.23754	-0.33396	-0.44757	-0.56451	-0.68400	-0.80783	-0.92191	-1.02725	-1.12491	-1.22177	-1.29214	-1.34978	-1.38789	-1.44047	-1.46665	-1.50873	-1.52483	-1.55796	-1.56334	-1.57910	-1.57993	-1.88087	-1.83994	-1.85398	-1.86175	-1.89573	-1.96371	-2.06091	-2.15916	-2.16055	-2.07665	-1.84846	-1.21803	-0.89908	-0.88886	 0.79808	 0.99455	 0.95987	 0.83867	 0.70593	 0.58508	 0.43967	 0.37008	 0.27615	 0.19618	 0.12684	 0.05530	 0.00938	-0.02261	-0.02245	-0.00565	 0.03622	 0.07593	 0.12134	 0.18229	 0.24353	-0.02720	  1.0347	-0.130714	 -0.0568	
