   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  12.233	0.080139	  1.0419	 -0.0447	  1.0353	-0.142456	0.064089	  1.0485	3.004E+6	   0.232	 3818.99	   81.44	  260.84	   0.000	-0.29833	-0.34686	-0.35067	-0.34873	-0.34612	-0.34457	-0.34277	-0.34153	-0.34054	-0.34532	-0.35768	-0.38524	-0.44538	-0.54545	-0.67610	-0.82069	-0.95702	-1.07463	-1.17855	-1.27764	-1.35047	-1.43596	-1.49798	-1.57402	-1.63010	-1.68639	-1.76300	-1.91924	-2.14252	-2.20237	-2.25116	-2.34752	-2.46752	-2.66969	-2.90114	-3.07662	-3.12685	-3.01400	-2.33529	-2.01447	-0.03124	 0.47401	 0.90296	 0.99985	 0.94010	 0.82950	 0.70393	 0.60257	 0.50393	 0.40444	 0.31320	 0.23225	 0.14647	 0.08420	 0.03450	 0.01509	 0.01367	 0.03688	 0.05747	 0.08566	 0.12987	 0.13621	-0.30414	  1.0358	-0.159481	 -0.0450	
       2	  13.224	0.097378	  1.0307	 -0.0449	  1.0256	-0.140990	0.077564	  1.0392	2.987E+6	   0.232	 3793.42	   81.26	  259.16	   0.000	-0.33976	-0.38810	-0.39348	-0.39083	-0.38551	-0.38151	-0.37675	-0.37236	-0.36792	-0.36768	-0.37073	-0.38082	-0.40697	-0.46003	-0.54795	-0.66806	-0.80347	-0.93403	-1.05923	-1.17713	-1.26804	-1.36972	-1.44592	-1.53544	-1.60304	-1.67266	-1.76158	-1.92648	-2.15627	-2.23143	-2.29797	-2.41331	-2.55099	-2.77126	-3.03465	-3.24849	-3.33378	-3.25491	-2.57969	-2.26770	-0.01266	 0.38148	 0.86664	 0.99921	 0.95689	 0.85524	 0.73389	 0.63238	 0.53281	 0.43200	 0.33893	 0.25539	 0.16693	 0.10105	 0.04719	 0.02381	 0.01859	 0.03763	 0.05390	 0.07797	 0.11859	 0.11559	-0.34719	  1.0265	-0.162372	 -0.0452	
       3	  14.232	0.144361	  1.0293	 -0.0476	  1.0332	-0.113103	0.094670	  1.0525	2.992E+6	   0.232	 3814.55	   81.54	  260.82	   0.000	-0.38446	-0.42217	-0.42320	-0.41817	-0.41144	-0.40564	-0.39984	-0.39486	-0.38968	-0.38798	-0.38773	-0.39117	-0.40518	-0.43479	-0.49273	-0.58905	-0.71639	-0.84911	-0.98152	-1.10745	-1.20793	-1.31887	-1.40514	-1.50416	-1.57970	-1.66132	-1.76034	-1.93186	-2.16633	-2.25495	-2.33828	-2.47218	-2.62936	-2.86629	-3.16404	-3.41140	-3.53136	-3.48760	-2.82288	-2.52221	 0.00070	 0.28226	 0.82432	 0.99538	 0.97166	 0.88025	 0.76441	 0.66385	 0.56415	 0.46289	 0.36859	 0.28336	 0.19286	 0.12410	 0.06675	 0.03933	 0.03084	 0.04577	 0.05806	 0.07837	 0.11552	 0.10303	-0.36931	  1.0349	-0.166445	 -0.0479	
       4	  15.224	0.203891	  0.9994	 -0.0543	  1.0179	-0.065694	0.117735	  1.0419	2.985E+6	   0.232	 3809.05	   81.57	  259.19	   0.000	-0.43302	-0.46494	-0.46525	-0.46015	-0.45364	-0.44766	-0.44128	-0.43570	-0.42936	-0.42532	-0.42203	-0.42021	-0.42459	-0.43623	-0.46082	-0.50738	-0.58764	-0.69625	-0.82585	-0.95913	-1.07290	-1.19729	-1.29619	-1.40883	-1.49307	-1.58750	-1.69607	-1.87120	-2.10433	-2.20494	-2.30357	-2.45081	-2.62095	-2.86862	-3.18429	-3.45390	-3.59773	-3.57901	-2.93608	-2.64860	 0.01810	 0.22101	 0.79603	 0.99090	 0.97978	 0.89580	 0.78435	 0.68480	 0.58543	 0.48403	 0.38905	 0.30238	 0.21022	 0.13905	 0.07908	 0.04857	 0.03698	 0.04845	 0.05719	 0.07388	 0.10798	 0.08602	-0.40256	  1.0211	-0.158753	 -0.0548	
       5	   8.694	0.029739	  0.9765	 -0.0461	  0.9698	-0.118214	0.025872	  0.9777	3.003E+6	   0.234	 3865.71	   82.14	  260.78	   0.000	-0.10566	-0.13261	-0.13745	-0.14635	-0.15830	-0.17812	-0.20593	-0.24411	-0.30907	-0.41287	-0.53703	-0.67077	-0.79833	-0.91400	-1.02108	-1.12378	-1.20244	-1.26447	-1.31370	-1.36738	-1.39991	-1.44346	-1.46745	-1.50715	-1.52655	-1.54204	-1.57541	-1.69235	-1.87644	-1.88000	-1.86682	-1.88961	-1.94447	-2.04528	-2.16339	-2.17569	-2.08701	-1.85410	-1.21530	-0.88763	 0.02680	 0.81315	 0.99640	 0.95035	 0.82065	 0.67929	 0.54196	 0.44740	 0.35821	 0.26481	 0.18323	 0.11416	 0.04021	-0.00695	-0.04021	-0.04176	-0.02619	 0.01454	 0.05156	 0.09596	 0.15439	 0.20201	-0.10729	  0.9696	-0.121762	 -0.0463	
       6	   7.681	0.025201	  0.9347	 -0.0509	  0.9297	-0.099965	0.019950	  0.9364	3.004E+6	   0.234	 3872.64	   82.22	  259.23	   0.000	-0.04526	-0.06866	-0.08095	-0.09876	-0.12364	-0.15849	-0.20441	-0.27717	-0.38148	-0.49579	-0.61270	-0.73371	-0.84678	-0.94858	-1.04352	-1.13568	-1.20368	-1.25600	-1.29510	-1.33979	-1.36379	-1.39759	-1.41269	-1.44318	-1.45287	-1.45809	-1.47972	-1.58301	-1.75230	-1.73973	-1.71007	-1.71207	-1.74875	-1.81246	-1.89398	-1.86570	-1.74012	-1.48043	-0.86915	-0.54835	 0.02881	 0.89054	 0.99885	 0.91121	 0.76477	 0.61703	 0.47874	 0.38905	 0.30449	 0.21411	 0.13635	 0.07165	 0.00217	-0.04028	-0.06817	-0.06379	-0.04284	 0.00378	 0.04627	 0.09576	 0.15869	 0.21970	-0.04647	  0.9294	-0.104843	 -0.0510	
       7	   7.681	0.025145	  0.9346	 -0.0509	  0.9296	-0.099998	0.019967	  0.9362	3.003E+6	   0.234	 3872.73	   82.24	  260.82	   0.000	-0.04553	-0.06879	-0.08093	-0.09854	-0.12385	-0.15854	-0.20431	-0.27684	-0.38122	-0.49547	-0.61247	-0.73346	-0.84661	-0.94841	-1.04340	-1.13561	-1.20356	-1.25587	-1.29513	-1.33974	-1.36376	-1.39745	-1.41267	-1.44302	-1.45274	-1.45799	-1.47955	-1.58276	-1.75214	-1.73942	-1.70980	-1.71158	-1.74844	-1.81197	-1.89331	-1.86491	-1.73910	-1.47928	-0.86806	-0.54717	 0.02969	 0.89076	 0.99880	 0.91110	 0.76458	 0.61689	 0.47859	 0.38893	 0.30434	 0.21408	 0.13621	 0.07153	 0.00208	-0.04029	-0.06819	-0.06383	-0.04288	 0.00377	 0.04626	 0.09576	 0.15868	 0.21974	-0.04641	  0.9293	-0.104803	 -0.0510	
       8	   6.667	0.021509	  0.8762	 -0.0554	  0.8728	-0.080369	0.014903	  0.8781	3.002E+6	   0.234	 3876.33	   82.29	  259.24	   0.000	 0.00481	-0.01890	-0.04074	-0.07004	-0.10566	-0.15591	-0.22979	-0.32157	-0.42787	-0.53574	-0.64381	-0.75593	-0.85965	-0.95174	-1.03803	-1.12231	-1.18159	-1.22593	-1.25647	-1.29309	-1.30937	-1.33411	-1.34119	-1.36271	-1.36280	-1.35841	-1.36837	-1.45721	-1.61048	-1.58180	-1.53642	-1.51745	-1.53529	-1.56282	-1.60565	-1.53977	-1.37982	-1.09797	-0.52266	-0.21362	 0.03422	 0.95164	 0.98494	 0.85511	 0.69453	 0.54244	 0.40447	 0.32153	 0.24271	 0.15608	 0.08267	 0.02318	-0.04204	-0.07915	-0.10127	-0.09082	-0.06419	-0.01137	 0.03663	 0.09137	 0.15888	 0.23204	 0.00324	  0.8724	-0.086617	 -0.0556	
       9	  11.233	0.060408	  1.0365	 -0.0446	  1.0285	-0.142676	0.052113	  1.0397	2.994E+6	   0.234	 3860.01	   82.16	  261.43	   0.000	-0.24705	-0.29697	-0.30124	-0.30232	-0.30364	-0.30564	-0.30749	-0.31060	-0.31709	-0.33327	-0.36396	-0.42268	-0.52327	-0.65450	-0.79812	-0.93939	-1.06146	-1.16177	-1.24778	-1.33211	-1.39207	-1.46457	-1.51471	-1.57992	-1.62543	-1.66957	-1.73399	-1.88070	-2.09493	-2.13934	-2.16970	-2.24416	-2.34872	-2.52820	-2.72451	-2.85464	-2.86643	-2.71428	-2.03764	-1.71090	 0.03935	 0.57533	 0.93870	 0.99599	 0.91572	 0.79579	 0.66591	 0.56529	 0.46820	 0.37002	 0.28096	 0.20292	 0.12011	 0.06172	 0.01647	 0.00173	 0.00458	 0.03244	 0.05746	 0.09003	 0.13807	 0.15527	-0.25813	  1.0287	-0.151324	 -0.0448	
