   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.012	0.013176	  0.2414	 -0.0649	  0.2414	0.013227	-0.000534	  0.2420	2.991E+6	   0.232	 3813.97	   81.48	  260.77	   0.000	 0.15888	 0.09778	 0.04214	-0.01955	-0.08493	-0.15586	-0.23257	-0.30760	-0.38363	-0.45574	-0.52535	-0.59869	-0.65826	-0.70394	-0.74484	-0.78278	-0.79702	-0.79689	-0.77992	-0.77086	-0.74380	-0.71680	-0.67829	-0.64473	-0.59363	-0.53752	-0.48211	-0.47492	-0.50675	-0.40075	-0.29076	-0.17755	-0.07186	 0.05249	 0.20014	 0.39208	 0.60909	 0.82181	 0.97394	 0.99860	 0.04102	 0.46193	 0.11470	-0.12622	-0.22135	-0.30486	-0.36039	-0.35516	-0.36001	-0.39178	-0.41711	-0.42667	-0.44783	-0.43691	-0.41078	-0.35027	-0.27833	-0.17604	-0.08808	 0.00254	 0.09827	 0.22487	 0.15786	  0.2412	-0.000527	 -0.0650	
       2	   1.029	0.013538	  0.3544	 -0.0650	  0.3546	0.007172	0.000118	  0.3556	2.989E+6	   0.232	 3809.38	   81.43	  259.40	   0.000	 0.14636	 0.09167	 0.03677	-0.02533	-0.09202	-0.16573	-0.24589	-0.32501	-0.40585	-0.48321	-0.55830	-0.63734	-0.70342	-0.75580	-0.80337	-0.84796	-0.86869	-0.87471	-0.86433	-0.86159	-0.84023	-0.82048	-0.78763	-0.76172	-0.71698	-0.66715	-0.61978	-0.62572	-0.67499	-0.57740	-0.47027	-0.37186	-0.27678	-0.16588	-0.03020	 0.16118	 0.39467	 0.64885	 0.88562	 0.97994	 0.04271	 0.68174	 0.35700	 0.10352	-0.02474	-0.13367	-0.21050	-0.22572	-0.24735	-0.29143	-0.32668	-0.34636	-0.37624	-0.37414	-0.35706	-0.30541	-0.24145	-0.14738	-0.06605	 0.01844	 0.11052	 0.23145	 0.14603	  0.3544	-0.006267	 -0.0651	
       3	   2.058	0.014304	  0.4618	 -0.0647	  0.4620	-0.002286	0.001413	  0.4635	2.995E+6	   0.232	 3827.38	   81.64	  260.85	   0.000	 0.13149	 0.08396	 0.03148	-0.02961	-0.09665	-0.17242	-0.25562	-0.33858	-0.42433	-0.50656	-0.58722	-0.67202	-0.74440	-0.80332	-0.85756	-0.90888	-0.93626	-0.94848	-0.94479	-0.94852	-0.93316	-0.92090	-0.89422	-0.87616	-0.83821	-0.79525	-0.75663	-0.77631	-0.84368	-0.75527	-0.65180	-0.57153	-0.49048	-0.39689	-0.27884	-0.09561	 0.14424	 0.42685	 0.74041	 0.89416	 0.04639	 0.83859	 0.55245	 0.29990	 0.14763	 0.02034	-0.07399	-0.10715	-0.14311	-0.19791	-0.24194	-0.27053	-0.30819	-0.31423	-0.30535	-0.26203	-0.20555	-0.11946	-0.04436	 0.03446	 0.12247	 0.23685	 0.13152	  0.4618	-0.015151	 -0.0648	
       4	   3.079	0.015041	  0.5665	 -0.0639	  0.5665	-0.015410	0.003186	  0.5685	3.003E+6	   0.233	 3852.42	   81.92	  259.90	   0.000	 0.11233	 0.07242	 0.02422	-0.03386	-0.09964	-0.17645	-0.26222	-0.34888	-0.43931	-0.52674	-0.61298	-0.70372	-0.78257	-0.84837	-0.90948	-0.96776	-1.00219	-1.02088	-1.02428	-1.03492	-1.02580	-1.02145	-1.00154	-0.99178	-0.96145	-0.92607	-0.89702	-0.93148	-1.01839	-0.94014	-0.84686	-0.77302	-0.71818	-0.64716	-0.55189	-0.38435	-0.14719	 0.15252	 0.53686	 0.74020	 0.04725	 0.94208	 0.71081	 0.47045	 0.30273	 0.16168	 0.05068	 0.00415	-0.04432	-0.10844	-0.16061	-0.19757	-0.24241	-0.25615	-0.25510	-0.21991	-0.17055	-0.09230	-0.02344	 0.04972	 0.13346	 0.24025	 0.11280	  0.5662	-0.027171	 -0.0640	
       5	   4.104	0.016406	  0.6660	 -0.0625	  0.6654	-0.031290	0.005500	  0.6682	3.001E+6	   0.233	 3849.28	   81.90	  260.61	   0.000	 0.08920	 0.05600	 0.01411	-0.03831	-0.10019	-0.17610	-0.26339	-0.35343	-0.44877	-0.54144	-0.63333	-0.72992	-0.81561	-0.88847	-0.95646	-1.02177	-1.06360	-1.08896	-1.09987	-1.11755	-1.11531	-1.11924	-1.10642	-1.10524	-1.08320	-1.05606	-1.03756	-1.08764	-1.19449	-1.12807	-1.04698	-0.98484	-0.95070	-0.90950	-0.84451	-0.69915	-0.47387	-0.16788	 0.28009	 0.52406	 0.04899	 0.99261	 0.83139	 0.61318	 0.43874	 0.28942	 0.16260	 0.10710	 0.04749	-0.02429	-0.08358	-0.12811	-0.17950	-0.20038	-0.20663	-0.17924	-0.13666	-0.06613	-0.00325	 0.06415	 0.14343	 0.24174	 0.08896	  0.6651	-0.042022	 -0.0626	
       6	   5.145	0.017932	  0.7573	 -0.0604	  0.7558	-0.050046	0.008970	  0.7594	3.006E+6	   0.234	 3863.37	   82.06	  259.14	   0.000	 0.06043	 0.03246	-0.00170	-0.04535	-0.09929	-0.17060	-0.25740	-0.35010	-0.45021	-0.54831	-0.64615	-0.74880	-0.84137	-0.92140	-0.99648	-1.06881	-1.11795	-1.15036	-1.16872	-1.19371	-1.19845	-1.21100	-1.20556	-1.21304	-1.19993	-1.18125	-1.17363	-1.23952	-1.36532	-1.31335	-1.24493	-1.20053	-1.18209	-1.17159	-1.14531	-1.02782	-0.82265	-0.52006	-0.01667	 0.25831	 0.05248	 0.99917	 0.91583	 0.72796	 0.55425	 0.40105	 0.26774	 0.19932	 0.13112	 0.05252	-0.01260	-0.06404	-0.12114	-0.14859	-0.16176	-0.14144	-0.10539	-0.04203	 0.01494	 0.07682	 0.15156	 0.24057	 0.06069	  0.7555	-0.058753	 -0.0605	
       7	   6.163	0.020206	  0.8400	 -0.0573	  0.8373	-0.070092	0.012824	  0.8420	3.003E+6	   0.233	 3858.49	   82.02	  260.82	   0.000	 0.02479	 0.00041	-0.02590	-0.05966	-0.10096	-0.16003	-0.24108	-0.33457	-0.43911	-0.54316	-0.64770	-0.75695	-0.85683	-0.94470	-1.02720	-1.10680	-1.16372	-1.20356	-1.23003	-1.26269	-1.27463	-1.29626	-1.29870	-1.31524	-1.31145	-1.30211	-1.30611	-1.38783	-1.53210	-1.49554	-1.44238	-1.41646	-1.41973	-1.43281	-1.45443	-1.37122	-1.19361	-0.90330	-0.35232	-0.05299	 0.05770	 0.97460	 0.96933	 0.81920	 0.65281	 0.49970	 0.36306	 0.28379	 0.20816	 0.12390	 0.05330	-0.00416	-0.06653	-0.10021	-0.11977	-0.10638	-0.07669	-0.02019	 0.03093	 0.08730	 0.15741	 0.23600	 0.02445	  0.8370	-0.077141	 -0.0574	
       8	   7.182	0.023332	  0.9087	 -0.0531	  0.9045	-0.090470	0.017414	  0.9105	2.999E+6	   0.233	 3850.34	   81.94	  259.15	   0.000	-0.02067	-0.04370	-0.06042	-0.08392	-0.11427	-0.15463	-0.21429	-0.30024	-0.40720	-0.51792	-0.63039	-0.74740	-0.85592	-0.95258	-1.04326	-1.13062	-1.19582	-1.24356	-1.27843	-1.31916	-1.33865	-1.36950	-1.38032	-1.40572	-1.41164	-1.41210	-1.42809	-1.52500	-1.68635	-1.66637	-1.62917	-1.62240	-1.64810	-1.69542	-1.75731	-1.71280	-1.56836	-1.29758	-0.70693	-0.39183	 0.06097	 0.92223	 0.99490	 0.88717	 0.73321	 0.58337	 0.44538	 0.35805	 0.27610	 0.18740	 0.11164	 0.04880	-0.01816	-0.05754	-0.08308	-0.07624	-0.05248	-0.00270	 0.04248	 0.09376	 0.15921	 0.22605	-0.02029	  0.9042	-0.096009	 -0.0533	
       9	   8.198	0.027395	  0.9590	 -0.0481	  0.9531	-0.109637	0.022637	  0.9605	3.002E+6	   0.234	 3862.62	   82.09	  260.79	   0.000	-0.07921	-0.10362	-0.11136	-0.12382	-0.14123	-0.16828	-0.20349	-0.25054	-0.33759	-0.45121	-0.57448	-0.70366	-0.82451	-0.93331	-1.03465	-1.13143	-1.20647	-1.26321	-1.30776	-1.35722	-1.38518	-1.42559	-1.44491	-1.47970	-1.49539	-1.50598	-1.53422	-1.64544	-1.82252	-1.81908	-1.79827	-1.81186	-1.85818	-1.94157	-2.03914	-2.03794	-1.93008	-1.68408	-1.06264	-0.73756	 0.06592	 0.85020	 0.99908	 0.93472	 0.79684	 0.65265	 0.51505	 0.42187	 0.33465	 0.24257	 0.16260	 0.09507	 0.02363	-0.02097	-0.05226	-0.05142	-0.03334	 0.01026	 0.04980	 0.09571	 0.15654	 0.20989	-0.07768	  0.9529	-0.114034	 -0.0483	
