   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.005	0.014630	  0.2353	 -0.0639	  0.2353	0.014652	-0.000774	  0.2360	2.985E+6	   0.231	 3772.26	   80.93	  200.81	   0.000	 0.15390	 0.09573	 0.04134	-0.01991	-0.08420	-0.15468	-0.23003	-0.30445	-0.37974	-0.45221	-0.52160	-0.59322	-0.65277	-0.69793	-0.73878	-0.77592	-0.78896	-0.78917	-0.77222	-0.76085	-0.73431	-0.70567	-0.66919	-0.64409	-0.65577	-0.58754	-0.52278	-0.49564	-0.45449	-0.36542	-0.26649	-0.15855	-0.05566	 0.06613	 0.21323	 0.40349	 0.61719	 0.82709	 0.97614	 0.99854	-0.02070	 0.45688	 0.11269	-0.12591	-0.21532	-0.29148	-0.33375	-0.38686	-0.40317	-0.42197	-0.41368	-0.42613	-0.44579	-0.43670	-0.41067	-0.35029	-0.27924	-0.17763	-0.08992	 0.00008	 0.09397	 0.21996	 0.15313	  0.2351	-0.000800	 -0.0640	
       2	   2.053	0.015569	  0.4547	 -0.0637	  0.4549	-0.000729	0.001318	  0.4565	2.995E+6	   0.233	 3835.17	   81.76	  199.17	   0.000	 0.12743	 0.08148	 0.03012	-0.03046	-0.09623	-0.17117	-0.25280	-0.33492	-0.41981	-0.50236	-0.58265	-0.66582	-0.73792	-0.79649	-0.85044	-0.90093	-0.92700	-0.93963	-0.93582	-0.93714	-0.92243	-0.90829	-0.88417	-0.87711	-0.90800	-0.85256	-0.80289	-0.79946	-0.78056	-0.71161	-0.62172	-0.54642	-0.46830	-0.37667	-0.25882	-0.07676	 0.15968	 0.43963	 0.74909	 0.89956	 0.00454	 0.83433	 0.54911	 0.29770	 0.14997	 0.02885	-0.05419	-0.13561	-0.18065	-0.22383	-0.23990	-0.27133	-0.30768	-0.31520	-0.30646	-0.26315	-0.20724	-0.12171	-0.04675	 0.03165	 0.11817	 0.23199	 0.12760	  0.4546	-0.014963	 -0.0638	
       3	   4.099	0.017796	  0.6586	 -0.0616	  0.6581	-0.029323	0.005543	  0.6610	2.992E+6	   0.233	 3845.49	   81.94	  200.77	   0.000	 0.08652	 0.05385	 0.01205	-0.04017	-0.10087	-0.17530	-0.26047	-0.34918	-0.44338	-0.53614	-0.62779	-0.72254	-0.80792	-0.88044	-0.94812	-1.01248	-1.05289	-1.07878	-1.08962	-1.10481	-1.10351	-1.10527	-1.09560	-1.10885	-1.16018	-1.12031	-1.09014	-1.11035	-1.12268	-1.07680	-1.00983	-0.95304	-0.92883	-0.88454	-0.81828	-0.67379	-0.45195	-0.14814	 0.29602	 0.53713	 0.01944	 0.99135	 0.82893	 0.61079	 0.43967	 0.29523	 0.17719	 0.08303	 0.01591	-0.04571	-0.08192	-0.12892	-0.17924	-0.20133	-0.20783	-0.18030	-0.13843	-0.06819	-0.00554	 0.06151	 0.13948	 0.23746	 0.08601	  0.6578	-0.041419	 -0.0617	
       4	  -0.008	0.014642	  0.2373	 -0.0639	  0.2373	0.014677	-0.000459	  0.2380	3.001E+6	   0.234	 3878.99	   82.35	  194.18	   0.000	 0.15346	 0.09545	 0.04106	-0.02027	-0.08452	-0.15506	-0.23050	-0.30498	-0.38049	-0.45316	-0.52261	-0.59442	-0.65407	-0.69951	-0.74051	-0.77785	-0.79097	-0.79121	-0.77455	-0.76331	-0.73678	-0.70817	-0.67155	-0.64652	-0.65813	-0.59012	-0.52530	-0.49854	-0.45771	-0.36829	-0.26939	-0.16109	-0.05860	 0.06325	 0.21017	 0.40066	 0.61474	 0.82533	 0.97538	 0.99874	 0.03299	 0.46072	 0.11651	-0.12259	-0.21273	-0.28924	-0.33242	-0.38587	-0.40187	-0.42034	-0.41324	-0.42587	-0.44556	-0.43631	-0.41056	-0.35009	-0.27911	-0.17751	-0.08982	 0.00011	 0.09406	 0.21999	 0.15327	  0.2371	-0.000467	 -0.0640	
       5	   1.025	0.014962	  0.3483	 -0.0640	  0.3486	0.008731	0.000181	  0.3496	2.998E+6	   0.234	 3877.83	   82.37	  195.86	   0.000	 0.14205	 0.08965	 0.03610	-0.02555	-0.09106	-0.16418	-0.24292	-0.32135	-0.40167	-0.47941	-0.55431	-0.63179	-0.69766	-0.74974	-0.79720	-0.84112	-0.86068	-0.86718	-0.85674	-0.85164	-0.83098	-0.80939	-0.77865	-0.76248	-0.78343	-0.72165	-0.66422	-0.64855	-0.61825	-0.53831	-0.44582	-0.35074	-0.25795	-0.14912	-0.01398	 0.17612	 0.40631	 0.65777	 0.89075	 0.98215	 0.03681	 0.67731	 0.35469	 0.10283	-0.02048	-0.12232	-0.18809	-0.25582	-0.28745	-0.31878	-0.32422	-0.34657	-0.37510	-0.37443	-0.35755	-0.30583	-0.24262	-0.14915	-0.06795	 0.01600	 0.10660	 0.22689	 0.14202	  0.3483	-0.006071	 -0.0641	
       6	   3.078	0.016568	  0.5601	 -0.0630	  0.5602	-0.013533	0.003321	  0.5623	2.999E+6	   0.234	 3888.02	   82.50	  194.22	   0.000	 0.10869	 0.06983	 0.02245	-0.03509	-0.09948	-0.17517	-0.25919	-0.34484	-0.43459	-0.52222	-0.60828	-0.69726	-0.77595	-0.84153	-0.90242	-0.95985	-0.99297	-1.01210	-1.01570	-1.02384	-1.01555	-1.00924	-0.99216	-0.99501	-1.03558	-0.98796	-0.94768	-0.95617	-0.95241	-0.89417	-0.81329	-0.75502	-0.69516	-0.62581	-0.53040	-0.36373	-0.13014	 0.16725	 0.54801	 0.74845	 0.04202	 0.93963	 0.70864	 0.46897	 0.30510	 0.16967	 0.06695	-0.02141	-0.07840	-0.13141	-0.15859	-0.19808	-0.24183	-0.25678	-0.25610	-0.22077	-0.17209	-0.09428	-0.02563	 0.04707	 0.12944	 0.23572	 0.10944	  0.5598	-0.026696	 -0.0631	
       7	   5.144	0.019614	  0.7506	 -0.0594	  0.7493	-0.047762	0.009156	  0.7531	3.003E+6	   0.235	 3901.14	   82.66	  195.85	   0.000	 0.05796	 0.03066	-0.00437	-0.04858	-0.10137	-0.17044	-0.25441	-0.34529	-0.44407	-0.54230	-0.63986	-0.74073	-0.83302	-0.91305	-0.98792	-1.05935	-1.10717	-1.14020	-1.15892	-1.18138	-1.18714	-1.19779	-1.19575	-1.21955	-1.28092	-1.25039	-1.23066	-1.26416	-1.29199	-1.26048	-1.20728	-1.16935	-1.15650	-1.14988	-1.11937	-1.00250	-0.80060	-0.50015	 0.00030	 0.27319	 0.04523	 0.99909	 0.91447	 0.72665	 0.55562	 0.40680	 0.28168	 0.17831	 0.10288	 0.03364	-0.01089	-0.06436	-0.12069	-0.14914	-0.16277	-0.14234	-0.10710	-0.04404	 0.01268	 0.07419	 0.14770	 0.23640	 0.05699	  0.7490	-0.057983	 -0.0596	
       8	   7.181	0.025513	  0.8971	 -0.0520	  0.8932	-0.086817	0.017914	  0.8993	2.996E+6	   0.234	 3885.95	   82.52	  194.16	   0.000	-0.02499	-0.04708	-0.06429	-0.08727	-0.11765	-0.15948	-0.21676	-0.29602	-0.39828	-0.50744	-0.61879	-0.73361	-0.84195	-0.93878	-1.02946	-1.11582	-1.18003	-1.22808	-1.26361	-1.30166	-1.32232	-1.35135	-1.36575	-1.41063	-1.49212	-1.48079	-1.48321	-1.54430	-1.59937	-1.60078	-1.57870	-1.57845	-1.61124	-1.65720	-1.71663	-1.66953	-1.52761	-1.25851	-0.67016	-0.35743	 0.04639	 0.92627	 0.99389	 0.88380	 0.73117	 0.58436	 0.45299	 0.33808	 0.24946	 0.16927	 0.11055	 0.04595	-0.02034	-0.06041	-0.08637	-0.07923	-0.05612	-0.00646	 0.03861	 0.08956	 0.15417	 0.22093	-0.02890	  0.8929	-0.094084	 -0.0522	
       9	   9.201	0.055596	  0.9746	 -0.0461	  0.9709	-0.100950	0.034040	  0.9822	3.000E+6	   0.235	 3899.60	   82.68	  195.84	   0.000	-0.13078	-0.16952	-0.17619	-0.18574	-0.19550	-0.20835	-0.22904	-0.26125	-0.31427	-0.39420	-0.49785	-0.61870	-0.74434	-0.86265	-0.97380	-1.07780	-1.16192	-1.22776	-1.28227	-1.33778	-1.37424	-1.42287	-1.45442	-1.51892	-1.61707	-1.62617	-1.65043	-1.73545	-1.81620	-1.84833	-1.85787	-1.89817	-1.96423	-2.07904	-2.20951	-2.23873	-2.16708	-1.94902	-1.31085	-0.98531	 0.05044	 0.78470	 0.99231	 0.96091	 0.83942	 0.70389	 0.57353	 0.45443	 0.35739	 0.27066	 0.20184	 0.12889	 0.05412	 0.00464	-0.03184	-0.03614	-0.02365	 0.01462	 0.04938	 0.09068	 0.14702	 0.19113	-0.16219	  0.9710	-0.122686	 -0.0463	
