   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.001	0.010962	  0.2575	 -0.0672	  0.2575	0.010959	0.007754	  0.2577	2.994E+6	   0.230	 3720.99	   80.21	  219.20	   0.000	 0.17102	 0.10105	 0.04188	-0.02218	-0.09007	-0.16261	-0.24013	-0.31567	-0.39253	-0.46398	-0.53489	-0.60774	-0.66773	-0.71331	-0.75452	-0.79308	-0.80706	-0.80670	-0.78979	-0.78134	-0.75422	-0.72750	-0.69227	-0.65684	-0.60708	-0.55227	-0.49562	-0.47739	-0.45020	-0.36513	-0.25558	-0.17366	-0.08268	 0.04150	 0.18944	 0.38320	 0.59927	 0.81410	 0.97040	 0.99809	 0.99949	 0.47312	 0.13012	-0.10592	-0.20109	-0.24826	-0.30112	-0.35355	-0.35664	-0.38970	-0.41297	-0.42243	-0.44520	-0.43384	-0.40774	-0.34710	-0.27484	-0.17222	-0.08380	 0.00768	 0.10465	 0.24031	 0.17057	  0.2574	0.007796	 -0.0673	
       2	  -2.066	0.011150	  0.0249	 -0.0648	  0.0245	0.012039	0.007051	  0.0248	2.979E+6	   0.230	 3715.06	   80.28	  220.85	   0.000	 0.18176	 0.10756	 0.05276	-0.00630	-0.06874	-0.13415	-0.20395	-0.27109	-0.33844	-0.40000	-0.46086	-0.52149	-0.56947	-0.60267	-0.63139	-0.65737	-0.65911	-0.64762	-0.61956	-0.59921	-0.56211	-0.52263	-0.47759	-0.42860	-0.36922	-0.30303	-0.23584	-0.19718	-0.15156	-0.04842	 0.06985	 0.16885	 0.27734	 0.41345	 0.56503	 0.73604	 0.89223	 0.99023	 0.97883	 0.84127	 0.84246	-0.13187	-0.46609	-0.63867	-0.64695	-0.61896	-0.60505	-0.63092	-0.59651	-0.60231	-0.60253	-0.58954	-0.59363	-0.56362	-0.51854	-0.43917	-0.35095	-0.23146	-0.12970	-0.02671	 0.07721	 0.22215	 0.18093	  0.0245	0.008002	 -0.0648	
       3	  -4.116	0.012121	 -0.2024	 -0.0620	 -0.2028	-0.002439	0.006872	 -0.2030	2.991E+6	   0.232	 3779.37	   81.12	  219.15	   0.000	 0.18419	 0.11236	 0.06398	 0.01100	-0.04533	-0.10340	-0.16543	-0.22445	-0.28274	-0.33543	-0.38573	-0.43546	-0.47232	-0.49433	-0.51198	-0.52651	-0.51754	-0.49631	-0.45879	-0.42840	-0.38334	-0.33316	-0.28037	-0.22161	-0.15424	-0.08067	-0.00779	 0.04550	 0.11011	 0.21981	 0.33885	 0.44595	 0.55741	 0.68697	 0.81735	 0.93676	 0.99843	 0.96366	 0.75741	 0.39783	 0.39889	-0.94386	-1.20446	-1.26182	-1.14794	-1.01208	-0.93971	-0.92369	-0.84586	-0.82018	-0.79496	-0.75742	-0.74070	-0.69044	-0.62530	-0.52651	-0.42176	-0.28562	-0.17054	-0.05716	 0.05113	 0.19839	 0.18392	 -0.2026	-0.007520	 -0.0620	
       4	  -5.138	0.012695	 -0.3167	 -0.0606	 -0.3165	-0.015715	0.007077	 -0.3175	2.991E+6	   0.232	 3794.16	   81.34	  220.84	   0.000	 0.18246	 0.11396	 0.06967	 0.02015	-0.03288	-0.08709	-0.14515	-0.20005	-0.25372	-0.30180	-0.34703	-0.39145	-0.42294	-0.43954	-0.45185	-0.46083	-0.44702	-0.42129	-0.37944	-0.34442	-0.29584	-0.24108	-0.18491	-0.12154	-0.05137	 0.02510	 0.09925	 0.15975	 0.23036	 0.34093	 0.45781	 0.56503	 0.67275	 0.79238	 0.90329	 0.98551	 0.99175	 0.87552	 0.55421	 0.06582	 0.06681	-1.43937	-1.63637	-1.61446	-1.40028	-1.23009	-1.12130	-1.07902	-0.97723	-0.93367	-0.89414	-0.84313	-0.81460	-0.75342	-0.67732	-0.56820	-0.45477	-0.31009	-0.18827	-0.07018	 0.03857	 0.18397	 0.18211	 -0.3164	-0.021084	 -0.0606	
       5	  -6.173	0.013741	 -0.4276	 -0.0595	 -0.4266	-0.032326	0.007640	 -0.4288	2.994E+6	   0.233	 3829.65	   81.84	  219.14	   0.000	 0.17687	 0.11377	 0.07423	 0.02840	-0.02125	-0.07162	-0.12570	-0.17650	-0.22572	-0.26909	-0.30977	-0.34913	-0.37514	-0.38668	-0.39439	-0.39759	-0.37915	-0.34908	-0.30321	-0.26470	-0.21229	-0.15393	-0.09507	-0.02672	 0.04505	 0.12289	 0.19942	 0.26452	 0.33975	 0.44961	 0.56266	 0.66771	 0.76878	 0.87460	 0.96108	 1.00000	 0.94725	 0.73822	 0.29572	-0.32804	-0.32732	-1.97904	-2.09580	-1.98225	-1.67258	-1.45550	-1.30482	-1.23525	-1.10866	-1.04628	-0.99182	-0.92690	-0.88622	-0.81357	-0.72627	-0.60670	-0.48441	-0.33125	-0.20309	-0.08140	 0.02620	 0.16656	 0.17680	 -0.4264	-0.038091	 -0.0594	
       6	  -7.193	0.015034	 -0.5324	 -0.0586	 -0.5301	-0.051757	0.008242	 -0.5340	2.989E+6	   0.233	 3825.37	   81.83	  220.81	   0.000	 0.16583	 0.11159	 0.07734	 0.03548	-0.01069	-0.05711	-0.10734	-0.15420	-0.19904	-0.23800	-0.27395	-0.30857	-0.32983	-0.33589	-0.33866	-0.33727	-0.31398	-0.28001	-0.23072	-0.18813	-0.13324	-0.07190	-0.01401	 0.05562	 0.12908	 0.21013	 0.29098	 0.35922	 0.43743	 0.54512	 0.65312	 0.75282	 0.84554	 0.93404	 0.99214	 0.98767	 0.86614	 0.55668	-0.00992	-0.77653	-0.77576	-2.55366	-2.57527	-2.36620	-1.94335	-1.68187	-1.48691	-1.38866	-1.23686	-1.15504	-1.08521	-1.00594	-0.95245	-0.86828	-0.76939	-0.63923	-0.50800	-0.34665	-0.21241	-0.08860	 0.01485	 0.14511	 0.16648	 -0.5299	-0.058135	 -0.0586	
       7	  -8.222	0.016211	 -0.6284	 -0.0584	 -0.6242	-0.073821	0.009004	 -0.6303	2.996E+6	   0.234	 3848.77	   82.11	  219.22	   0.000	 0.14616	 0.10564	 0.07764	 0.04005	-0.00276	-0.04506	-0.09159	-0.13439	-0.17496	-0.20956	-0.24116	-0.27182	-0.28853	-0.29121	-0.29069	-0.28459	-0.25964	-0.22246	-0.17408	-0.12545	-0.06940	-0.00248	 0.05635	 0.12987	 0.20536	 0.29075	 0.37317	 0.44334	 0.52313	 0.62769	 0.72945	 0.82237	 0.90412	 0.97274	 0.99999	 0.94816	 0.75451	 0.34057	-0.35095	-1.26314	-1.26239	-3.14933	-3.06495	-2.76882	-2.22519	-1.90484	-1.66470	-1.53706	-1.35992	-1.25814	-1.17265	-1.07893	-1.01221	-0.91623	-0.80540	-0.66435	-0.52387	-0.35449	-0.21489	-0.09200	 0.00195	 0.11784	 0.14709	 -0.6240	-0.080561	 -0.0583	
       8	  -9.246	0.018386	 -0.7142	 -0.0581	 -0.7079	-0.096602	0.010798	 -0.7165	2.992E+6	   0.234	 3844.97	   82.09	  220.78	   0.000	 0.11355	 0.09631	 0.07681	 0.04449	 0.00504	-0.03174	-0.07345	-0.12282	-0.16401	-0.19324	-0.22026	-0.24280	-0.25524	-0.25692	-0.25311	-0.23903	-0.21057	-0.16732	-0.11612	-0.06353	-0.00518	 0.06556	 0.12683	 0.20171	 0.27813	 0.36445	 0.44729	 0.51832	 0.59839	 0.69870	 0.79354	 0.87791	 0.94681	 0.99350	 0.99045	 0.88547	 0.61700	 0.09635	-0.71994	-1.78018	-1.77942	-3.75623	-3.55774	-3.10326	-2.50381	-2.12028	-1.83480	-1.67703	-1.47480	-1.35269	-1.25124	-1.14284	-1.06238	-0.95420	-0.83061	-0.67799	-0.52772	-0.35048	-0.20772	-0.09222	-0.01589	 0.08013	 0.11353	 -0.7077	-0.103705	 -0.0581	
       9	 -10.268	0.022434	 -0.7850	 -0.0575	 -0.7765	-0.117863	0.014420	 -0.7877	2.997E+6	   0.234	 3865.56	   82.34	  219.20	   0.000	 0.06619	 0.07718	 0.06697	 0.04084	 0.00601	-0.02184	-0.05934	-0.12515	-0.15057	-0.17535	-0.19793	-0.21560	-0.22386	-0.22280	-0.21449	-0.19583	-0.16375	-0.11734	-0.06337	-0.00811	 0.05169	 0.12493	 0.18795	 0.26451	 0.34133	 0.42720	 0.50962	 0.58070	 0.66028	 0.75593	 0.84334	 0.91848	 0.97428	 0.99914	 0.96651	 0.80945	 0.47004	-0.15172	-1.08325	-2.28108	-2.28013	-4.32602	-4.01945	-3.35160	-2.75373	-2.31187	-1.98386	-1.79756	-1.57185	-1.43030	-1.31331	-1.19066	-1.09623	-0.97536	-0.83834	-0.67306	-0.51189	-0.32857	-0.18993	-0.09602	-0.04233	 0.02958	 0.06212	 -0.7764	-0.125442	 -0.0574	
