   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.004	0.012281	  0.2480	 -0.0656	  0.2480	0.012297	0.007537	  0.2482	2.973E+6	   0.234	 3853.37	   82.47	  249.16	   0.000	 0.16356	 0.09916	 0.04193	-0.02094	-0.08750	-0.15893	-0.23576	-0.31116	-0.38734	-0.45939	-0.52927	-0.60166	-0.66186	-0.70785	-0.74891	-0.78644	-0.80061	-0.79995	-0.78253	-0.77330	-0.74561	-0.71633	-0.67463	-0.63254	-0.64849	-0.57235	-0.50863	-0.48768	-0.45835	-0.37467	-0.26694	-0.15752	-0.05454	 0.06418	 0.20815	 0.39831	 0.61138	 0.82156	 0.97278	 0.99897	 0.99956	 0.46859	 0.12767	-0.10129	-0.18796	-0.26583	-0.33228	-0.37520	-0.38744	-0.41939	-0.40761	-0.42407	-0.44650	-0.43697	-0.41084	-0.35026	-0.27792	-0.17550	-0.08735	 0.00407	 0.10121	 0.23191	 0.16270	  0.2478	0.007593	 -0.0657	
       2	   2.055	0.013071	  0.4713	 -0.0661	  0.4714	-0.003837	0.008757	  0.4718	2.979E+6	   0.235	 3877.52	   82.77	  250.77	   0.000	 0.14056	 0.08779	 0.03221	-0.03153	-0.10076	-0.17754	-0.26121	-0.34458	-0.43029	-0.51244	-0.59343	-0.67746	-0.75017	-0.80946	-0.86395	-0.91486	-0.94224	-0.95403	-0.94915	-0.95317	-0.93753	-0.92252	-0.89259	-0.86721	-0.90307	-0.83928	-0.79051	-0.79167	-0.79036	-0.72073	-0.63702	-0.54996	-0.46808	-0.37892	-0.26551	-0.08411	 0.14903	 0.42702	 0.73783	 0.89146	 0.89192	 0.84237	 0.56137	 0.31689	 0.17143	 0.05288	-0.04574	-0.12228	-0.16230	-0.21912	-0.23054	-0.26572	-0.30522	-0.31232	-0.30337	-0.26017	-0.20326	-0.11690	-0.04188	 0.03764	 0.12701	 0.24432	 0.13929	  0.4711	-0.008030	 -0.0662	
       3	   4.096	0.014750	  0.6820	 -0.0647	  0.6813	-0.034001	0.009967	  0.6829	2.979E+6	   0.235	 3886.72	   82.91	  255.12	   0.000	 0.10277	 0.06485	 0.01799	-0.03980	-0.10645	-0.18519	-0.27386	-0.36467	-0.46013	-0.55281	-0.64514	-0.74094	-0.82722	-0.90051	-0.96890	-1.03382	-1.07568	-1.10103	-1.11088	-1.12903	-1.12646	-1.12757	-1.11181	-1.10547	-1.16260	-1.11334	-1.08336	-1.11095	-1.14101	-1.09815	-1.02889	-0.98724	-0.94317	-0.90245	-0.83895	-0.69318	-0.47721	-0.17782	 0.26781	 0.50926	 0.50957	 0.99420	 0.84083	 0.62965	 0.46059	 0.31896	 0.19911	 0.09859	 0.03516	-0.03715	-0.06900	-0.11934	-0.17290	-0.19503	-0.20132	-0.17438	-0.13161	-0.06171	 0.00161	 0.06941	 0.14952	 0.24970	 0.10112	  0.6809	-0.038511	 -0.0648	
       1	   4.102	0.014820	  0.6821	 -0.0647	  0.6814	-0.034009	0.010051	  0.6831	2.998E+6	   0.237	 3945.89	   83.58	  250.84	   0.000	 0.10309	 0.06499	 0.01809	-0.03974	-0.10647	-0.18526	-0.27392	-0.36472	-0.46030	-0.55295	-0.64533	-0.74127	-0.82749	-0.90080	-0.96928	-1.03413	-1.07609	-1.10139	-1.11136	-1.12940	-1.12682	-1.12801	-1.11209	-1.10584	-1.16302	-1.11373	-1.08361	-1.11128	-1.14132	-1.09826	-1.02902	-0.98725	-0.94310	-0.90223	-0.83869	-0.69258	-0.47642	-0.17702	 0.26867	 0.51003	 0.51032	 0.99413	 0.84068	 0.62951	 0.46056	 0.31887	 0.19905	 0.09846	 0.03508	-0.03721	-0.06912	-0.11944	-0.17300	-0.19512	-0.20138	-0.17448	-0.13164	-0.06169	 0.00164	 0.06944	 0.14954	 0.24983	 0.10119	  0.6810	-0.038507	 -0.0648	
       2	   6.169	0.018086	  0.8629	 -0.0605	  0.8598	-0.074749	0.013027	  0.8643	2.998E+6	   0.237	 3953.54	   83.69	  254.09	   0.000	 0.04222	 0.01587	-0.01461	-0.05403	-0.10414	-0.17271	-0.25947	-0.35524	-0.46033	-0.56419	-0.66870	-0.77724	-0.87763	-0.96580	-1.04886	-1.12810	-1.18502	-1.22472	-1.25014	-1.28342	-1.29502	-1.31353	-1.31314	-1.32736	-1.40606	-1.37370	-1.36481	-1.42071	-1.48438	-1.47126	-1.43198	-1.41025	-1.42600	-1.45648	-1.46541	-1.37994	-1.21224	-0.92912	-0.37913	-0.08669	-0.08681	 0.96883	 0.97437	 0.83280	 0.67197	 0.52554	 0.39606	 0.28312	 0.19824	 0.11756	 0.07026	 0.00757	-0.05711	-0.09208	-0.11160	-0.09870	-0.06945	-0.01317	 0.03787	 0.09481	 0.16552	 0.24577	 0.03961	  0.8594	-0.079414	 -0.0606	
       3	   8.205	0.027851	  0.9844	 -0.0515	  0.9783	-0.112917	0.017522	  0.9878	2.992E+6	   0.237	 3941.34	   83.58	  250.61	   0.000	-0.06318	-0.09193	-0.10320	-0.11716	-0.13495	-0.16163	-0.20405	-0.27272	-0.37228	-0.48654	-0.60781	-0.73385	-0.85392	-0.96211	-1.06353	-1.15949	-1.23412	-1.29040	-1.33393	-1.38361	-1.41126	-1.44808	-1.46470	-1.50036	-1.59954	-1.58613	-1.59986	-1.68360	-1.78126	-1.80049	-1.79068	-1.81159	-1.86805	-1.98042	-2.07318	-2.06326	-1.96819	-1.73031	-1.10616	-0.79370	-0.79400	 0.83342	 0.99779	 0.94388	 0.81283	 0.67491	 0.54461	 0.42590	 0.33100	 0.24117	 0.18087	 0.10877	 0.03499	-0.01079	-0.04201	-0.04197	-0.02438	 0.01893	 0.05839	 0.10427	 0.16550	 0.22064	-0.07883	  0.9780	-0.122970	 -0.0516	
       4	  10.216	0.055722	  1.0091	 -0.0498	  1.0030	-0.124135	0.031570	  1.0183	2.991E+6	   0.237	 3940.01	   83.59	  249.19	   0.000	-0.23190	-0.28236	-0.29016	-0.29456	-0.29760	-0.30009	-0.29977	-0.29961	-0.30181	-0.31403	-0.34306	-0.40783	-0.53287	-0.69114	-0.84717	-0.98638	-1.10247	-1.19251	-1.26818	-1.34356	-1.39472	-1.45551	-1.49341	-1.55261	-1.66934	-1.67775	-1.71502	-1.82237	-1.94847	-1.99845	-2.01938	-2.07191	-2.17783	-2.34246	-2.51862	-2.57963	-2.55876	-2.37787	-1.71976	-1.40831	-1.40861	 0.66492	 0.96470	 0.98762	 0.89192	 0.76789	 0.64173	 0.52191	 0.42215	 0.32595	 0.25776	 0.17906	 0.09780	 0.04261	 0.00182	-0.00906	-0.00184	 0.03061	 0.05959	 0.09526	 0.14677	 0.16941	-0.22913	  1.0030	-0.148972	 -0.0500	
       5	  11.218	0.079414	  1.0025	 -0.0487	  0.9988	-0.117119	0.040923	  1.0179	2.986E+6	   0.237	 3930.27	   83.52	  250.83	   0.000	-0.28646	-0.33814	-0.34325	-0.34300	-0.34102	-0.33905	-0.33482	-0.33092	-0.32662	-0.32758	-0.33621	-0.35986	-0.41731	-0.52393	-0.67582	-0.83486	-0.97760	-1.09078	-1.18751	-1.27900	-1.34438	-1.41893	-1.46897	-1.54041	-1.66504	-1.68568	-1.73487	-1.85276	-1.99172	-2.05635	-2.09319	-2.16266	-2.28334	-2.47204	-2.69229	-2.78618	-2.80185	-2.65196	-1.98792	-1.68137	-1.68163	 0.57758	 0.93745	 0.99630	 0.91889	 0.80281	 0.67985	 0.56051	 0.45938	 0.36111	 0.28954	 0.20820	 0.12354	 0.06453	 0.01912	 0.00326	 0.00602	 0.03387	 0.05799	 0.08890	 0.13611	 0.14648	-0.27941	  0.9991	-0.157179	 -0.0489	
       6	  12.214	0.113513	  1.0213	 -0.0522	  1.0222	-0.105133	0.054783	  1.0465	2.985E+6	   0.237	 3930.92	   83.55	  200.00	   0.000	-0.34037	-0.38626	-0.38744	-0.38337	-0.37874	-0.37507	-0.37024	-0.36573	-0.36107	-0.35810	-0.35951	-0.36821	-0.40193	-0.47754	-0.60537	-0.75848	-0.90878	-1.03247	-1.14104	-1.24261	-1.31722	-1.40174	-1.46108	-1.54181	-1.67298	-1.70422	-1.76451	-1.89247	-2.04399	-2.12328	-2.17626	-2.26447	-2.39914	-2.60971	-2.88062	-3.00907	-3.06397	-2.94787	-2.27915	-1.97962	-1.97988	 0.47619	 0.90090	 0.99947	 0.94254	 0.83586	 0.71708	 0.59900	 0.49699	 0.39705	 0.32266	 0.23879	 0.15154	 0.08910	 0.03948	 0.01907	 0.01775	 0.04099	 0.06090	 0.08769	 0.13127	 0.13118	-0.31551	  1.0232	-0.166718	 -0.0525	
