   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   4.102	0.014795	  0.6791	 -0.0641	  0.6784	-0.033816	0.009631	  0.6801	2.987E+6	   0.238	 3938.96	   83.87	  229.19	   0.000	 0.09626	 0.06019	 0.01532	-0.04004	-0.10477	-0.18307	-0.27154	-0.36224	-0.45829	-0.55106	-0.64446	-0.74043	-0.82670	-0.90058	-0.96939	-1.03514	-1.07708	-1.10249	-1.11286	-1.13142	-1.13056	-1.13469	-1.12568	-1.12405	-1.10057	-1.07714	-1.05537	-1.08024	-1.10774	-1.06053	-0.99165	-1.04494	-1.01574	-0.95039	-0.87671	-0.71939	-0.49419	-0.18608	 0.26597	 0.51217	 0.51299	 0.99394	 0.83535	 0.61449	 0.43351	 0.32359	 0.21148	 0.10744	 0.04840	-0.02328	-0.08112	-0.12585	-0.17759	-0.19857	-0.20433	-0.17741	-0.13405	-0.06360	-0.00013	 0.06736	 0.14634	 0.24803	 0.09395	  0.6780	-0.038717	 -0.0642	
       2	   6.167	0.018893	  0.8458	 -0.0583	  0.8429	-0.072075	0.012735	  0.8474	2.996E+6	   0.239	 3969.46	   84.21	  230.84	   0.000	 0.02321	-0.00273	-0.02726	-0.05914	-0.10087	-0.16224	-0.24430	-0.33827	-0.44378	-0.54843	-0.65474	-0.76382	-0.86454	-0.95375	-1.03720	-1.11748	-1.17446	-1.21452	-1.24015	-1.27384	-1.28716	-1.30865	-1.31486	-1.33235	-1.32512	-1.31939	-1.31882	-1.36998	-1.42897	-1.41150	-1.37434	-1.46988	-1.49165	-1.49017	-1.48533	-1.38393	-1.20598	-0.91322	-0.35978	-0.05826	-0.05800	 0.97468	 0.97077	 0.81781	 0.64734	 0.52198	 0.39504	 0.28210	 0.20675	 0.12288	 0.05329	-0.00409	-0.06691	-0.10045	-0.11953	-0.10654	-0.07600	-0.01951	 0.03221	 0.08843	 0.15819	 0.23864	 0.01788	  0.8425	-0.077886	 -0.0585	
       3	   8.203	0.036803	  0.9535	 -0.0500	  0.9490	-0.099611	0.018891	  0.9594	2.991E+6	   0.239	 3957.54	   84.11	  229.24	   0.000	-0.08320	-0.11804	-0.12627	-0.13834	-0.15067	-0.17067	-0.20333	-0.25891	-0.34703	-0.45504	-0.57481	-0.70027	-0.82062	-0.93036	-1.03255	-1.12969	-1.20480	-1.26180	-1.30550	-1.35590	-1.38514	-1.42486	-1.44764	-1.48535	-1.49586	-1.50904	-1.53096	-1.60739	-1.69732	-1.71122	-1.71042	-1.85757	-1.91321	-1.96454	-2.06123	-2.03040	-1.91990	-1.67047	-1.04959	-0.72248	-0.72270	 0.85394	 1.00000	 0.93227	 0.79113	 0.66592	 0.53649	 0.41784	 0.33149	 0.24045	 0.16137	 0.09377	 0.02191	-0.02266	-0.05342	-0.05314	-0.03428	 0.00931	 0.04933	 0.09500	 0.15562	 0.21117	-0.11238	  0.9488	-0.117458	 -0.0501	
       4	  10.216	0.061312	  1.0040	 -0.0494	  0.9989	-0.117716	0.032460	  1.0149	2.994E+6	   0.239	 3969.55	   84.26	  230.85	   0.000	-0.22844	-0.27850	-0.28485	-0.28818	-0.29055	-0.29245	-0.29324	-0.29438	-0.29870	-0.31293	-0.35040	-0.43162	-0.56843	-0.72354	-0.87025	-1.00308	-1.11287	-1.19897	-1.27092	-1.34456	-1.39554	-1.45751	-1.49995	-1.55975	-1.58998	-1.62351	-1.66922	-1.76895	-1.88705	-1.93236	-1.96847	-2.16093	-2.26216	-2.35816	-2.54311	-2.58844	-2.55351	-2.36211	-1.70518	-1.37247	-1.37318	 0.68077	 0.97188	 0.98449	 0.88111	 0.76518	 0.64007	 0.51981	 0.42529	 0.33002	 0.24605	 0.17106	 0.09107	 0.03747	-0.00320	-0.01401	-0.00569	 0.02687	 0.05660	 0.09222	 0.14355	 0.16932	-0.23048	  0.9990	-0.147374	 -0.0496	
       5	  11.222	0.064371	  1.0114	 -0.0455	  1.0046	-0.133691	0.037436	  1.0222	2.983E+6	   0.238	 3944.95	   84.02	  229.24	   0.000	-0.28591	-0.32783	-0.32834	-0.32538	-0.32214	-0.31970	-0.31606	-0.31275	-0.30991	-0.31150	-0.32239	-0.35188	-0.43183	-0.57286	-0.73669	-0.89272	-1.02679	-1.13310	-1.22363	-1.31212	-1.37653	-1.45135	-1.50512	-1.57702	-1.61817	-1.66281	-1.72100	-1.83217	-1.96427	-2.02576	-2.08102	-2.29467	-2.41899	-2.53718	-2.76338	-2.85039	-2.85559	-2.69772	-2.03033	-1.69906	-1.69990	 0.57974	 0.94164	 0.99561	 0.91303	 0.80353	 0.68146	 0.56152	 0.46443	 0.36631	 0.27688	 0.19949	 0.11928	 0.06136	 0.01558	-0.00046	 0.00293	 0.03085	 0.05565	 0.08639	 0.13343	 0.14633	-0.27319	  1.0048	-0.161783	 -0.0457	
       6	  12.224	0.108961	  1.0220	 -0.0460	  1.0219	-0.109911	0.047038	  1.0486	2.987E+6	   0.239	 3957.53	   84.18	  280.00	   0.000	-0.32002	-0.35694	-0.35493	-0.34948	-0.34432	-0.34028	-0.33644	-0.33269	-0.32875	-0.32753	-0.33261	-0.34739	-0.39125	-0.48784	-0.63425	-0.79435	-0.94200	-1.06248	-1.16748	-1.26766	-1.34316	-1.42898	-1.49283	-1.57552	-1.62709	-1.68212	-1.75252	-1.87390	-2.01865	-2.09652	-2.17145	-2.40460	-2.55136	-2.69548	-2.95412	-3.09103	-3.13913	-3.02077	-2.35163	-2.02663	-2.02772	 0.46683	 0.90112	 0.99999	 0.94104	 0.84058	 0.72372	 0.60594	 0.50820	 0.40892	 0.31610	 0.23438	 0.15438	 0.09264	 0.04384	 0.02372	 0.02310	 0.04662	 0.06559	 0.09141	 0.13483	 0.13811	-0.29732	  1.0228	-0.174680	 -0.0463	
       7	  13.226	0.106065	  1.0382	 -0.0455	  1.0349	-0.134285	0.055429	  1.0609	2.975E+6	   0.238	 3926.11	   83.85	  280.00	   0.000	-0.34524	-0.38691	-0.38664	-0.38049	-0.37376	-0.36804	-0.36148	-0.35557	-0.34970	-0.34598	-0.34754	-0.35350	-0.37571	-0.42788	-0.53198	-0.68098	-0.84274	-0.98207	-1.10739	-1.22342	-1.31305	-1.41249	-1.48800	-1.58289	-1.64557	-1.71223	-1.79506	-1.92785	-2.08574	-2.18025	-2.27514	-2.52759	-2.69732	-2.86842	-3.15317	-3.34396	-3.43537	-3.35556	-2.68383	-2.36538	-2.36660	 0.34781	 0.85475	 0.99898	 0.96155	 0.86983	 0.75733	 0.64118	 0.54225	 0.44147	 0.34601	 0.26119	 0.17803	 0.10964	 0.05525	 0.03060	 0.02697	 0.04297	 0.06578	 0.08921	 0.13032	 0.12742	-0.32909	  1.0358	-0.187966	 -0.0458	
       8	  14.233	0.147798	  1.0494	 -0.0484	  1.0535	-0.114749	0.069060	  1.0871	3.007E+6	   0.241	 4013.04	   84.81	  280.00	   0.000	-0.38147	-0.41427	-0.41098	-0.40470	-0.39735	-0.39109	-0.38507	-0.37971	-0.37450	-0.37069	-0.37047	-0.37316	-0.38609	-0.41821	-0.48705	-0.60605	-0.75905	-0.90425	-1.04073	-1.16788	-1.26801	-1.37883	-1.46374	-1.56881	-1.64246	-1.71941	-1.81419	-1.95671	-2.12649	-2.23727	-2.35213	-2.62140	-2.81364	-3.01334	-3.31345	-3.56047	-3.69429	-3.65494	-2.99307	-2.68425	-2.68565	 0.22360	 0.80102	 0.99245	 0.97774	 0.89674	 0.79049	 0.67757	 0.57870	 0.47781	 0.38115	 0.29439	 0.20883	 0.13721	 0.07897	 0.04938	 0.04127	 0.04897	 0.07128	 0.09370	 0.12908	 0.12383	-0.35097	  1.0553	-0.198657	 -0.0487	
       9	  15.235	0.164720	  1.0645	 -0.0517	  1.0704	-0.120799	0.083742	  1.1052	2.997E+6	   0.240	 3990.11	   84.59	  280.00	   0.000	-0.40906	-0.44446	-0.44320	-0.43707	-0.42962	-0.42255	-0.41550	-0.40968	-0.40390	-0.39981	-0.39846	-0.39784	-0.40559	-0.42530	-0.46704	-0.54742	-0.67508	-0.81763	-0.96494	-1.10505	-1.21784	-1.34134	-1.43740	-1.55316	-1.63783	-1.72600	-1.83264	-1.98502	-2.16553	-2.29216	-2.42667	-2.71051	-2.92351	-3.14902	-3.47623	-3.76410	-3.94365	-3.94476	-3.29093	-2.99333	-2.99489	 0.09971	 0.74527	 0.98111	 0.98834	 0.91770	 0.81698	 0.70686	 0.60799	 0.50698	 0.40889	 0.32003	 0.23203	 0.15763	 0.09609	 0.06292	 0.05134	 0.05474	 0.07286	 0.09268	 0.12035	 0.11658	-0.38185	  1.0727	-0.208066	 -0.0521	
      10	  16.224	0.218097	  1.0379	 -0.0565	  1.0575	-0.080558	0.101550	  1.0993	2.997E+6	   0.240	 3991.90	   84.65	  280.00	   0.000	-0.43922	-0.46970	-0.46935	-0.46428	-0.45671	-0.44942	-0.44163	-0.43514	-0.42837	-0.42245	-0.41948	-0.41601	-0.41834	-0.42619	-0.44503	-0.48296	-0.55829	-0.66951	-0.81086	-0.95973	-1.08698	-1.22596	-1.33471	-1.46360	-1.56063	-1.66102	-1.77923	-1.93894	-2.12737	-2.26836	-2.42007	-2.70993	-2.93913	-3.18420	-3.52552	-3.84566	-4.06374	-4.10141	-3.46255	-3.18626	-3.18780	 0.00870	 0.70039	 0.96964	 0.99475	 0.93353	 0.83862	 0.73177	 0.63396	 0.53325	 0.43491	 0.34475	 0.25512	 0.17864	 0.11435	 0.07796	 0.06316	 0.06240	 0.07702	 0.09350	 0.11889	 0.10974	-0.40162	  1.0613	-0.207044	 -0.0570	
      11	   9.213	0.055591	  0.9985	 -0.0495	  0.9946	-0.104996	0.025891	  1.0093	3.005E+6	   0.241	 4019.56	   84.87	  230.79	   0.000	-0.12875	-0.17425	-0.17884	-0.18733	-0.19642	-0.20656	-0.22525	-0.25836	-0.31858	-0.40787	-0.52208	-0.65006	-0.77846	-0.89825	-1.00989	-1.11547	-1.19961	-1.26527	-1.31812	-1.37665	-1.41407	-1.46281	-1.49365	-1.54122	-1.56048	-1.58299	-1.61635	-1.70449	-1.80886	-1.83832	-1.85590	-2.02755	-2.10597	-2.18002	-2.32275	-2.33050	-2.25762	-2.03636	-1.39280	-1.06077	-1.06076	 0.76928	 0.99158	 0.96496	 0.84285	 0.72188	 0.59432	 0.47444	 0.38358	 0.29111	 0.20878	 0.13710	 0.06115	 0.01202	-0.02363	-0.02884	-0.01518	 0.02282	 0.05775	 0.09868	 0.15527	 0.20019	-0.16642	  0.9945	-0.135065	 -0.0497	
      12	   7.178	0.022949	  0.9065	 -0.0536	  0.9023	-0.090505	0.014901	  0.9090	3.006E+6	   0.241	 4022.88	   84.89	  229.23	   0.000	-0.02982	-0.05601	-0.07074	-0.08918	-0.11330	-0.15130	-0.21230	-0.29686	-0.40347	-0.51479	-0.62965	-0.74731	-0.85720	-0.95572	-1.04780	-1.13610	-1.20154	-1.24972	-1.28394	-1.32570	-1.34662	-1.37699	-1.39118	-1.41850	-1.41992	-1.42341	-1.43380	-1.49775	-1.57250	-1.57040	-1.55091	-1.67246	-1.70751	-1.74108	-1.78079	-1.71201	-1.56514	-1.29088	-0.69871	-0.38149	-0.38112	 0.92492	 0.99587	 0.88356	 0.72589	 0.59898	 0.46961	 0.35324	 0.27196	 0.18379	 0.10908	 0.04620	-0.02118	-0.06038	-0.08544	-0.07891	-0.05423	-0.00423	 0.04140	 0.09246	 0.15753	 0.22545	-0.03990	  0.9019	-0.098243	 -0.0538	
      13	   5.132	0.016403	  0.7678	 -0.0618	  0.7662	-0.052339	0.011026	  0.7691	3.007E+6	   0.241	 4025.31	   84.92	  230.84	   0.000	 0.06498	 0.03543	-0.00000	-0.04551	-0.10229	-0.17629	-0.26449	-0.35801	-0.45895	-0.55728	-0.65661	-0.75905	-0.85211	-0.93329	-1.00919	-1.08217	-1.13130	-1.16404	-1.18170	-1.20764	-1.21353	-1.22627	-1.22470	-1.23226	-1.21665	-1.20182	-1.19015	-1.22798	-1.27103	-1.23831	-1.18398	-1.25610	-1.25679	-1.21838	-1.17689	-1.04475	-0.83876	-0.53445	-0.02781	 0.24941	 0.25060	 0.99941	 0.91799	 0.72748	 0.54875	 0.42897	 0.30787	 0.19881	 0.13074	 0.05241	-0.01154	-0.06285	-0.12039	-0.14778	-0.16037	-0.14048	-0.10360	-0.04016	 0.01740	 0.07929	 0.15381	 0.24571	 0.06152	  0.7657	-0.057393	 -0.0620	
      14	   3.074	0.013578	  0.5795	 -0.0656	  0.5794	-0.017516	0.008979	  0.5803	3.010E+6	   0.241	 4032.37	   84.99	  229.21	   0.000	 0.12140	 0.07674	 0.02461	-0.03658	-0.10502	-0.18399	-0.27071	-0.35793	-0.44919	-0.53660	-0.62416	-0.71423	-0.79362	-0.86040	-0.92211	-0.98090	-1.01540	-1.03410	-1.03698	-1.04803	-1.04036	-1.03617	-1.01963	-1.00876	-0.97751	-0.94558	-0.91370	-0.92547	-0.93718	-0.87624	-0.79636	-0.82714	-0.76952	-0.67926	-0.57744	-0.39897	-0.16106	 0.14042	 0.52804	 0.73340	 0.73479	 0.94404	 0.71319	 0.46949	 0.29368	 0.19928	 0.09993	 0.00290	-0.04480	-0.10889	-0.15941	-0.19648	-0.24178	-0.25534	-0.25373	-0.21886	-0.16857	-0.09035	-0.02059	 0.05268	 0.13644	 0.24755	 0.11985	  0.5790	-0.021926	 -0.0657	
      15	   1.027	0.012288	  0.3664	 -0.0663	  0.3665	0.005720	0.007614	  0.3668	3.004E+6	   0.240	 4018.27	   84.84	  230.78	   0.000	 0.15455	 0.09433	 0.03637	-0.02784	-0.09642	-0.17167	-0.25250	-0.33209	-0.41389	-0.49107	-0.56748	-0.64600	-0.71242	-0.76555	-0.81391	-0.85897	-0.87956	-0.88539	-0.87478	-0.87216	-0.85232	-0.83253	-0.80284	-0.77526	-0.73045	-0.68346	-0.63437	-0.62191	-0.60629	-0.52354	-0.43317	-0.40334	-0.31468	-0.18881	-0.04829	 0.15089	 0.38569	 0.64173	 0.88149	 0.97799	 0.97957	 0.68513	 0.35723	 0.10000	-0.03956	-0.08569	-0.15161	-0.22749	-0.24885	-0.29325	-0.32653	-0.34630	-0.37676	-0.37451	-0.35679	-0.30535	-0.24037	-0.14660	-0.06388	 0.02101	 0.11322	 0.23943	 0.15379	  0.3662	0.001117	 -0.0664	
      16	  -0.013	0.011823	  0.2545	 -0.0659	  0.2545	0.011882	0.007003	  0.2547	3.004E+6	   0.240	 4019.17	   84.85	  229.13	   0.000	 0.16515	 0.09921	 0.04115	-0.02210	-0.08901	-0.16132	-0.23862	-0.31419	-0.39115	-0.46347	-0.53427	-0.60709	-0.66727	-0.71391	-0.75563	-0.79402	-0.80824	-0.80788	-0.79108	-0.78219	-0.75674	-0.72974	-0.69412	-0.65921	-0.60848	-0.55474	-0.49812	-0.47542	-0.44765	-0.35688	-0.25798	-0.20754	-0.10807	 0.02871	 0.18036	 0.37881	 0.59778	 0.81356	 0.97067	 0.99869	 1.00000	 0.47132	 0.11861	-0.12634	-0.23537	-0.24681	-0.29227	-0.35469	-0.35990	-0.39266	-0.41592	-0.42579	-0.44789	-0.43688	-0.41044	-0.35021	-0.27753	-0.17568	-0.08635	 0.00458	 0.10042	 0.23247	 0.16462	  0.2543	0.007103	 -0.0660	
      17	  -2.058	0.011933	  0.0264	 -0.0643	  0.0260	0.012874	0.006404	  0.0262	3.005E+6	   0.241	 4022.60	   84.90	  230.19	   0.000	 0.17850	 0.10598	 0.05120	-0.00783	-0.06998	-0.13552	-0.20537	-0.27273	-0.34023	-0.40260	-0.46345	-0.52425	-0.57241	-0.60664	-0.63596	-0.66174	-0.66394	-0.65241	-0.62419	-0.60350	-0.56826	-0.52837	-0.48257	-0.43449	-0.37433	-0.30857	-0.24095	-0.20033	-0.15059	-0.04990	 0.06404	 0.14183	 0.25542	 0.40104	 0.55512	 0.72906	 0.88817	 0.98873	 0.98042	 0.84610	 0.84736	-0.12694	-0.47860	-0.66017	-0.68004	-0.60819	-0.60051	-0.62822	-0.59672	-0.60190	-0.60256	-0.59049	-0.59365	-0.56387	-0.51860	-0.43976	-0.35108	-0.23261	-0.13010	-0.02798	 0.07435	 0.21454	 0.17750	  0.0259	0.007397	 -0.0643	
