   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.001	0.012065	  0.2531	 -0.0656	  0.2531	0.012061	0.006913	  0.2534	2.985E+6	   0.237	 3908.63	   83.44	  190.80	   0.000	 0.16382	 0.09830	 0.04052	-0.02233	-0.08911	-0.16116	-0.23832	-0.31369	-0.38985	-0.46262	-0.53352	-0.60608	-0.66613	-0.71216	-0.75384	-0.79232	-0.80690	-0.80738	-0.78957	-0.78206	-0.75489	-0.72777	-0.69182	-0.65817	-0.60707	-0.55310	-0.49700	-0.47550	-0.44758	-0.35657	-0.26523	-0.20770	-0.10803	 0.02686	 0.17978	 0.37511	 0.59591	 0.81310	 0.97078	 0.99900	 1.00000	 0.46842	 0.11846	-0.12678	-0.24751	-0.25872	-0.29173	-0.35370	-0.35970	-0.39011	-0.41549	-0.42547	-0.44712	-0.43688	-0.40979	-0.35007	-0.27762	-0.17638	-0.08693	 0.00395	 0.09943	 0.23011	 0.16253	  0.2530	0.006946	 -0.0657	
       2	   2.056	0.012943	  0.4721	 -0.0658	  0.4722	-0.003998	0.008179	  0.4727	2.981E+6	   0.237	 3901.43	   83.38	  189.19	   0.000	 0.13798	 0.08583	 0.03021	-0.03271	-0.10162	-0.17876	-0.26250	-0.34573	-0.43136	-0.51417	-0.59592	-0.67996	-0.75257	-0.81181	-0.86667	-0.91852	-0.94618	-0.95896	-0.95410	-0.95954	-0.94395	-0.93142	-0.90773	-0.88945	-0.85111	-0.81096	-0.76981	-0.77075	-0.76839	-0.69658	-0.61382	-0.60752	-0.53435	-0.42640	-0.30128	-0.11501	 0.12878	 0.41492	 0.73336	 0.88955	 0.89071	 0.84090	 0.55376	 0.29698	 0.12702	 0.05442	-0.02203	-0.10860	-0.14485	-0.19765	-0.24148	-0.27032	-0.30823	-0.31482	-0.30482	-0.26219	-0.20503	-0.11960	-0.04320	 0.03602	 0.12381	 0.24212	 0.13613	  0.4719	-0.008644	 -0.0659	
       3	   4.105	0.015214	  0.6743	 -0.0635	  0.6737	-0.033092	0.009536	  0.6755	2.995E+6	   0.238	 3944.75	   83.87	  190.85	   0.000	 0.09346	 0.05805	 0.01405	-0.04022	-0.10406	-0.18146	-0.26946	-0.35983	-0.45498	-0.54827	-0.64152	-0.73743	-0.82339	-0.89663	-0.96531	-1.03139	-1.07320	-1.09958	-1.10901	-1.12891	-1.12635	-1.13001	-1.12023	-1.11966	-1.09636	-1.07260	-1.04937	-1.07627	-1.10426	-1.05782	-0.99916	-1.03111	-1.00872	-0.94750	-0.87179	-0.72372	-0.49322	-0.18441	 0.27012	 0.51559	 0.51639	 0.99317	 0.83304	 0.61167	 0.42497	 0.31572	 0.20483	 0.10534	 0.04562	-0.02401	-0.08296	-0.12784	-0.17941	-0.20078	-0.20611	-0.17914	-0.13607	-0.06586	-0.00210	 0.06555	 0.14446	 0.24589	 0.09009	  0.6732	-0.038519	 -0.0636	
       4	   6.159	0.019521	  0.8384	 -0.0577	  0.8357	-0.070537	0.012659	  0.8403	2.994E+6	   0.238	 3951.09	   83.97	  189.24	   0.000	 0.01935	-0.00588	-0.03002	-0.06142	-0.10201	-0.16117	-0.24178	-0.33481	-0.43917	-0.54419	-0.65018	-0.75906	-0.85944	-0.94775	-1.03096	-1.11135	-1.16821	-1.20907	-1.23358	-1.26870	-1.28012	-1.30091	-1.30631	-1.32409	-1.31750	-1.31152	-1.30816	-1.36146	-1.42140	-1.40501	-1.37675	-1.45880	-1.47929	-1.47897	-1.47162	-1.38401	-1.19768	-0.90437	-0.34730	-0.04836	-0.04818	 0.97550	 0.96839	 0.81417	 0.63935	 0.51404	 0.38891	 0.27766	 0.20222	 0.11996	 0.04995	-0.00787	-0.07030	-0.10418	-0.12286	-0.10959	-0.07929	-0.02282	 0.02916	 0.08582	 0.15556	 0.23577	 0.01497	  0.8352	-0.077077	 -0.0578	
       5	   6.159	0.019541	  0.8381	 -0.0577	  0.8354	-0.070488	0.012669	  0.8400	2.993E+6	   0.238	 3951.15	   83.99	  190.77	   0.000	 0.01957	-0.00566	-0.02988	-0.06139	-0.10196	-0.16105	-0.24160	-0.33464	-0.43896	-0.54403	-0.65000	-0.75882	-0.85925	-0.94761	-1.03074	-1.11101	-1.16796	-1.20883	-1.23340	-1.26850	-1.27986	-1.30064	-1.30603	-1.32387	-1.31730	-1.31119	-1.30779	-1.36109	-1.42103	-1.40454	-1.37633	-1.45841	-1.47885	-1.47833	-1.47082	-1.38319	-1.19665	-0.90331	-0.34624	-0.04746	-0.04722	 0.97562	 0.96832	 0.81401	 0.63915	 0.51384	 0.38869	 0.27747	 0.20209	 0.11986	 0.04980	-0.00796	-0.07041	-0.10424	-0.12288	-0.10958	-0.07933	-0.02284	 0.02916	 0.08585	 0.15561	 0.23584	 0.01481	  0.8350	-0.077039	 -0.0578	
       6	   8.202	0.036130	  0.9458	 -0.0489	  0.9413	-0.099170	0.018328	  0.9517	3.000E+6	   0.239	 3977.55	   84.30	  189.16	   0.000	-0.08901	-0.11996	-0.12648	-0.13699	-0.14932	-0.16893	-0.19964	-0.25245	-0.33877	-0.44775	-0.56853	-0.69475	-0.81549	-0.92469	-1.02676	-1.12407	-1.19921	-1.25711	-1.29945	-1.35161	-1.37902	-1.41798	-1.43999	-1.47747	-1.48878	-1.50245	-1.52051	-1.59935	-1.69060	-1.70661	-1.71445	-1.84523	-1.91023	-1.96584	-2.04651	-2.03317	-1.91177	-1.66270	-1.03525	-0.71206	-0.71236	 0.85622	 1.00000	 0.92994	 0.78553	 0.65962	 0.53167	 0.41364	 0.32551	 0.23711	 0.15757	 0.08968	 0.01815	-0.02673	-0.05721	-0.05660	-0.03802	 0.00571	 0.04588	 0.09201	 0.15254	 0.20751	-0.10746	  0.9411	-0.116925	 -0.0491	
       7	  10.222	0.066115	  1.0102	 -0.0481	  1.0059	-0.114216	0.032371	  1.0231	3.002E+6	   0.240	 3984.91	   84.41	  190.76	   0.000	-0.20550	-0.25424	-0.25876	-0.26267	-0.26764	-0.27164	-0.27636	-0.28339	-0.29771	-0.33004	-0.39146	-0.49225	-0.63018	-0.77444	-0.91012	-1.03489	-1.13807	-1.21982	-1.28571	-1.35851	-1.40537	-1.46457	-1.50502	-1.56284	-1.59288	-1.62720	-1.66760	-1.76948	-1.88916	-1.93750	-1.98302	-2.15824	-2.26385	-2.38044	-2.54155	-2.60612	-2.55905	-2.37093	-1.70433	-1.37706	-1.37781	 0.68051	 0.97144	 0.98393	 0.87888	 0.76229	 0.63768	 0.51870	 0.42291	 0.32980	 0.24489	 0.16917	 0.09003	 0.03620	-0.00399	-0.01435	-0.00615	 0.02662	 0.05682	 0.09334	 0.14531	 0.17493	-0.22813	  1.0060	-0.148839	 -0.0483	
       8	  11.223	0.053421	  1.0199	 -0.0452	  1.0108	-0.146100	0.037593	  1.0262	2.985E+6	   0.238	 3948.19	   84.04	  150.00	   0.000	-0.27694	-0.32164	-0.32314	-0.32164	-0.31974	-0.31857	-0.31642	-0.31433	-0.31229	-0.31701	-0.33264	-0.37120	-0.46220	-0.60606	-0.76654	-0.91815	-1.04862	-1.15261	-1.23895	-1.32769	-1.38874	-1.46181	-1.51407	-1.58439	-1.62583	-1.67160	-1.72444	-1.83800	-1.97194	-2.03658	-2.10231	-2.29789	-2.42614	-2.57036	-2.76943	-2.87374	-2.86519	-2.71078	-2.03103	-1.70584	-1.70677	 0.58080	 0.94227	 0.99524	 0.91041	 0.79975	 0.67756	 0.55853	 0.46013	 0.36381	 0.27629	 0.19774	 0.11439	 0.05612	 0.01108	-0.00472	-0.00130	 0.02672	 0.05223	 0.08386	 0.13145	 0.14644	-0.27584	  1.0109	-0.162732	 -0.0454	
       9	  11.224	0.053502	  1.0173	 -0.0453	  1.0083	-0.145529	0.037476	  1.0236	2.981E+6	   0.238	 3943.69	   84.02	  189.20	   0.000	-0.27768	-0.32288	-0.32500	-0.32364	-0.32189	-0.32029	-0.31781	-0.31586	-0.31342	-0.31772	-0.33180	-0.36716	-0.45306	-0.59370	-0.75456	-0.90782	-1.04010	-1.14560	-1.23309	-1.32258	-1.38428	-1.45786	-1.51064	-1.58120	-1.62291	-1.66891	-1.72202	-1.83553	-1.96967	-2.03440	-2.10009	-2.29539	-2.42395	-2.56832	-2.76734	-2.87141	-2.86293	-2.70865	-2.02935	-1.70398	-1.70488	 0.58125	 0.94239	 0.99535	 0.91043	 0.79976	 0.67750	 0.55853	 0.46013	 0.36378	 0.27629	 0.19776	 0.11443	 0.05609	 0.01106	-0.00478	-0.00136	 0.02669	 0.05218	 0.08379	 0.13127	 0.14608	-0.27563	  1.0083	-0.162377	 -0.0454	
