   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.005	0.012741	  0.2540	 -0.0659	  0.2540	0.012720	0.007008	  0.2543	2.969E+6	   0.237	 3886.96	   83.30	  260.89	   0.000	 0.16401	 0.09853	 0.04067	-0.02246	-0.08945	-0.16178	-0.23915	-0.31471	-0.39081	-0.46326	-0.53452	-0.60766	-0.66758	-0.71368	-0.75512	-0.79449	-0.80809	-0.80891	-0.79226	-0.78301	-0.75684	-0.73054	-0.69539	-0.65991	-0.60919	-0.55462	-0.49896	-0.48079	-0.45350	-0.37066	-0.26891	-0.19535	-0.10259	 0.02448	 0.17789	 0.37578	 0.59503	 0.81063	 0.96893	 0.99967	 1.00000	 0.48968	 0.14705	-0.09364	-0.18569	-0.27145	-0.33416	-0.38806	-0.39255	-0.41099	-0.40780	-0.41955	-0.44168	-0.43244	-0.40662	-0.34634	-0.27509	-0.17336	-0.08580	 0.00557	 0.09988	 0.22709	 0.16398	  0.2538	0.007024	 -0.0660	
       2	   2.056	0.013460	  0.4734	 -0.0660	  0.4736	-0.003529	0.007990	  0.4741	2.984E+6	   0.238	 3931.65	   83.80	  259.11	   0.000	 0.13994	 0.08720	 0.03129	-0.03232	-0.10168	-0.17933	-0.26350	-0.34700	-0.43265	-0.51502	-0.59731	-0.68204	-0.75452	-0.81380	-0.86847	-0.92124	-0.94793	-0.96127	-0.95732	-0.96114	-0.94631	-0.93490	-0.91182	-0.89173	-0.85351	-0.81289	-0.77177	-0.77715	-0.77677	-0.70691	-0.63229	-0.59228	-0.52765	-0.42972	-0.30415	-0.11231	 0.12878	 0.41264	 0.72938	 0.88633	 0.88715	 0.85053	 0.57201	 0.32083	 0.17289	 0.04639	-0.05101	-0.13818	-0.17239	-0.21492	-0.23420	-0.26475	-0.30340	-0.31074	-0.30203	-0.25881	-0.20269	-0.11693	-0.04216	 0.03756	 0.12442	 0.23918	 0.13941	  0.4732	-0.008884	 -0.0661	
       3	   4.102	0.015351	  0.6765	 -0.0636	  0.6758	-0.033072	0.009142	  0.6777	2.978E+6	   0.238	 3923.11	   83.73	  260.86	   0.000	 0.09692	 0.06043	 0.01582	-0.03927	-0.10397	-0.18236	-0.27106	-0.36192	-0.45716	-0.55020	-0.64385	-0.74033	-0.82620	-0.89949	-0.96798	-1.03477	-1.07582	-1.10275	-1.11302	-1.13139	-1.12955	-1.13440	-1.12515	-1.12293	-1.09931	-1.07542	-1.05259	-1.08384	-1.11475	-1.07218	-1.01707	-1.02876	-1.00411	-0.95236	-0.87678	-0.71956	-0.49319	-0.18600	 0.26565	 0.51040	 0.51071	 0.99463	 0.84303	 0.62770	 0.45766	 0.31041	 0.19041	 0.08221	 0.02317	-0.03832	-0.07645	-0.12273	-0.17523	-0.19730	-0.20374	-0.17641	-0.13419	-0.06366	-0.00139	 0.06697	 0.14507	 0.24342	 0.09411	  0.6754	-0.039030	 -0.0637	
       4	   6.171	0.019378	  0.8444	 -0.0579	  0.8416	-0.071498	0.012055	  0.8464	2.986E+6	   0.239	 3952.04	   84.08	  259.11	   0.000	 0.02328	-0.00300	-0.02845	-0.06158	-0.10234	-0.16135	-0.24302	-0.33724	-0.44210	-0.54718	-0.65391	-0.76350	-0.86400	-0.95266	-1.03601	-1.11728	-1.17360	-1.21509	-1.24080	-1.27446	-1.28686	-1.30933	-1.31516	-1.33198	-1.32465	-1.31880	-1.31699	-1.37607	-1.43953	-1.42779	-1.38999	-1.46765	-1.49088	-1.49758	-1.48959	-1.38967	-1.20984	-0.91763	-0.36200	-0.06336	-0.06385	 0.97116	 0.97378	 0.82693	 0.66511	 0.51430	 0.38387	 0.26370	 0.18238	 0.11056	 0.05810	-0.00089	-0.06462	-0.09932	-0.11908	-0.10578	-0.07635	-0.01985	 0.03069	 0.08793	 0.15690	 0.23465	 0.01818	  0.8412	-0.078492	 -0.0581	
       5	   8.199	0.033338	  0.9559	 -0.0500	  0.9509	-0.103337	0.018155	  0.9610	2.980E+6	   0.238	 3939.72	   83.97	  260.87	   0.000	-0.07985	-0.11188	-0.11971	-0.13126	-0.14570	-0.17017	-0.20772	-0.26444	-0.35375	-0.46354	-0.58398	-0.70957	-0.82855	-0.93650	-1.03766	-1.13513	-1.20891	-1.26673	-1.31004	-1.35995	-1.38801	-1.42857	-1.45063	-1.48687	-1.49724	-1.51003	-1.53065	-1.61531	-1.71258	-1.73104	-1.72908	-1.84561	-1.93085	-2.00064	-2.06651	-2.03724	-1.92371	-1.67346	-1.04672	-0.72375	-0.72478	 0.84760	 1.00000	 0.93680	 0.80242	 0.66040	 0.52830	 0.40316	 0.30956	 0.22842	 0.16449	 0.09534	 0.02274	-0.02269	-0.05398	-0.05319	-0.03531	 0.00861	 0.04779	 0.09486	 0.15499	 0.20946	-0.10019	  0.9507	-0.118412	 -0.0501	
       6	  10.232	0.058070	  1.0404	 -0.0491	  1.0342	-0.127677	0.032381	  1.0504	2.980E+6	   0.238	 3943.90	   84.04	  259.35	   0.000	-0.18183	-0.23612	-0.23821	-0.24296	-0.24951	-0.25493	-0.26248	-0.27748	-0.30650	-0.36099	-0.45172	-0.57353	-0.71138	-0.84516	-0.97087	-1.08885	-1.18447	-1.26178	-1.32569	-1.39341	-1.43905	-1.49846	-1.53809	-1.59377	-1.62285	-1.65458	-1.69879	-1.80714	-1.93622	-1.98762	-2.02691	-2.13997	-2.33173	-2.46111	-2.59992	-2.64802	-2.61340	-2.42374	-1.75195	-1.42265	-1.42432	 0.65827	 0.96477	 0.98823	 0.89325	 0.76738	 0.63983	 0.51437	 0.41467	 0.32529	 0.25343	 0.17669	 0.09647	 0.04199	 0.00101	-0.00926	-0.00182	 0.03117	 0.06059	 0.09827	 0.15030	 0.18173	-0.21469	  1.0343	-0.153954	 -0.0493	
       7	  12.231	0.086716	  1.0510	 -0.0461	  1.0455	-0.137901	0.046302	  1.0683	2.968E+6	   0.238	 3915.57	   83.77	  260.83	   0.000	-0.30831	-0.35386	-0.35329	-0.34847	-0.34358	-0.34013	-0.33654	-0.33406	-0.33175	-0.33378	-0.34388	-0.36744	-0.42948	-0.54593	-0.69873	-0.85576	-0.99683	-1.11336	-1.21421	-1.31138	-1.38353	-1.46870	-1.53150	-1.61058	-1.66174	-1.71560	-1.78481	-1.91452	-2.07347	-2.15773	-2.23751	-2.39780	-2.56284	-2.84020	-3.03440	-3.15688	-3.20483	-3.08662	-2.39655	-2.07546	-2.07772	 0.44309	 0.89133	 0.99999	 0.94783	 0.84135	 0.72213	 0.59922	 0.49661	 0.40148	 0.32406	 0.24116	 0.15470	 0.09217	 0.04209	 0.02180	 0.01997	 0.04291	 0.06279	 0.09083	 0.13382	 0.13753	-0.29976	  1.0461	-0.180309	 -0.0463	
       8	  14.242	0.122226	  1.0643	 -0.0458	  1.0617	-0.143376	0.066308	  1.0909	2.955E+6	   0.237	 3885.47	   83.49	  220.00	   0.000	-0.37358	-0.41038	-0.40965	-0.40402	-0.39686	-0.39049	-0.38381	-0.37821	-0.37211	-0.36927	-0.37052	-0.37484	-0.39053	-0.42722	-0.50402	-0.62916	-0.78198	-0.92725	-1.06338	-1.19035	-1.29000	-1.40165	-1.48767	-1.59005	-1.66347	-1.73994	-1.83350	-1.98396	-2.16916	-2.28585	-2.40333	-2.60634	-2.78017	-3.15433	-3.42377	-3.61524	-3.74867	-3.70958	-3.02018	-2.71631	-2.71907	 0.20381	 0.79157	 0.99062	 0.98112	 0.89688	 0.78856	 0.67050	 0.56707	 0.46930	 0.38650	 0.29880	 0.20750	 0.13813	 0.07991	 0.05115	 0.04185	 0.05584	 0.06739	 0.08727	 0.12321	 0.10960	-0.35488	  1.0630	-0.203230	 -0.0461	
       9	  15.235	0.156298	  1.0649	 -0.0487	  1.0685	-0.129021	0.080720	  1.1027	2.977E+6	   0.239	 3948.01	   84.19	  220.00	   0.000	-0.40573	-0.43757	-0.43682	-0.43114	-0.42384	-0.41746	-0.41071	-0.40469	-0.39789	-0.39345	-0.39213	-0.39226	-0.39992	-0.41942	-0.46260	-0.54573	-0.67618	-0.82144	-0.96882	-1.10872	-1.22152	-1.34630	-1.44352	-1.55745	-1.64141	-1.72922	-1.83402	-1.99372	-2.18963	-2.32135	-2.45654	-2.67702	-2.88011	-3.21705	-3.57411	-3.79654	-3.96897	-3.96828	-3.28685	-2.99500	-2.99793	 0.08889	 0.73837	 0.97911	 0.99035	 0.91756	 0.81530	 0.70061	 0.59761	 0.49957	 0.41499	 0.32561	 0.23249	 0.16044	 0.09897	 0.06676	 0.05398	 0.06373	 0.07172	 0.08793	 0.12064	 0.09907	-0.37765	  1.0707	-0.210491	 -0.0491	
