   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       0	   0.004	0.006358	  0.2959	 -0.0736	  0.2959	0.006338	0.005958	  0.2959	2.005E+6	   0.151	 1623.55	   52.59	  220.00	   0.000	 0.19721	 0.10237	 0.03947	-0.02768	-0.09803	-0.17061	-0.24844	-0.32340	-0.40066	-0.46489	-0.53400	-0.65827	-0.70036	-0.74506	-0.78883	-0.81807	-0.83572	-0.83128	-0.82136	-0.80937	-0.79024	-0.75531	-0.73277	-0.70236	-0.65578	-0.59146	-0.54088	-0.51952	-0.49554	-0.40763	-0.30383	-0.19781	-0.09880	 0.02093	 0.16382	 0.35497	 0.57015	 0.79155	 0.95760	 0.99498	 1.00000	 0.52725	 0.19068	-0.03843	-0.14177	-0.22304	-0.29029	-0.33621	-0.34926	-0.37907	-0.40360	-0.41524	-0.42530	-0.42246	-0.39819	-0.34274	-0.29501	-0.13443	-0.06328	 0.02422	 0.12489	 0.27465	 0.19593	  0.2959	0.005976	 -0.0738	
       0	   0.004	0.006344	  0.2959	 -0.0736	  0.2959	0.006324	0.005939	  0.2960	2.005E+6	   0.151	 1623.52	   52.59	  220.00	   0.000	 0.19709	 0.10242	 0.03935	-0.02780	-0.09832	-0.17090	-0.24857	-0.32353	-0.39912	-0.46502	-0.53413	-0.65841	-0.70211	-0.74519	-0.78896	-0.81820	-0.83747	-0.83141	-0.82314	-0.80951	-0.79037	-0.75544	-0.73290	-0.70250	-0.65591	-0.59159	-0.54264	-0.51965	-0.49727	-0.40776	-0.30395	-0.19793	-0.09892	 0.02248	 0.16370	 0.35319	 0.57004	 0.79145	 0.95750	 0.99651	 0.99969	 0.52799	 0.18978	-0.03855	-0.14190	-0.22316	-0.28958	-0.33794	-0.35022	-0.37919	-0.40459	-0.41453	-0.42542	-0.42173	-0.39667	-0.34287	-0.29513	-0.13538	-0.06257	 0.02324	 0.12477	 0.27371	 0.19498	  0.2960	0.005957	 -0.0737	
       0	   0.004	0.006334	  0.2958	 -0.0736	  0.2958	0.006314	0.005862	  0.2959	2.005E+6	   0.151	 1623.54	   52.59	  219.94	   0.000	 0.19718	 0.10234	 0.03943	-0.02772	-0.09824	-0.17081	-0.24849	-0.32345	-0.39920	-0.46510	-0.53421	-0.65848	-0.70219	-0.74526	-0.78743	-0.81827	-0.83593	-0.83149	-0.82157	-0.80958	-0.79045	-0.75552	-0.73297	-0.70257	-0.65599	-0.59167	-0.54109	-0.51813	-0.49574	-0.40784	-0.30568	-0.19801	-0.10067	 0.02073	 0.16199	 0.35477	 0.56827	 0.79136	 0.95740	 0.99641	 0.99960	 0.52621	 0.18969	-0.03950	-0.14281	-0.22324	-0.29130	-0.33722	-0.35030	-0.37927	-0.40380	-0.41544	-0.42632	-0.42181	-0.39758	-0.34212	-0.29600	-0.13463	-0.06265	 0.02402	 0.12469	 0.27445	 0.19573	  0.2959	0.005880	 -0.0738	
       0	   0.004	0.006379	  0.2960	 -0.0737	  0.2960	0.006360	0.005906	  0.2960	2.005E+6	   0.151	 1623.61	   52.59	  219.56	   0.000	 0.19716	 0.10248	 0.03958	-0.02773	-0.09808	-0.17081	-0.24833	-0.32328	-0.39919	-0.46509	-0.53419	-0.66013	-0.70054	-0.74524	-0.78741	-0.81825	-0.83591	-0.83146	-0.82154	-0.81120	-0.79042	-0.75550	-0.73295	-0.70255	-0.65432	-0.59002	-0.54108	-0.51971	-0.49573	-0.40783	-0.30403	-0.19802	-0.09901	 0.02239	 0.16360	 0.35475	 0.56824	 0.79132	 0.95736	 0.99638	 1.00000	 0.52702	 0.18967	-0.03864	-0.14198	-0.22406	-0.29049	-0.33802	-0.34947	-0.37927	-0.40380	-0.41544	-0.42468	-0.42181	-0.39757	-0.34295	-0.29359	-0.13464	-0.06349	 0.02401	 0.12550	 0.27442	 0.19571	  0.2960	0.005924	 -0.0738	
       0	   0.004	0.006383	  0.2958	 -0.0736	  0.2958	0.006364	0.005891	  0.2958	2.005E+6	   0.151	 1623.66	   52.59	  219.05	   0.000	 0.19729	 0.10262	 0.03987	-0.02759	-0.09794	-0.17067	-0.24802	-0.32297	-0.39904	-0.46334	-0.53404	-0.65998	-0.70039	-0.74346	-0.78725	-0.81809	-0.83735	-0.83305	-0.82138	-0.80940	-0.78859	-0.75534	-0.73280	-0.70076	-0.65416	-0.58987	-0.54092	-0.51956	-0.49558	-0.40931	-0.30388	-0.19787	-0.09886	 0.02086	 0.16373	 0.35321	 0.57004	 0.79143	 0.95746	 0.99646	 0.99885	 0.52715	 0.18981	-0.03850	-0.14184	-0.22473	-0.29034	-0.33626	-0.34932	-0.37993	-0.40451	-0.41445	-0.42452	-0.42082	-0.39742	-0.34115	-0.29425	-0.13532	-0.06252	 0.02328	 0.12481	 0.27456	 0.19670	  0.2958	0.005909	 -0.0737	
       0	   0.004	0.006320	  0.2958	 -0.0737	  0.2958	0.006300	0.005900	  0.2959	2.005E+6	   0.151	 1623.69	   52.59	  218.56	   0.000	 0.19750	 0.10283	 0.04008	-0.02721	-0.09789	-0.17028	-0.24797	-0.32259	-0.39882	-0.46311	-0.53382	-0.65808	-0.70016	-0.74323	-0.78863	-0.81786	-0.83552	-0.83107	-0.81951	-0.80917	-0.78837	-0.75511	-0.73257	-0.70217	-0.65393	-0.59127	-0.54070	-0.51775	-0.49696	-0.40746	-0.30366	-0.19766	-0.09865	 0.02274	 0.16394	 0.35342	 0.57024	 0.79163	 0.95766	 0.99833	 0.99985	 0.52820	 0.19080	-0.03829	-0.14162	-0.22370	-0.29012	-0.33604	-0.34910	-0.37808	-0.40429	-0.41506	-0.42512	-0.42143	-0.39720	-0.34175	-0.29484	-0.13428	-0.06230	 0.02521	 0.12502	 0.27558	 0.19690	  0.2959	0.005918	 -0.0738	
       0	   0.004	0.006299	  0.2956	 -0.0736	  0.2956	0.006279	0.005878	  0.2957	2.005E+6	   0.151	 1623.68	   52.59	  218.08	   0.000	 0.19744	 0.10261	 0.04002	-0.02744	-0.09811	-0.17035	-0.24819	-0.32282	-0.39889	-0.46318	-0.53226	-0.65815	-0.70023	-0.74492	-0.78869	-0.81793	-0.83558	-0.83114	-0.82122	-0.80923	-0.78843	-0.75518	-0.73264	-0.70223	-0.65400	-0.58971	-0.54076	-0.51940	-0.49702	-0.40752	-0.30373	-0.19936	-0.09871	 0.02268	 0.16388	 0.35336	 0.56850	 0.78986	 0.95760	 0.99498	 1.00000	 0.52729	 0.18916	-0.03835	-0.14086	-0.22294	-0.29018	-0.33691	-0.34916	-0.37896	-0.40435	-0.41512	-0.42436	-0.42149	-0.39808	-0.34181	-0.29490	-0.13434	-0.06320	 0.02430	 0.12496	 0.27470	 0.19599	  0.2957	0.005896	 -0.0737	
       0	   0.004	0.006291	  0.2958	 -0.0737	  0.2958	0.006271	0.005888	  0.2958	2.005E+6	   0.151	 1623.65	   52.59	  217.56	   0.000	 0.19716	 0.10251	 0.03992	-0.02754	-0.09805	-0.17063	-0.24813	-0.32309	-0.39883	-0.46312	-0.53221	-0.65810	-0.70180	-0.74325	-0.78864	-0.81788	-0.83553	-0.83109	-0.82117	-0.80918	-0.78838	-0.75513	-0.73422	-0.70218	-0.65560	-0.58966	-0.54071	-0.51935	-0.49697	-0.40910	-0.30200	-0.19766	-0.09865	 0.02107	 0.16232	 0.35509	 0.57025	 0.79164	 0.95768	 0.99670	 1.00000	 0.52736	 0.18922	-0.03742	-0.14163	-0.22289	-0.29013	-0.33766	-0.34993	-0.37809	-0.40429	-0.41507	-0.42513	-0.42144	-0.39721	-0.34258	-0.29484	-0.13428	-0.06314	 0.02436	 0.12502	 0.27559	 0.19606	  0.2958	0.005906	 -0.0738	
       0	   0.004	0.006313	  0.2956	 -0.0736	  0.2956	0.006293	0.005957	  0.2956	2.005E+6	   0.151	 1623.64	   52.59	  217.06	   0.000	 0.19719	 0.10252	 0.03978	-0.02752	-0.09804	-0.17061	-0.24812	-0.32324	-0.39898	-0.46488	-0.53398	-0.65825	-0.70033	-0.74503	-0.78720	-0.81804	-0.83569	-0.83124	-0.82133	-0.80934	-0.78854	-0.75528	-0.73274	-0.70071	-0.65410	-0.58981	-0.54086	-0.51950	-0.49552	-0.40762	-0.30382	-0.19781	-0.09880	 0.02259	 0.16380	 0.35495	 0.56843	 0.79151	 0.95755	 0.99657	 1.00000	 0.52807	 0.19067	-0.03930	-0.14177	-0.22385	-0.29027	-0.33700	-0.34925	-0.37823	-0.40358	-0.41522	-0.42527	-0.42159	-0.39900	-0.34190	-0.29499	-0.13525	-0.06245	 0.02507	 0.12489	 0.27381	 0.19592	  0.2956	0.005976	 -0.0737	
       0	   0.004	0.006323	  0.2960	 -0.0737	  0.2960	0.006304	0.005925	  0.2960	2.005E+6	   0.151	 1623.61	   52.59	  216.59	   0.000	 0.19715	 0.10249	 0.03974	-0.02756	-0.09824	-0.17082	-0.24816	-0.32328	-0.39903	-0.46492	-0.53403	-0.65829	-0.70038	-0.74508	-0.78885	-0.81808	-0.83735	-0.83129	-0.82137	-0.80939	-0.78859	-0.75533	-0.73442	-0.70238	-0.65415	-0.59148	-0.54091	-0.51955	-0.49557	-0.40766	-0.30219	-0.19785	-0.09717	 0.02088	 0.16376	 0.35491	 0.56840	 0.79148	 0.95751	 0.99488	 0.99890	 0.52803	 0.19062	-0.03847	-0.14182	-0.22308	-0.29032	-0.33705	-0.34930	-0.37910	-0.40449	-0.41527	-0.42451	-0.42249	-0.39741	-0.34196	-0.29424	-0.13447	-0.06250	 0.02331	 0.12566	 0.27459	 0.19588	  0.2960	0.005943	 -0.0738	
       0	   0.004	0.006378	  0.2960	 -0.0736	  0.2960	0.006358	0.005931	  0.2960	2.005E+6	   0.151	 1623.58	   52.59	  216.05	   0.000	 0.19718	 0.10267	 0.03977	-0.02754	-0.09805	-0.17080	-0.24830	-0.32326	-0.39901	-0.46330	-0.53239	-0.65995	-0.70037	-0.74507	-0.79042	-0.81807	-0.83734	-0.83128	-0.82136	-0.80938	-0.78858	-0.75370	-0.73278	-0.70237	-0.65579	-0.59147	-0.54089	-0.51953	-0.49555	-0.40765	-0.30384	-0.19783	-0.09882	 0.02258	 0.16379	 0.35494	 0.57012	 0.78980	 0.95756	 0.99494	 1.00000	 0.52807	 0.19065	-0.03932	-0.14097	-0.22388	-0.29030	-0.33622	-0.34928	-0.37827	-0.40447	-0.41442	-0.42369	-0.42162	-0.39739	-0.34276	-0.29502	-0.13445	-0.06247	 0.02333	 0.12569	 0.27462	 0.19507	  0.2960	0.005949	 -0.0737	
       0	   0.004	0.006348	  0.2958	 -0.0736	  0.2958	0.006328	0.005926	  0.2958	2.005E+6	   0.151	 1623.57	   52.59	  215.56	   0.000	 0.19730	 0.10262	 0.03987	-0.02760	-0.09811	-0.17069	-0.24820	-0.32316	-0.39907	-0.46497	-0.53245	-0.66002	-0.70205	-0.74513	-0.78730	-0.81814	-0.83579	-0.82960	-0.81978	-0.81109	-0.78864	-0.75538	-0.73284	-0.70081	-0.65420	-0.58991	-0.54096	-0.51959	-0.49561	-0.40771	-0.30555	-0.19789	-0.09721	 0.02085	 0.16211	 0.35489	 0.56838	 0.79146	 0.95751	 0.99653	 1.00000	 0.52717	 0.18981	-0.03851	-0.14103	-0.22311	-0.29036	-0.33709	-0.34934	-0.37914	-0.40453	-0.41448	-0.42455	-0.42168	-0.39745	-0.34199	-0.29427	-0.13451	-0.06336	 0.02414	 0.12564	 0.27375	 0.19501	  0.2958	0.005944	 -0.0737	
       0	   0.004	0.006304	  0.2954	 -0.0735	  0.2954	0.006284	0.005874	  0.2954	2.005E+6	   0.151	 1623.56	   52.59	  215.08	   0.000	 0.19731	 0.10280	 0.03973	-0.02742	-0.09794	-0.17051	-0.24803	-0.32315	-0.39724	-0.46480	-0.53228	-0.65818	-0.70026	-0.74496	-0.78713	-0.81797	-0.83724	-0.83118	-0.82126	-0.80927	-0.79014	-0.75521	-0.73267	-0.70227	-0.65568	-0.58973	-0.54078	-0.51942	-0.49704	-0.40753	-0.30373	-0.19771	-0.09870	 0.02103	 0.16229	 0.35507	 0.56857	 0.79165	 0.95770	 0.99672	 1.00000	 0.52651	 0.19000	-0.03919	-0.14167	-0.22375	-0.29018	-0.33691	-0.34998	-0.37977	-0.40519	-0.41513	-0.42437	-0.42150	-0.39808	-0.34263	-0.29409	-0.13515	-0.06317	 0.02347	 0.12418	 0.27475	 0.19519	  0.2954	0.005892	 -0.0736	
       0	   0.004	0.006270	  0.2954	 -0.0736	  0.2954	0.006250	0.005967	  0.2954	2.005E+6	   0.151	 1623.55	   52.59	  214.55	   0.000	 0.19693	 0.10242	 0.03967	-0.02796	-0.09847	-0.17090	-0.24840	-0.32352	-0.39912	-0.46341	-0.53412	-0.66007	-0.70210	-0.74518	-0.78895	-0.81819	-0.83584	-0.82964	-0.82148	-0.80949	-0.78869	-0.75543	-0.73452	-0.70085	-0.65590	-0.58995	-0.54100	-0.51964	-0.49565	-0.40775	-0.30394	-0.19792	-0.10058	 0.02249	 0.16208	 0.35486	 0.56836	 0.79144	 0.95749	 0.99650	 0.99969	 0.52715	 0.19057	-0.03941	-0.14188	-0.22315	-0.29121	-0.33712	-0.34937	-0.37917	-0.40456	-0.41617	-0.42622	-0.42171	-0.39829	-0.34367	-0.29511	-0.13618	-0.06423	 0.02326	 0.12479	 0.27454	 0.19582	  0.2955	0.005986	 -0.0737	
       0	   0.004	0.006396	  0.2961	 -0.0737	  0.2961	0.006376	0.005925	  0.2961	2.005E+6	   0.151	 1623.59	   52.59	  214.07	   0.000	 0.19701	 0.10251	 0.03976	-0.02770	-0.09837	-0.17097	-0.24830	-0.32326	-0.39901	-0.46490	-0.53239	-0.65995	-0.70199	-0.74669	-0.78884	-0.81807	-0.83734	-0.83128	-0.82136	-0.80938	-0.79024	-0.75532	-0.73441	-0.70237	-0.65414	-0.59147	-0.54089	-0.51953	-0.49715	-0.40765	-0.30384	-0.19948	-0.09882	 0.02091	 0.16379	 0.35494	 0.57011	 0.79320	 0.95593	 0.99658	 1.00000	 0.52722	 0.19065	-0.03845	-0.14180	-0.22388	-0.29030	-0.33704	-0.34928	-0.37909	-0.40362	-0.41526	-0.42450	-0.42247	-0.39739	-0.34276	-0.29502	-0.13528	-0.06248	 0.02333	 0.12569	 0.27461	 0.19506	  0.2961	0.005943	 -0.0738	
       0	   0.004	0.006386	  0.2955	 -0.0736	  0.2955	0.006367	0.005936	  0.2956	2.005E+6	   0.151	 1623.61	   52.59	  213.57	   0.000	 0.19690	 0.10224	 0.03966	-0.02781	-0.09832	-0.17090	-0.24857	-0.32352	-0.39911	-0.46501	-0.53249	-0.65838	-0.70046	-0.74516	-0.78733	-0.81817	-0.83744	-0.82963	-0.81982	-0.80948	-0.78867	-0.75542	-0.73287	-0.70084	-0.65589	-0.58994	-0.54099	-0.51963	-0.49565	-0.40775	-0.30394	-0.19793	-0.09892	 0.02247	 0.16206	 0.35483	 0.57000	 0.79140	 0.95744	 0.99645	 0.99963	 0.52711	 0.18976	-0.03855	-0.14273	-0.22398	-0.29040	-0.33713	-0.34937	-0.37836	-0.40457	-0.41535	-0.42540	-0.42256	-0.39830	-0.34285	-0.29512	-0.13373	-0.06340	 0.02410	 0.12477	 0.27451	 0.19496	  0.2956	0.005955	 -0.0737	
       0	   0.004	0.006352	  0.2958	 -0.0737	  0.2958	0.006333	0.005927	  0.2958	2.005E+6	   0.151	 1623.65	   52.59	  213.05	   0.000	 0.19705	 0.10255	 0.03964	-0.02766	-0.09817	-0.17091	-0.24841	-0.32337	-0.39912	-0.46341	-0.53249	-0.65838	-0.70046	-0.74516	-0.78893	-0.81816	-0.83743	-0.83137	-0.81981	-0.80947	-0.78867	-0.75379	-0.73287	-0.70247	-0.65589	-0.59157	-0.54100	-0.51963	-0.49565	-0.40775	-0.30395	-0.19794	-0.09727	 0.02246	 0.16366	 0.35648	 0.56829	 0.79136	 0.95740	 0.99478	 1.00000	 0.52793	 0.18974	-0.03857	-0.14191	-0.22317	-0.29041	-0.33714	-0.35021	-0.37919	-0.40458	-0.41453	-0.42460	-0.42172	-0.39749	-0.34286	-0.29593	-0.13539	-0.06259	 0.02408	 0.12557	 0.27530	 0.19578	  0.2958	0.005946	 -0.0738	
       0	   0.004	0.006224	  0.2957	 -0.0736	  0.2957	0.006204	0.005948	  0.2957	2.005E+6	   0.151	 1623.61	   52.59	  212.57	   0.000	 0.19710	 0.10244	 0.03985	-0.02762	-0.09813	-0.17071	-0.24821	-0.32333	-0.39892	-0.46482	-0.53392	-0.65819	-0.70189	-0.74497	-0.78874	-0.81962	-0.83563	-0.82943	-0.81962	-0.80928	-0.78848	-0.75522	-0.73268	-0.70228	-0.65404	-0.58975	-0.54243	-0.51944	-0.49546	-0.40755	-0.30375	-0.19774	-0.09873	 0.02100	 0.16225	 0.35336	 0.57019	 0.79159	 0.95600	 0.99665	 1.00000	 0.52730	 0.18915	-0.03836	-0.14088	-0.22379	-0.29021	-0.33613	-0.35001	-0.37899	-0.40438	-0.41433	-0.42440	-0.42153	-0.39729	-0.34266	-0.29493	-0.13518	-0.06321	 0.02343	 0.12496	 0.27470	 0.19515	  0.2958	0.005967	 -0.0737	
       0	   0.004	0.006291	  0.2962	 -0.0737	  0.2962	0.006271	0.005920	  0.2962	2.005E+6	   0.151	 1623.65	   52.59	  212.08	   0.000	 0.19714	 0.10232	 0.03974	-0.02756	-0.09823	-0.17100	-0.24847	-0.32343	-0.39886	-0.46475	-0.53385	-0.65979	-0.70020	-0.74490	-0.78867	-0.81790	-0.83717	-0.83111	-0.82119	-0.81085	-0.79008	-0.75515	-0.73424	-0.70058	-0.65563	-0.58968	-0.54237	-0.51937	-0.49700	-0.40913	-0.30534	-0.19769	-0.09868	 0.02104	 0.16229	 0.35506	 0.56854	 0.79162	 0.95765	 0.99503	 1.00000	 0.52818	 0.18919	-0.03745	-0.14166	-0.22454	-0.29016	-0.33689	-0.34914	-0.37812	-0.40347	-0.41427	-0.42435	-0.42148	-0.39724	-0.34179	-0.29488	-0.13514	-0.06402	 0.02433	 0.12499	 0.27474	 0.19688	  0.2962	0.005938	 -0.0738	
       0	   0.004	0.006430	  0.2959	 -0.0737	  0.2959	0.006411	0.005897	  0.2959	2.005E+6	   0.151	 1623.70	   52.59	  211.56	   0.000	 0.19719	 0.10236	 0.03962	-0.02768	-0.09819	-0.17094	-0.24843	-0.32322	-0.39897	-0.46325	-0.53396	-0.65989	-0.70030	-0.74337	-0.78877	-0.81800	-0.83726	-0.83121	-0.82129	-0.80931	-0.78851	-0.75363	-0.73435	-0.70231	-0.65407	-0.59141	-0.54084	-0.51789	-0.49710	-0.40760	-0.30380	-0.19780	-0.09879	 0.02093	 0.16217	 0.35494	 0.57009	 0.78977	 0.95751	 0.99488	 0.99970	 0.52805	 0.19066	-0.03843	-0.14177	-0.22302	-0.29108	-0.33699	-0.35007	-0.37904	-0.40443	-0.41604	-0.42445	-0.42242	-0.39816	-0.34107	-0.29418	-0.13442	-0.06245	 0.02335	 0.12570	 0.27462	 0.19507	  0.2959	0.005915	 -0.0738	
       0	   0.004	0.006472	  0.2959	 -0.0737	  0.2959	0.006453	0.005928	  0.2959	2.005E+6	   0.151	 1623.71	   52.59	  211.07	   0.000	 0.19731	 0.10249	 0.03992	-0.02739	-0.09789	-0.17065	-0.24813	-0.32308	-0.39867	-0.46456	-0.53204	-0.65959	-0.70000	-0.74470	-0.78686	-0.81770	-0.83696	-0.83091	-0.82263	-0.80900	-0.78820	-0.75495	-0.73404	-0.70201	-0.65543	-0.58949	-0.54054	-0.51759	-0.49680	-0.40893	-0.30351	-0.19750	-0.09850	 0.02122	 0.16409	 0.35690	 0.56870	 0.79346	 0.95780	 0.99682	 1.00000	 0.52834	 0.19016	-0.03813	-0.14230	-0.22273	-0.29078	-0.33750	-0.34977	-0.37793	-0.40413	-0.41491	-0.42415	-0.42128	-0.39786	-0.34160	-0.29388	-0.13496	-0.06383	 0.02451	 0.12599	 0.27491	 0.19620	  0.2959	0.005946	 -0.0738	
       0	   0.004	0.006485	  0.2960	 -0.0737	  0.2960	0.006466	0.005929	  0.2960	2.005E+6	   0.151	 1623.74	   52.59	  210.58	   0.000	 0.19717	 0.10252	 0.03962	-0.02768	-0.09818	-0.17094	-0.24826	-0.32337	-0.39879	-0.46468	-0.53216	-0.65804	-0.70012	-0.74482	-0.78858	-0.81782	-0.83708	-0.83103	-0.82275	-0.80912	-0.78832	-0.75507	-0.73253	-0.70213	-0.65555	-0.58961	-0.54230	-0.51771	-0.49693	-0.40743	-0.30363	-0.19599	-0.09863	 0.02109	 0.16396	 0.35676	 0.56856	 0.79162	 0.95765	 0.99501	 0.99903	 0.52820	 0.19081	-0.03827	-0.14160	-0.22286	-0.29010	-0.33601	-0.34990	-0.37887	-0.40510	-0.41504	-0.42428	-0.42225	-0.39799	-0.34173	-0.29482	-0.13426	-0.06312	 0.02437	 0.12667	 0.27395	 0.19692	  0.2960	0.005947	 -0.0738	
       0	   0.004	0.006528	  0.2960	 -0.0737	  0.2960	0.006508	0.005894	  0.2960	2.005E+6	   0.151	 1623.72	   52.59	  210.04	   0.000	 0.19712	 0.10263	 0.03990	-0.02741	-0.09807	-0.17066	-0.24815	-0.32310	-0.39868	-0.46457	-0.53367	-0.65960	-0.70001	-0.74471	-0.78847	-0.81771	-0.83697	-0.83092	-0.82100	-0.80902	-0.78988	-0.75496	-0.73242	-0.70202	-0.65379	-0.59113	-0.54219	-0.51760	-0.49522	-0.40895	-0.30517	-0.19916	-0.09852	 0.02120	 0.16244	 0.35521	 0.57036	 0.79174	 0.95614	 0.99514	 0.99996	 0.52831	 0.19014	-0.03902	-0.14149	-0.22275	-0.28998	-0.33832	-0.34979	-0.37876	-0.40415	-0.41492	-0.42498	-0.42129	-0.39706	-0.34162	-0.29390	-0.13415	-0.06385	 0.02449	 0.12515	 0.27489	 0.19618	  0.2960	0.005912	 -0.0738	
       0	   0.004	0.006421	  0.2958	 -0.0736	  0.2958	0.006401	0.005914	  0.2959	2.005E+6	   0.151	 1623.72	   52.59	  209.57	   0.000	 0.19717	 0.10268	 0.03962	-0.02752	-0.09819	-0.17095	-0.24843	-0.32338	-0.39714	-0.46469	-0.53379	-0.65973	-0.70013	-0.74483	-0.78860	-0.81783	-0.83710	-0.83104	-0.82112	-0.80914	-0.79001	-0.75508	-0.73254	-0.70214	-0.65556	-0.58962	-0.54231	-0.51931	-0.49694	-0.40907	-0.30364	-0.19764	-0.09863	 0.02108	 0.16233	 0.35342	 0.56856	 0.79163	 0.95765	 0.99502	 0.99904	 0.52820	 0.19081	-0.03827	-0.14078	-0.22368	-0.29010	-0.33683	-0.34908	-0.37887	-0.40426	-0.41504	-0.42510	-0.42226	-0.39800	-0.34173	-0.29562	-0.13509	-0.06312	 0.02265	 0.12586	 0.27477	 0.19606	  0.2959	0.005932	 -0.0737	
