   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       0	  12.219	0.051682	  1.0125	 -0.0496	  1.0005	-0.163784	0.066995	  1.0056	2.998E+6	   0.232	 3795.40	   81.15	  300.00	   0.000	-0.28612	-0.37117	-0.39392	-0.39991	-0.39935	-0.40036	-0.40160	-0.39706	-0.39051	-0.38335	-0.38704	-0.39938	-0.41873	-0.45659	-0.52372	-0.63065	-0.77629	-0.91422	-1.05186	-1.17130	-1.25970	-1.35814	-1.42851	-1.51420	-1.57486	-1.63384	-1.71355	-1.87187	-2.09266	-2.15490	-2.20501	-2.29866	-2.41668	-2.61571	-2.84012	-3.01129	-3.05876	-2.93943	-2.26432	-1.94411	-0.04319	 0.49591	 0.91114	 0.99909	 0.93526	 0.82251	 0.69592	 0.59440	 0.49577	 0.39610	 0.30486	 0.22376	 0.13674	 0.07493	 0.02506	 0.00498	 0.00513	 0.02825	 0.04875	 0.07651	 0.12065	 0.12705	-0.32964	  1.0007	-0.148407	 -0.0498	
       0	  12.223	0.051332	  1.0235	 -0.0485	  1.0112	-0.166526	0.066546	  1.0167	2.997E+6	   0.232	 3794.22	   81.14	  300.00	   0.000	-0.28206	-0.36462	-0.38376	-0.38734	-0.38594	-0.38802	-0.38902	-0.38608	-0.38260	-0.38252	-0.38901	-0.40353	-0.42912	-0.47656	-0.55576	-0.68029	-0.82299	-0.96138	-1.08771	-1.20296	-1.28833	-1.38245	-1.44995	-1.53251	-1.59138	-1.65077	-1.72916	-1.88513	-2.10835	-2.16928	-2.21833	-2.31251	-2.43221	-2.63202	-2.85684	-3.02847	-3.07254	-2.95707	-2.28235	-1.96168	-0.04350	 0.49177	 0.90941	 0.99909	 0.93631	 0.82421	 0.69794	 0.59633	 0.49772	 0.39726	 0.30604	 0.22488	 0.13887	 0.07605	 0.02687	 0.00706	 0.00608	 0.02957	 0.05045	 0.07789	 0.12304	 0.12949	-0.32714	  1.0114	-0.151203	 -0.0487	
       0	  12.222	0.051717	  1.0187	 -0.0482	  1.0065	-0.165102	0.066204	  1.0121	2.997E+6	   0.231	 3793.58	   81.13	  299.95	   0.000	-0.27946	-0.36502	-0.38548	-0.39021	-0.38865	-0.38927	-0.38899	-0.38605	-0.38326	-0.38387	-0.38897	-0.40134	-0.42769	-0.47031	-0.54483	-0.66491	-0.81067	-0.95017	-1.07937	-1.19534	-1.28131	-1.37707	-1.44512	-1.52849	-1.58799	-1.64678	-1.72517	-1.88196	-2.10373	-2.16536	-2.21429	-2.30856	-2.42748	-2.62733	-2.85161	-3.02239	-3.06783	-2.95077	-2.27488	-1.95471	-0.04366	 0.49317	 0.91010	 0.99873	 0.93562	 0.82281	 0.69615	 0.59456	 0.49518	 0.39547	 0.30416	 0.22304	 0.13669	 0.07415	 0.02464	 0.00485	 0.00427	 0.02809	 0.04858	 0.07673	 0.12122	 0.12870	-0.32951	  1.0067	-0.150549	 -0.0484	
       0	  12.223	0.057183	  1.0119	 -0.0456	  1.0011	-0.158352	0.064457	  1.0084	2.998E+6	   0.232	 3796.64	   81.17	  299.60	   0.000	-0.28471	-0.35686	-0.37315	-0.37639	-0.37477	-0.37441	-0.37295	-0.37045	-0.36898	-0.37004	-0.37901	-0.39196	-0.41910	-0.46802	-0.55137	-0.67994	-0.82321	-0.96089	-1.08569	-1.19876	-1.28260	-1.37681	-1.44344	-1.52602	-1.58547	-1.64352	-1.72184	-1.87783	-2.09940	-2.16027	-2.20982	-2.30333	-2.42141	-2.62108	-2.84456	-3.01511	-3.06048	-2.94197	-2.26826	-1.94756	-0.04265	 0.49518	 0.91069	 0.99929	 0.93583	 0.82312	 0.69622	 0.59473	 0.49613	 0.39616	 0.30455	 0.22352	 0.13727	 0.07514	 0.02462	 0.00589	 0.00495	 0.02802	 0.04845	 0.07653	 0.12070	 0.12819	-0.32865	  1.0013	-0.151282	 -0.0458	
       0	  12.226	0.086713	  1.0069	 -0.0424	  1.0024	-0.128488	0.061948	  1.0171	3.007E+6	   0.232	 3817.58	   81.40	  299.12	   0.000	-0.29294	-0.34366	-0.35229	-0.35263	-0.35057	-0.34909	-0.34552	-0.34255	-0.33865	-0.33980	-0.34741	-0.36347	-0.40123	-0.47273	-0.58061	-0.72537	-0.86616	-0.99964	-1.11298	-1.22052	-1.30022	-1.39020	-1.45364	-1.53397	-1.59206	-1.64942	-1.72737	-1.87999	-2.10210	-2.16339	-2.21037	-2.30516	-2.42361	-2.62361	-2.85085	-3.01975	-3.06226	-2.94995	-2.27850	-1.95871	-0.03641	 0.49093	 0.90762	 0.99950	 0.93779	 0.82637	 0.70088	 0.60022	 0.50155	 0.40204	 0.31107	 0.23006	 0.14460	 0.08221	 0.03266	 0.01289	 0.01182	 0.03511	 0.05512	 0.08309	 0.12662	 0.13239	-0.31650	  1.0030	-0.154648	 -0.0426	
       0	  12.231	0.055056	  1.0389	 -0.0446	  1.0269	-0.166282	0.064045	  1.0346	2.997E+6	   0.232	 3793.58	   81.13	  298.64	   0.000	-0.29617	-0.35278	-0.35927	-0.35954	-0.36042	-0.36019	-0.35783	-0.35498	-0.35252	-0.35348	-0.36479	-0.38822	-0.43722	-0.52265	-0.63958	-0.79063	-0.92579	-1.05542	-1.16046	-1.26445	-1.34087	-1.42784	-1.49017	-1.56853	-1.62591	-1.68193	-1.75974	-1.91365	-2.13819	-2.19925	-2.24552	-2.34277	-2.46154	-2.66279	-2.89530	-3.06509	-3.10737	-2.99620	-2.32020	-1.99667	-0.04270	 0.48217	 0.90454	 0.99982	 0.93872	 0.82654	 0.70025	 0.59820	 0.49928	 0.39909	 0.30721	 0.22636	 0.13998	 0.07724	 0.02738	 0.00780	 0.00631	 0.03007	 0.05060	 0.07880	 0.12289	 0.12981	-0.31766	  1.0272	-0.157324	 -0.0448	
       0	  12.233	0.068719	  1.0416	 -0.0443	  1.0325	-0.153535	0.063650	  1.0434	3.001E+6	   0.232	 3802.98	   81.24	  298.14	   0.000	-0.29681	-0.35093	-0.35538	-0.35214	-0.35037	-0.34895	-0.34658	-0.34385	-0.34327	-0.34647	-0.35486	-0.37885	-0.43691	-0.53453	-0.66188	-0.81460	-0.95093	-1.07546	-1.17867	-1.27959	-1.35402	-1.43880	-1.50001	-1.57651	-1.63328	-1.68963	-1.76589	-1.92047	-2.14475	-2.20500	-2.25153	-2.34831	-2.46771	-2.66919	-2.90145	-3.07264	-3.11500	-3.00590	-2.32925	-2.00616	-0.04003	 0.47884	 0.90383	 0.99994	 0.93967	 0.82809	 0.70211	 0.60029	 0.50128	 0.40131	 0.30969	 0.22866	 0.14319	 0.08065	 0.03018	 0.01098	 0.01045	 0.03346	 0.05470	 0.08249	 0.12748	 0.13442	-0.31034	  1.0329	-0.159157	 -0.0445	
       0	  12.227	0.103873	  1.0090	 -0.0427	  1.0081	-0.112179	0.061754	  1.0267	3.011E+6	   0.233	 3828.66	   81.53	  297.63	   0.000	-0.30701	-0.34980	-0.35159	-0.34687	-0.34325	-0.33985	-0.33599	-0.33314	-0.32773	-0.32709	-0.33028	-0.34680	-0.39159	-0.47736	-0.60719	-0.75643	-0.90226	-1.02496	-1.13535	-1.23700	-1.31260	-1.40036	-1.46407	-1.54109	-1.59856	-1.65552	-1.73190	-1.88783	-2.10894	-2.16805	-2.21738	-2.31162	-2.42999	-2.62939	-2.85629	-3.02936	-3.07480	-2.96110	-2.28845	-1.96927	-0.03285	 0.48616	 0.90706	 0.99975	 0.93853	 0.82740	 0.70192	 0.60051	 0.50245	 0.40358	 0.31286	 0.23243	 0.14618	 0.08431	 0.03528	 0.01587	 0.01438	 0.03758	 0.05827	 0.08583	 0.12958	 0.13435	-0.29738	  1.0089	-0.156353	 -0.0429	
       0	  12.225	0.096770	  0.9943	 -0.0406	  0.9923	-0.115978	0.059626	  1.0098	3.009E+6	   0.232	 3823.30	   81.47	  297.13	   0.000	-0.30928	-0.34791	-0.35037	-0.34686	-0.34246	-0.33905	-0.33491	-0.32987	-0.32396	-0.32284	-0.32516	-0.33666	-0.37053	-0.44230	-0.56599	-0.71234	-0.86539	-0.99142	-1.10700	-1.21160	-1.29038	-1.38042	-1.44642	-1.52530	-1.58463	-1.64195	-1.71978	-1.87628	-2.09670	-2.15581	-2.20690	-2.30012	-2.41909	-2.61735	-2.84288	-3.01568	-3.06456	-2.94748	-2.27339	-1.95548	-0.03430	 0.49084	 0.90967	 0.99974	 0.93704	 0.82547	 0.69981	 0.59901	 0.50043	 0.40149	 0.31021	 0.22974	 0.14411	 0.08210	 0.03230	 0.01290	 0.01185	 0.03473	 0.05504	 0.08258	 0.12579	 0.12947	-0.29813	  0.9930	-0.155003	 -0.0409	
