   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       0	  -0.012	0.013250	  0.2412	 -0.0648	  0.2412	0.013300	-0.000588	  0.2419	2.992E+6	   0.232	 3814.09	   81.48	  300.00	   0.000	 0.15929	 0.09834	 0.04255	-0.01910	-0.08443	-0.15542	-0.23217	-0.30724	-0.38235	-0.45543	-0.52562	-0.59833	-0.65742	-0.70369	-0.74484	-0.78259	-0.79671	-0.79736	-0.77924	-0.77109	-0.74328	-0.71623	-0.67840	-0.64466	-0.59377	-0.53776	-0.48160	-0.47514	-0.50715	-0.40005	-0.29093	-0.17714	-0.07165	 0.05225	 0.19995	 0.39189	 0.60886	 0.82147	 0.97428	 0.99874	 0.04067	 0.46225	 0.11484	-0.12599	-0.22169	-0.30464	-0.36018	-0.35502	-0.36009	-0.39210	-0.41698	-0.42650	-0.44735	-0.43646	-0.41091	-0.35004	-0.27829	-0.17542	-0.08798	 0.00309	 0.09822	 0.22475	 0.15790	  0.2411	-0.000582	 -0.0649	
       0	  -0.012	0.013334	  0.2413	 -0.0649	  0.2413	0.013384	-0.000571	  0.2420	2.992E+6	   0.232	 3814.20	   81.48	  300.00	   0.000	 0.15942	 0.09832	 0.04247	-0.01918	-0.08457	-0.15542	-0.23218	-0.30732	-0.38383	-0.45550	-0.52498	-0.59840	-0.65819	-0.70375	-0.74490	-0.78265	-0.79676	-0.79667	-0.77930	-0.77045	-0.74404	-0.71697	-0.67776	-0.64472	-0.59313	-0.53713	-0.48167	-0.47453	-0.50652	-0.40012	-0.29100	-0.17722	-0.07173	 0.05287	 0.19986	 0.39251	 0.60948	 0.82137	 0.97417	 0.99863	 0.04093	 0.46180	 0.11408	-0.12607	-0.22142	-0.30507	-0.36026	-0.35510	-0.35981	-0.39217	-0.41705	-0.42622	-0.44777	-0.43689	-0.41063	-0.35011	-0.27837	-0.17550	-0.08770	 0.00227	 0.09883	 0.22535	 0.15817	  0.2412	-0.000565	 -0.0650	
       0	  -0.012	0.013367	  0.2411	 -0.0648	  0.2411	0.013417	-0.000570	  0.2418	2.992E+6	   0.232	 3814.28	   81.48	  299.93	   0.000	 0.15939	 0.09830	 0.04238	-0.01920	-0.08446	-0.15544	-0.23213	-0.30726	-0.38384	-0.45483	-0.52570	-0.59841	-0.65750	-0.70307	-0.74491	-0.78265	-0.79677	-0.79668	-0.77931	-0.77046	-0.74335	-0.71629	-0.67777	-0.64403	-0.59384	-0.53714	-0.48237	-0.47454	-0.50653	-0.40083	-0.29031	-0.17794	-0.07175	 0.05285	 0.20052	 0.39177	 0.60945	 0.82133	 0.97344	 0.99859	 0.04091	 0.46177	 0.11439	-0.12608	-0.22143	-0.30473	-0.36062	-0.35545	-0.35982	-0.39148	-0.41743	-0.42623	-0.44778	-0.43654	-0.41029	-0.34977	-0.27873	-0.17586	-0.08807	 0.00299	 0.09811	 0.22499	 0.15743	  0.2410	-0.000563	 -0.0649	
       0	  -0.012	0.013172	  0.2412	 -0.0649	  0.2412	0.013222	-0.000588	  0.2419	2.992E+6	   0.232	 3814.16	   81.48	  299.55	   0.000	 0.15943	 0.09827	 0.04248	-0.01923	-0.08442	-0.15549	-0.23224	-0.30731	-0.38382	-0.45549	-0.52498	-0.59839	-0.65818	-0.70375	-0.74421	-0.78264	-0.79676	-0.79667	-0.78000	-0.77045	-0.74334	-0.71697	-0.67775	-0.64402	-0.59383	-0.53712	-0.48166	-0.47452	-0.50652	-0.40150	-0.29028	-0.17721	-0.07171	 0.05289	 0.20056	 0.39253	 0.60950	 0.82139	 0.97350	 0.99865	 0.04130	 0.46110	 0.11443	-0.12642	-0.22141	-0.30506	-0.36060	-0.35543	-0.36015	-0.39181	-0.41741	-0.42656	-0.44811	-0.43688	-0.41133	-0.34975	-0.27802	-0.17584	-0.08804	 0.00338	 0.09849	 0.22537	 0.15783	  0.2411	-0.000582	 -0.0650	
       0	  -0.012	0.013241	  0.2410	 -0.0648	  0.2410	0.013292	-0.000585	  0.2417	2.992E+6	   0.232	 3814.24	   81.48	  299.07	   0.000	 0.15939	 0.09836	 0.04263	-0.01914	-0.08440	-0.15545	-0.23215	-0.30728	-0.38323	-0.45561	-0.52440	-0.59779	-0.65829	-0.70317	-0.74432	-0.78205	-0.79686	-0.79677	-0.77940	-0.76985	-0.74344	-0.71639	-0.67857	-0.64412	-0.59323	-0.53723	-0.48177	-0.47463	-0.50662	-0.40023	-0.29111	-0.17732	-0.07112	 0.05277	 0.20043	 0.39240	 0.60937	 0.82198	 0.97406	 0.99852	 0.04153	 0.46133	 0.11397	-0.12653	-0.22152	-0.30482	-0.36071	-0.35519	-0.36026	-0.39192	-0.41679	-0.42666	-0.44752	-0.43699	-0.41073	-0.35021	-0.27813	-0.17560	-0.08780	 0.00291	 0.09873	 0.22456	 0.15807	  0.2409	-0.000579	 -0.0649	
       0	  -0.012	0.013333	  0.2411	 -0.0648	  0.2411	0.013384	-0.000561	  0.2418	2.992E+6	   0.232	 3814.28	   81.48	  298.55	   0.000	 0.15943	 0.09826	 0.04281	-0.01896	-0.08429	-0.15548	-0.23210	-0.30717	-0.38318	-0.45556	-0.52504	-0.59845	-0.65824	-0.70381	-0.74495	-0.78200	-0.79614	-0.79597	-0.77935	-0.76980	-0.74268	-0.71633	-0.67781	-0.64407	-0.59318	-0.53718	-0.48241	-0.47390	-0.50658	-0.40018	-0.29035	-0.17728	-0.07108	 0.05281	 0.20048	 0.39173	 0.60941	 0.82202	 0.97409	 0.99855	 0.04122	 0.46173	 0.11469	-0.12649	-0.22147	-0.30512	-0.36066	-0.35480	-0.36022	-0.39153	-0.41711	-0.42662	-0.44747	-0.43622	-0.41033	-0.35016	-0.27774	-0.17590	-0.08776	 0.00258	 0.09842	 0.22529	 0.15775	  0.2410	-0.000555	 -0.0649	
       0	  -0.012	0.013181	  0.2411	 -0.0648	  0.2411	0.013231	-0.000580	  0.2418	2.992E+6	   0.232	 3814.14	   81.48	  298.02	   0.000	 0.15960	 0.09828	 0.04269	-0.01895	-0.08435	-0.15547	-0.23216	-0.30717	-0.38332	-0.45570	-0.52449	-0.59860	-0.65769	-0.70395	-0.74442	-0.78215	-0.79629	-0.79687	-0.77950	-0.77065	-0.74354	-0.71648	-0.67725	-0.64422	-0.59333	-0.53802	-0.48186	-0.47472	-0.50672	-0.40101	-0.29048	-0.17741	-0.07191	 0.05269	 0.20036	 0.39233	 0.60930	 0.82119	 0.97400	 0.99846	 0.04110	 0.46198	 0.11457	-0.12625	-0.22160	-0.30491	-0.36009	-0.35494	-0.35999	-0.39166	-0.41724	-0.42641	-0.44761	-0.43672	-0.41047	-0.34961	-0.27856	-0.17604	-0.08789	 0.00282	 0.09865	 0.22483	 0.15763	  0.2410	-0.000574	 -0.0649	
       0	  -0.012	0.013300	  0.2412	 -0.0648	  0.2412	0.013351	-0.000595	  0.2419	2.992E+6	   0.232	 3814.18	   81.48	  297.52	   0.000	 0.15964	 0.09832	 0.04294	-0.01883	-0.08431	-0.15520	-0.23198	-0.30698	-0.38327	-0.45497	-0.52444	-0.59784	-0.65764	-0.70321	-0.74437	-0.78210	-0.79624	-0.79682	-0.77945	-0.76990	-0.74349	-0.71644	-0.67791	-0.64417	-0.59328	-0.53728	-0.48182	-0.47468	-0.50598	-0.40027	-0.29044	-0.17736	-0.07187	 0.05273	 0.20040	 0.39237	 0.60862	 0.82196	 0.97404	 0.99849	 0.04114	 0.46166	 0.11495	-0.12621	-0.22086	-0.30451	-0.36005	-0.35490	-0.35995	-0.39162	-0.41684	-0.42636	-0.44757	-0.43632	-0.41007	-0.34991	-0.27783	-0.17529	-0.08785	 0.00286	 0.09869	 0.22521	 0.15803	  0.2410	-0.000589	 -0.0649	
       0	  -0.012	0.013226	  0.2412	 -0.0648	  0.2412	0.013277	-0.000580	  0.2419	2.991E+6	   0.232	 3814.08	   81.48	  297.02	   0.000	 0.15960	 0.09842	 0.04290	-0.01887	-0.08435	-0.15525	-0.23196	-0.30710	-0.38332	-0.45502	-0.52519	-0.59789	-0.65840	-0.70327	-0.74443	-0.78216	-0.79630	-0.79688	-0.77951	-0.76996	-0.74284	-0.71650	-0.67797	-0.64423	-0.59263	-0.53733	-0.48187	-0.47473	-0.50603	-0.40032	-0.29049	-0.17741	-0.07191	 0.05198	 0.20106	 0.39234	 0.60932	 0.82194	 0.97333	 0.99848	 0.04145	 0.46199	 0.11424	-0.12588	-0.22125	-0.30491	-0.36045	-0.35461	-0.35964	-0.39202	-0.41689	-0.42606	-0.44762	-0.43637	-0.41047	-0.34996	-0.27822	-0.17569	-0.08789	 0.00282	 0.09865	 0.22552	 0.15800	  0.2410	-0.000573	 -0.0649	
