   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       0	   0.004	0.014072	  0.2431	 -0.0636	  0.2431	0.014054	0.006881	  0.2435	2.981E+6	   0.234	 3820.36	   82.15	  300.00	   0.000	 0.15689	 0.09722	 0.04255	-0.01876	-0.08413	-0.15492	-0.23068	-0.30522	-0.38146	-0.45379	-0.52451	-0.59636	-0.65539	-0.70230	-0.74407	-0.78035	-0.79586	-0.79421	-0.77841	-0.76819	-0.74249	-0.71345	-0.67633	-0.64544	-0.64737	-0.58844	-0.52074	-0.49580	-0.47852	-0.37842	-0.26963	-0.15848	-0.05995	 0.06586	 0.21156	 0.40422	 0.61524	 0.82559	 0.97436	 0.99806	 0.99972	 0.46819	 0.12461	-0.11077	-0.19927	-0.28176	-0.32962	-0.38550	-0.40166	-0.40127	-0.41281	-0.42456	-0.44577	-0.43662	-0.41042	-0.35035	-0.27839	-0.17672	-0.08871	 0.00148	 0.09648	 0.22317	 0.15429	  0.2430	0.006896	 -0.0636	
       0	   0.001	0.013918	  0.2430	 -0.0636	  0.2430	0.013915	0.006864	  0.2434	2.981E+6	   0.234	 3820.20	   82.14	  300.00	   0.000	 0.15669	 0.09716	 0.04228	-0.01882	-0.08427	-0.15513	-0.23089	-0.30543	-0.38160	-0.45394	-0.52326	-0.59723	-0.65625	-0.70246	-0.74423	-0.77982	-0.79535	-0.79363	-0.77788	-0.76905	-0.74194	-0.71361	-0.67649	-0.64491	-0.64753	-0.58791	-0.52090	-0.49527	-0.47867	-0.37857	-0.27048	-0.15862	-0.06008	 0.06573	 0.21075	 0.40340	 0.61514	 0.82549	 0.97427	 0.99798	 0.99998	 0.46809	 0.12380	-0.11090	-0.19905	-0.28155	-0.32976	-0.38564	-0.40215	-0.40141	-0.41332	-0.42506	-0.44592	-0.43677	-0.41021	-0.35084	-0.27819	-0.17650	-0.08921	 0.00136	 0.09635	 0.22305	 0.15416	  0.2429	0.006895	 -0.0636	
       0	   0.004	0.014010	  0.2431	 -0.0636	  0.2431	0.013992	0.006892	  0.2435	2.981E+6	   0.234	 3820.21	   82.15	  299.95	   0.000	 0.15651	 0.09719	 0.04204	-0.01900	-0.08430	-0.15516	-0.23093	-0.30560	-0.38164	-0.45398	-0.52400	-0.59726	-0.65629	-0.70318	-0.74358	-0.77985	-0.79538	-0.79441	-0.77861	-0.76908	-0.74127	-0.71364	-0.67723	-0.64564	-0.64827	-0.58863	-0.52093	-0.49531	-0.47871	-0.37861	-0.27052	-0.15866	-0.06012	 0.06569	 0.21071	 0.40336	 0.61510	 0.82472	 0.97492	 0.99793	 0.99994	 0.46840	 0.12444	-0.11021	-0.19980	-0.28194	-0.32980	-0.38534	-0.40219	-0.40145	-0.41299	-0.42545	-0.44596	-0.43681	-0.41025	-0.35088	-0.27857	-0.17725	-0.08925	 0.00095	 0.09666	 0.22301	 0.15449	  0.2430	0.006908	 -0.0636	
       0	   0.004	0.013955	  0.2432	 -0.0636	  0.2432	0.013937	0.006896	  0.2435	2.981E+6	   0.234	 3820.12	   82.14	  299.61	   0.000	 0.15682	 0.09728	 0.04213	-0.01898	-0.08435	-0.15522	-0.23112	-0.30559	-0.38163	-0.45397	-0.52399	-0.59726	-0.65628	-0.70318	-0.74426	-0.78055	-0.79538	-0.79441	-0.77861	-0.76908	-0.74197	-0.71364	-0.67652	-0.64563	-0.64756	-0.58862	-0.52092	-0.49598	-0.47870	-0.37860	-0.26979	-0.15864	-0.06010	 0.06642	 0.21073	 0.40339	 0.61513	 0.82549	 0.97496	 0.99867	 0.99963	 0.46843	 0.12447	-0.11093	-0.19943	-0.28227	-0.32979	-0.38567	-0.40218	-0.40144	-0.41299	-0.42474	-0.44595	-0.43716	-0.41024	-0.35052	-0.27856	-0.17688	-0.08887	 0.00134	 0.09633	 0.22268	 0.15415	  0.2430	0.006912	 -0.0636	
       0	   0.004	0.014019	  0.2430	 -0.0635	  0.2430	0.014001	0.006914	  0.2434	2.981E+6	   0.234	 3820.14	   82.14	  299.11	   0.000	 0.15704	 0.09742	 0.04227	-0.01891	-0.08415	-0.15508	-0.23098	-0.30538	-0.38085	-0.45389	-0.52391	-0.59718	-0.65551	-0.70241	-0.74350	-0.78047	-0.79530	-0.79433	-0.77853	-0.76900	-0.74190	-0.71288	-0.67645	-0.64487	-0.64678	-0.58787	-0.52085	-0.49523	-0.47793	-0.37783	-0.26972	-0.15787	-0.06002	 0.06649	 0.21150	 0.40346	 0.61520	 0.82556	 0.97503	 0.99804	 0.99970	 0.46815	 0.12454	-0.11049	-0.19865	-0.28185	-0.32971	-0.38560	-0.40211	-0.40136	-0.41291	-0.42501	-0.44553	-0.43672	-0.41016	-0.35010	-0.27848	-0.17680	-0.08915	 0.00141	 0.09641	 0.22310	 0.15422	  0.2429	0.006930	 -0.0636	
       0	   0.004	0.013921	  0.2432	 -0.0635	  0.2432	0.013902	0.006893	  0.2435	2.981E+6	   0.234	 3820.02	   82.14	  298.61	   0.000	 0.15694	 0.09739	 0.04210	-0.01901	-0.08425	-0.15512	-0.23102	-0.30542	-0.38160	-0.45394	-0.52397	-0.59653	-0.65627	-0.70247	-0.74425	-0.78053	-0.79536	-0.79439	-0.77859	-0.76906	-0.74267	-0.71362	-0.67651	-0.64492	-0.64754	-0.58860	-0.52090	-0.49596	-0.47867	-0.37857	-0.26976	-0.15861	-0.06006	 0.06646	 0.21078	 0.40344	 0.61519	 0.82482	 0.97433	 0.99873	 0.99970	 0.46884	 0.12450	-0.11089	-0.19940	-0.28190	-0.32976	-0.38531	-0.40216	-0.40142	-0.41296	-0.42471	-0.44558	-0.43642	-0.41022	-0.35049	-0.27887	-0.17650	-0.08920	 0.00137	 0.09637	 0.22272	 0.15455	  0.2430	0.006908	 -0.0636	
       0	   0.004	0.014030	  0.2432	 -0.0636	  0.2432	0.014012	0.006873	  0.2435	2.981E+6	   0.234	 3820.05	   82.14	  298.12	   0.000	 0.15680	 0.09733	 0.04210	-0.01907	-0.08438	-0.15518	-0.23101	-0.30548	-0.38159	-0.45393	-0.52396	-0.59722	-0.65625	-0.70315	-0.74355	-0.78052	-0.79603	-0.79438	-0.77858	-0.76835	-0.74265	-0.71361	-0.67649	-0.64560	-0.64823	-0.58859	-0.52089	-0.49527	-0.47866	-0.37856	-0.27046	-0.15860	-0.06006	 0.06576	 0.21078	 0.40344	 0.61447	 0.82482	 0.97503	 0.99805	 1.00000	 0.46813	 0.12451	-0.11088	-0.19904	-0.28189	-0.33010	-0.38564	-0.40251	-0.40175	-0.41331	-0.42541	-0.44592	-0.43641	-0.41021	-0.35084	-0.27818	-0.17684	-0.08919	 0.00138	 0.09638	 0.22308	 0.15419	  0.2430	0.006888	 -0.0636	
       0	   0.004	0.014057	  0.2431	 -0.0636	  0.2431	0.014039	0.006885	  0.2435	2.981E+6	   0.234	 3820.02	   82.14	  297.63	   0.000	 0.15678	 0.09709	 0.04208	-0.01903	-0.08427	-0.15528	-0.23104	-0.30558	-0.38169	-0.45471	-0.52406	-0.59732	-0.65635	-0.70256	-0.74365	-0.78062	-0.79614	-0.79448	-0.77798	-0.76915	-0.74205	-0.71371	-0.67659	-0.64501	-0.64763	-0.58869	-0.52099	-0.49604	-0.47807	-0.37866	-0.27056	-0.15870	-0.06015	 0.06566	 0.21138	 0.40406	 0.61510	 0.82546	 0.97425	 0.99796	 1.00000	 0.46840	 0.12408	-0.11098	-0.19984	-0.28268	-0.32985	-0.38573	-0.40224	-0.40185	-0.41341	-0.42515	-0.44601	-0.43686	-0.41066	-0.35128	-0.27862	-0.17658	-0.08928	 0.00201	 0.09628	 0.22299	 0.15446	  0.2430	0.006901	 -0.0637	
       0	   0.001	0.013994	  0.2432	 -0.0637	  0.2432	0.013991	0.006877	  0.2436	2.981E+6	   0.234	 3819.92	   82.14	  297.12	   0.000	 0.15677	 0.09716	 0.04207	-0.01904	-0.08435	-0.15529	-0.23112	-0.30566	-0.38234	-0.45398	-0.52400	-0.59656	-0.65630	-0.70320	-0.74429	-0.78058	-0.79609	-0.79369	-0.77863	-0.76841	-0.74271	-0.71367	-0.67655	-0.64496	-0.64829	-0.58796	-0.52094	-0.49532	-0.47871	-0.37860	-0.26908	-0.15794	-0.05938	 0.06573	 0.21145	 0.40342	 0.61518	 0.82555	 0.97433	 0.99805	 1.00000	 0.46775	 0.12414	-0.11129	-0.19979	-0.28227	-0.33014	-0.38568	-0.40219	-0.40214	-0.41300	-0.42546	-0.44562	-0.43681	-0.40990	-0.35053	-0.27822	-0.17688	-0.08922	 0.00135	 0.09635	 0.22340	 0.15453	  0.2431	0.006908	 -0.0637	
       0	   0.004	0.013974	  0.2431	 -0.0636	  0.2431	0.013957	0.006900	  0.2435	2.981E+6	   0.234	 3819.91	   82.14	  296.63	   0.000	 0.15648	 0.09708	 0.04206	-0.01918	-0.08449	-0.15536	-0.23120	-0.30588	-0.38249	-0.45481	-0.52485	-0.59742	-0.65645	-0.70335	-0.74444	-0.78072	-0.79624	-0.79533	-0.77878	-0.76926	-0.74215	-0.71381	-0.67599	-0.64511	-0.64843	-0.58879	-0.52178	-0.49614	-0.47886	-0.37875	-0.26994	-0.15878	-0.06024	 0.06558	 0.21061	 0.40328	 0.61432	 0.82540	 0.97419	 0.99860	 0.99990	 0.46833	 0.12400	-0.11106	-0.20028	-0.28207	-0.33064	-0.38583	-0.40270	-0.40229	-0.41350	-0.42525	-0.44646	-0.43695	-0.41075	-0.35102	-0.27871	-0.17737	-0.08972	 0.00120	 0.09621	 0.22256	 0.15402	  0.2430	0.006915	 -0.0636	
