   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       0	   0.001	0.012494	  0.2529	 -0.0656	  0.2529	0.012489	0.006856	  0.2532	2.986E+6	   0.237	 3909.80	   83.45	  230.00	   0.000	 0.16435	 0.09875	 0.04111	-0.02174	-0.08851	-0.16047	-0.23770	-0.31309	-0.38939	-0.46219	-0.53245	-0.60502	-0.66581	-0.71131	-0.75382	-0.79193	-0.80655	-0.80670	-0.78941	-0.78213	-0.75406	-0.72751	-0.69133	-0.65792	-0.60737	-0.55295	-0.49689	-0.47482	-0.44695	-0.35585	-0.26443	-0.20766	-0.10805	 0.02736	 0.18004	 0.37457	 0.59593	 0.81345	 0.97127	 0.99895	 1.00000	 0.46827	 0.11828	-0.12706	-0.24758	-0.25890	-0.29147	-0.35348	-0.35966	-0.39002	-0.41531	-0.42510	-0.44671	-0.43638	-0.40993	-0.34981	-0.27738	-0.17608	-0.08662	 0.00440	 0.09977	 0.23035	 0.16303	  0.2527	0.006888	 -0.0656	
       0	   0.001	0.012461	  0.2530	 -0.0656	  0.2530	0.012456	0.006830	  0.2533	2.986E+6	   0.237	 3909.78	   83.45	  230.00	   0.000	 0.16443	 0.09895	 0.04118	-0.02174	-0.08858	-0.16054	-0.23790	-0.31323	-0.38939	-0.46219	-0.53314	-0.60503	-0.66581	-0.71199	-0.75315	-0.79193	-0.80588	-0.80743	-0.78873	-0.78145	-0.75475	-0.72752	-0.69202	-0.65860	-0.60668	-0.55295	-0.49757	-0.47548	-0.44763	-0.35653	-0.26513	-0.20766	-0.10805	 0.02667	 0.17938	 0.37527	 0.59593	 0.81345	 0.97060	 0.99896	 1.00000	 0.46792	 0.11829	-0.12634	-0.24724	-0.25856	-0.29182	-0.35348	-0.35966	-0.39003	-0.41567	-0.42545	-0.44705	-0.43708	-0.40925	-0.34981	-0.27705	-0.17608	-0.08628	 0.00404	 0.09977	 0.23035	 0.16303	  0.2528	0.006861	 -0.0656	
       0	   0.001	0.012470	  0.2530	 -0.0656	  0.2530	0.012465	0.006856	  0.2533	2.986E+6	   0.237	 3909.78	   83.45	  229.93	   0.000	 0.16441	 0.09907	 0.04109	-0.02169	-0.08853	-0.16063	-0.23785	-0.31331	-0.38941	-0.46220	-0.53315	-0.60574	-0.66583	-0.71201	-0.75384	-0.79195	-0.80657	-0.80672	-0.78943	-0.78215	-0.75546	-0.72753	-0.69135	-0.65726	-0.60739	-0.55297	-0.49691	-0.47550	-0.44697	-0.35587	-0.26515	-0.20768	-0.10737	 0.02734	 0.17936	 0.37525	 0.59661	 0.81343	 0.97058	 0.99894	 1.00000	 0.46825	 0.11827	-0.12708	-0.24726	-0.25892	-0.29184	-0.35384	-0.35968	-0.38971	-0.41533	-0.42513	-0.44673	-0.43710	-0.40961	-0.34983	-0.27741	-0.17610	-0.08665	 0.00438	 0.09975	 0.23067	 0.16265	  0.2528	0.006887	 -0.0657	
       0	   0.001	0.012533	  0.2530	 -0.0656	  0.2530	0.012528	0.006848	  0.2533	2.986E+6	   0.237	 3909.83	   83.45	  229.58	   0.000	 0.16418	 0.09898	 0.04114	-0.02163	-0.08848	-0.16050	-0.23780	-0.31319	-0.38942	-0.46221	-0.53316	-0.60575	-0.66515	-0.71202	-0.75384	-0.79195	-0.80657	-0.80745	-0.78943	-0.78216	-0.75478	-0.72754	-0.69204	-0.65794	-0.60671	-0.55298	-0.49692	-0.47485	-0.44698	-0.35656	-0.26516	-0.20769	-0.10808	 0.02664	 0.17934	 0.37523	 0.59519	 0.81270	 0.97055	 0.99890	 0.99990	 0.46823	 0.11825	-0.12637	-0.24727	-0.25859	-0.29150	-0.35351	-0.35969	-0.38938	-0.41569	-0.42548	-0.44708	-0.43641	-0.40962	-0.35052	-0.27742	-0.17645	-0.08666	 0.00401	 0.09974	 0.23065	 0.16299	  0.2528	0.006880	 -0.0656	
       0	   0.001	0.012375	  0.2530	 -0.0656	  0.2530	0.012370	0.006844	  0.2533	2.985E+6	   0.237	 3909.71	   83.45	  229.08	   0.000	 0.16438	 0.09890	 0.04106	-0.02179	-0.08857	-0.16066	-0.23789	-0.31322	-0.38952	-0.46232	-0.53327	-0.60585	-0.66595	-0.71145	-0.75395	-0.79207	-0.80669	-0.80757	-0.78886	-0.78227	-0.75489	-0.72765	-0.69215	-0.65805	-0.60681	-0.55308	-0.49702	-0.47561	-0.44776	-0.35598	-0.26526	-0.20778	-0.10748	 0.02655	 0.17926	 0.37446	 0.59582	 0.81263	 0.97049	 0.99885	 1.00000	 0.46851	 0.11849	-0.12682	-0.24737	-0.25869	-0.29160	-0.35395	-0.35944	-0.39016	-0.41580	-0.42524	-0.44718	-0.43686	-0.40972	-0.34994	-0.27752	-0.17621	-0.08640	 0.00428	 0.09931	 0.23057	 0.16291	  0.2528	0.006875	 -0.0656	
       0	   0.001	0.012344	  0.2529	 -0.0655	  0.2529	0.012339	0.006857	  0.2532	2.985E+6	   0.237	 3909.66	   83.45	  228.57	   0.000	 0.16443	 0.09894	 0.04103	-0.02175	-0.08866	-0.16076	-0.23785	-0.31325	-0.38955	-0.46235	-0.53330	-0.60588	-0.66529	-0.71148	-0.75399	-0.79210	-0.80672	-0.80687	-0.78958	-0.78162	-0.75492	-0.72768	-0.69150	-0.65808	-0.60684	-0.55311	-0.49705	-0.47498	-0.44779	-0.35669	-0.26459	-0.20713	-0.10820	 0.02653	 0.17990	 0.37513	 0.59580	 0.81262	 0.97048	 0.99882	 0.99984	 0.46849	 0.11847	-0.12685	-0.24774	-0.25906	-0.29163	-0.35397	-0.35981	-0.38984	-0.41511	-0.42526	-0.44721	-0.43619	-0.40975	-0.34962	-0.27754	-0.17623	-0.08712	 0.00426	 0.09963	 0.23021	 0.16253	  0.2528	0.006888	 -0.0656	
       0	   0.001	0.012336	  0.2529	 -0.0656	  0.2529	0.012332	0.006838	  0.2532	2.985E+6	   0.237	 3909.63	   83.45	  228.08	   0.000	 0.16437	 0.09861	 0.04110	-0.02201	-0.08866	-0.16082	-0.23799	-0.31345	-0.38969	-0.46182	-0.53343	-0.60533	-0.66543	-0.71162	-0.75412	-0.79224	-0.80686	-0.80701	-0.78972	-0.78176	-0.75506	-0.72849	-0.69163	-0.65822	-0.60629	-0.55325	-0.49719	-0.47578	-0.44792	-0.35682	-0.26542	-0.20794	-0.10833	 0.02709	 0.17977	 0.37500	 0.59567	 0.81321	 0.97036	 0.99941	 1.00000	 0.46801	 0.11834	-0.12698	-0.24787	-0.25885	-0.29176	-0.35377	-0.35960	-0.39032	-0.41596	-0.42540	-0.44768	-0.43668	-0.40954	-0.35010	-0.27767	-0.17670	-0.08691	 0.00412	 0.09984	 0.23042	 0.16240	  0.2528	0.006870	 -0.0656	
       0	   0.001	0.012387	  0.2532	 -0.0656	  0.2532	0.012382	0.006842	  0.2535	2.985E+6	   0.237	 3909.64	   83.45	  227.58	   0.000	 0.16433	 0.09871	 0.04114	-0.02205	-0.08863	-0.16086	-0.23795	-0.31341	-0.39034	-0.46244	-0.53340	-0.60667	-0.66608	-0.71226	-0.75342	-0.79220	-0.80682	-0.80770	-0.78968	-0.78241	-0.75502	-0.72778	-0.69160	-0.65818	-0.60694	-0.55321	-0.49715	-0.47574	-0.44789	-0.35679	-0.26538	-0.20791	-0.10760	 0.02643	 0.17914	 0.37503	 0.59571	 0.81324	 0.97106	 0.99875	 1.00000	 0.46769	 0.11837	-0.12695	-0.24784	-0.25882	-0.29139	-0.35408	-0.35957	-0.38995	-0.41522	-0.42537	-0.44731	-0.43699	-0.40986	-0.35007	-0.27731	-0.17599	-0.08653	 0.00415	 0.09987	 0.23045	 0.16279	  0.2530	0.006874	 -0.0657	
       0	   0.001	0.012301	  0.2531	 -0.0656	  0.2531	0.012296	0.006868	  0.2534	2.985E+6	   0.237	 3909.58	   83.45	  227.09	   0.000	 0.16426	 0.09871	 0.04094	-0.02197	-0.08882	-0.16086	-0.23802	-0.31348	-0.38965	-0.46245	-0.53340	-0.60599	-0.66608	-0.71226	-0.75343	-0.79221	-0.80683	-0.80771	-0.78901	-0.78241	-0.75503	-0.72779	-0.69160	-0.65819	-0.60695	-0.55322	-0.49648	-0.47575	-0.44722	-0.35679	-0.26538	-0.20791	-0.10829	 0.02712	 0.17915	 0.37505	 0.59572	 0.81326	 0.97108	 0.99877	 1.00000	 0.46840	 0.11871	-0.12659	-0.24749	-0.25882	-0.29173	-0.35374	-0.35992	-0.38995	-0.41522	-0.42572	-0.44663	-0.43699	-0.40951	-0.35007	-0.27731	-0.17599	-0.08687	 0.00416	 0.09953	 0.23046	 0.16280	  0.2530	0.006900	 -0.0657	
