   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       0	   0.000	0.011269	  0.2507	 -0.0658	  0.2507	0.011267	0.007417	  0.2509	2.008E+6	   0.159	 1758.94	   55.90	  260.00	   0.000	 0.16702	 0.09993	 0.04226	-0.02109	-0.08733	-0.15973	-0.23512	-0.31058	-0.38558	-0.45623	-0.52679	-0.59574	-0.65602	-0.70167	-0.74338	-0.77977	-0.79415	-0.79352	-0.77675	-0.76874	-0.74671	-0.71549	-0.68284	-0.64718	-0.59649	-0.53428	-0.47553	-0.43585	-0.49214	-0.38858	-0.28836	-0.17677	-0.07446	 0.04682	 0.19149	 0.38436	 0.60057	 0.81426	 0.97242	 0.99952	 1.00000	 0.46951	 0.13043	-0.10661	-0.19820	-0.26613	-0.34246	-0.33783	-0.35084	-0.38716	-0.40779	-0.42054	-0.43822	-0.42940	-0.40552	-0.34637	-0.27359	-0.17246	-0.08385	 0.00754	 0.10256	 0.23628	 0.16596	  0.2507	0.007454	 -0.0659	
       0	   0.000	0.011250	  0.2504	 -0.0658	  0.2504	0.011249	0.007490	  0.2506	2.008E+6	   0.159	 1758.84	   55.90	  260.00	   0.000	 0.16687	 0.09979	 0.04198	-0.02109	-0.08763	-0.15973	-0.23513	-0.31059	-0.38560	-0.45774	-0.52682	-0.59577	-0.65606	-0.70171	-0.74194	-0.77982	-0.79568	-0.79357	-0.77679	-0.76879	-0.74675	-0.71553	-0.68288	-0.64571	-0.59652	-0.53431	-0.47555	-0.43587	-0.49217	-0.38710	-0.28837	-0.17678	-0.07446	 0.04836	 0.19151	 0.38439	 0.60062	 0.81432	 0.97249	 0.99959	 1.00000	 0.46954	 0.13118	-0.10741	-0.19743	-0.26538	-0.34322	-0.33710	-0.35163	-0.38643	-0.40781	-0.42132	-0.43973	-0.43097	-0.40477	-0.34562	-0.27434	-0.17245	-0.08462	 0.00596	 0.10258	 0.23631	 0.16598	  0.2505	0.007527	 -0.0659	
       0	   0.000	0.011333	  0.2505	 -0.0658	  0.2505	0.011332	0.007440	  0.2507	2.008E+6	   0.159	 1758.77	   55.90	  259.95	   0.000	 0.16691	 0.09983	 0.04216	-0.02106	-0.08760	-0.15986	-0.23526	-0.31072	-0.38558	-0.45772	-0.52681	-0.59576	-0.65605	-0.70171	-0.74342	-0.77981	-0.79568	-0.79516	-0.77679	-0.76878	-0.74675	-0.71403	-0.68287	-0.64721	-0.59804	-0.53430	-0.47553	-0.43585	-0.49215	-0.38858	-0.28835	-0.17675	-0.07289	 0.04992	 0.19155	 0.38443	 0.59912	 0.81439	 0.97105	 0.99963	 0.99941	 0.46960	 0.13048	-0.10738	-0.19895	-0.26611	-0.34320	-0.33857	-0.35161	-0.38641	-0.40858	-0.42131	-0.43896	-0.43095	-0.40475	-0.34560	-0.27357	-0.17243	-0.08459	 0.00679	 0.10185	 0.23635	 0.16602	  0.2505	0.007476	 -0.0659	
       0	   0.000	0.011368	  0.2502	 -0.0657	  0.2502	0.011367	0.007498	  0.2504	2.008E+6	   0.159	 1758.71	   55.90	  259.60	   0.000	 0.16668	 0.09959	 0.04192	-0.02130	-0.08784	-0.16011	-0.23551	-0.31098	-0.38584	-0.45798	-0.52707	-0.59602	-0.65632	-0.70197	-0.74369	-0.78009	-0.79595	-0.79543	-0.77706	-0.76905	-0.74396	-0.71579	-0.68314	-0.64597	-0.59831	-0.53456	-0.47429	-0.43611	-0.49241	-0.38884	-0.28860	-0.17700	-0.07467	 0.04816	 0.19282	 0.38575	 0.60045	 0.81417	 0.97085	 0.99791	 0.99995	 0.46859	 0.12951	-0.10682	-0.19842	-0.26636	-0.34421	-0.33733	-0.35108	-0.38815	-0.40725	-0.42156	-0.43997	-0.43198	-0.40500	-0.34660	-0.27456	-0.17342	-0.08483	 0.00576	 0.10162	 0.23612	 0.16501	  0.2502	0.007535	 -0.0658	
       0	   0.000	0.011313	  0.2503	 -0.0657	  0.2503	0.011312	0.007420	  0.2505	2.008E+6	   0.159	 1758.64	   55.90	  259.12	   0.000	 0.16676	 0.09982	 0.04214	-0.02107	-0.08762	-0.15988	-0.23529	-0.31076	-0.38424	-0.45792	-0.52701	-0.59597	-0.65779	-0.70192	-0.74216	-0.78004	-0.79442	-0.79539	-0.77853	-0.76749	-0.74545	-0.71574	-0.68308	-0.64742	-0.59672	-0.53450	-0.47423	-0.43605	-0.49235	-0.38878	-0.28854	-0.17693	-0.07460	 0.04824	 0.19140	 0.38430	 0.60055	 0.81428	 0.97247	 0.99957	 1.00000	 0.46868	 0.13033	-0.10835	-0.19989	-0.26705	-0.34339	-0.33876	-0.35180	-0.38734	-0.40798	-0.42073	-0.43915	-0.43114	-0.40571	-0.34578	-0.27450	-0.17184	-0.08398	 0.00583	 0.10170	 0.23620	 0.16587	  0.2503	0.007456	 -0.0658	
       0	   0.000	0.011405	  0.2506	 -0.0658	  0.2506	0.011403	0.007453	  0.2508	2.008E+6	   0.159	 1758.57	   55.90	  258.62	   0.000	 0.16685	 0.09974	 0.04206	-0.02130	-0.08770	-0.15996	-0.23538	-0.31100	-0.38448	-0.45817	-0.52726	-0.59622	-0.65652	-0.70218	-0.74242	-0.77880	-0.79616	-0.79565	-0.77727	-0.76926	-0.74571	-0.71599	-0.68334	-0.64617	-0.59851	-0.53475	-0.47598	-0.43777	-0.49260	-0.38752	-0.28724	-0.17716	-0.07329	 0.04801	 0.19268	 0.38408	 0.60034	 0.81566	 0.97227	 0.99784	 1.00000	 0.46847	 0.13084	-0.10779	-0.19783	-0.26654	-0.34288	-0.33826	-0.35127	-0.38759	-0.40665	-0.42098	-0.43941	-0.43140	-0.40596	-0.34604	-0.27325	-0.17285	-0.08422	 0.00639	 0.10223	 0.23598	 0.16642	  0.2506	0.007489	 -0.0659	
       0	   0.000	0.011347	  0.2507	 -0.0658	  0.2507	0.011345	0.007444	  0.2509	2.008E+6	   0.159	 1758.48	   55.90	  258.11	   0.000	 0.16685	 0.10004	 0.04236	-0.02100	-0.08741	-0.15982	-0.23539	-0.31072	-0.38435	-0.45804	-0.52714	-0.59610	-0.65641	-0.70207	-0.74379	-0.78019	-0.79606	-0.79394	-0.77716	-0.76916	-0.74560	-0.71588	-0.68323	-0.64605	-0.59686	-0.53614	-0.47435	-0.43617	-0.49248	-0.38889	-0.28865	-0.17551	-0.07469	 0.04968	 0.19134	 0.38425	 0.60052	 0.81585	 0.97097	 0.99958	 1.00000	 0.46942	 0.13099	-0.10765	-0.19769	-0.26641	-0.34351	-0.33813	-0.35114	-0.38747	-0.40811	-0.42086	-0.43854	-0.43050	-0.40507	-0.34440	-0.27312	-0.17346	-0.08408	 0.00574	 0.10238	 0.23688	 0.16658	  0.2507	0.007480	 -0.0659	
       0	   0.000	0.011400	  0.2506	 -0.0658	  0.2506	0.011398	0.007466	  0.2508	2.008E+6	   0.159	 1758.42	   55.90	  257.61	   0.000	 0.16682	 0.09971	 0.04202	-0.02135	-0.08775	-0.16017	-0.23559	-0.31093	-0.38609	-0.45825	-0.52735	-0.59631	-0.65662	-0.70228	-0.74401	-0.77891	-0.79479	-0.79416	-0.77738	-0.76937	-0.74734	-0.71610	-0.68191	-0.64777	-0.59860	-0.53484	-0.47456	-0.43638	-0.49269	-0.38910	-0.28885	-0.17571	-0.07334	 0.04949	 0.19266	 0.38407	 0.60035	 0.81411	 0.97081	 0.99940	 0.99992	 0.46846	 0.13080	-0.10704	-0.19866	-0.26736	-0.34371	-0.33908	-0.35134	-0.38693	-0.40752	-0.42106	-0.43799	-0.42992	-0.40604	-0.34611	-0.27407	-0.17366	-0.08504	 0.00635	 0.10295	 0.23595	 0.16483	  0.2506	0.007502	 -0.0659	
       0	   0.000	0.011204	  0.2505	 -0.0658	  0.2505	0.011203	0.007469	  0.2507	2.008E+6	   0.159	 1758.29	   55.89	  257.12	   0.000	 0.16693	 0.09980	 0.04212	-0.02111	-0.08767	-0.16010	-0.23552	-0.31101	-0.38450	-0.45820	-0.52730	-0.59627	-0.65658	-0.70225	-0.74249	-0.78038	-0.79476	-0.79414	-0.77735	-0.76782	-0.74578	-0.71607	-0.68341	-0.64623	-0.59703	-0.53480	-0.47451	-0.43632	-0.49264	-0.38904	-0.28878	-0.17715	-0.07326	 0.04806	 0.19276	 0.38419	 0.60049	 0.81584	 0.97097	 0.99803	 0.99933	 0.46937	 0.13090	-0.10695	-0.19781	-0.26654	-0.34365	-0.33826	-0.35128	-0.38761	-0.40825	-0.42025	-0.43869	-0.43065	-0.40598	-0.34604	-0.27399	-0.17358	-0.08341	 0.00644	 0.10153	 0.23681	 0.16571	  0.2505	0.007506	 -0.0659	
