   Runnr	   Alpha	      Cd	      Cl	      Cm	      Cn	      Ct	Cd-press	Cl-press	      Re	       M	       Q	       V	  Z_w.r.	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	 Cn-corr	 Ct-corr	 Cm-corr
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	      mm	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       0	   0.005	0.012739	  0.2539	 -0.0659	  0.2539	0.012718	0.006981	  0.2542	2.969E+6	   0.237	 3887.00	   83.29	  300.00	   0.000	 0.16447	 0.09901	 0.04090	-0.02224	-0.08908	-0.16162	-0.23888	-0.31457	-0.39038	-0.46300	-0.53498	-0.60796	-0.66775	-0.71356	-0.75567	-0.79461	-0.80803	-0.80928	-0.79208	-0.78271	-0.75648	-0.73054	-0.69547	-0.65985	-0.60828	-0.55428	-0.49857	-0.48107	-0.45309	-0.37030	-0.26887	-0.19525	-0.10249	 0.02466	 0.17763	 0.37600	 0.59584	 0.81101	 0.96872	 0.99986	 1.00000	 0.48965	 0.14678	-0.09345	-0.18605	-0.27177	-0.33495	-0.38870	-0.39264	-0.41102	-0.40781	-0.41972	-0.44193	-0.43231	-0.40619	-0.34613	-0.27474	-0.17273	-0.08614	 0.00581	 0.09993	 0.22718	 0.16391	  0.2537	0.006997	 -0.0660	
       0	   0.005	0.012571	  0.2541	 -0.0659	  0.2541	0.012550	0.006970	  0.2544	2.969E+6	   0.237	 3886.93	   83.29	  300.00	   0.000	 0.16464	 0.09905	 0.04113	-0.02214	-0.08918	-0.16158	-0.23891	-0.31454	-0.39105	-0.46365	-0.53427	-0.60794	-0.66772	-0.71354	-0.75498	-0.79459	-0.80801	-0.80853	-0.79206	-0.78406	-0.75646	-0.73051	-0.69545	-0.65982	-0.60894	-0.55426	-0.49990	-0.48038	-0.45374	-0.37095	-0.26884	-0.19522	-0.10245	 0.02470	 0.17834	 0.37604	 0.59518	 0.81106	 0.96877	 0.99922	 1.00000	 0.48970	 0.14681	-0.09378	-0.18602	-0.27140	-0.33424	-0.38766	-0.39261	-0.41099	-0.40779	-0.41935	-0.44157	-0.43299	-0.40651	-0.34611	-0.27505	-0.17304	-0.08576	 0.00584	 0.10031	 0.22756	 0.16430	  0.2539	0.006986	 -0.0660	
       0	   0.005	0.012571	  0.2541	 -0.0659	  0.2541	0.012550	0.006970	  0.2544	2.969E+6	   0.237	 3886.93	   83.29	  299.97	   0.000	 0.16464	 0.09905	 0.04113	-0.02214	-0.08918	-0.16158	-0.23891	-0.31454	-0.39105	-0.46365	-0.53427	-0.60794	-0.66772	-0.71354	-0.75498	-0.79459	-0.80801	-0.80853	-0.79206	-0.78406	-0.75646	-0.73051	-0.69545	-0.65982	-0.60894	-0.55426	-0.49990	-0.48038	-0.45374	-0.37095	-0.26884	-0.19522	-0.10245	 0.02470	 0.17834	 0.37604	 0.59518	 0.81106	 0.96877	 0.99922	 1.00000	 0.48970	 0.14681	-0.09378	-0.18602	-0.27140	-0.33424	-0.38766	-0.39261	-0.41099	-0.40779	-0.41935	-0.44157	-0.43299	-0.40651	-0.34611	-0.27505	-0.17304	-0.08576	 0.00584	 0.10031	 0.22756	 0.16430	  0.2539	0.006986	 -0.0660	
       0	   0.005	0.012839	  0.2540	 -0.0659	  0.2540	0.012818	0.006948	  0.2543	2.969E+6	   0.237	 3887.10	   83.30	  299.62	   0.000	 0.16443	 0.09885	 0.04093	-0.02234	-0.08924	-0.16156	-0.23910	-0.31473	-0.39047	-0.46309	-0.53438	-0.60804	-0.66783	-0.71364	-0.75575	-0.79469	-0.80811	-0.80936	-0.79285	-0.78347	-0.75726	-0.73061	-0.69624	-0.65993	-0.60973	-0.55504	-0.49932	-0.48115	-0.45386	-0.37107	-0.26896	-0.19535	-0.10258	 0.02456	 0.17752	 0.37589	 0.59502	 0.81018	 0.96927	 0.99974	 1.00000	 0.48954	 0.14635	-0.09391	-0.18580	-0.27152	-0.33436	-0.38811	-0.39308	-0.41111	-0.40790	-0.41981	-0.44202	-0.43204	-0.40697	-0.34622	-0.27517	-0.17316	-0.08553	 0.00571	 0.09983	 0.22707	 0.16346	  0.2538	0.006963	 -0.0659	
       0	   0.005	0.012875	  0.2539	 -0.0658	  0.2539	0.012854	0.006947	  0.2542	2.969E+6	   0.237	 3887.08	   83.29	  299.14	   0.000	 0.16454	 0.09909	 0.04111	-0.02196	-0.08886	-0.16125	-0.23872	-0.31435	-0.39023	-0.46285	-0.53414	-0.60710	-0.66759	-0.71340	-0.75484	-0.79514	-0.80787	-0.80912	-0.79261	-0.78255	-0.75702	-0.73037	-0.69531	-0.65969	-0.60949	-0.55480	-0.49908	-0.48024	-0.45294	-0.37015	-0.26872	-0.19510	-0.10303	 0.02411	 0.17777	 0.37544	 0.59457	 0.81114	 0.96953	 0.99998	 1.00000	 0.48979	 0.14725	-0.09366	-0.18555	-0.27162	-0.33445	-0.38821	-0.39214	-0.41086	-0.40765	-0.41922	-0.44177	-0.43250	-0.40638	-0.34598	-0.27492	-0.17292	-0.08564	 0.00596	 0.10042	 0.22698	 0.16406	  0.2537	0.006962	 -0.0659	
       0	   0.005	0.012705	  0.2539	 -0.0659	  0.2539	0.012684	0.006953	  0.2542	2.969E+6	   0.237	 3886.85	   83.29	  298.66	   0.000	 0.16442	 0.09884	 0.04099	-0.02215	-0.08906	-0.16153	-0.23887	-0.31443	-0.39038	-0.46300	-0.53430	-0.60727	-0.66775	-0.71357	-0.75501	-0.79394	-0.80872	-0.80929	-0.79209	-0.78340	-0.75719	-0.73054	-0.69548	-0.65985	-0.60896	-0.55496	-0.49924	-0.48040	-0.45377	-0.37098	-0.26956	-0.19524	-0.10247	 0.02399	 0.17765	 0.37603	 0.59518	 0.81035	 0.96878	 0.99923	 1.00000	 0.48969	 0.14714	-0.09379	-0.18569	-0.27142	-0.33426	-0.38835	-0.39263	-0.41101	-0.40816	-0.41972	-0.44158	-0.43230	-0.40722	-0.34646	-0.27507	-0.17340	-0.08577	 0.00547	 0.10030	 0.22721	 0.16429	  0.2537	0.006968	 -0.0659	
       0	   0.005	0.012797	  0.2540	 -0.0659	  0.2540	0.012776	0.006951	  0.2543	2.969E+6	   0.237	 3886.86	   83.29	  298.14	   0.000	 0.16422	 0.09885	 0.04101	-0.02213	-0.08911	-0.16158	-0.23905	-0.31441	-0.38966	-0.46298	-0.53496	-0.60794	-0.66773	-0.71355	-0.75499	-0.79460	-0.80869	-0.80854	-0.79207	-0.78338	-0.75716	-0.73052	-0.69477	-0.65983	-0.60963	-0.55494	-0.49922	-0.48038	-0.45375	-0.37096	-0.26884	-0.19591	-0.10315	 0.02401	 0.17767	 0.37535	 0.59519	 0.81108	 0.96879	 0.99993	 1.00000	 0.48936	 0.14749	-0.09413	-0.18567	-0.27140	-0.33424	-0.38834	-0.39261	-0.41133	-0.40778	-0.41970	-0.44157	-0.43264	-0.40651	-0.34644	-0.27505	-0.17303	-0.08575	 0.00549	 0.09997	 0.22757	 0.16396	  0.2538	0.006966	 -0.0659	
       0	   0.005	0.012623	  0.2540	 -0.0659	  0.2540	0.012602	0.006983	  0.2543	2.969E+6	   0.237	 3886.71	   83.29	  297.66	   0.000	 0.16416	 0.09879	 0.04100	-0.02221	-0.08925	-0.16166	-0.23913	-0.31463	-0.39044	-0.46374	-0.53505	-0.60804	-0.66783	-0.71365	-0.75576	-0.79539	-0.80813	-0.80864	-0.79286	-0.78348	-0.75657	-0.73062	-0.69556	-0.66061	-0.60973	-0.55503	-0.49931	-0.48113	-0.45316	-0.37104	-0.26892	-0.19530	-0.10322	 0.02463	 0.17761	 0.37599	 0.59515	 0.81033	 0.96876	 0.99990	 1.00000	 0.49001	 0.14676	-0.09385	-0.18575	-0.27149	-0.33398	-0.38809	-0.39235	-0.41142	-0.40787	-0.42013	-0.44200	-0.43273	-0.40660	-0.34653	-0.27513	-0.17346	-0.08583	 0.00542	 0.09990	 0.22716	 0.16424	  0.2539	0.006999	 -0.0659	
       0	   0.005	0.012780	  0.2541	 -0.0659	  0.2541	0.012759	0.006957	  0.2544	2.969E+6	   0.237	 3886.78	   83.29	  297.18	   0.000	 0.16421	 0.09863	 0.04092	-0.02243	-0.08940	-0.16160	-0.23928	-0.31477	-0.39115	-0.46308	-0.53506	-0.60735	-0.66783	-0.71365	-0.75576	-0.79471	-0.80880	-0.80938	-0.79287	-0.78349	-0.75727	-0.73063	-0.69556	-0.65993	-0.60974	-0.55504	-0.49932	-0.48114	-0.45385	-0.37105	-0.26963	-0.19600	-0.10254	 0.02461	 0.17758	 0.37527	 0.59512	 0.80958	 0.96872	 0.99918	 1.00000	 0.48928	 0.14673	-0.09387	-0.18611	-0.27150	-0.33434	-0.38810	-0.39237	-0.41109	-0.40824	-0.41980	-0.44201	-0.43238	-0.40661	-0.34654	-0.27548	-0.17347	-0.08585	 0.00576	 0.09988	 0.22714	 0.16387	  0.2539	0.006972	 -0.0660	
