   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.004	0.006168	  0.2990	 -0.0746	  0.2990	0.006149	2.991E+6	   0.224	 3558.42	   77.63	   0.000	 0.19682	 0.10045	 0.03710	-0.03090	-0.10315	-0.17571	-0.25573	-0.33094	-0.40775	-0.47717	-0.54139	-0.62443	-0.71646	-0.75777	-0.79947	-0.83056	-0.84812	-0.84405	-0.83300	-0.82057	-0.79877	-0.76500	-0.74111	-0.71050	-0.66007	-0.59662	-0.54395	-0.52167	-0.49856	-0.41070	-0.30394	-0.19678	-0.09588	 0.02413	 0.16801	 0.35886	 0.57455	 0.79278	 0.96022	 0.99948	 1.00000	 0.52871	 0.19334	-0.04147	-0.14070	-0.22828	-0.29243	-0.34160	-0.35367	-0.38488	-0.40975	-0.42085	-0.43099	-0.42947	-0.40491	-0.35139	-0.27463	-0.14397	-0.06756	 0.02041	 0.12479	 0.27423	 0.19614	  0.2988	0.006190	 -0.0747	
       2	   0.004	0.005945	  0.2986	 -0.0745	  0.2986	0.005926	2.975E+6	   0.224	 3550.19	   77.67	   0.000	 0.19911	 0.10283	 0.03934	-0.02880	-0.10110	-0.17376	-0.25385	-0.32917	-0.40597	-0.47552	-0.53972	-0.62355	-0.71508	-0.75642	-0.79821	-0.82936	-0.84698	-0.84294	-0.83203	-0.81967	-0.79794	-0.76419	-0.74040	-0.70980	-0.65944	-0.59607	-0.54342	-0.52115	-0.49808	-0.41025	-0.30343	-0.19635	-0.09543	 0.02452	 0.16838	 0.35921	 0.57485	 0.79304	 0.96031	 0.99957	 1.00000	 0.52880	 0.19354	-0.04123	-0.14042	-0.22795	-0.29213	-0.34121	-0.35325	-0.38440	-0.40916	-0.42020	-0.43023	-0.42863	-0.40396	-0.35043	-0.27362	-0.14285	-0.06636	 0.02170	 0.12618	 0.27590	 0.19767	  0.2984	0.005965	 -0.0745	
       3	   4.122	0.008071	  0.7781	 -0.0791	  0.7767	-0.047882	2.947E+6	   0.223	 3527.46	   77.61	   0.000	 0.18604	 0.09660	 0.02276	-0.05667	-0.14078	-0.22920	-0.32542	-0.41902	-0.51664	-0.60885	-0.70079	-0.79997	-0.87869	-0.94133	-1.07634	-1.12351	-1.16340	-1.18382	-1.20104	-1.21634	-1.22101	-1.21790	-1.22507	-1.23122	-1.20922	-1.17518	-1.16286	-1.19343	-1.23592	-1.19985	-1.13578	-1.08652	-1.05464	-1.02201	-0.96982	-0.83336	-0.62430	-0.32434	 0.14334	 0.39895	 0.41260	 1.00000	 0.88716	 0.69101	 0.52143	 0.37598	 0.25469	 0.15255	 0.08605	 0.01465	-0.04709	-0.09384	-0.13697	-0.16552	-0.17281	-0.14746	-0.10897	-0.05181	 0.04351	 0.10377	 0.18701	 0.30291	 0.18612	  0.7763	-0.047458	 -0.0793	
       4	   6.172	0.010586	  0.9844	 -0.0775	  0.9798	-0.095300	2.990E+6	   0.227	 3656.20	   79.12	   0.000	 0.14347	 0.08587	 0.01918	-0.05798	-0.14294	-0.23717	-0.33969	-0.44193	-0.54932	-0.65293	-0.75771	-0.86987	-0.96950	-1.05219	-1.13260	-1.21601	-1.26285	-1.29336	-1.36027	-1.40102	-1.41833	-1.43169	-1.45570	-1.48190	-1.47667	-1.46136	-1.47524	-1.53625	-1.61527	-1.61412	-1.58229	-1.57455	-1.59471	-1.63059	-1.65841	-1.59161	-1.44284	-1.16907	-0.59529	-0.28981	-0.27887	 0.93434	 0.99365	 0.88167	 0.72995	 0.58562	 0.45609	 0.34241	 0.25992	 0.17623	 0.10176	 0.04210	-0.01305	-0.05351	-0.07412	-0.06277	-0.03566	 0.00725	 0.08990	 0.13782	 0.21038	 0.30567	 0.15460	  0.9794	-0.094625	 -0.0777	
       5	   0.000	0.006037	  0.3003	 -0.0746	  0.3003	0.006035	3.004E+6	   0.229	 3710.90	   79.80	   0.000	 0.19686	 0.10049	 0.03700	-0.03108	-0.10339	-0.17602	-0.25616	-0.33146	-0.40843	-0.47810	-0.54177	-0.62482	-0.71821	-0.75958	-0.80142	-0.83266	-0.85025	-0.84619	-0.83541	-0.82310	-0.80123	-0.76758	-0.74364	-0.71309	-0.66268	-0.59913	-0.54651	-0.52405	-0.50115	-0.41318	-0.30610	-0.19900	-0.09791	 0.02219	 0.16615	 0.35717	 0.57311	 0.79152	 0.95960	 0.99952	 1.00000	 0.53098	 0.19580	-0.03961	-0.13931	-0.22727	-0.29202	-0.34141	-0.35370	-0.38515	-0.41012	-0.42126	-0.43149	-0.42995	-0.40541	-0.35199	-0.27294	-0.14425	-0.06775	 0.02019	 0.12467	 0.27428	 0.19618	  0.3001	0.006077	 -0.0747	
       6	   1.038	0.006825	  0.4206	 -0.0762	  0.4206	-0.000793	2.998E+6	   0.229	 3702.06	   79.72	   0.000	 0.19461	 0.09797	 0.03143	-0.03974	-0.11514	-0.19172	-0.27591	-0.35570	-0.43796	-0.51347	-0.58511	-0.65590	-0.77225	-0.82284	-0.86785	-0.90452	-0.92822	-0.92992	-0.92570	-0.91975	-0.90376	-0.87699	-0.85995	-0.83754	-0.79311	-0.73572	-0.69147	-0.68033	-0.67150	-0.59366	-0.49353	-0.39732	-0.30739	-0.20141	-0.07036	 0.11933	 0.34885	 0.60570	 0.85637	 0.96508	 0.97208	 0.73551	 0.42741	 0.18227	 0.05131	-0.05852	-0.14248	-0.20864	-0.23701	-0.28029	-0.31594	-0.33699	-0.35641	-0.36288	-0.34674	-0.29887	-0.25004	-0.10814	-0.04118	 0.04012	 0.13947	 0.28111	 0.19411	  0.4204	-0.000701	 -0.0763	
       7	   2.065	0.007216	  0.5438	 -0.0779	  0.5437	-0.012383	2.998E+6	   0.229	 3703.16	   79.75	   0.000	 0.19215	 0.09616	 0.02675	-0.04741	-0.12598	-0.20651	-0.29487	-0.37932	-0.46692	-0.54801	-0.62687	-0.70770	-0.79486	-0.89096	-0.93711	-0.97834	-1.00820	-1.01639	-1.01902	-1.01990	-1.01048	-0.99116	-0.98164	-0.96828	-0.93071	-0.88023	-0.84526	-0.84714	-0.85421	-0.78836	-0.69809	-0.61487	-0.54071	-0.45398	-0.34261	-0.16254	 0.07073	 0.35436	 0.68431	 0.85239	 0.86375	 0.88399	 0.62228	 0.38116	 0.22754	 0.10017	 0.00050	-0.08029	-0.12327	-0.17736	-0.22283	-0.25331	-0.28140	-0.29577	-0.28784	-0.24718	-0.20067	-0.07318	-0.01366	 0.06078	 0.15498	 0.28814	 0.19185	  0.5434	-0.012207	 -0.0780	
       8	   3.092	0.007697	  0.6653	 -0.0790	  0.6648	-0.028205	2.992E+6	   0.228	 3693.60	   79.66	   0.000	 0.18875	 0.09473	 0.02274	-0.05430	-0.13589	-0.22037	-0.31287	-0.40204	-0.49482	-0.58152	-0.66725	-0.75812	-0.82439	-0.94936	-1.00936	-1.05326	-1.08905	-1.10354	-1.11345	-1.12155	-1.11907	-1.10758	-1.10624	-1.10259	-1.07238	-1.02983	-1.00568	-1.02136	-1.04601	-0.99428	-0.91592	-0.84842	-0.79395	-0.73195	-0.64681	-0.48444	-0.25805	 0.04009	 0.44344	 0.66027	 0.67474	 0.97238	 0.77668	 0.55237	 0.38588	 0.24675	 0.13402	 0.04115	-0.01478	-0.07808	-0.13246	-0.17164	-0.20785	-0.22950	-0.22955	-0.19660	-0.15339	-0.05880	 0.01433	 0.08181	 0.17056	 0.29500	 0.18878	  0.6644	-0.027910	 -0.0792	
       9	   4.119	0.008133	  0.7819	 -0.0795	  0.7805	-0.048056	2.999E+6	   0.229	 3714.98	   79.91	   0.000	 0.18342	 0.09398	 0.02006	-0.05945	-0.14366	-0.23216	-0.32858	-0.42226	-0.52013	-0.61263	-0.70487	-0.80451	-0.88395	-0.94293	-1.08086	-1.12906	-1.16883	-1.18933	-1.20650	-1.22192	-1.22662	-1.22365	-1.23077	-1.23703	-1.21493	-1.18090	-1.16858	-1.19916	-1.24205	-1.20600	-1.14172	-1.09245	-1.06050	-1.02800	-0.97593	-0.83914	-0.62987	-0.32955	 0.13963	 0.39585	 0.41120	 1.00000	 0.88836	 0.69272	 0.52302	 0.37748	 0.25581	 0.15341	 0.08661	 0.01495	-0.04695	-0.09389	-0.13730	-0.16586	-0.17344	-0.14808	-0.10976	-0.05058	 0.04197	 0.10256	 0.18592	 0.30136	 0.18436	  0.7801	-0.047620	 -0.0796	
