   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   4.115	0.009151	  0.7565	 -0.0776	  0.7552	-0.045160	1.004E+6	   0.075	  396.07	   25.82	   0.000	 0.18478	 0.09350	 0.02207	-0.05565	-0.13578	-0.22309	-0.31254	-0.40576	-0.49085	-0.57600	-0.65265	-0.76929	-0.94046	-0.98119	-1.02545	-1.07330	-1.11607	-1.14444	-1.16433	-1.17077	-1.17604	-1.17478	-1.18729	-1.18583	-1.16867	-1.13167	-1.13158	-1.15628	-1.19795	-1.15208	-1.10071	-1.05385	-1.03254	-0.98863	-0.94980	-0.80258	-0.61110	-0.29659	 0.14401	 0.40131	 0.42056	 1.00000	 0.88056	 0.69019	 0.50992	 0.37032	 0.25006	 0.15040	 0.08529	 0.02004	-0.04564	-0.09202	-0.13370	-0.16007	-0.16928	-0.14160	-0.09648	-0.05029	-0.01024	 0.12585	 0.18868	 0.30522	 0.18633	  0.7556	-0.044787	 -0.0779	
       2	   0.006	0.007260	  0.2860	 -0.0722	  0.2860	0.007228	1.007E+6	   0.075	  397.58	   25.87	   0.000	 0.19243	 0.10100	 0.04026	-0.02599	-0.09448	-0.16578	-0.23748	-0.30915	-0.36997	-0.46772	-0.60053	-0.63852	-0.67794	-0.72962	-0.76827	-0.79691	-0.81572	-0.81794	-0.80981	-0.79107	-0.77101	-0.73745	-0.72017	-0.68415	-0.63875	-0.57725	-0.53196	-0.50543	-0.48577	-0.39409	-0.29114	-0.18310	-0.09623	 0.03020	 0.16699	 0.37105	 0.57501	 0.80309	 0.96511	 0.99108	 0.99793	 0.52698	 0.18476	-0.03602	-0.14524	-0.22638	-0.28860	-0.33544	-0.34668	-0.37137	-0.40004	-0.41080	-0.41976	-0.41536	-0.39235	-0.33451	-0.27793	-0.21972	-0.05157	 0.03255	 0.12509	 0.27595	 0.19332	  0.2861	0.007274	 -0.0724	
       3	   6.172	0.010972	  0.9774	 -0.0785	  0.9729	-0.094176	1.006E+6	   0.075	  395.96	   25.81	   0.000	 0.17336	 0.09294	 0.01942	-0.06195	-0.14692	-0.24052	-0.33820	-0.43977	-0.53509	-0.63537	-0.73414	-0.83332	-0.91434	-1.10230	-1.17273	-1.20909	-1.26400	-1.30524	-1.33670	-1.35842	-1.37882	-1.38660	-1.41625	-1.44061	-1.44124	-1.42466	-1.45138	-1.50543	-1.58162	-1.57129	-1.55282	-1.55085	-1.58336	-1.60950	-1.65142	-1.57923	-1.44853	-1.16918	-0.63652	-0.32753	-0.31375	 0.92461	 0.99126	 0.88891	 0.72949	 0.58933	 0.46036	 0.34510	 0.26378	 0.18908	 0.11016	 0.05031	-0.00346	-0.04167	-0.06408	-0.05118	-0.01880	 0.02045	 0.06132	 0.13578	 0.22330	 0.31787	 0.17581	  0.9737	-0.093547	 -0.0790	
       4	   0.002	0.007330	  0.2848	 -0.0722	  0.2848	0.007318	1.009E+6	   0.075	  398.01	   25.86	   0.000	 0.19179	 0.10047	 0.03986	-0.02632	-0.09475	-0.16582	-0.23756	-0.30931	-0.37009	-0.46004	-0.60137	-0.63904	-0.67809	-0.72899	-0.76735	-0.79519	-0.81430	-0.81766	-0.80887	-0.78934	-0.76898	-0.73546	-0.71804	-0.68162	-0.63713	-0.57505	-0.52926	-0.50275	-0.48344	-0.39174	-0.28865	-0.18630	-0.09353	 0.03277	 0.16974	 0.37253	 0.57758	 0.80471	 0.96615	 0.99215	 0.99774	 0.52497	 0.18308	-0.03821	-0.14649	-0.22822	-0.28924	-0.33638	-0.34702	-0.37201	-0.40104	-0.41134	-0.41986	-0.41610	-0.39296	-0.33508	-0.27815	-0.21786	-0.05167	 0.03279	 0.12438	 0.27580	 0.19335	  0.2850	0.007363	 -0.0724	
       5	   1.032	0.007741	  0.4070	 -0.0743	  0.4071	0.000410	1.009E+6	   0.075	  397.70	   25.85	   0.000	 0.19032	 0.09777	 0.03421	-0.03501	-0.10614	-0.18192	-0.25825	-0.33590	-0.40013	-0.45839	-0.66404	-0.69983	-0.73618	-0.78761	-0.83115	-0.86480	-0.89012	-0.90030	-0.89707	-0.88293	-0.86928	-0.84333	-0.83295	-0.80406	-0.76610	-0.70998	-0.67221	-0.65731	-0.65231	-0.57064	-0.47623	-0.38706	-0.30460	-0.19249	-0.06827	 0.13168	 0.34970	 0.61722	 0.86042	 0.95825	 0.97045	 0.73497	 0.42014	 0.18665	 0.04390	-0.05854	-0.13860	-0.20307	-0.22999	-0.26656	-0.30629	-0.32703	-0.34461	-0.34946	-0.33498	-0.28396	-0.22609	-0.18886	-0.01724	 0.05490	 0.14005	 0.28287	 0.19169	  0.4073	0.000498	 -0.0745	
       6	   2.057	0.007917	  0.5237	 -0.0757	  0.5237	-0.010887	1.009E+6	   0.075	  397.50	   25.84	   0.000	 0.18835	 0.09532	 0.02882	-0.04344	-0.11762	-0.19719	-0.27806	-0.36144	-0.43256	-0.49920	-0.60457	-0.76812	-0.79862	-0.84764	-0.89422	-0.93360	-0.96434	-0.98160	-0.98452	-0.97759	-0.97101	-0.95163	-0.94821	-0.92820	-0.89596	-0.84771	-0.81969	-0.81709	-0.82555	-0.75625	-0.67193	-0.59661	-0.52773	-0.43663	-0.33212	-0.14136	 0.07995	 0.37548	 0.69016	 0.84953	 0.86453	 0.88110	 0.61128	 0.37901	 0.21514	 0.09507	-0.00232	-0.08046	-0.12135	-0.16882	-0.21831	-0.24810	-0.27421	-0.28654	-0.28048	-0.23713	-0.18103	-0.13806	 0.00076	 0.07553	 0.15512	 0.28984	 0.18979	  0.5239	-0.010734	 -0.0760	
       7	   3.083	0.008870	  0.6408	 -0.0769	  0.6404	-0.025604	1.008E+6	   0.075	  397.15	   25.83	   0.000	 0.18625	 0.09371	 0.02468	-0.05040	-0.12763	-0.21105	-0.29625	-0.38466	-0.46272	-0.53911	-0.60668	-0.83034	-0.86711	-0.91176	-0.95887	-1.00268	-1.04026	-1.06282	-1.07439	-1.07358	-1.07312	-1.06123	-1.06554	-1.05411	-1.03103	-0.98367	-0.97185	-0.98333	-1.00676	-0.94516	-0.88005	-0.81745	-0.76962	-0.70374	-0.62515	-0.45159	-0.24030	 0.07016	 0.45154	 0.66186	 0.68022	 0.96969	 0.76542	 0.54722	 0.37131	 0.23792	 0.12820	 0.03816	-0.01579	-0.07318	-0.13069	-0.16975	-0.20327	-0.22356	-0.22489	-0.18929	-0.13846	-0.09227	-0.00980	 0.09963	 0.17139	 0.29692	 0.18790	  0.6408	-0.025350	 -0.0772	
       8	   4.104	0.009223	  0.7541	 -0.0774	  0.7528	-0.044768	1.008E+6	   0.075	  397.13	   25.83	   0.000	 0.18375	 0.09309	 0.02168	-0.05591	-0.13595	-0.22312	-0.31242	-0.40545	-0.48991	-0.57504	-0.65244	-0.75848	-0.94218	-0.98071	-1.02536	-1.07081	-1.11460	-1.14435	-1.16210	-1.16777	-1.17443	-1.17219	-1.18412	-1.18271	-1.16628	-1.12841	-1.12906	-1.15244	-1.19382	-1.14822	-1.09688	-1.05010	-1.02685	-0.98439	-0.94394	-0.79645	-0.60413	-0.29184	 0.15099	 0.40652	 0.42316	 1.00000	 0.87950	 0.68786	 0.50838	 0.36812	 0.24857	 0.14893	 0.08460	 0.01867	-0.04706	-0.09306	-0.13449	-0.16119	-0.17050	-0.14241	-0.09695	-0.05080	-0.01142	 0.12580	 0.18808	 0.30424	 0.18567	  0.7533	-0.044397	 -0.0778	
       9	   5.143	0.010481	  0.8650	 -0.0786	  0.8624	-0.067094	1.008E+6	   0.075	  396.76	   25.82	   0.000	 0.18001	 0.09288	 0.01997	-0.05949	-0.14237	-0.23277	-0.32592	-0.42303	-0.51262	-0.60537	-0.69437	-0.77994	-0.94830	-1.05453	-1.09366	-1.13856	-1.18594	-1.22188	-1.24594	-1.25986	-1.27304	-1.27216	-1.29281	-1.30773	-1.29904	-1.27020	-1.28358	-1.32117	-1.38042	-1.35012	-1.31383	-1.29313	-1.29159	-1.27970	-1.27676	-1.16267	-0.99254	-0.69301	-0.20397	 0.08408	 0.09853	 0.98610	 0.95327	 0.79895	 0.62573	 0.48208	 0.35697	 0.24687	 0.17351	 0.10446	 0.03141	-0.02111	-0.06932	-0.10206	-0.11784	-0.09677	-0.05782	-0.01420	 0.02461	 0.14307	 0.20497	 0.31113	 0.18208	  0.8631	-0.066615	 -0.0790	
