   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.017	0.011606	  0.2509	 -0.0691	  0.2509	0.011683	2.983E+6	   0.225	 3588.21	   78.15	   0.000	 0.17229	 0.10098	 0.04144	-0.02309	-0.09136	-0.16402	-0.24176	-0.31746	-0.39347	-0.46599	-0.53767	-0.60986	-0.66938	-0.71557	-0.75615	-0.79515	-0.80861	-0.80966	-0.79063	-0.78312	-0.75601	-0.72874	-0.69185	-0.65663	-0.60392	-0.54897	-0.47025	-0.02782	-0.41581	-0.36600	-0.26391	-0.15781	-0.05679	 0.06434	 0.20879	 0.39837	 0.60922	 0.81991	 0.97121	 0.99888	 0.99896	 0.48927	 0.15225	-0.07906	-0.17141	-0.25350	-0.30506	-0.38944	-0.34761	-0.38687	-0.41142	-0.42089	-0.44545	-0.43424	-0.40873	-0.34732	-0.27550	-0.17192	-0.08335	 0.00807	 0.10683	 0.24400	 0.17189	  0.2507	0.011758	 -0.0692	
       2	   4.105	0.016209	  0.7012	 -0.0731	  0.7005	-0.034024	3.000E+6	   0.228	 3676.59	   79.31	   0.000	 0.13854	 0.08465	 0.02486	-0.04426	-0.12050	-0.20577	-0.29835	-0.39076	-0.48660	-0.58004	-0.67379	-0.77083	-0.85655	-0.92992	-0.99791	-1.06561	-1.10632	-1.13373	-1.14108	-1.16208	-1.15881	-1.16383	-1.15283	-1.14996	-1.12357	-1.09967	-1.04196	-0.00731	-1.11775	-1.12852	-1.06946	-1.01939	-0.98383	-0.94529	-0.88615	-0.74415	-0.53186	-0.23184	 0.21961	 0.46546	 0.47903	 0.99853	 0.86593	 0.66287	 0.49384	 0.34973	 0.23610	 0.11518	 0.07624	 0.00070	-0.05834	-0.10335	-0.15697	-0.17847	-0.18562	-0.15834	-0.11696	-0.04684	 0.01585	 0.08291	 0.16277	 0.26811	 0.13756	  0.7002	-0.033719	 -0.0732	
       3	   6.156	0.019026	  0.9038	 -0.0730	  0.9006	-0.077995	2.995E+6	   0.228	 3689.73	   79.56	   0.000	 0.10769	 0.06754	 0.01597	-0.04804	-0.12299	-0.21133	-0.30971	-0.40991	-0.51555	-0.61939	-0.72444	-0.83373	-0.93276	-1.02026	-1.10233	-1.18450	-1.23984	-1.28142	-1.30347	-1.34000	-1.35057	-1.37358	-1.37764	-1.39390	-1.38368	-1.37761	-1.33282	 0.01091	-1.49311	-1.53790	-1.51144	-1.50228	-1.51776	-1.54597	-1.56469	-1.48971	-1.33382	-1.05587	-0.49557	-0.19664	-0.18392	 0.94949	 0.98821	 0.86506	 0.71021	 0.56511	 0.44074	 0.31281	 0.24292	 0.16330	 0.09188	 0.03387	-0.03010	-0.06460	-0.08492	-0.07218	-0.04401	 0.01121	 0.06190	 0.11796	 0.18820	 0.27569	 0.10763	  0.9003	-0.077536	 -0.0731	
       4	   0.002	0.008316	  0.2656	 -0.0680	  0.2656	0.008307	2.997E+6	   0.228	 3691.69	   79.57	   0.000	 0.17166	 0.10043	 0.04068	-0.02378	-0.09237	-0.16523	-0.24323	-0.31919	-0.39556	-0.46841	-0.53985	-0.61313	-0.67310	-0.71960	-0.76072	-0.80016	-0.81385	-0.81530	-0.79655	-0.78926	-0.76252	-0.73555	-0.69873	-0.66312	-0.61170	-0.55764	-0.48779	-0.56708	-0.45653	-0.37756	-0.27406	-0.16802	-0.06702	 0.05391	 0.19808	 0.38806	 0.60003	 0.81291	 0.96832	 0.99896	 0.99934	 0.50062	 0.16422	-0.06841	-0.16266	-0.24609	-0.29890	-0.38592	-0.34300	-0.38346	-0.40838	-0.41837	-0.44344	-0.43253	-0.40741	-0.34627	-0.27473	-0.17141	-0.08307	 0.00812	 0.10675	 0.24386	 0.17142	  0.2654	0.008368	 -0.0680	
       5	   1.027	0.009093	  0.3789	 -0.0689	  0.3790	0.002299	3.022E+6	   0.231	 3771.34	   80.50	   0.000	 0.16541	 0.09684	 0.03570	-0.03082	-0.10194	-0.17814	-0.25993	-0.33999	-0.42117	-0.49901	-0.57582	-0.65478	-0.72079	-0.77378	-0.82114	-0.86726	-0.88711	-0.89442	-0.88149	-0.88062	-0.85891	-0.83926	-0.80761	-0.77920	-0.73344	-0.68595	-0.62011	-0.72315	-0.61734	-0.54870	-0.45195	-0.35615	-0.26599	-0.15727	-0.02468	 0.16504	 0.39163	 0.64293	 0.87843	 0.97572	 0.98120	 0.70561	 0.39267	 0.14854	 0.02280	-0.08286	-0.15550	-0.25300	-0.23394	-0.28513	-0.31967	-0.33921	-0.37224	-0.36980	-0.35320	-0.30072	-0.23681	-0.14171	-0.05978	 0.02531	 0.11980	 0.24999	 0.16530	  0.3787	0.002396	 -0.0690	
       6	   2.061	0.009599	  0.4966	 -0.0697	  0.4966	-0.008269	3.018E+6	   0.231	 3769.26	   80.51	   0.000	 0.15798	 0.09329	 0.03149	-0.03666	-0.11008	-0.18965	-0.27526	-0.35957	-0.44570	-0.52869	-0.61132	-0.69637	-0.76892	-0.82873	-0.88288	-0.93621	-0.96267	-0.97655	-0.97021	-0.97639	-0.96054	-0.94884	-0.92367	-0.90330	-0.86414	-0.82397	-0.76347	-0.89544	-0.79361	-0.73753	-0.65060	-0.56729	-0.49165	-0.40200	-0.28781	-0.10612	 0.12569	 0.40549	 0.72018	 0.87775	 0.88759	 0.86241	 0.59207	 0.34951	 0.19985	 0.07575	-0.01381	-0.12022	-0.12457	-0.18490	-0.22869	-0.25782	-0.29827	-0.30435	-0.29626	-0.25257	-0.19649	-0.10987	-0.03466	 0.04432	 0.13402	 0.25639	 0.15776	  0.4963	-0.008104	 -0.0698	
       7	   3.087	0.010139	  0.6111	 -0.0702	  0.6108	-0.022788	3.013E+6	   0.230	 3762.38	   80.46	   0.000	 0.14868	 0.08885	 0.02736	-0.04168	-0.11691	-0.19955	-0.28877	-0.37722	-0.46831	-0.55655	-0.64478	-0.73600	-0.81507	-0.88169	-0.94279	-1.00326	-1.03684	-1.05741	-1.05782	-1.07130	-1.06142	-1.05800	-1.03970	-1.02798	-0.99552	-0.96373	-0.90892	-1.07131	-0.97475	-0.93275	-0.85767	-0.78940	-0.73206	-0.66551	-0.57518	-0.40941	-0.18221	 0.11374	 0.50022	 0.70672	 0.71996	 0.95896	 0.74873	 0.52022	 0.35607	 0.21931	 0.11571	 0.00150	-0.02125	-0.09043	-0.14235	-0.17998	-0.22740	-0.24141	-0.24119	-0.20593	-0.15727	-0.07893	-0.01007	 0.06286	 0.14776	 0.26197	 0.14827	  0.6104	-0.022532	 -0.0703	
       8	   4.110	0.010601	  0.7226	 -0.0703	  0.7215	-0.041212	3.010E+6	   0.230	 3759.85	   80.45	   0.000	 0.13755	 0.08376	 0.02384	-0.04500	-0.12143	-0.20678	-0.29944	-0.39193	-0.48798	-0.58150	-0.67548	-0.77265	-0.85853	-0.93218	-1.00019	-1.06798	-1.10880	-1.13637	-1.14381	-1.16484	-1.16145	-1.16665	-1.15538	-1.15275	-1.12767	-1.10493	-1.05636	-1.24995	-1.16095	-1.13420	-1.07268	-1.02208	-0.98600	-0.94713	-0.88777	-0.74521	-0.53245	-0.23208	 0.22002	 0.46635	 0.48018	 0.99855	 0.86565	 0.66235	 0.49307	 0.34882	 0.23496	 0.11472	 0.07484	-0.00088	-0.06009	-0.10512	-0.15891	-0.18037	-0.18753	-0.16010	-0.11866	-0.04842	 0.01438	 0.08148	 0.16146	 0.26711	 0.13681	  0.7211	-0.040845	 -0.0705	
       9	   5.153	0.011743	  0.8296	 -0.0701	  0.8273	-0.062811	3.005E+6	   0.230	 3752.83	   80.40	   0.000	 0.12368	 0.07668	 0.01993	-0.04742	-0.12393	-0.21137	-0.30713	-0.40359	-0.50447	-0.60322	-0.70275	-0.80610	-0.89864	-0.97927	-1.05432	-1.12950	-1.17749	-1.21200	-1.22664	-1.25549	-1.25872	-1.27305	-1.26905	-1.27579	-1.25872	-1.24491	-1.20279	-1.42905	-1.34873	-1.33840	-1.29215	-1.26066	-1.24894	-1.24178	-1.21876	-1.10643	-0.91747	-0.62315	-0.11293	 0.16378	 0.17825	 0.99320	 0.94440	 0.77648	 0.61048	 0.46356	 0.34265	 0.21853	 0.16190	 0.08325	 0.01745	-0.03437	-0.09371	-0.12197	-0.13596	-0.11599	-0.08141	-0.01878	 0.03804	 0.09951	 0.17450	 0.27147	 0.12345	  0.8269	-0.062334	 -0.0703	
