   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  12.234	0.064089	  1.0485	 -0.0449	  1.0383	-0.159553	3.000E+6	   0.232	 3807.81	   81.32	   0.000	-0.30215	-0.35081	-0.35464	-0.35269	-0.35007	-0.34852	-0.34671	-0.34546	-0.34447	-0.34927	-0.36167	-0.38931	-0.44962	-0.54999	-0.68102	-0.82603	-0.96276	-1.08072	-1.18495	-1.28432	-1.35737	-1.44312	-1.50532	-1.58158	-1.63782	-1.69428	-1.77112	-1.92782	-2.15174	-2.21178	-2.26071	-2.35735	-2.47770	-2.68046	-2.91259	-3.08859	-3.13897	-3.02579	-2.34509	-2.02332	-0.03427	 0.47247	 0.90267	 0.99985	 0.93992	 0.82900	 0.70306	 0.60140	 0.50247	 0.40269	 0.31118	 0.23000	 0.14396	 0.08151	 0.03166	 0.01220	 0.01077	 0.03405	 0.05470	 0.08298	 0.12731	 0.13367	-0.30797	  1.0389	-0.159949	 -0.0451	
       2	  13.225	0.077564	  1.0392	 -0.0451	  1.0294	-0.162242	2.981E+6	   0.231	 3779.68	   81.11	   0.000	-0.34463	-0.39314	-0.39854	-0.39587	-0.39054	-0.38652	-0.38175	-0.37734	-0.37288	-0.37264	-0.37570	-0.38583	-0.41207	-0.46533	-0.55356	-0.67411	-0.81002	-0.94105	-1.06671	-1.18503	-1.27627	-1.37833	-1.45480	-1.54465	-1.61250	-1.68236	-1.77161	-1.93711	-2.16774	-2.24317	-2.30995	-2.42571	-2.56389	-2.78496	-3.04931	-3.26393	-3.34953	-3.27037	-2.59270	-2.27958	-0.01634	 0.37924	 0.86615	 0.99921	 0.95673	 0.85471	 0.73292	 0.63104	 0.53111	 0.42993	 0.33652	 0.25268	 0.16390	 0.09777	 0.04372	 0.02025	 0.01501	 0.03412	 0.05046	 0.07462	 0.11538	 0.11237	-0.35209	  1.0302	-0.162962	 -0.0454	
       3	  14.235	0.094670	  1.0525	 -0.0480	  1.0434	-0.167031	2.978E+6	   0.231	 3778.74	   81.14	   0.000	-0.39758	-0.43563	-0.43667	-0.43158	-0.42478	-0.41892	-0.41306	-0.40804	-0.40281	-0.40109	-0.40084	-0.40431	-0.41846	-0.44834	-0.50683	-0.60406	-0.73261	-0.86659	-1.00026	-1.12738	-1.22881	-1.34081	-1.42790	-1.52785	-1.60411	-1.68650	-1.78647	-1.95961	-2.19630	-2.28576	-2.36989	-2.50506	-2.66373	-2.90290	-3.20349	-3.45319	-3.57429	-3.53012	-2.85911	-2.55559	-0.00877	 0.27545	 0.82265	 0.99533	 0.97139	 0.87911	 0.76217	 0.66065	 0.56000	 0.45778	 0.36259	 0.27655	 0.18518	 0.11576	 0.05787	 0.03019	 0.02161	 0.03669	 0.04909	 0.06960	 0.10711	 0.09451	-0.38228	  1.0446	-0.168021	 -0.0483	
       4	  15.230	0.117735	  1.0419	 -0.0553	  1.0362	-0.160098	2.960E+6	   0.230	 3746.19	   80.86	   0.000	-0.45706	-0.48947	-0.48976	-0.48457	-0.47793	-0.47185	-0.46536	-0.45969	-0.45323	-0.44912	-0.44578	-0.44392	-0.44838	-0.46022	-0.48521	-0.53256	-0.61416	-0.72460	-0.85637	-0.99189	-1.10757	-1.23405	-1.33461	-1.44915	-1.53480	-1.63082	-1.74121	-1.91928	-2.15633	-2.25863	-2.35892	-2.50863	-2.68164	-2.93347	-3.25445	-3.52859	-3.67486	-3.65583	-3.00211	-2.70982	 0.00163	 0.20793	 0.79260	 0.99075	 0.97943	 0.89404	 0.78071	 0.67948	 0.57844	 0.47532	 0.37875	 0.29061	 0.19690	 0.12453	 0.06354	 0.03251	 0.02073	 0.03239	 0.04128	 0.05825	 0.09293	 0.07063	-0.42610	  1.0380	-0.161414	 -0.0557	
       5	   8.695	0.025872	  0.9777	 -0.0462	  0.9704	-0.122226	3.002E+6	   0.234	 3863.08	   82.11	   0.000	-0.10641	-0.13339	-0.13823	-0.14713	-0.15909	-0.17893	-0.20676	-0.24496	-0.30996	-0.41384	-0.53808	-0.67191	-0.79956	-0.91530	-1.02246	-1.12523	-1.20395	-1.26601	-1.31528	-1.36900	-1.40155	-1.44513	-1.46913	-1.50886	-1.52827	-1.54377	-1.57717	-1.69418	-1.87840	-1.88196	-1.86878	-1.89157	-1.94648	-2.04736	-2.16555	-2.17785	-2.08911	-1.85604	-1.21681	-0.88891	 0.02614	 0.81303	 0.99640	 0.95032	 0.82052	 0.67907	 0.54165	 0.44702	 0.35778	 0.26432	 0.18267	 0.11356	 0.03956	-0.00763	-0.04092	-0.04247	-0.02689	 0.01387	 0.05091	 0.09535	 0.15381	 0.20147	-0.10805	  0.9702	-0.121845	 -0.0463	
       6	   7.681	0.019950	  0.9364	 -0.0509	  0.9306	-0.105387	3.003E+6	   0.234	 3868.92	   82.18	   0.000	-0.04627	-0.06968	-0.08199	-0.09981	-0.12473	-0.15961	-0.20558	-0.27840	-0.38281	-0.49723	-0.61425	-0.73538	-0.84856	-0.95046	-1.04549	-1.13774	-1.20580	-1.25817	-1.29731	-1.34204	-1.36607	-1.39990	-1.41501	-1.44553	-1.45523	-1.46046	-1.48211	-1.58550	-1.75494	-1.74236	-1.71268	-1.71467	-1.75139	-1.81517	-1.89676	-1.86846	-1.74275	-1.48281	-0.87094	-0.54984	 0.02788	 0.89044	 0.99885	 0.91112	 0.76454	 0.61666	 0.47824	 0.38847	 0.30383	 0.21336	 0.13552	 0.07076	 0.00121	-0.04127	-0.06919	-0.06480	-0.04384	 0.00282	 0.04536	 0.09490	 0.15789	 0.21895	-0.04747	  0.9303	-0.104944	 -0.0511	
       7	   7.681	0.019967	  0.9362	 -0.0509	  0.9304	-0.105346	3.001E+6	   0.234	 3869.06	   82.20	   0.000	-0.04652	-0.06980	-0.08196	-0.09958	-0.12492	-0.15964	-0.20545	-0.27805	-0.38253	-0.49689	-0.61400	-0.73511	-0.84836	-0.95026	-1.04534	-1.13763	-1.20565	-1.25801	-1.29731	-1.34196	-1.36600	-1.39972	-1.41496	-1.44534	-1.45507	-1.46032	-1.48190	-1.58521	-1.75475	-1.74201	-1.71237	-1.71415	-1.75105	-1.81463	-1.89605	-1.86763	-1.74169	-1.48163	-0.86982	-0.54863	 0.02877	 0.89066	 0.99880	 0.91102	 0.76436	 0.61653	 0.47810	 0.38835	 0.30368	 0.21334	 0.13539	 0.07066	 0.00113	-0.04127	-0.06920	-0.06483	-0.04386	 0.00283	 0.04537	 0.09491	 0.15788	 0.21901	-0.04740	  0.9302	-0.104903	 -0.0511	
       8	   6.668	0.014903	  0.8781	 -0.0555	  0.8739	-0.087152	3.001E+6	   0.234	 3871.57	   82.24	   0.000	 0.00359	-0.02016	-0.04203	-0.07136	-0.10703	-0.15734	-0.23131	-0.32321	-0.42963	-0.53763	-0.64584	-0.75810	-0.86195	-0.95415	-1.04054	-1.12493	-1.18428	-1.22867	-1.25925	-1.29592	-1.31222	-1.33699	-1.34408	-1.36562	-1.36571	-1.36131	-1.37129	-1.46024	-1.61370	-1.58498	-1.53955	-1.52055	-1.53842	-1.56598	-1.60886	-1.54289	-1.38275	-1.10055	-0.52453	-0.21511	 0.03303	 0.95158	 0.98492	 0.85493	 0.69415	 0.54187	 0.40374	 0.32070	 0.24178	 0.15504	 0.08155	 0.02198	-0.04332	-0.08047	-0.10262	-0.09216	-0.06550	-0.01261	 0.03545	 0.09026	 0.15785	 0.23110	 0.00201	  0.8735	-0.086723	 -0.0557	
       9	  11.234	0.052113	  1.0397	 -0.0447	  1.0299	-0.151430	2.992E+6	   0.233	 3854.35	   82.10	   0.000	-0.24888	-0.29887	-0.30315	-0.30423	-0.30555	-0.30755	-0.30941	-0.31252	-0.31902	-0.33523	-0.36596	-0.42477	-0.52551	-0.65693	-0.80076	-0.94223	-1.06449	-1.16495	-1.25108	-1.33554	-1.39558	-1.46819	-1.51840	-1.58370	-1.62928	-1.67349	-1.73801	-1.88493	-2.09948	-2.14395	-2.17435	-2.24892	-2.35364	-2.53338	-2.72998	-2.86030	-2.87211	-2.71973	-2.04210	-1.71488	 0.03794	 0.57470	 0.93861	 0.99599	 0.91560	 0.79549	 0.66542	 0.56465	 0.46742	 0.36909	 0.27991	 0.20175	 0.11882	 0.06034	 0.01503	 0.00026	 0.00312	 0.03102	 0.05608	 0.08869	 0.13681	 0.15403	-0.25997	  1.0302	-0.151546	 -0.0449	
