   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.012	-0.000534	  0.2420	 -0.0651	  0.2420	-0.000483	2.987E+6	   0.232	 3804.02	   81.37	   0.000	 0.15668	 0.09541	 0.03963	-0.02222	-0.08778	-0.15889	-0.23580	-0.31103	-0.38726	-0.45956	-0.52935	-0.60288	-0.66260	-0.70841	-0.74941	-0.78745	-0.80173	-0.80160	-0.78459	-0.77550	-0.74837	-0.72130	-0.68269	-0.64904	-0.59781	-0.54154	-0.48599	-0.47879	-0.51070	-0.40442	-0.29414	-0.18063	-0.07467	 0.05001	 0.19805	 0.39049	 0.60806	 0.82134	 0.97387	 0.99860	 0.03851	 0.46052	 0.11238	-0.12917	-0.22454	-0.30827	-0.36394	-0.35870	-0.36356	-0.39542	-0.42081	-0.43039	-0.45160	-0.44066	-0.41446	-0.35380	-0.28166	-0.17911	-0.09091	-0.00006	 0.09592	 0.22285	 0.15566	  0.2419	-0.000529	 -0.0651	
       2	   1.029	0.000118	  0.3556	 -0.0652	  0.3556	-0.006267	2.985E+6	   0.232	 3799.66	   81.32	   0.000	 0.14417	 0.08934	 0.03429	-0.02796	-0.09482	-0.16872	-0.24909	-0.32841	-0.40946	-0.48702	-0.56230	-0.64154	-0.70779	-0.76031	-0.80800	-0.85270	-0.87349	-0.87952	-0.86911	-0.86636	-0.84495	-0.82515	-0.79221	-0.76624	-0.72138	-0.67142	-0.62393	-0.62989	-0.67928	-0.58144	-0.47404	-0.37537	-0.28006	-0.16886	-0.03284	 0.15903	 0.39312	 0.64795	 0.88533	 0.97989	 0.04026	 0.68093	 0.35536	 0.10123	-0.02736	-0.13656	-0.21360	-0.22885	-0.25053	-0.29473	-0.33006	-0.34979	-0.37975	-0.37764	-0.36052	-0.30874	-0.24461	-0.15031	-0.06877	 0.01594	 0.10826	 0.22949	 0.14385	  0.3553	-0.006283	 -0.0653	
       3	   2.058	0.001413	  0.4635	 -0.0649	  0.4632	-0.015229	2.991E+6	   0.232	 3818.00	   81.53	   0.000	 0.12936	 0.08170	 0.02909	-0.03215	-0.09936	-0.17531	-0.25872	-0.34188	-0.42784	-0.51027	-0.59113	-0.67614	-0.74870	-0.80776	-0.86214	-0.91358	-0.94103	-0.95328	-0.94958	-0.95331	-0.93792	-0.92563	-0.89889	-0.88078	-0.84274	-0.79967	-0.76095	-0.78068	-0.84821	-0.75958	-0.65586	-0.57540	-0.49414	-0.40032	-0.28198	-0.09830	 0.14213	 0.42544	 0.73977	 0.89390	 0.04405	 0.83820	 0.55135	 0.29819	 0.14554	 0.01794	-0.07663	-0.10987	-0.14591	-0.20085	-0.24498	-0.27364	-0.31140	-0.31745	-0.30855	-0.26512	-0.20850	-0.12220	-0.04691	 0.03210	 0.12033	 0.23498	 0.12939	  0.4629	-0.015188	 -0.0650	
       4	   3.079	0.003186	  0.5685	 -0.0641	  0.5678	-0.027355	3.000E+6	   0.233	 3843.74	   81.82	   0.000	 0.11033	 0.07032	 0.02202	-0.03620	-0.10214	-0.17911	-0.26508	-0.35193	-0.44257	-0.53020	-0.61663	-0.70757	-0.78661	-0.85255	-0.91380	-0.97221	-1.00672	-1.02545	-1.02885	-1.03953	-1.03038	-1.02602	-1.00606	-0.99628	-0.96588	-0.93042	-0.90130	-0.93585	-1.02295	-0.94452	-0.85104	-0.77702	-0.72207	-0.65088	-0.55540	-0.38748	-0.14978	 0.15061	 0.53581	 0.73962	 0.04510	 0.94195	 0.71016	 0.46926	 0.30116	 0.15979	 0.04855	 0.00191	-0.04667	-0.11093	-0.16322	-0.20026	-0.24520	-0.25897	-0.25792	-0.22265	-0.17318	-0.09475	-0.02573	 0.04758	 0.13151	 0.23854	 0.11079	  0.5674	-0.027232	 -0.0642	
       5	   4.104	0.005500	  0.6682	 -0.0626	  0.6669	-0.042329	2.998E+6	   0.233	 3841.32	   81.81	   0.000	 0.08731	 0.05404	 0.01206	-0.04047	-0.10248	-0.17855	-0.26601	-0.35624	-0.45179	-0.54465	-0.63672	-0.73351	-0.81938	-0.89239	-0.96052	-1.02597	-1.06788	-1.09330	-1.10423	-1.12194	-1.11970	-1.12364	-1.11080	-1.10961	-1.08752	-1.06033	-1.04179	-1.09197	-1.19904	-1.13248	-1.05123	-0.98895	-0.95474	-0.91346	-0.84834	-0.70267	-0.47692	-0.17030	 0.27860	 0.52308	 0.04702	 0.99259	 0.83104	 0.61239	 0.43758	 0.28796	 0.16087	 0.10526	 0.04552	-0.02641	-0.08582	-0.13044	-0.18194	-0.20286	-0.20912	-0.18167	-0.13900	-0.06833	-0.00532	 0.06222	 0.14166	 0.24018	 0.08707	  0.6664	-0.042109	 -0.0627	
       6	   5.145	0.008970	  0.7594	 -0.0605	  0.7572	-0.059166	3.003E+6	   0.233	 3856.84	   81.99	   0.000	 0.05884	 0.03082	-0.00340	-0.04713	-0.10116	-0.17259	-0.25953	-0.35240	-0.45267	-0.55094	-0.64895	-0.75177	-0.84450	-0.92467	-0.99987	-1.07232	-1.12155	-1.15401	-1.17240	-1.19744	-1.20218	-1.21475	-1.20930	-1.21679	-1.20366	-1.18495	-1.17732	-1.24332	-1.36933	-1.31727	-1.24873	-1.20426	-1.18579	-1.17527	-1.14895	-1.03125	-0.82574	-0.52263	-0.01839	 0.25705	 0.05087	 0.99916	 0.91569	 0.72750	 0.55350	 0.40004	 0.26651	 0.19797	 0.12966	 0.05093	-0.01431	-0.06584	-0.12303	-0.15053	-0.16372	-0.14336	-0.10725	-0.04379	 0.01328	 0.07526	 0.15013	 0.23929	 0.05910	  0.7568	-0.058852	 -0.0606	
       7	   6.163	0.012824	  0.8420	 -0.0574	  0.8385	-0.077648	3.001E+6	   0.233	 3853.16	   81.96	   0.000	 0.02344	-0.00098	-0.02732	-0.06113	-0.10249	-0.16164	-0.24281	-0.33643	-0.44111	-0.54530	-0.64999	-0.75939	-0.85941	-0.94739	-1.03001	-1.10972	-1.16672	-1.20661	-1.23312	-1.26583	-1.27778	-1.29944	-1.30189	-1.31845	-1.31465	-1.30530	-1.30930	-1.39114	-1.53561	-1.49900	-1.44576	-1.41981	-1.42308	-1.43618	-1.45782	-1.37450	-1.19664	-0.90593	-0.35419	-0.05444	 0.05640	 0.97457	 0.96929	 0.81895	 0.65233	 0.49901	 0.36218	 0.28280	 0.20707	 0.12269	 0.05200	-0.00554	-0.06800	-0.10173	-0.12131	-0.10791	-0.07818	-0.02160	 0.02960	 0.08604	 0.15625	 0.23494	 0.02310	  0.8381	-0.077248	 -0.0575	
       8	   7.183	0.017414	  0.9105	 -0.0532	  0.9055	-0.096564	2.997E+6	   0.233	 3846.14	   81.89	   0.000	-0.02178	-0.04484	-0.06159	-0.08511	-0.11549	-0.15590	-0.21562	-0.30166	-0.40875	-0.51958	-0.63217	-0.74932	-0.85795	-0.95472	-1.04550	-1.13296	-1.19823	-1.24602	-1.28093	-1.32170	-1.34122	-1.37210	-1.38293	-1.40836	-1.41428	-1.41474	-1.43075	-1.52777	-1.68929	-1.66929	-1.63205	-1.62527	-1.65100	-1.69837	-1.76033	-1.71577	-1.57117	-1.30009	-0.70879	-0.39335	 0.05994	 0.92215	 0.99489	 0.88704	 0.73292	 0.58292	 0.44478	 0.35735	 0.27531	 0.18651	 0.11067	 0.04777	-0.01927	-0.05869	-0.08426	-0.07742	-0.05362	-0.00379	 0.04144	 0.09277	 0.15830	 0.22521	-0.02140	  0.9052	-0.096114	 -0.0534	
       9	   8.198	0.022637	  0.9605	 -0.0482	  0.9539	-0.114564	3.001E+6	   0.233	 3859.30	   82.05	   0.000	-0.08014	-0.10457	-0.11232	-0.12479	-0.14222	-0.16929	-0.20453	-0.25162	-0.33874	-0.45247	-0.57584	-0.70512	-0.82608	-0.93498	-1.03640	-1.13327	-1.20837	-1.26516	-1.30974	-1.35925	-1.38724	-1.42768	-1.44701	-1.48183	-1.49754	-1.50813	-1.53640	-1.64771	-1.82494	-1.82150	-1.80067	-1.81428	-1.86064	-1.94410	-2.04175	-2.04055	-1.93260	-1.68638	-1.06441	-0.73906	 0.06512	 0.85008	 0.99908	 0.93466	 0.79666	 0.65235	 0.51463	 0.42138	 0.33408	 0.24192	 0.16189	 0.09429	 0.02280	-0.02185	-0.05316	-0.05232	-0.03422	 0.00941	 0.04899	 0.09494	 0.15581	 0.20921	-0.07861	  0.9537	-0.114132	 -0.0484	
