   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	  -0.005	-0.000774	  0.2360	 -0.0641	  0.2360	-0.000752	2.981E+6	   0.230	 3761.21	   80.81	   0.000	 0.15142	 0.09307	 0.03852	-0.02292	-0.08740	-0.15808	-0.23366	-0.30829	-0.38380	-0.45649	-0.52608	-0.59791	-0.65763	-0.70293	-0.74390	-0.78115	-0.79423	-0.79444	-0.77744	-0.76604	-0.73942	-0.71069	-0.67410	-0.64893	-0.66064	-0.59221	-0.52726	-0.50004	-0.45877	-0.36943	-0.27021	-0.16196	-0.05877	 0.06338	 0.21092	 0.40174	 0.61606	 0.82658	 0.97607	 0.99853	-0.02370	 0.45529	 0.11008	-0.12922	-0.21888	-0.29527	-0.33766	-0.39093	-0.40729	-0.42614	-0.41783	-0.43031	-0.45002	-0.44091	-0.41481	-0.35424	-0.28299	-0.18108	-0.09311	-0.00285	 0.09131	 0.21767	 0.15064	  0.2358	-0.000802	 -0.0642	
       2	   2.053	0.001318	  0.4565	 -0.0639	  0.4562	-0.015038	2.991E+6	   0.232	 3824.78	   81.64	   0.000	 0.12506	 0.07897	 0.02748	-0.03327	-0.09922	-0.17437	-0.25622	-0.33855	-0.42368	-0.50646	-0.58696	-0.67036	-0.74265	-0.80138	-0.85548	-0.90611	-0.93225	-0.94491	-0.94109	-0.94242	-0.92766	-0.91349	-0.88930	-0.88222	-0.91320	-0.85761	-0.80779	-0.80436	-0.78540	-0.71627	-0.62613	-0.55062	-0.47230	-0.38042	-0.26225	-0.07969	 0.15739	 0.43811	 0.74841	 0.89929	 0.00183	 0.83388	 0.54789	 0.29580	 0.14766	 0.02622	-0.05705	-0.13869	-0.18385	-0.22714	-0.24326	-0.27478	-0.31122	-0.31876	-0.30999	-0.26657	-0.21051	-0.12474	-0.04958	 0.02903	 0.11578	 0.22991	 0.12522	  0.4559	-0.015004	 -0.0640	
       3	   4.099	0.005543	  0.6610	 -0.0617	  0.6597	-0.041725	2.989E+6	   0.233	 3836.56	   81.85	   0.000	 0.08439	 0.05164	 0.00974	-0.04260	-0.10344	-0.17805	-0.26342	-0.35233	-0.44675	-0.53973	-0.63159	-0.72656	-0.81214	-0.88483	-0.95267	-1.01718	-1.05768	-1.08363	-1.09449	-1.10972	-1.10842	-1.11019	-1.10049	-1.11377	-1.16522	-1.12526	-1.09502	-1.11527	-1.12763	-1.08164	-1.01451	-0.95759	-0.93333	-0.88893	-0.82252	-0.67769	-0.45534	-0.15082	 0.29438	 0.53605	 0.01716	 0.99133	 0.82854	 0.60988	 0.43837	 0.29359	 0.17528	 0.08090	 0.01362	-0.04814	-0.08443	-0.13154	-0.18198	-0.20412	-0.21063	-0.18303	-0.14107	-0.07067	-0.00787	 0.05934	 0.13748	 0.23569	 0.08388	  0.6593	-0.041515	 -0.0619	
       4	  -0.008	-0.000459	  0.2380	 -0.0641	  0.2380	-0.000424	2.996E+6	   0.234	 3867.83	   82.23	   0.000	 0.15102	 0.09283	 0.03828	-0.02322	-0.08766	-0.15840	-0.23406	-0.30876	-0.38448	-0.45737	-0.52702	-0.59903	-0.65885	-0.70442	-0.74554	-0.78299	-0.79614	-0.79639	-0.77967	-0.76840	-0.74180	-0.71310	-0.67638	-0.65128	-0.66292	-0.59472	-0.52971	-0.50286	-0.46192	-0.37224	-0.27305	-0.16444	-0.06166	 0.06055	 0.20789	 0.39893	 0.61363	 0.82482	 0.97531	 0.99874	 0.03020	 0.45917	 0.11397	-0.12582	-0.21623	-0.29295	-0.33625	-0.38986	-0.40591	-0.42443	-0.41731	-0.42997	-0.44972	-0.44044	-0.41462	-0.35398	-0.28279	-0.18089	-0.09295	-0.00276	 0.09146	 0.21774	 0.15083	  0.2378	-0.000469	 -0.0642	
       5	   1.025	0.000181	  0.3496	 -0.0642	  0.3496	-0.006071	2.994E+6	   0.234	 3866.92	   82.25	   0.000	 0.13963	 0.08708	 0.03337	-0.02845	-0.09415	-0.16748	-0.24644	-0.32509	-0.40564	-0.48360	-0.55870	-0.63640	-0.70246	-0.75469	-0.80228	-0.84633	-0.86594	-0.87246	-0.86199	-0.85688	-0.83616	-0.81451	-0.78368	-0.76746	-0.78847	-0.72652	-0.66893	-0.65321	-0.62282	-0.54266	-0.44991	-0.35456	-0.26150	-0.15236	-0.01685	 0.17379	 0.40463	 0.65680	 0.89044	 0.98210	 0.03409	 0.67641	 0.35287	 0.10030	-0.02336	-0.12548	-0.19144	-0.25936	-0.29107	-0.32249	-0.32795	-0.35036	-0.37897	-0.37830	-0.36137	-0.30950	-0.24611	-0.15238	-0.07095	 0.01323	 0.10409	 0.22472	 0.13960	  0.3493	-0.006088	 -0.0643	
       6	   3.079	0.003321	  0.5623	 -0.0631	  0.5616	-0.026881	2.996E+6	   0.234	 3878.23	   82.39	   0.000	 0.10644	 0.06748	 0.01997	-0.03772	-0.10226	-0.17815	-0.26238	-0.34824	-0.43822	-0.52607	-0.61235	-0.70156	-0.78044	-0.84619	-0.90724	-0.96481	-0.99801	-1.01719	-1.02080	-1.02896	-1.02065	-1.01433	-0.99720	-1.00006	-1.04073	-0.99299	-0.95261	-0.96112	-0.95735	-0.89896	-0.81787	-0.75945	-0.69945	-0.62991	-0.53426	-0.36717	-0.13299	 0.16515	 0.54687	 0.74781	 0.03960	 0.93948	 0.70791	 0.46763	 0.30335	 0.16758	 0.06460	-0.02398	-0.08112	-0.13426	-0.16150	-0.20109	-0.24496	-0.25994	-0.25926	-0.22384	-0.17503	-0.09703	-0.02820	 0.04468	 0.12725	 0.23380	 0.10719	  0.5612	-0.026763	 -0.0632	
       7	   5.144	0.009156	  0.7531	 -0.0596	  0.7509	-0.058404	3.000E+6	   0.234	 3893.43	   82.57	   0.000	 0.05609	 0.02873	-0.00637	-0.05066	-0.10356	-0.17277	-0.25691	-0.34796	-0.44694	-0.54537	-0.64312	-0.74419	-0.83666	-0.91685	-0.99187	-1.06344	-1.11136	-1.14445	-1.16321	-1.18571	-1.19148	-1.20216	-1.20011	-1.22395	-1.28545	-1.25485	-1.23508	-1.26865	-1.29654	-1.26496	-1.21166	-1.17365	-1.16077	-1.15414	-1.12357	-1.00647	-0.80416	-0.50312	-0.00167	 0.27175	 0.04334	 0.99909	 0.91430	 0.72611	 0.55474	 0.40563	 0.28026	 0.17669	 0.10111	 0.03174	-0.01289	-0.06646	-0.12290	-0.15141	-0.16506	-0.14460	-0.10929	-0.04610	 0.01074	 0.07237	 0.14602	 0.23489	 0.05512	  0.7505	-0.058098	 -0.0597	
       8	   7.181	0.017914	  0.8993	 -0.0521	  0.8945	-0.094643	2.994E+6	   0.234	 3880.46	   82.45	   0.000	-0.02644	-0.04857	-0.06580	-0.08882	-0.11924	-0.16113	-0.21849	-0.29786	-0.40027	-0.50958	-0.62109	-0.73607	-0.84457	-0.94153	-1.03234	-1.11882	-1.18312	-1.23123	-1.26682	-1.30493	-1.32561	-1.35469	-1.36910	-1.41405	-1.49565	-1.48430	-1.48673	-1.54790	-1.60306	-1.60447	-1.58235	-1.58210	-1.61494	-1.66096	-1.72048	-1.67331	-1.53119	-1.26171	-0.67253	-0.35935	 0.04505	 0.92616	 0.99388	 0.88364	 0.73079	 0.58377	 0.45222	 0.33715	 0.24840	 0.16810	 0.10929	 0.04461	-0.02177	-0.06190	-0.08790	-0.08075	-0.05761	-0.00788	 0.03725	 0.08828	 0.15298	 0.21983	-0.03035	  0.8942	-0.094217	 -0.0523	
       9	   9.202	0.034040	  0.9822	 -0.0463	  0.9750	-0.123464	2.994E+6	   0.234	 3883.79	   82.51	   0.000	-0.13538	-0.17428	-0.18099	-0.19057	-0.20038	-0.21328	-0.23406	-0.26640	-0.31963	-0.39989	-0.50396	-0.62530	-0.75146	-0.87025	-0.98185	-1.08627	-1.17074	-1.23684	-1.29157	-1.34731	-1.38392	-1.43275	-1.46442	-1.52919	-1.62774	-1.63687	-1.66123	-1.74659	-1.82767	-1.85993	-1.86951	-1.90998	-1.97631	-2.09158	-2.22258	-2.25192	-2.17998	-1.96103	-1.32025	-0.99339	 0.04657	 0.78382	 0.99228	 0.96075	 0.83877	 0.70268	 0.57179	 0.45221	 0.35478	 0.26770	 0.19860	 0.12535	 0.05027	 0.00060	-0.03603	-0.04035	-0.02781	 0.01062	 0.04552	 0.08699	 0.14356	 0.18784	-0.16692	  0.9749	-0.123186	 -0.0464	
