   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.001	0.007754	  0.2577	 -0.0673	  0.2577	0.007752	2.993E+6	   0.230	 3718.78	   80.18	   0.000	 0.17053	 0.10051	 0.04131	-0.02279	-0.09072	-0.16330	-0.24087	-0.31646	-0.39336	-0.46486	-0.53581	-0.60870	-0.66873	-0.71433	-0.75557	-0.79415	-0.80814	-0.80778	-0.79086	-0.78240	-0.75527	-0.72853	-0.69328	-0.65783	-0.60804	-0.55320	-0.49651	-0.47828	-0.45106	-0.36594	-0.25633	-0.17436	-0.08332	 0.04093	 0.18896	 0.38283	 0.59903	 0.81399	 0.97039	 0.99809	 0.99949	 0.47281	 0.12960	-0.10658	-0.20181	-0.24900	-0.30189	-0.35436	-0.35744	-0.39053	-0.41381	-0.42328	-0.44606	-0.43470	-0.40857	-0.34790	-0.27559	-0.17292	-0.08445	 0.00709	 0.10412	 0.23986	 0.17007	  0.2575	0.007801	 -0.0673	
       2	  -2.066	0.007051	  0.0248	 -0.0648	  0.0245	0.007939	2.978E+6	   0.230	 3712.22	   80.25	   0.000	 0.18114	 0.10687	 0.05203	-0.00708	-0.06956	-0.13502	-0.20487	-0.27207	-0.33947	-0.40108	-0.46198	-0.52266	-0.57067	-0.60390	-0.63264	-0.65865	-0.66038	-0.64889	-0.62081	-0.60043	-0.56331	-0.52380	-0.47872	-0.42970	-0.37028	-0.30403	-0.23679	-0.19810	-0.15244	-0.04923	 0.06914	 0.16821	 0.27678	 0.41300	 0.56470	 0.73584	 0.89215	 0.99022	 0.97882	 0.84115	 0.84234	-0.13274	-0.46721	-0.63993	-0.64821	-0.62019	-0.60627	-0.63216	-0.59773	-0.60353	-0.60375	-0.59076	-0.59485	-0.56481	-0.51970	-0.44027	-0.35199	-0.23240	-0.13057	-0.02750	 0.07651	 0.22155	 0.18030	  0.0245	0.008008	 -0.0649	
       3	  -4.116	0.006872	 -0.2030	 -0.0621	 -0.2029	-0.007715	2.989E+6	   0.232	 3775.64	   81.08	   0.000	 0.18338	 0.11148	 0.06305	 0.01002	-0.04637	-0.10449	-0.16658	-0.22566	-0.28401	-0.33675	-0.38710	-0.43687	-0.47378	-0.49581	-0.51348	-0.52802	-0.51904	-0.49779	-0.46023	-0.42981	-0.38471	-0.33448	-0.28164	-0.22282	-0.15538	-0.08174	-0.00879	 0.04455	 0.10923	 0.21903	 0.33820	 0.44540	 0.55697	 0.68666	 0.81717	 0.93670	 0.99843	 0.96362	 0.75717	 0.39724	 0.39830	-0.94578	-1.20664	-1.26405	-1.15006	-1.01407	-0.94162	-0.92558	-0.84768	-0.82197	-0.79672	-0.75915	-0.74242	-0.69211	-0.62690	-0.52801	-0.42316	-0.28688	-0.17169	-0.05820	 0.05020	 0.19760	 0.18312	 -0.2028	-0.007528	 -0.0621	
       4	  -5.138	0.007077	 -0.3175	 -0.0607	 -0.3169	-0.021385	2.989E+6	   0.232	 3790.16	   81.29	   0.000	 0.18160	 0.11302	 0.06868	 0.01911	-0.03397	-0.08824	-0.14637	-0.20132	-0.25505	-0.30318	-0.34845	-0.39292	-0.42445	-0.44106	-0.45338	-0.46238	-0.44855	-0.42279	-0.38090	-0.34585	-0.29721	-0.24239	-0.18617	-0.12273	-0.05249	 0.02407	 0.09829	 0.15886	 0.22954	 0.34024	 0.45724	 0.56457	 0.67240	 0.79216	 0.90319	 0.98550	 0.99174	 0.87539	 0.55374	 0.06483	 0.06583	-1.44195	-1.63915	-1.61722	-1.40282	-1.23244	-1.12354	-1.08122	-0.97932	-0.93571	-0.89614	-0.84508	-0.81652	-0.75527	-0.67908	-0.56985	-0.45631	-0.31147	-0.18952	-0.07130	 0.03756	 0.18311	 0.18124	 -0.3167	-0.021106	 -0.0607	
       5	  -6.174	0.007640	 -0.4288	 -0.0596	 -0.4271	-0.038516	2.992E+6	   0.233	 3825.26	   81.79	   0.000	 0.17592	 0.11276	 0.07316	 0.02728	-0.02243	-0.07285	-0.12699	-0.17785	-0.22713	-0.27055	-0.31127	-0.35068	-0.37672	-0.38827	-0.39599	-0.39920	-0.38073	-0.35063	-0.30471	-0.26616	-0.21368	-0.15526	-0.09632	-0.02790	 0.04396	 0.12188	 0.19850	 0.26367	 0.33899	 0.44898	 0.56216	 0.66733	 0.76852	 0.87446	 0.96104	 1.00000	 0.94719	 0.73792	 0.29491	-0.32956	-0.32884	-1.98246	-2.09936	-1.98567	-1.67565	-1.45832	-1.30747	-1.23781	-1.11108	-1.04862	-0.99410	-0.92911	-0.88839	-0.81565	-0.72825	-0.60854	-0.48611	-0.33278	-0.20447	-0.08264	 0.02508	 0.16561	 0.17586	 -0.4269	-0.038134	 -0.0595	
       6	  -7.194	0.008242	 -0.5340	 -0.0587	 -0.5308	-0.058690	2.987E+6	   0.233	 3820.48	   81.78	   0.000	 0.16476	 0.11045	 0.07616	 0.03425	-0.01198	-0.05846	-0.10876	-0.15568	-0.20057	-0.23959	-0.27558	-0.31024	-0.33153	-0.33760	-0.34037	-0.33898	-0.31566	-0.28165	-0.23230	-0.18966	-0.13469	-0.07327	-0.01531	 0.05441	 0.12797	 0.20912	 0.29007	 0.35840	 0.43671	 0.54453	 0.65268	 0.75250	 0.84534	 0.93396	 0.99213	 0.98766	 0.86597	 0.55612	-0.01121	-0.77880	-0.77803	-2.55820	-2.57984	-2.37050	-1.94711	-1.68530	-1.49008	-1.39171	-1.23972	-1.15779	-1.08788	-1.00850	-0.95495	-0.87066	-0.77165	-0.64132	-0.50992	-0.34837	-0.21395	-0.08999	 0.01359	 0.14402	 0.16542	 -0.5306	-0.058209	 -0.0587	
       7	  -8.223	0.009004	 -0.6303	 -0.0585	 -0.6251	-0.081227	2.994E+6	   0.234	 3843.56	   82.05	   0.000	 0.14501	 0.10442	 0.07638	 0.03875	-0.00412	-0.04648	-0.09307	-0.13593	-0.17655	-0.21121	-0.24284	-0.27355	-0.29028	-0.29297	-0.29244	-0.28634	-0.26135	-0.22411	-0.17567	-0.12698	-0.07085	-0.00384	 0.05507	 0.12869	 0.20428	 0.28978	 0.37231	 0.44258	 0.52248	 0.62719	 0.72908	 0.82213	 0.90399	 0.97270	 0.99999	 0.94809	 0.75418	 0.33967	-0.35278	-1.26621	-1.26545	-3.15496	-3.07046	-2.77393	-2.22956	-1.90878	-1.66831	-1.54050	-1.36312	-1.26120	-1.17559	-1.08175	-1.01493	-0.91883	-0.80784	-0.66660	-0.52594	-0.35633	-0.21654	-0.09348	 0.00060	 0.11664	 0.14593	 -0.6249	-0.080670	 -0.0584	
       8	  -9.246	0.010798	 -0.7165	 -0.0582	 -0.7089	-0.104457	2.990E+6	   0.234	 3839.50	   82.03	   0.000	 0.11228	 0.09502	 0.07550	 0.04313	 0.00362	-0.03322	-0.07498	-0.12442	-0.16567	-0.19494	-0.22200	-0.24457	-0.25703	-0.25871	-0.25489	-0.24080	-0.21229	-0.16899	-0.11771	-0.06504	-0.00661	 0.06423	 0.12558	 0.20057	 0.27710	 0.36355	 0.44651	 0.51763	 0.59782	 0.69827	 0.79325	 0.87774	 0.94673	 0.99349	 0.99043	 0.88531	 0.61645	 0.09506	-0.72239	-1.78414	-1.78338	-3.76300	-3.56424	-3.10910	-2.50880	-2.12473	-1.83883	-1.68084	-1.47833	-1.35603	-1.25445	-1.14589	-1.06532	-0.95698	-0.83322	-0.68038	-0.52989	-0.35240	-0.20944	-0.09378	-0.01734	 0.07882	 0.11227	 -0.7087	-0.103852	 -0.0581	
       9	 -10.268	0.014420	 -0.7877	 -0.0576	 -0.7776	-0.126222	2.995E+6	   0.234	 3859.78	   82.28	   0.000	 0.06480	 0.07580	 0.06557	 0.03940	 0.00452	-0.02337	-0.06093	-0.12684	-0.15230	-0.17711	-0.19972	-0.21743	-0.22570	-0.22464	-0.21631	-0.19762	-0.16550	-0.11902	-0.06496	-0.00962	 0.05027	 0.12361	 0.18674	 0.26340	 0.34035	 0.42634	 0.50889	 0.58007	 0.65977	 0.75556	 0.84311	 0.91836	 0.97424	 0.99914	 0.96646	 0.80916	 0.46924	-0.15345	-1.08637	-2.28599	-2.28505	-4.33400	-4.02697	-3.35812	-2.75935	-2.31683	-1.98833	-1.80175	-1.57570	-1.43393	-1.31677	-1.19394	-1.09937	-0.97832	-0.84109	-0.67556	-0.51415	-0.33055	-0.19171	-0.09766	-0.04389	 0.02813	 0.06071	 -0.7776	-0.125630	 -0.0575	
