   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.001	0.007023	  0.2477	 -0.0648	  0.2477	0.007021	2.984E+6	   0.236	 3912.26	   83.26	   0.000	 0.15863	 0.09609	 0.03970	-0.02254	-0.08845	-0.15988	-0.23654	-0.31175	-0.38789	-0.46076	-0.53121	-0.60314	-0.66410	-0.70969	-0.75153	-0.78884	-0.80356	-0.80318	-0.78556	-0.77755	-0.75087	-0.72368	-0.68785	-0.65191	-0.60175	-0.54696	-0.49086	-0.47416	-0.51320	-0.41111	-0.29145	-0.17318	-0.07319	 0.05494	 0.20341	 0.39742	 0.61117	 0.82298	 0.97387	 0.99924	 0.99957	 0.46840	 0.12235	-0.11617	-0.20854	-0.29770	-0.35715	-0.35695	-0.35976	-0.39450	-0.41854	-0.42890	-0.45007	-0.43979	-0.41353	-0.35271	-0.28075	-0.17869	-0.08967	 0.00125	 0.09722	 0.22547	 0.15746	  0.2475	0.007064	 -0.0649	
       2	   2.055	0.008276	  0.4672	 -0.0649	  0.4672	-0.008485	2.984E+6	   0.236	 3919.36	   83.36	   0.000	 0.13233	 0.08311	 0.02965	-0.03233	-0.10015	-0.17652	-0.25969	-0.34286	-0.42855	-0.51144	-0.59288	-0.67643	-0.74996	-0.80870	-0.86377	-0.91447	-0.94220	-0.95434	-0.94945	-0.95449	-0.93958	-0.92694	-0.90345	-0.88280	-0.84500	-0.80414	-0.76451	-0.77253	-0.84439	-0.76315	-0.66186	-0.56389	-0.48912	-0.38915	-0.26948	-0.08217	 0.15316	 0.43457	 0.74435	 0.89579	 0.89597	 0.83947	 0.55557	 0.30447	 0.15509	 0.02544	-0.07503	-0.11019	-0.14433	-0.20077	-0.24376	-0.27294	-0.31064	-0.31714	-0.30794	-0.26433	-0.20753	-0.12163	-0.04553	 0.03358	 0.12189	 0.23762	 0.13155	  0.4669	-0.008359	 -0.0650	
       3	   4.101	0.009781	  0.6723	 -0.0629	  0.6713	-0.038324	2.985E+6	   0.237	 3927.90	   83.48	   0.000	 0.08925	 0.05508	 0.01276	-0.04055	-0.10371	-0.18056	-0.26809	-0.35850	-0.45389	-0.54733	-0.64014	-0.73562	-0.82241	-0.89510	-0.96401	-1.02874	-1.07084	-1.09650	-1.10595	-1.12531	-1.12342	-1.12709	-1.11759	-1.11465	-1.09186	-1.06755	-1.04754	-1.08393	-1.19815	-1.13242	-1.05170	-0.99433	-0.95806	-0.90322	-0.83474	-0.68357	-0.46252	-0.15634	 0.28872	 0.52812	 0.52799	 0.99262	 0.83441	 0.61727	 0.44523	 0.29465	 0.16602	 0.10574	 0.04675	-0.02582	-0.08434	-0.12939	-0.18097	-0.20246	-0.20836	-0.18070	-0.13808	-0.06765	-0.00396	 0.06365	 0.14306	 0.24228	 0.08879	  0.6709	-0.038044	 -0.0631	
       4	   6.167	0.013095	  0.8454	 -0.0582	  0.8419	-0.077801	2.980E+6	   0.236	 3918.16	   83.40	   0.000	 0.02371	-0.00078	-0.02769	-0.06194	-0.10353	-0.16350	-0.24549	-0.33991	-0.44493	-0.55010	-0.65559	-0.76377	-0.86487	-0.95245	-1.03604	-1.11492	-1.17219	-1.21225	-1.23711	-1.27157	-1.28398	-1.30497	-1.31088	-1.32657	-1.32073	-1.31461	-1.31630	-1.38242	-1.53818	-1.50388	-1.43708	-1.41152	-1.43912	-1.44177	-1.44280	-1.35147	-1.17611	-0.88412	-0.33468	-0.04153	-0.04214	 0.97356	 0.97052	 0.82104	 0.65687	 0.50326	 0.36592	 0.28200	 0.20679	 0.12231	 0.05226	-0.00552	-0.06823	-0.10244	-0.12166	-0.10791	-0.07813	-0.02186	 0.03024	 0.08677	 0.15704	 0.23626	 0.02377	  0.8415	-0.077399	 -0.0583	
       5	   8.202	0.017436	  0.9669	 -0.0493	  0.9595	-0.120690	2.986E+6	   0.237	 3938.37	   83.63	   0.000	-0.08276	-0.10747	-0.11534	-0.12727	-0.14325	-0.17046	-0.20642	-0.25551	-0.34466	-0.46032	-0.58478	-0.71312	-0.83555	-0.94423	-1.04707	-1.14335	-1.21901	-1.27636	-1.31937	-1.37089	-1.39953	-1.43918	-1.46217	-1.49749	-1.51078	-1.52470	-1.54976	-1.64558	-1.84003	-1.83867	-1.80398	-1.80218	-1.90261	-1.96780	-2.04646	-2.03132	-1.92343	-1.67452	-1.05026	-0.73220	-0.73316	 0.84542	 0.99937	 0.93687	 0.80138	 0.65741	 0.51975	 0.42239	 0.33526	 0.24277	 0.16311	 0.09503	 0.02312	-0.02231	-0.05341	-0.05246	-0.03456	 0.00870	 0.04903	 0.09488	 0.15575	 0.20942	-0.08425	  0.9592	-0.120313	 -0.0495	
       6	   9.221	0.022761	  1.0120	 -0.0467	  1.0025	-0.139689	2.981E+6	   0.237	 3928.35	   83.54	   0.000	-0.13185	-0.16470	-0.16816	-0.17475	-0.18298	-0.19541	-0.21750	-0.25217	-0.31161	-0.40567	-0.52476	-0.65741	-0.78970	-0.91015	-1.02388	-1.12967	-1.21551	-1.28233	-1.33529	-1.39565	-1.43276	-1.48226	-1.51386	-1.55910	-1.58220	-1.60609	-1.64301	-1.75248	-1.96329	-1.97837	-1.96055	-1.97926	-2.10168	-2.20525	-2.32083	-2.34567	-2.27528	-2.05507	-1.40557	-1.08305	-1.08405	 0.75631	 0.98808	 0.96856	 0.85189	 0.71541	 0.57988	 0.47882	 0.38731	 0.29218	 0.20881	 0.13660	 0.06042	 0.01016	-0.02596	-0.03076	-0.01814	 0.01931	 0.05455	 0.09557	 0.15238	 0.19520	-0.14906	  1.0023	-0.139423	 -0.0469	
       7	  10.226	0.030372	  1.0378	 -0.0468	  1.0267	-0.154338	2.973E+6	   0.236	 3911.85	   83.39	   0.000	-0.19271	-0.23884	-0.24334	-0.24828	-0.25441	-0.26139	-0.27044	-0.28463	-0.30677	-0.34798	-0.41573	-0.52125	-0.65977	-0.80131	-0.93805	-1.06293	-1.16727	-1.24937	-1.31694	-1.38928	-1.43722	-1.49808	-1.53948	-1.59562	-1.62881	-1.66327	-1.71225	-1.83420	-2.05888	-2.09022	-2.08957	-2.13007	-2.23687	-2.41617	-2.56183	-2.62324	-2.59228	-2.40325	-1.73637	-1.41372	-1.41488	 0.66110	 0.96515	 0.98708	 0.88994	 0.76190	 0.62953	 0.52615	 0.43132	 0.33433	 0.24787	 0.17207	 0.09247	 0.03779	-0.00305	-0.01305	-0.00561	 0.02686	 0.05740	 0.09376	 0.14608	 0.17534	-0.20770	  1.0266	-0.154315	 -0.0470	
       8	  11.229	0.038413	  1.0429	 -0.0463	  1.0304	-0.165404	2.964E+6	   0.236	 3890.90	   83.18	   0.000	-0.25536	-0.30879	-0.31478	-0.31626	-0.31706	-0.31910	-0.31978	-0.32233	-0.32586	-0.33883	-0.36415	-0.41083	-0.50101	-0.62933	-0.77970	-0.92795	-1.05973	-1.16540	-1.25453	-1.34335	-1.40581	-1.48062	-1.53403	-1.60261	-1.64714	-1.69325	-1.75486	-1.88882	-2.12504	-2.17341	-2.19044	-2.25175	-2.35948	-2.60344	-2.77134	-2.86810	-2.87586	-2.71954	-2.04248	-1.72333	-1.72453	 0.56320	 0.93469	 0.99652	 0.91930	 0.80011	 0.67136	 0.56672	 0.46959	 0.37080	 0.28165	 0.20252	 0.11951	 0.06066	 0.01513	 0.00009	 0.00287	 0.03052	 0.05641	 0.08794	 0.13587	 0.15158	-0.26699	  1.0305	-0.165708	 -0.0465	
       9	  12.225	0.049048	  1.0545	 -0.0470	  1.0410	-0.175373	2.956E+6	   0.235	 3872.16	   83.00	   0.000	-0.30327	-0.35689	-0.36412	-0.36424	-0.36233	-0.36115	-0.35840	-0.35650	-0.35440	-0.35759	-0.36929	-0.39359	-0.44763	-0.53761	-0.66406	-0.80834	-0.95326	-1.07756	-1.18676	-1.29119	-1.36748	-1.45592	-1.52069	-1.60120	-1.65678	-1.71454	-1.78851	-1.93357	-2.17975	-2.24518	-2.27992	-2.36157	-2.49038	-2.76709	-2.97165	-3.10031	-3.14774	-3.02653	-2.34340	-2.02974	-2.03109	 0.45920	 0.89730	 0.99972	 0.94308	 0.83340	 0.70903	 0.60364	 0.50488	 0.40459	 0.31306	 0.23095	 0.14480	 0.08194	 0.03196	 0.01215	 0.01066	 0.03363	 0.05493	 0.08221	 0.12647	 0.13202	-0.31653	  1.0413	-0.175981	 -0.0472	
