   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   4.102	0.009631	  0.6801	 -0.0641	  0.6791	-0.039044	2.985E+6	   0.238	 3935.15	   83.82	   0.000	 0.09539	 0.05928	 0.01436	-0.04105	-0.10584	-0.18422	-0.27277	-0.36357	-0.45971	-0.55257	-0.64605	-0.74213	-0.82848	-0.90242	-0.97130	-1.03711	-1.07910	-1.10453	-1.11491	-1.13349	-1.13262	-1.13676	-1.12774	-1.12611	-1.10261	-1.07916	-1.05737	-1.08225	-1.10978	-1.06252	-0.99358	-1.04692	-1.01770	-0.95228	-0.87853	-0.72106	-0.49564	-0.18723	 0.26526	 0.51169	 0.51252	 0.99394	 0.83519	 0.61411	 0.43296	 0.32293	 0.21072	 0.10658	 0.04748	-0.02427	-0.08216	-0.12694	-0.17873	-0.19973	-0.20549	-0.17854	-0.13514	-0.06463	-0.00109	 0.06646	 0.14551	 0.24730	 0.09307	  0.6786	-0.038755	 -0.0643	
       2	   6.167	0.012735	  0.8474	 -0.0584	  0.8439	-0.078378	2.995E+6	   0.239	 3964.90	   84.16	   0.000	 0.02209	-0.00389	-0.02845	-0.06037	-0.10214	-0.16359	-0.24573	-0.33981	-0.44545	-0.55022	-0.65665	-0.76586	-0.86669	-0.95600	-1.03955	-1.11993	-1.17697	-1.21707	-1.24274	-1.27646	-1.28980	-1.31132	-1.31754	-1.33504	-1.32780	-1.32206	-1.32150	-1.37271	-1.43178	-1.41428	-1.37708	-1.47273	-1.49452	-1.49304	-1.48819	-1.38668	-1.20853	-0.91542	-0.36134	-0.05947	-0.05922	 0.97466	 0.97074	 0.81760	 0.64694	 0.52143	 0.39435	 0.28127	 0.20584	 0.12188	 0.05220	-0.00524	-0.06813	-0.10171	-0.12081	-0.10781	-0.07724	-0.02068	 0.03110	 0.08738	 0.15722	 0.23777	 0.01675	  0.8434	-0.077975	 -0.0585	
       3	   8.203	0.018891	  0.9594	 -0.0502	  0.9523	-0.118199	2.985E+6	   0.238	 3944.14	   83.96	   0.000	-0.08688	-0.12185	-0.13010	-0.14222	-0.15459	-0.17466	-0.20743	-0.26320	-0.35163	-0.46000	-0.58017	-0.70606	-0.82682	-0.93693	-1.03947	-1.13694	-1.21231	-1.26950	-1.31335	-1.36392	-1.39327	-1.43312	-1.45598	-1.49381	-1.50435	-1.51758	-1.53958	-1.61626	-1.70650	-1.72045	-1.71964	-1.86729	-1.92311	-1.97462	-2.07163	-2.04070	-1.92982	-1.67955	-1.05656	-0.72833	-0.72856	 0.85345	 1.00000	 0.93204	 0.79042	 0.66479	 0.53491	 0.41587	 0.32922	 0.23788	 0.15853	 0.09070	 0.01860	-0.02612	-0.05699	-0.05670	-0.03778	 0.00596	 0.04611	 0.09193	 0.15276	 0.20850	-0.11616	  0.9520	-0.117857	 -0.0503	
       4	  10.217	0.032460	  1.0149	 -0.0497	  1.0046	-0.148082	2.986E+6	   0.238	 3947.86	   84.02	   0.000	-0.23519	-0.28553	-0.29192	-0.29526	-0.29765	-0.29956	-0.30035	-0.30150	-0.30584	-0.32016	-0.35783	-0.43949	-0.57706	-0.73302	-0.88054	-1.01409	-1.12449	-1.21107	-1.28340	-1.35745	-1.40871	-1.47102	-1.51369	-1.57382	-1.60421	-1.63793	-1.68389	-1.78416	-1.90292	-1.94848	-1.98478	-2.17830	-2.28009	-2.37661	-2.56258	-2.60816	-2.57303	-2.38058	-1.72004	-1.38550	-1.38622	 0.67902	 0.97173	 0.98441	 0.88046	 0.76390	 0.63809	 0.51717	 0.42213	 0.32634	 0.24192	 0.16651	 0.08609	 0.03219	-0.00870	-0.01957	-0.01121	 0.02153	 0.05143	 0.08724	 0.13886	 0.16476	-0.23724	  1.0045	-0.148184	 -0.0499	
       5	  11.223	0.037436	  1.0222	 -0.0457	  1.0099	-0.162229	2.975E+6	   0.238	 3924.89	   83.79	   0.000	-0.29248	-0.33462	-0.33513	-0.33216	-0.32890	-0.32644	-0.32279	-0.31946	-0.31661	-0.31820	-0.32915	-0.35879	-0.43914	-0.58090	-0.74557	-0.90239	-1.03715	-1.14401	-1.23499	-1.32393	-1.38867	-1.46388	-1.51792	-1.59019	-1.63155	-1.67642	-1.73491	-1.84664	-1.97942	-2.04123	-2.09677	-2.31150	-2.43646	-2.55525	-2.78261	-2.87006	-2.87530	-2.71661	-2.04581	-1.71285	-1.71370	 0.57759	 0.94134	 0.99559	 0.91259	 0.80253	 0.67983	 0.55928	 0.46170	 0.36307	 0.27318	 0.19540	 0.11478	 0.05656	 0.01055	-0.00557	-0.00216	 0.02590	 0.05083	 0.08172	 0.12901	 0.14197	-0.27969	  1.0099	-0.162610	 -0.0459	
       6	  12.228	0.047038	  1.0486	 -0.0466	  1.0348	-0.176123	2.969E+6	   0.237	 3910.78	   83.66	   0.000	-0.33580	-0.37315	-0.37112	-0.36560	-0.36038	-0.35629	-0.35240	-0.34861	-0.34462	-0.34339	-0.34853	-0.36348	-0.40787	-0.50561	-0.65378	-0.81579	-0.96520	-1.08712	-1.19337	-1.29475	-1.37116	-1.45800	-1.52262	-1.60629	-1.65848	-1.71417	-1.78542	-1.90824	-2.05472	-2.13353	-2.20935	-2.44529	-2.59380	-2.73965	-3.00138	-3.13993	-3.18860	-3.06883	-2.39170	-2.06281	-2.06391	 0.46046	 0.89994	 0.99999	 0.94033	 0.83867	 0.72041	 0.60122	 0.50232	 0.40185	 0.30792	 0.22522	 0.14427	 0.08179	 0.03240	 0.01205	 0.01141	 0.03521	 0.05441	 0.08054	 0.12448	 0.12780	-0.31283	  1.0350	-0.176768	 -0.0468	
       7	  13.230	0.055429	  1.0609	 -0.0460	  1.0454	-0.188834	2.960E+6	   0.237	 3888.33	   83.43	   0.000	-0.35831	-0.40038	-0.40010	-0.39389	-0.38709	-0.38131	-0.37468	-0.36872	-0.36279	-0.35903	-0.36061	-0.36663	-0.38905	-0.44173	-0.54684	-0.69729	-0.86062	-1.00131	-1.12784	-1.24500	-1.33550	-1.43590	-1.51216	-1.60797	-1.67126	-1.73856	-1.82220	-1.95628	-2.11570	-2.21113	-2.30694	-2.56185	-2.73323	-2.90600	-3.19351	-3.38616	-3.47846	-3.39788	-2.71963	-2.39808	-2.39931	 0.34147	 0.85334	 0.99897	 0.96117	 0.86856	 0.75497	 0.63769	 0.53779	 0.43603	 0.33964	 0.25400	 0.17003	 0.10097	 0.04605	 0.02116	 0.01749	 0.03365	 0.05668	 0.08034	 0.12186	 0.11893	-0.34201	  1.0459	-0.189792	 -0.0462	
       8	  14.238	0.069060	  1.0871	 -0.0492	  1.0706	-0.200430	2.983E+6	   0.239	 3952.55	   84.13	   0.000	-0.40261	-0.43589	-0.43253	-0.42615	-0.41868	-0.41233	-0.40621	-0.40077	-0.39547	-0.39161	-0.39138	-0.39412	-0.40725	-0.43985	-0.50975	-0.63057	-0.78591	-0.93333	-1.07190	-1.20099	-1.30266	-1.41518	-1.50139	-1.60807	-1.68285	-1.76097	-1.85721	-2.00191	-2.17429	-2.28676	-2.40339	-2.67678	-2.87197	-3.07473	-3.37944	-3.63024	-3.76612	-3.72618	-3.05418	-2.74063	-2.74206	 0.21172	 0.79797	 0.99233	 0.97740	 0.89516	 0.78727	 0.67262	 0.57223	 0.46979	 0.37165	 0.28355	 0.19669	 0.12397	 0.06483	 0.03478	 0.02655	 0.03437	 0.05702	 0.07979	 0.11571	 0.11040	-0.37165	  1.0714	-0.201696	 -0.0494	
       9	  15.241	0.083742	  1.1052	 -0.0526	  1.0884	-0.209739	2.973E+6	   0.238	 3928.23	   83.89	   0.000	-0.43126	-0.46718	-0.46588	-0.45965	-0.45207	-0.44489	-0.43772	-0.43181	-0.42593	-0.42177	-0.42040	-0.41978	-0.42764	-0.44766	-0.49006	-0.57171	-0.70138	-0.84617	-0.99580	-1.13812	-1.25269	-1.37813	-1.47572	-1.59330	-1.67931	-1.76886	-1.87719	-2.03197	-2.21533	-2.34395	-2.48058	-2.76890	-2.98526	-3.21433	-3.54671	-3.83912	-4.02151	-4.02264	-3.35852	-3.05624	-3.05782	 0.08552	 0.74125	 0.98081	 0.98816	 0.91639	 0.81409	 0.70222	 0.60179	 0.49918	 0.39953	 0.30927	 0.21988	 0.14430	 0.08179	 0.04809	 0.03633	 0.03978	 0.05819	 0.07832	 0.10643	 0.10263	-0.40362	  1.0895	-0.211341	 -0.0528	
