   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.001	0.006913	  0.2534	 -0.0657	  0.2534	0.006908	2.983E+6	   0.237	 3904.84	   83.40	   0.000	 0.16300	 0.09742	 0.03959	-0.02333	-0.09017	-0.16229	-0.23953	-0.31497	-0.39121	-0.46404	-0.53502	-0.60764	-0.66775	-0.71382	-0.75555	-0.79406	-0.80866	-0.80914	-0.79132	-0.78379	-0.75660	-0.72945	-0.69346	-0.65979	-0.60863	-0.55461	-0.49846	-0.47693	-0.44899	-0.35789	-0.26646	-0.20888	-0.10911	 0.02591	 0.17898	 0.37450	 0.59551	 0.81291	 0.97075	 0.99900	 1.00000	 0.46790	 0.11761	-0.12787	-0.24872	-0.25994	-0.29298	-0.35501	-0.36102	-0.39145	-0.41686	-0.42685	-0.44852	-0.43827	-0.41115	-0.35138	-0.27886	-0.17752	-0.08799	 0.00299	 0.09855	 0.22936	 0.16171	  0.2532	0.006952	 -0.0658	
       2	   2.056	0.008179	  0.4727	 -0.0658	  0.4727	-0.008781	2.979E+6	   0.237	 3897.95	   83.34	   0.000	 0.13721	 0.08501	 0.02934	-0.03364	-0.10261	-0.17981	-0.26363	-0.34694	-0.43264	-0.51553	-0.59735	-0.68147	-0.75414	-0.81344	-0.86835	-0.92024	-0.94792	-0.96072	-0.95585	-0.96130	-0.94570	-0.93315	-0.90944	-0.89114	-0.85276	-0.81258	-0.77140	-0.77233	-0.76997	-0.69810	-0.61527	-0.60896	-0.53572	-0.42768	-0.30245	-0.11600	 0.12800	 0.41439	 0.73312	 0.88945	 0.89062	 0.84076	 0.55337	 0.29636	 0.12624	 0.05357	-0.02294	-0.10958	-0.14587	-0.19872	-0.24258	-0.27145	-0.30939	-0.31599	-0.30598	-0.26331	-0.20610	-0.12059	-0.04413	 0.03516	 0.12303	 0.24144	 0.13536	  0.4724	-0.008652	 -0.0659	
       3	   4.105	0.009536	  0.6755	 -0.0635	  0.6744	-0.038838	2.993E+6	   0.238	 3940.55	   83.82	   0.000	 0.09249	 0.05705	 0.01300	-0.04133	-0.10525	-0.18272	-0.27082	-0.36129	-0.45654	-0.54993	-0.64328	-0.73929	-0.82534	-0.89866	-0.96741	-1.03356	-1.07542	-1.10182	-1.11127	-1.13119	-1.12862	-1.13228	-1.12250	-1.12192	-1.09860	-1.07481	-1.05156	-1.07849	-1.10651	-1.06002	-1.00130	-1.03327	-1.01086	-0.94958	-0.87379	-0.72556	-0.49482	-0.18567	 0.26934	 0.51507	 0.51587	 0.99317	 0.83286	 0.61125	 0.42436	 0.31499	 0.20399	 0.10439	 0.04460	-0.02510	-0.08411	-0.12904	-0.18066	-0.20206	-0.20739	-0.18040	-0.13728	-0.06699	-0.00316	 0.06456	 0.14355	 0.24508	 0.08912	  0.6740	-0.038560	 -0.0636	
       4	   6.159	0.012659	  0.8403	 -0.0578	  0.8368	-0.077561	2.992E+6	   0.238	 3946.02	   83.92	   0.000	 0.01809	-0.00717	-0.03135	-0.06279	-0.10343	-0.16267	-0.24338	-0.33653	-0.44103	-0.54619	-0.65231	-0.76134	-0.86184	-0.95027	-1.03358	-1.11407	-1.17101	-1.21192	-1.23646	-1.27163	-1.28306	-1.30388	-1.30929	-1.32709	-1.32049	-1.31450	-1.31113	-1.36450	-1.42452	-1.40811	-1.37981	-1.46197	-1.48249	-1.48216	-1.47480	-1.38708	-1.20051	-0.90682	-0.34903	-0.04970	-0.04953	 0.97547	 0.96835	 0.81393	 0.63889	 0.51341	 0.38812	 0.27674	 0.20120	 0.11883	 0.04873	-0.00916	-0.07168	-0.10559	-0.12430	-0.11101	-0.08067	-0.02413	 0.02792	 0.08465	 0.15448	 0.23479	 0.01370	  0.8363	-0.077176	 -0.0579	
       5	   6.159	0.012669	  0.8400	 -0.0577	  0.8365	-0.077522	2.991E+6	   0.238	 3946.06	   83.93	   0.000	 0.01831	-0.00695	-0.03121	-0.06276	-0.10338	-0.16255	-0.24321	-0.33637	-0.44082	-0.54603	-0.65214	-0.76109	-0.86165	-0.95013	-1.03337	-1.11374	-1.17076	-1.21169	-1.23628	-1.27143	-1.28281	-1.30361	-1.30901	-1.32687	-1.32029	-1.31417	-1.31077	-1.36414	-1.42416	-1.40764	-1.37939	-1.46158	-1.48205	-1.48153	-1.47400	-1.38626	-1.19948	-0.90577	-0.34798	-0.04881	-0.04857	 0.97559	 0.96828	 0.81377	 0.63869	 0.51321	 0.38791	 0.27654	 0.20106	 0.11873	 0.04858	-0.00925	-0.07179	-0.10566	-0.12432	-0.11101	-0.08072	-0.02415	 0.02792	 0.08468	 0.15453	 0.23486	 0.01354	  0.8361	-0.077138	 -0.0579	
       6	   8.202	0.018328	  0.9517	 -0.0491	  0.9446	-0.117641	2.995E+6	   0.239	 3964.15	   84.15	   0.000	-0.09269	-0.12375	-0.13030	-0.14084	-0.15321	-0.17290	-0.20370	-0.25670	-0.34330	-0.45266	-0.57385	-0.70049	-0.82164	-0.93121	-1.03363	-1.13126	-1.20665	-1.26475	-1.30723	-1.35957	-1.38708	-1.42616	-1.44825	-1.48586	-1.49721	-1.51091	-1.52904	-1.60815	-1.69970	-1.71577	-1.72363	-1.85485	-1.92007	-1.97587	-2.05681	-2.04342	-1.92162	-1.67170	-1.04213	-0.71784	-0.71815	 0.85574	 1.00000	 0.92970	 0.78481	 0.65847	 0.53009	 0.41166	 0.32324	 0.23454	 0.15473	 0.08662	 0.01484	-0.03019	-0.06077	-0.06016	-0.04152	 0.00236	 0.04266	 0.08896	 0.14969	 0.20484	-0.11120	  0.9443	-0.117320	 -0.0493	
       7	  10.224	0.032371	  1.0231	 -0.0484	  1.0126	-0.149749	2.992E+6	   0.239	 3959.38	   84.12	   0.000	-0.21328	-0.26233	-0.26688	-0.27082	-0.27582	-0.27985	-0.28460	-0.29167	-0.30609	-0.33863	-0.40044	-0.50188	-0.64071	-0.78589	-0.92245	-1.04802	-1.15186	-1.23414	-1.30046	-1.37373	-1.42089	-1.48047	-1.52118	-1.57937	-1.60961	-1.64415	-1.68481	-1.78734	-1.90779	-1.95644	-2.00226	-2.17861	-2.28489	-2.40224	-2.56438	-2.62937	-2.58199	-2.39266	-1.72176	-1.39238	-1.39314	 0.67845	 0.97126	 0.98382	 0.87810	 0.76076	 0.63535	 0.51560	 0.41920	 0.32549	 0.24003	 0.16382	 0.08418	 0.03000	-0.01045	-0.02088	-0.01262	 0.02036	 0.05075	 0.08750	 0.13981	 0.16962	-0.23605	  1.0125	-0.149799	 -0.0486	
       8	  11.224	0.037593	  1.0262	 -0.0454	  1.0138	-0.162855	2.981E+6	   0.238	 3936.55	   83.91	   0.000	-0.28071	-0.32555	-0.32706	-0.32555	-0.32365	-0.32247	-0.32032	-0.31822	-0.31617	-0.32091	-0.33658	-0.37525	-0.46652	-0.61081	-0.77176	-0.92383	-1.05468	-1.15898	-1.24557	-1.33457	-1.39581	-1.46909	-1.52151	-1.59203	-1.63359	-1.67950	-1.73250	-1.84640	-1.98073	-2.04556	-2.11148	-2.30764	-2.43627	-2.58092	-2.78058	-2.88519	-2.87662	-2.72175	-2.03999	-1.71384	-1.71478	 0.57956	 0.94210	 0.99523	 0.91015	 0.79916	 0.67661	 0.55723	 0.45853	 0.36193	 0.27415	 0.19537	 0.11177	 0.05333	 0.00816	-0.00769	-0.00426	 0.02385	 0.04943	 0.08115	 0.12888	 0.14391	-0.27961	  1.0139	-0.163213	 -0.0456	
       9	  11.225	0.037476	  1.0236	 -0.0454	  1.0113	-0.162493	2.977E+6	   0.238	 3931.91	   83.89	   0.000	-0.28151	-0.32685	-0.32897	-0.32761	-0.32586	-0.32424	-0.32176	-0.31981	-0.31735	-0.32167	-0.33579	-0.37125	-0.45741	-0.59847	-0.75982	-0.91353	-1.04622	-1.15203	-1.23978	-1.32954	-1.39142	-1.46523	-1.51817	-1.58893	-1.63077	-1.67690	-1.73018	-1.84402	-1.97856	-2.04349	-2.10937	-2.30527	-2.43420	-2.57901	-2.77862	-2.88301	-2.87450	-2.71976	-2.03842	-1.71208	-1.71298	 0.58000	 0.94222	 0.99533	 0.91016	 0.79916	 0.67654	 0.55721	 0.45851	 0.36188	 0.27413	 0.19536	 0.11178	 0.05327	 0.00810	-0.00779	-0.00436	 0.02378	 0.04934	 0.08104	 0.12867	 0.14352	-0.27945	  1.0113	-0.162863	 -0.0456	
