   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.001	0.007466	  0.2571	 -0.0666	  0.2571	0.007461	2.994E+6	   0.239	 3977.87	   84.36	   0.000	 0.16577	 0.09857	 0.03994	-0.02370	-0.09111	-0.16363	-0.24111	-0.31687	-0.39349	-0.46596	-0.53753	-0.61072	-0.67040	-0.71672	-0.75745	-0.79698	-0.81100	-0.81199	-0.79462	-0.78555	-0.75822	-0.73212	-0.69543	-0.65953	-0.60884	-0.54977	-0.49057	-0.46222	-0.50416	-0.39619	-0.28742	-0.17919	-0.07428	 0.04683	 0.19279	 0.38394	 0.59986	 0.81336	 0.97090	 0.99975	 1.00000	 0.47701	 0.13886	-0.10121	-0.19202	-0.26452	-0.34568	-0.34882	-0.35471	-0.39162	-0.41510	-0.42482	-0.44747	-0.43715	-0.41090	-0.35006	-0.27807	-0.17526	-0.08676	 0.00415	 0.10112	 0.23475	 0.16519	  0.2569	0.007511	 -0.0667	
       2	   2.055	0.008693	  0.4791	 -0.0671	  0.4792	-0.008491	2.994E+6	   0.239	 3983.36	   84.44	   0.000	 0.14219	 0.08757	 0.03034	-0.03420	-0.10434	-0.18235	-0.26664	-0.35036	-0.43648	-0.51904	-0.60150	-0.68623	-0.75845	-0.81802	-0.87204	-0.92486	-0.95213	-0.96566	-0.96090	-0.96484	-0.94922	-0.93796	-0.91373	-0.89393	-0.85556	-0.80985	-0.76685	-0.76093	-0.84076	-0.75255	-0.65328	-0.57475	-0.49181	-0.39639	-0.28001	-0.09866	 0.13644	 0.41611	 0.73222	 0.88796	 0.88858	 0.84599	 0.56647	 0.31540	 0.16632	 0.05046	-0.05877	-0.09882	-0.13792	-0.19631	-0.23913	-0.26816	-0.30694	-0.31342	-0.30406	-0.26059	-0.20375	-0.11690	-0.04161	 0.03739	 0.12652	 0.24722	 0.14123	  0.4788	-0.008353	 -0.0672	
       3	   4.103	0.010002	  0.6897	 -0.0656	  0.6887	-0.039373	2.993E+6	   0.239	 3984.02	   84.47	   0.000	 0.10411	 0.06534	 0.01699	-0.04176	-0.10953	-0.18982	-0.27939	-0.37066	-0.46648	-0.55956	-0.65347	-0.75015	-0.83586	-0.90941	-0.97725	-1.04435	-1.08590	-1.11314	-1.12259	-1.14118	-1.13875	-1.14382	-1.13400	-1.13225	-1.10890	-1.07901	-1.05505	-1.07539	-1.19865	-1.13333	-1.05879	-1.00088	-0.96653	-0.92499	-0.85763	-0.71057	-0.49249	-0.19283	 0.25765	 0.50295	 0.50300	 0.99512	 0.84413	 0.62885	 0.45727	 0.31745	 0.18665	 0.11876	 0.05586	-0.01854	-0.07710	-0.12222	-0.17433	-0.19586	-0.20178	-0.17442	-0.13183	-0.06095	 0.00189	 0.06916	 0.14890	 0.25192	 0.10224	  0.6882	-0.039066	 -0.0657	
       4	   6.170	0.012907	  0.8695	 -0.0610	  0.8658	-0.080620	2.996E+6	   0.240	 3994.51	   84.60	   0.000	 0.04226	 0.01543	-0.01476	-0.05381	-0.10484	-0.17534	-0.26348	-0.36011	-0.46574	-0.57023	-0.67646	-0.78571	-0.88559	-0.97411	-1.05653	-1.13803	-1.19460	-1.23629	-1.26106	-1.29498	-1.30669	-1.32924	-1.33505	-1.35268	-1.34612	-1.33364	-1.33098	-1.37960	-1.54709	-1.51039	-1.46229	-1.44169	-1.44735	-1.47770	-1.48567	-1.39889	-1.22873	-0.94551	-0.39242	-0.09293	-0.09366	 0.96800	 0.97623	 0.83264	 0.66969	 0.52379	 0.38392	 0.29778	 0.21884	 0.13254	 0.06218	 0.00415	-0.05862	-0.09303	-0.11226	-0.09900	-0.06952	-0.01294	 0.03791	 0.09423	 0.16452	 0.24698	 0.03853	  0.8653	-0.080166	 -0.0611	
       5	   8.206	0.017376	  0.9930	 -0.0520	  0.9853	-0.124546	2.994E+6	   0.240	 3995.79	   84.64	   0.000	-0.06626	-0.09756	-0.10849	-0.12167	-0.13787	-0.16276	-0.20481	-0.27459	-0.37623	-0.49260	-0.61670	-0.74417	-0.86406	-0.97294	-1.07384	-1.17233	-1.24694	-1.30542	-1.34804	-1.39881	-1.42672	-1.46784	-1.49056	-1.52850	-1.54019	-1.54720	-1.56718	-1.64442	-1.85274	-1.84792	-1.83182	-1.84859	-1.90795	-1.97986	-2.09670	-2.09083	-1.99403	-1.75679	-1.12819	-0.80407	-0.80530	 0.83000	 0.99915	 0.94459	 0.81201	 0.67396	 0.53360	 0.43700	 0.34582	 0.25348	 0.17354	 0.10505	 0.03299	-0.01237	-0.04345	-0.04306	-0.02548	 0.01811	 0.05734	 0.10256	 0.16335	 0.22006	-0.08493	  0.9850	-0.124099	 -0.0521	
       6	  10.233	0.031329	  1.0556	 -0.0510	  1.0444	-0.156709	2.983E+6	   0.239	 3969.46	   84.38	   0.000	-0.20500	-0.26263	-0.27087	-0.27740	-0.28307	-0.28783	-0.29177	-0.29737	-0.30855	-0.33577	-0.39409	-0.49971	-0.64764	-0.80101	-0.94254	-1.07291	-1.17888	-1.26376	-1.33273	-1.40546	-1.45400	-1.51680	-1.55906	-1.61878	-1.64971	-1.67781	-1.72089	-1.82389	-2.06464	-2.09193	-2.10820	-2.16438	-2.26630	-2.40504	-2.59771	-2.67883	-2.66235	-2.48740	-1.81920	-1.48954	-1.49137	 0.64021	 0.96002	 0.99059	 0.89739	 0.77401	 0.64007	 0.53789	 0.44024	 0.34345	 0.25728	 0.18105	 0.10150	 0.04655	 0.00555	-0.00516	 0.00171	 0.03420	 0.06333	 0.09867	 0.15057	 0.17903	-0.22844	  1.0443	-0.156682	 -0.0512	
       7	  12.226	0.045492	  1.0545	 -0.0465	  1.0403	-0.178858	2.982E+6	   0.239	 3972.65	   84.44	   0.000	-0.30764	-0.37098	-0.38015	-0.37828	-0.37268	-0.36753	-0.36047	-0.35332	-0.34526	-0.34113	-0.34357	-0.35343	-0.38640	-0.46888	-0.61173	-0.78318	-0.94537	-1.07889	-1.19244	-1.29900	-1.37733	-1.46820	-1.53516	-1.61956	-1.67311	-1.72426	-1.79168	-1.91863	-2.18450	-2.24418	-2.29253	-2.38699	-2.53014	-2.72753	-2.98297	-3.15296	-3.21665	-3.11035	-2.42694	-2.10497	-2.10728	 0.43681	 0.89018	 0.99999	 0.94771	 0.84177	 0.71660	 0.61217	 0.51173	 0.41118	 0.32009	 0.23765	 0.15154	 0.08841	 0.03815	 0.01774	 0.01575	 0.03900	 0.05874	 0.08474	 0.12828	 0.13204	-0.32501	  1.0404	-0.179495	 -0.0467	
       8	  13.230	0.057285	  1.0839	 -0.0481	  1.0683	-0.192309	2.990E+6	   0.240	 4000.82	   84.77	   0.000	-0.36507	-0.40954	-0.40951	-0.40348	-0.39626	-0.39016	-0.38385	-0.37810	-0.37215	-0.36863	-0.36975	-0.37493	-0.39625	-0.45287	-0.56563	-0.72254	-0.88770	-1.02990	-1.15503	-1.27150	-1.35995	-1.46150	-1.53774	-1.63283	-1.69597	-1.75871	-1.83731	-1.97636	-2.25329	-2.33042	-2.39580	-2.51073	-2.67864	-2.89932	-3.19261	-3.41766	-3.52608	-3.45913	-2.77203	-2.45544	-2.45786	 0.31073	 0.83932	 0.99762	 0.96743	 0.87276	 0.75348	 0.64944	 0.54831	 0.44662	 0.35350	 0.26838	 0.17952	 0.11273	 0.05817	 0.03296	 0.02700	 0.04547	 0.06095	 0.08278	 0.12265	 0.11601	-0.35010	  1.0687	-0.193214	 -0.0484	
       9	  14.239	0.069995	  1.0917	 -0.0498	  1.0753	-0.200671	2.980E+6	   0.239	 3977.00	   84.54	   0.000	-0.40290	-0.44318	-0.44319	-0.43694	-0.42869	-0.42152	-0.41415	-0.40787	-0.40097	-0.39620	-0.39495	-0.39479	-0.40360	-0.42907	-0.48943	-0.60571	-0.76522	-0.92106	-1.06566	-1.19867	-1.30217	-1.41777	-1.50621	-1.61326	-1.68771	-1.76245	-1.85289	-2.00256	-2.28857	-2.38261	-2.46443	-2.59862	-2.78963	-3.03046	-3.35746	-3.62485	-3.77260	-3.74364	-3.06536	-2.76006	-2.76270	 0.19436	 0.78880	 0.99039	 0.98078	 0.89672	 0.78317	 0.67978	 0.57848	 0.47569	 0.38081	 0.29348	 0.20204	 0.13180	 0.07332	 0.04418	 0.03457	 0.04850	 0.06020	 0.07815	 0.11467	 0.09948	-0.37948	  1.0761	-0.201925	 -0.0500	
