   Runnr	Alpha-pr	Cd-press	Cl-press	Cm-press	Cn-press	Ct-press	Re-press	 M-press	 Q-press	 V-press	    Flap	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	Cn-p-cor	Ct-p-cor	Cm-p-cor
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      Pa	     m/s	 degrees	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	       /	       /	       /
       1	   0.005	0.007008	  0.2543	 -0.0660	  0.2543	0.006987	2.967E+6	   0.236	 3882.76	   83.25	   0.000	 0.16311	 0.09755	 0.03963	-0.02357	-0.09063	-0.16304	-0.24050	-0.31613	-0.39232	-0.46485	-0.53618	-0.60941	-0.66939	-0.71554	-0.75703	-0.79644	-0.81005	-0.81087	-0.79420	-0.78494	-0.75874	-0.73241	-0.69722	-0.66171	-0.61093	-0.55630	-0.50059	-0.48240	-0.45507	-0.37215	-0.27028	-0.19664	-0.10378	 0.02342	 0.17700	 0.37510	 0.59459	 0.81042	 0.96890	 0.99967	 1.00000	 0.48913	 0.14613	-0.09482	-0.18697	-0.27282	-0.33560	-0.38956	-0.39406	-0.41252	-0.40931	-0.42108	-0.44324	-0.43398	-0.40814	-0.34779	-0.27646	-0.17462	-0.08697	 0.00450	 0.09891	 0.22626	 0.16307	  0.2541	0.007031	 -0.0660	
       2	   2.056	0.007990	  0.4741	 -0.0660	  0.4741	-0.009021	2.982E+6	   0.238	 3927.61	   83.75	   0.000	 0.13906	 0.08626	 0.03029	-0.03339	-0.10281	-0.18055	-0.26481	-0.34840	-0.43413	-0.51658	-0.59896	-0.68378	-0.75633	-0.81568	-0.87040	-0.92323	-0.94994	-0.96329	-0.95934	-0.96317	-0.94832	-0.93690	-0.91379	-0.89368	-0.85542	-0.81476	-0.77359	-0.77898	-0.77861	-0.70867	-0.63397	-0.59392	-0.52922	-0.43119	-0.30549	-0.11346	 0.12788	 0.41203	 0.72910	 0.88622	 0.88703	 0.85037	 0.57157	 0.32013	 0.17204	 0.04541	-0.05209	-0.13935	-0.17359	-0.21616	-0.23547	-0.26605	-0.30474	-0.31209	-0.30336	-0.26010	-0.20392	-0.11807	-0.04323	 0.03657	 0.12352	 0.23840	 0.13852	  0.4737	-0.008893	 -0.0661	
       3	   4.102	0.009142	  0.6777	 -0.0637	  0.6766	-0.039357	2.976E+6	   0.237	 3918.53	   83.68	   0.000	 0.09586	 0.05933	 0.01467	-0.04049	-0.10526	-0.18375	-0.27255	-0.36352	-0.45887	-0.55202	-0.64578	-0.74237	-0.82834	-0.90172	-0.97029	-1.03716	-1.07825	-1.10522	-1.11549	-1.13388	-1.13204	-1.13690	-1.12764	-1.12542	-1.10176	-1.07785	-1.05499	-1.08628	-1.11723	-1.07460	-1.01943	-1.03114	-1.00645	-0.95464	-0.87898	-0.72157	-0.49494	-0.18738	 0.26479	 0.50983	 0.51014	 0.99463	 0.84284	 0.62727	 0.45702	 0.30961	 0.18947	 0.08114	 0.02203	-0.03953	-0.07771	-0.12404	-0.17660	-0.19869	-0.20514	-0.17778	-0.13551	-0.06490	-0.00256	 0.06588	 0.14408	 0.24254	 0.09305	  0.6762	-0.039076	 -0.0638	
       4	   6.171	0.012055	  0.8464	 -0.0580	  0.8428	-0.078995	2.984E+6	   0.238	 3946.61	   84.02	   0.000	 0.02194	-0.00438	-0.02987	-0.06305	-0.10387	-0.16296	-0.24474	-0.33908	-0.44409	-0.54932	-0.65620	-0.76594	-0.86657	-0.95535	-1.03882	-1.12020	-1.17660	-1.21815	-1.24389	-1.27760	-1.29001	-1.31252	-1.31835	-1.33520	-1.32785	-1.32200	-1.32019	-1.37935	-1.44290	-1.43113	-1.39328	-1.47104	-1.49432	-1.50102	-1.49302	-1.39296	-1.21288	-0.92027	-0.36387	-0.06483	-0.06532	 0.97112	 0.97374	 0.82669	 0.66465	 0.51364	 0.38302	 0.26269	 0.18126	 0.10934	 0.05681	-0.00227	-0.06608	-0.10083	-0.12061	-0.10729	-0.07782	-0.02125	 0.02936	 0.08668	 0.15574	 0.23360	 0.01683	  0.8423	-0.078600	 -0.0582	
       5	   8.200	0.018155	  0.9610	 -0.0501	  0.9537	-0.119093	2.976E+6	   0.238	 3928.44	   83.84	   0.000	-0.08295	-0.11508	-0.12294	-0.13452	-0.14901	-0.17354	-0.21121	-0.26808	-0.35766	-0.46776	-0.58855	-0.71449	-0.83382	-0.94208	-1.04353	-1.14127	-1.21528	-1.27326	-1.31669	-1.36674	-1.39488	-1.43556	-1.45768	-1.49403	-1.50442	-1.51725	-1.53793	-1.62283	-1.72038	-1.73890	-1.73693	-1.85379	-1.93928	-2.00927	-2.07533	-2.04597	-1.93211	-1.68114	-1.05260	-0.72870	-0.72974	 0.84716	 1.00000	 0.93662	 0.80185	 0.65943	 0.52695	 0.40145	 0.30758	 0.22621	 0.16209	 0.09275	 0.01994	-0.02562	-0.05700	-0.05621	-0.03828	 0.00577	 0.04507	 0.09227	 0.15257	 0.20719	-0.10335	  0.9534	-0.118752	 -0.0503	
       6	  10.234	0.032381	  1.0504	 -0.0494	  1.0394	-0.154747	2.973E+6	   0.238	 3924.75	   83.83	   0.000	-0.18760	-0.24216	-0.24426	-0.24903	-0.25561	-0.26106	-0.26865	-0.28372	-0.31289	-0.36764	-0.45882	-0.58122	-0.71975	-0.85418	-0.98050	-1.09905	-1.19514	-1.27283	-1.33704	-1.40510	-1.45096	-1.51066	-1.55049	-1.60644	-1.63566	-1.66754	-1.71196	-1.82085	-1.95055	-2.00220	-2.04168	-2.15529	-2.34799	-2.47800	-2.61748	-2.66582	-2.63103	-2.44044	-1.76537	-1.43447	-1.43615	 0.65660	 0.96460	 0.98817	 0.89273	 0.76625	 0.63808	 0.51200	 0.41182	 0.32201	 0.24979	 0.17268	 0.09207	 0.03732	-0.00386	-0.01418	-0.00669	 0.02645	 0.05602	 0.09388	 0.14617	 0.17774	-0.22061	  1.0393	-0.154705	 -0.0496	
       7	  12.233	0.046302	  1.0683	 -0.0465	  1.0539	-0.181120	2.956E+6	   0.237	 3885.57	   83.44	   0.000	-0.31841	-0.36432	-0.36374	-0.35888	-0.35395	-0.35048	-0.34685	-0.34436	-0.34202	-0.34407	-0.35425	-0.37800	-0.44052	-0.55786	-0.71184	-0.87008	-1.01224	-1.12967	-1.23130	-1.32922	-1.40193	-1.48775	-1.55104	-1.63073	-1.68228	-1.73656	-1.80631	-1.93702	-2.09720	-2.18211	-2.26250	-2.42403	-2.59035	-2.86984	-3.06554	-3.18898	-3.23729	-3.11817	-2.42277	-2.09921	-2.10148	 0.43879	 0.89049	 0.99999	 0.94743	 0.84013	 0.71998	 0.59613	 0.49272	 0.39686	 0.31884	 0.23530	 0.14817	 0.08516	 0.03469	 0.01424	 0.01240	 0.03552	 0.05555	 0.08380	 0.12713	 0.13087	-0.30979	  1.0541	-0.181701	 -0.0467	
       8	  14.246	0.066308	  1.0909	 -0.0463	  1.0737	-0.204181	2.939E+6	   0.235	 3844.18	   83.02	   0.000	-0.38833	-0.42551	-0.42477	-0.41907	-0.41184	-0.40539	-0.39864	-0.39297	-0.38681	-0.38394	-0.38521	-0.38957	-0.40543	-0.44251	-0.52014	-0.64662	-0.80109	-0.94791	-1.08550	-1.21384	-1.31456	-1.42741	-1.51436	-1.61783	-1.69205	-1.76934	-1.86391	-2.01598	-2.20317	-2.32112	-2.43986	-2.64505	-2.82076	-3.19893	-3.47128	-3.66481	-3.79967	-3.76017	-3.06337	-2.75623	-2.75902	 0.19526	 0.78933	 0.99052	 0.98092	 0.89576	 0.78628	 0.66695	 0.56241	 0.46359	 0.37989	 0.29124	 0.19896	 0.12884	 0.06999	 0.04092	 0.03153	 0.04566	 0.05734	 0.07744	 0.11376	 0.10002	-0.36943	  1.0744	-0.205412	 -0.0466	
       9	  15.240	0.080720	  1.1027	 -0.0495	  1.0852	-0.211993	2.955E+6	   0.237	 3890.97	   83.55	   0.000	-0.42633	-0.45861	-0.45783	-0.45206	-0.44465	-0.43817	-0.43132	-0.42520	-0.41831	-0.41380	-0.41245	-0.41259	-0.42036	-0.44015	-0.48396	-0.56830	-0.70067	-0.84806	-0.99760	-1.13955	-1.25400	-1.38062	-1.47926	-1.59487	-1.68006	-1.76915	-1.87549	-2.03754	-2.23633	-2.36998	-2.50716	-2.73087	-2.93694	-3.27883	-3.64113	-3.86682	-4.04179	-4.04110	-3.34969	-3.05356	-3.05654	 0.07553	 0.73453	 0.97880	 0.99020	 0.91634	 0.81258	 0.69620	 0.59168	 0.49220	 0.40637	 0.31568	 0.22119	 0.14808	 0.08570	 0.05301	 0.04005	 0.04994	 0.05805	 0.07450	 0.10769	 0.08583	-0.39785	  1.0862	-0.213574	 -0.0498	
