   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   0.004	  0.3095	0.006489	 -0.0771	0.006508	  0.3095	  0.3095	0.006150	  180.79	   0.000	1.985E+6	   0.150	 1591.78	   52.06	   674.5	 1013.04	   27.30	 0.18053	 0.08167	 0.01682	-0.05248	-0.12477	-0.19919	-0.27848	-0.35509	-0.43241	-0.49926	-0.56965	-0.69818	-0.74022	-0.78537	-0.82969	-0.85988	-0.87852	-0.87313	-0.86278	-0.85050	-0.82973	-0.79475	-0.77227	-0.74027	-0.69186	-0.62607	-0.57531	-0.55267	-0.52912	-0.43887	-0.33251	-0.22377	-0.12265	 0.00043	 0.14506	 0.34103	 0.55990	 0.78668	 0.95639	 0.99617	 1.00000	 0.51884	 0.17490	-0.05792	-0.16288	-0.24596	-0.31385	-0.36117	-0.37376	-0.40343	-0.42897	-0.43967	-0.44958	-0.44625	-0.42142	-0.36491	-0.31659	-0.15343	-0.08035	 0.00851	 0.11138	 0.26216	 0.17930	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99212	 0.96613	 0.91228	 0.84909	 0.78955	 0.75853	 0.76780	 0.81854	 0.86828	 0.92933	 0.97184	 0.99425	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02560	 0.02926	 0.02635	-0.00197	 0.02201	 0.02113	 0.01822	 0.01697	 0.01364	 0.01483	 0.01139	 0.00988	 0.00882	 0.00272	-0.00225	-0.00925	
       2	   1.004	  0.4380	-0.001074	 -0.0797	0.006604	  0.4379	  0.4379	0.006604	  179.25	   0.000	1.985E+6	   0.150	 1589.87	   52.02	   673.7	 1013.04	   27.25	 0.17833	 0.07790	 0.00945	-0.06335	-0.13910	-0.21778	-0.30143	-0.38277	-0.46595	-0.54059	-0.60628	-0.72810	-0.80577	-0.85127	-0.89989	-0.93595	-0.96083	-0.96163	-0.95802	-0.95201	-0.93788	-0.90980	-0.89380	-0.87052	-0.82804	-0.76871	-0.72529	-0.71575	-0.70685	-0.62699	-0.52877	-0.43102	-0.34246	-0.23454	-0.10302	 0.09027	 0.32290	 0.59038	 0.84629	 0.95945	 0.96969	 0.73369	 0.41778	 0.17403	 0.03570	-0.07003	-0.15806	-0.22277	-0.25180	-0.29382	-0.33037	-0.35133	-0.37060	-0.37564	-0.35948	-0.30975	-0.26033	-0.12672	-0.05049	 0.03115	 0.12847	 0.27026	 0.17732	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.98752	 0.95470	 0.89543	 0.83148	 0.77705	 0.75632	 0.77428	 0.83035	 0.88023	 0.93788	 0.97609	 0.99516	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03065	 0.03356	 0.02995	-0.00001	 0.02447	 0.02286	 0.01957	 0.01757	 0.01396	 0.01473	 0.01076	 0.00872	 0.00711	 0.00009	-0.00585	-0.01383	
       3	   2.002	  0.5612	-0.012826	 -0.0815	0.006785	  0.5614	  0.5613	0.007272	  180.77	   0.000	1.985E+6	   0.150	 1589.99	   52.02	   673.7	 1013.07	   27.22	 0.17624	 0.07505	 0.00336	-0.07271	-0.15188	-0.23477	-0.32259	-0.40859	-0.49757	-0.57867	-0.65343	-0.73424	-0.87406	-0.91829	-0.96926	-1.01074	-1.04171	-1.04894	-1.05212	-1.05280	-1.04485	-1.02424	-1.01570	-1.00093	-0.96559	-0.91338	-0.87931	-0.88114	-0.88918	-0.82124	-0.73322	-0.64893	-0.57645	-0.48674	-0.37720	-0.19382	 0.04131	 0.33747	 0.67020	 0.84385	 0.85869	 0.88292	 0.61398	 0.37206	 0.21233	 0.08921	-0.01500	-0.09441	-0.13785	-0.19056	-0.23696	-0.26674	-0.29489	-0.30767	-0.29989	-0.25743	-0.21000	-0.11912	-0.02024	 0.05388	 0.14551	 0.27830	 0.17529	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99736	 0.98330	 0.94641	 0.88476	 0.82125	 0.77033	 0.75478	 0.77565	 0.83246	 0.88186	 0.93821	 0.97554	 0.99468	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03615	 0.03830	 0.03395	 0.00211	 0.02709	 0.02504	 0.02134	 0.01856	 0.01468	 0.01517	 0.01076	 0.00817	 0.00608	-0.00184	-0.00865	-0.01752	
       4	   2.999	  0.6852	-0.028892	 -0.0834	0.006995	  0.6858	  0.6857	0.007865	  179.24	   0.000	1.984E+6	   0.150	 1587.78	   51.99	   672.8	 1013.08	   27.19	 0.17309	 0.07229	-0.00252	-0.08167	-0.16417	-0.25105	-0.34319	-0.43408	-0.52851	-0.61591	-0.69985	-0.77610	-0.91098	-0.99010	-1.03987	-1.08703	-1.12420	-1.13813	-1.14824	-1.15594	-1.15509	-1.14249	-1.14199	-1.13662	-1.10890	-1.06452	-1.04111	-1.05666	-1.08178	-1.02816	-0.95106	-0.88455	-0.82995	-0.76693	-0.68489	-0.52037	-0.29164	 0.01769	 0.42272	 0.64681	 0.66491	 0.97249	 0.77090	 0.54511	 0.37263	 0.23648	 0.12014	 0.02759	-0.02797	-0.09034	-0.14560	-0.18426	-0.22015	-0.24036	-0.24058	-0.20582	-0.16271	-0.10893	 0.01050	 0.07561	 0.16261	 0.28619	 0.17234	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99462	 0.97462	 0.93250	 0.86907	 0.80809	 0.76374	 0.75528	 0.78039	 0.83756	 0.88588	 0.93986	 0.97548	 0.99421	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04084	 0.04230	 0.03729	 0.00357	 0.02892	 0.02661	 0.02253	 0.01884	 0.01483	 0.01507	 0.01020	 0.00700	 0.00445	-0.00436	-0.01211	-0.02197	
       5	   3.996	  0.8077	-0.049023	 -0.0855	0.007383	  0.8092	  0.8091	0.008159	  180.86	   0.000	1.984E+6	   0.150	 1587.56	   51.98	   672.7	 1013.12	   27.16	 0.16885	 0.07048	-0.00677	-0.08877	-0.17420	-0.26495	-0.36159	-0.45745	-0.55708	-0.65041	-0.74211	-0.83174	-0.90885	-1.06423	-1.11466	-1.16283	-1.20542	-1.22594	-1.24357	-1.25877	-1.26444	-1.26057	-1.26865	-1.27289	-1.25166	-1.21792	-1.20598	-1.23648	-1.27962	-1.24211	-1.17918	-1.13152	-1.09972	-1.06684	-1.01827	-0.87974	-0.67092	-0.36016	 0.10929	 0.37368	 0.39287	 1.00000	 0.88585	 0.68878	 0.51315	 0.36982	 0.24338	 0.14208	 0.07460	 0.00486	-0.05837	-0.10487	-0.14790	-0.17492	-0.18258	-0.15555	-0.11808	-0.06652	 0.03982	 0.09884	 0.17988	 0.29394	 0.16880	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99657	 0.98477	 0.95152	 0.89970	 0.83497	 0.77948	 0.75353	 0.76348	 0.79316	 0.84500	 0.89830	 0.95087	 0.98026	 0.99536	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04652	 0.04737	 0.04178	 0.00618	 0.03231	 0.02962	 0.02525	 0.02110	 0.01565	 0.01679	 0.01153	 0.00791	 0.00484	-0.00485	-0.01345	-0.02426	
       6	   5.004	  0.9218	-0.072844	 -0.0865	0.007839	  0.9247	  0.9245	0.009364	  179.16	   0.000	1.982E+6	   0.149	 1584.49	   51.93	   671.4	 1013.14	   27.15	 0.16028	 0.06852	-0.01004	-0.09410	-0.18229	-0.27717	-0.37768	-0.47807	-0.58279	-0.68243	-0.78093	-0.88112	-0.96585	-1.04485	-1.18747	-1.24163	-1.28587	-1.31125	-1.33573	-1.35780	-1.37087	-1.37572	-1.39198	-1.40640	-1.39315	-1.36881	-1.36965	-1.41524	-1.47644	-1.45574	-1.40882	-1.38158	-1.37584	-1.37647	-1.36495	-1.26155	-1.08126	-0.78001	-0.25540	 0.03967	 0.05764	 0.98521	 0.95826	 0.80079	 0.63070	 0.48580	 0.35348	 0.24511	 0.16886	 0.09146	 0.02227	-0.03125	-0.08070	-0.11395	-0.12846	-0.10865	-0.07701	-0.02744	 0.05406	 0.12067	 0.19577	 0.30013	 0.16220	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99309	 0.97761	 0.94250	 0.89283	 0.83212	 0.78046	 0.75464	 0.76054	 0.78571	 0.83269	 0.88357	 0.93667	 0.96998	 0.99027	 0.99690	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.05129	 0.05152	 0.04546	 0.00799	 0.03502	 0.03186	 0.02715	 0.02175	 0.01610	 0.01760	 0.01190	 0.00781	 0.00424	-0.00636	-0.01585	-0.02763	
       7	   6.005	  1.0314	-0.099696	 -0.0861	0.008749	  1.0362	  1.0361	0.009980	  180.83	   0.000	1.982E+6	   0.149	 1583.51	   51.91	   671.0	 1013.14	   27.12	 0.14339	 0.06486	-0.01189	-0.09632	-0.18601	-0.28440	-0.38862	-0.49366	-0.60381	-0.70906	-0.81483	-0.92355	-1.02231	-1.10139	-1.17082	-1.28809	-1.36518	-1.39874	-1.43005	-1.45837	-1.47789	-1.49178	-1.51716	-1.54204	-1.53791	-1.52429	-1.53951	-1.60113	-1.68108	-1.67966	-1.65129	-1.64798	-1.67154	-1.71054	-1.74439	-1.68342	-1.54128	-1.26167	-0.68908	-0.37251	-0.35786	 0.92415	 0.99473	 0.88865	 0.73310	 0.59143	 0.45617	 0.34270	 0.25877	 0.17556	 0.10016	 0.04045	-0.01520	-0.05421	-0.07541	-0.06278	-0.03744	 0.00817	 0.06065	 0.14219	 0.21069	 0.30393	 0.14772	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99551	 0.98510	 0.96462	 0.92768	 0.88143	 0.82775	 0.78203	 0.75683	 0.75696	 0.77459	 0.81193	 0.85650	 0.90834	 0.94615	 0.97501	 0.98904	 0.99672	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.05632	 0.05598	 0.04933	 0.01012	 0.03788	 0.03442	 0.02931	 0.02192	 0.01623	 0.01884	 0.01277	 0.00819	 0.00422	-0.00728	-0.01759	-0.03022	
       8	   7.002	  1.1152	-0.125713	 -0.0829	0.011171	  1.1222	  1.1221	0.011792	  179.18	   0.000	1.979E+6	   0.149	 1579.18	   51.83	   669.2	 1013.13	   27.10	 0.10683	 0.04976	-0.01552	-0.09283	-0.17936	-0.27847	-0.38500	-0.49355	-0.60860	-0.71973	-0.83185	-0.94589	-1.05356	-1.14645	-1.23661	-1.32508	-1.38670	-1.42659	-1.45034	-1.52125	-1.56393	-1.59108	-1.62532	-1.65890	-1.66267	-1.65949	-1.68958	-1.76553	-1.86190	-1.87918	-1.86930	-1.88936	-1.94154	-2.01893	-2.09786	-2.08019	-1.98076	-1.73086	-1.12215	-0.79459	-0.78247	 0.83233	 0.99832	 0.94478	 0.80908	 0.67362	 0.53829	 0.42208	 0.33238	 0.24487	 0.16447	 0.09948	 0.03828	-0.00608	-0.03324	-0.02728	-0.00745	 0.03298	 0.07674	 0.15576	 0.21830	 0.29921	 0.10713	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99706	 0.99188	 0.98146	 0.96103	 0.93147	 0.89594	 0.85263	 0.81214	 0.77633	 0.75332	 0.74626	 0.75841	 0.77784	 0.81096	 0.84788	 0.89114	 0.92490	 0.95439	 0.97267	 0.98720	 0.99532	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.05857	 0.05788	 0.05088	 0.01031	 0.03875	 0.03514	 0.02947	 0.01841	 0.01413	 0.01855	 0.01228	 0.00724	 0.00286	-0.00936	-0.02038	-0.03376	
       9	   7.996	  1.1735	-0.150038	 -0.0770	0.014645	  1.1829	  1.1829	0.014471	  180.76	   0.000	1.981E+6	   0.149	 1582.65	   51.89	   670.7	 1013.11	   27.08	 0.04409	 0.00667	-0.03547	-0.09066	-0.16114	-0.25238	-0.35750	-0.46857	-0.58919	-0.70646	-0.82484	-0.94452	-1.06003	-1.16257	-1.26172	-1.35689	-1.42997	-1.48404	-1.51994	-1.57293	-1.60093	-1.63604	-1.64945	-1.68286	-1.73784	-1.77558	-1.82702	-1.91155	-2.02065	-2.05601	-2.06458	-2.10784	-2.18826	-2.30234	-2.42464	-2.45190	-2.39770	-2.18125	-1.54480	-1.21487	-1.20710	 0.72047	 0.98115	 0.97854	 0.86553	 0.73874	 0.60517	 0.48768	 0.39380	 0.30252	 0.21811	 0.14745	 0.08230	 0.03318	 0.00016	 0.00036	 0.01469	 0.04975	 0.09173	 0.15508	 0.21982	 0.28513	 0.03927	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99392	 0.99006	 0.97907	 0.96386	 0.94267	 0.91311	 0.87973	 0.84582	 0.80912	 0.77830	 0.75301	 0.73777	 0.73392	 0.74369	 0.75830	 0.78256	 0.81064	 0.84570	 0.87653	 0.90769	 0.93080	 0.95446	 0.97273	 0.98446	 0.99169	 0.99684	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.06015	 0.05930	 0.05218	 0.01077	 0.03995	 0.03621	 0.02861	 0.01453	 0.01080	 0.01807	 0.01291	 0.00747	 0.00272	-0.01022	-0.02189	-0.03592	
