   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	  -0.011	  0.2629	0.010775	 -0.0723	0.010726	  0.2629	  0.2629	0.011986	  198.37	   0.000	2.951E+6	   0.222	 3512.33	   77.30	  1463.7	 1013.64	   27.19	 0.15440	 0.07954	 0.01795	-0.04849	-0.11862	-0.19315	-0.27279	-0.35029	-0.42807	-0.50224	-0.57552	-0.64929	-0.71009	-0.75724	-0.79864	-0.83843	-0.85208	-0.85305	-0.83349	-0.82569	-0.79786	-0.76983	-0.73199	-0.69582	-0.64179	-0.58546	-0.50481	-0.05240	-0.44880	-0.39771	-0.29319	-0.18456	-0.08114	 0.04284	 0.19063	 0.38454	 0.60017	 0.81561	 0.97044	 0.99884	 0.99893	 0.47890	 0.13494	-0.10104	-0.19507	-0.27864	-0.33103	-0.41674	-0.37394	-0.41380	-0.43865	-0.44812	-0.47300	-0.46140	-0.43522	-0.37240	-0.29901	-0.19322	-0.10282	-0.00961	 0.09100	 0.22990	 0.15399	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99250	 0.97559	 0.94299	 0.89288	 0.83587	 0.77700	 0.73102	 0.70931	 0.71420	 0.73667	 0.78059	 0.83104	 0.89116	 0.93520	 0.96934	 0.98623	 0.99636	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02108	 0.02545	 0.02305	-0.00291	 0.01976	 0.01943	 0.01677	 0.01324	 0.00944	 0.01445	 0.01122	 0.00991	 0.00917	 0.00311	-0.00192	-0.00868	
       2	   4.000	  0.7353	-0.039181	 -0.0795	0.012204	  0.7363	  0.7360	0.016772	  199.64	   0.000	2.966E+6	   0.225	 3593.57	   78.38	  1496.6	 1013.63	   28.70	 0.11863	 0.05782	-0.00556	-0.07778	-0.15689	-0.24507	-0.34047	-0.43554	-0.53403	-0.62994	-0.72607	-0.82548	-0.91321	-0.98824	-1.05771	-1.12685	-1.16831	-1.19611	-1.20333	-1.22451	-1.22082	-1.22555	-1.21388	-1.21045	-1.18299	-1.15803	-1.09838	-0.03804	-1.17490	-1.18537	-1.12433	-1.07249	-1.03552	-0.99546	-0.93437	-0.78845	-0.57066	-0.26202	 0.20119	 0.45310	 0.46699	 0.99860	 0.86397	 0.65720	 0.48519	 0.33865	 0.22325	 0.10142	 0.06137	-0.01516	-0.07485	-0.12025	-0.17447	-0.19597	-0.20284	-0.17461	-0.13211	-0.06035	 0.00367	 0.07192	 0.15290	 0.25738	 0.11763	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99637	 0.98974	 0.97501	 0.95061	 0.91663	 0.87245	 0.82618	 0.77959	 0.74331	 0.72438	 0.72332	 0.73628	 0.76489	 0.80154	 0.84975	 0.89072	 0.92921	 0.95503	 0.97799	 0.99096	 0.99674	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04066	 0.04221	 0.03714	 0.00464	 0.02887	 0.02668	 0.02243	 0.01365	 0.00941	 0.01512	 0.01039	 0.00692	 0.00426	-0.00537	-0.01389	-0.02419	
       3	   5.998	  0.9467	-0.085767	 -0.0809	0.013625	  0.9505	  0.9499	0.019720	  199.19	   0.000	2.960E+6	   0.225	 3601.97	   78.58	  1500.0	 1013.62	   29.50	 0.08594	 0.03746	-0.01827	-0.08579	-0.16403	-0.25576	-0.35747	-0.46083	-0.56964	-0.67646	-0.78439	-0.89655	-0.99807	-1.08770	-1.17170	-1.25574	-1.31222	-1.35453	-1.37677	-1.41383	-1.42424	-1.44731	-1.45094	-1.46701	-1.45594	-1.44908	-1.40245	-0.02338	-1.56539	-1.61056	-1.58269	-1.57254	-1.58764	-1.61576	-1.63413	-1.55624	-1.39492	-1.10806	-0.53250	-0.22581	-0.21278	 0.94884	 0.98837	 0.86351	 0.70613	 0.55867	 0.43241	 0.30403	 0.23203	 0.15145	 0.07925	 0.02073	-0.04394	-0.07858	-0.09876	-0.08524	-0.05610	 0.00058	 0.05242	 0.10945	 0.18053	 0.26597	 0.08588	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99692	 0.99218	 0.98278	 0.96573	 0.94121	 0.90990	 0.87082	 0.83114	 0.79068	 0.75719	 0.73653	 0.72778	 0.73220	 0.74830	 0.77322	 0.81030	 0.84555	 0.88308	 0.91260	 0.94415	 0.96750	 0.98257	 0.99194	 0.99669	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04941	 0.04996	 0.04393	 0.00797	 0.03390	 0.03089	 0.02581	 0.01417	 0.00958	 0.01578	 0.01142	 0.00703	 0.00337	-0.00798	-0.01819	-0.03029	
       4	   0.004	  0.2781	0.010694	 -0.0712	0.010712	  0.2781	  0.2781	0.008583	  190.78	   0.000	2.966E+6	   0.226	 3615.79	   78.72	  1505.6	 1013.54	   29.45	 0.15426	 0.07941	 0.01760	-0.04877	-0.11920	-0.19392	-0.27379	-0.35151	-0.42962	-0.50409	-0.57710	-0.65193	-0.71314	-0.76058	-0.80252	-0.84271	-0.85659	-0.85797	-0.83869	-0.83111	-0.80367	-0.77596	-0.73819	-0.70164	-0.64895	-0.59355	-0.52200	-0.60278	-0.48967	-0.40881	-0.30290	-0.19439	-0.09104	 0.03268	 0.18011	 0.37432	 0.59097	 0.80854	 0.96749	 0.99893	 0.99932	 0.49084	 0.14773	-0.08943	-0.18533	-0.27020	-0.32382	-0.41236	-0.36825	-0.40929	-0.43449	-0.44447	-0.46985	-0.45855	-0.43278	-0.37027	-0.29720	-0.19174	-0.10164	-0.00872	 0.09167	 0.23035	 0.15401	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99146	 0.97295	 0.93861	 0.88733	 0.83002	 0.77180	 0.72782	 0.70864	 0.71675	 0.74105	 0.78628	 0.83695	 0.89627	 0.93909	 0.97172	 0.98756	 0.99678	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02146	 0.02576	 0.02332	-0.00257	 0.02009	 0.01959	 0.01694	 0.01329	 0.00957	 0.01457	 0.01130	 0.00998	 0.00922	 0.00312	-0.00193	-0.00870	
       5	   1.001	  0.3970	0.003881	 -0.0730	0.010814	  0.3969	  0.3969	0.009388	  189.23	   0.000	2.991E+6	   0.228	 3693.03	   79.63	  1536.8	 1013.52	   29.99	 0.14770	 0.07463	 0.01103	-0.05769	-0.13091	-0.20920	-0.29306	-0.37508	-0.45818	-0.53781	-0.61635	-0.69702	-0.76442	-0.81849	-0.86678	-0.91378	-0.93393	-0.94124	-0.92785	-0.92678	-0.90441	-0.88410	-0.85154	-0.82225	-0.77525	-0.72647	-0.65889	-0.76389	-0.65550	-0.58508	-0.48593	-0.38776	-0.29535	-0.18397	-0.04825	 0.14584	 0.37756	 0.63454	 0.87559	 0.97520	 0.98079	 0.70015	 0.38108	 0.13229	 0.00435	-0.10309	-0.17683	-0.27596	-0.25607	-0.30795	-0.34287	-0.36250	-0.39592	-0.39319	-0.37604	-0.32231	-0.25699	-0.15991	-0.07636	 0.01029	 0.10635	 0.23745	 0.14759	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99662	 0.98686	 0.96485	 0.92623	 0.87139	 0.81248	 0.76190	 0.72455	 0.70945	 0.71904	 0.75240	 0.79691	 0.85696	 0.89912	 0.94268	 0.97140	 0.99004	 0.99719	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02580	 0.02931	 0.02609	-0.00156	 0.02143	 0.02021	 0.01666	 0.01176	 0.01037	 0.01299	 0.00911	 0.00722	 0.00592	-0.00115	-0.00707	-0.01467	
       6	   2.005	  0.5203	-0.007062	 -0.0746	0.011149	  0.5203	  0.5203	0.009912	  190.83	   0.000	2.987E+6	   0.228	 3690.25	   79.63	  1535.7	 1013.53	   30.22	 0.13994	 0.06987	 0.00520	-0.06546	-0.14122	-0.22313	-0.31103	-0.39750	-0.48575	-0.57072	-0.65525	-0.74218	-0.81629	-0.87733	-0.93255	-0.98691	-1.01378	-1.02778	-1.02106	-1.02714	-1.01070	-0.99844	-0.97242	-0.95125	-0.91092	-0.86952	-0.80729	-0.94179	-0.83734	-0.77963	-0.69040	-0.60486	-0.52717	-0.43514	-0.31809	-0.13207	 0.10512	 0.39153	 0.71387	 0.87512	 0.88518	 0.86017	 0.58474	 0.33766	 0.18543	 0.05928	-0.03162	-0.13973	-0.14359	-0.20470	-0.24894	-0.27826	-0.31915	-0.32505	-0.31650	-0.27169	-0.21431	-0.12586	-0.04917	 0.03120	 0.12227	 0.24486	 0.13972	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99808	 0.99361	 0.98084	 0.95551	 0.91528	 0.86159	 0.80619	 0.75913	 0.72544	 0.71239	 0.72224	 0.75405	 0.79618	 0.85275	 0.89301	 0.93572	 0.96571	 0.98669	 0.99559	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03095	 0.03369	 0.02976	 0.00061	 0.02379	 0.02203	 0.01784	 0.01201	 0.01055	 0.01320	 0.00882	 0.00642	 0.00460	-0.00335	-0.01013	-0.01857	
       7	   3.002	  0.6402	-0.021985	 -0.0759	0.011573	  0.6405	  0.6405	0.010474	  189.13	   0.000	2.981E+6	   0.228	 3682.51	   79.57	  1532.5	 1013.51	   30.41	 0.13020	 0.06414	-0.00060	-0.07243	-0.15025	-0.23549	-0.32722	-0.41803	-0.51146	-0.60187	-0.69219	-0.78548	-0.86628	-0.93430	-0.99663	-1.05830	-1.09242	-1.11322	-1.11336	-1.12686	-1.11646	-1.11259	-1.09352	-1.08112	-1.04755	-1.01462	-0.95809	-1.12365	-1.02447	-0.98104	-0.90379	-0.83350	-0.77439	-0.70584	-0.61304	-0.44313	-0.21051	 0.09297	 0.48902	 0.70035	 0.71388	 0.95856	 0.74464	 0.51201	 0.34510	 0.20613	 0.10100	-0.01496	-0.03748	-0.10752	-0.15995	-0.19783	-0.24575	-0.25965	-0.25906	-0.22277	-0.17294	-0.09289	-0.02268	 0.05149	 0.13758	 0.25136	 0.12978	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99646	 0.99004	 0.97454	 0.94775	 0.90815	 0.85725	 0.80549	 0.76183	 0.72968	 0.71640	 0.72378	 0.75116	 0.78911	 0.84175	 0.88057	 0.92332	 0.95509	 0.97983	 0.99193	 0.99794	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03532	 0.03741	 0.03289	 0.00202	 0.02575	 0.02359	 0.01861	 0.01186	 0.01022	 0.01317	 0.00838	 0.00539	 0.00309	-0.00576	-0.01347	-0.02285	
       8	   3.996	  0.7565	-0.040680	 -0.0768	0.012139	  0.7575	  0.7576	0.010957	  190.81	   0.000	2.978E+6	   0.228	 3678.83	   79.56	  1531.0	 1013.51	   30.56	 0.11855	 0.05772	-0.00580	-0.07770	-0.15696	-0.24516	-0.34056	-0.43563	-0.53424	-0.63013	-0.72641	-0.82584	-0.91365	-0.98889	-1.05831	-1.12746	-1.16899	-1.19691	-1.20421	-1.22538	-1.22156	-1.22646	-1.21451	-1.21132	-1.18521	-1.16144	-1.11119	-1.30864	-1.21705	-1.18912	-1.12561	-1.07327	-1.03578	-0.99540	-0.93413	-0.78778	-0.56972	-0.26099	 0.20243	 0.45459	 0.46872	 0.99862	 0.86387	 0.65711	 0.48504	 0.33853	 0.22303	 0.10102	 0.06113	-0.01549	-0.07526	-0.12061	-0.17492	-0.19635	-0.20321	-0.17484	-0.13232	-0.06050	 0.00356	 0.07175	 0.15275	 0.25734	 0.11779	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99771	 0.99234	 0.98111	 0.96054	 0.92736	 0.88526	 0.83948	 0.79306	 0.75540	 0.72919	 0.72126	 0.73071	 0.76030	 0.79121	 0.83430	 0.87602	 0.92058	 0.95153	 0.97502	 0.98713	 0.99547	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04046	 0.04192	 0.03680	 0.00434	 0.02852	 0.02610	 0.02140	 0.01242	 0.00940	 0.01452	 0.00947	 0.00597	 0.00327	-0.00642	-0.01498	-0.02527	
       9	   5.011	  0.8680	-0.063269	 -0.0773	0.012794	  0.8702	  0.8703	0.012146	  189.19	   0.000	2.972E+6	   0.227	 3670.00	   79.48	  1527.5	 1013.54	   30.72	 0.10389	 0.04911	-0.01157	-0.08222	-0.16180	-0.25232	-0.35108	-0.45035	-0.55403	-0.65541	-0.75746	-0.86331	-0.95799	-1.04042	-1.11708	-1.19382	-1.24269	-1.27771	-1.29234	-1.32149	-1.32440	-1.33858	-1.33400	-1.34034	-1.32234	-1.30762	-1.26386	-1.49478	-1.41193	-1.40069	-1.35268	-1.31975	-1.30709	-1.29903	-1.27479	-1.15912	-0.96486	-0.66176	-0.13850	 0.14489	 0.15970	 0.99328	 0.94402	 0.77349	 0.60486	 0.45568	 0.33306	 0.20715	 0.15027	 0.07074	 0.00432	-0.04787	-0.10777	-0.13606	-0.14982	-0.12899	-0.09340	-0.02928	 0.02871	 0.09116	 0.16702	 0.26232	 0.10366	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99618	 0.98923	 0.97630	 0.95474	 0.92227	 0.88246	 0.84018	 0.79692	 0.76130	 0.73501	 0.72434	 0.72962	 0.75265	 0.77864	 0.81675	 0.85560	 0.89958	 0.93253	 0.96016	 0.97658	 0.98975	 0.99631	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04494	 0.04587	 0.04022	 0.00610	 0.03086	 0.02815	 0.02281	 0.01246	 0.00935	 0.01509	 0.00978	 0.00582	 0.00256	-0.00803	-0.01748	-0.02871	
