   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	  12.006	  1.1068	-0.150010	 -0.0539	0.083504	  1.1138	  1.1172	0.067467	  260.84	   0.000	2.946E+6	   0.228	 3671.03	   79.79	  1527.9	 1012.84	   32.83	-0.35067	-0.41015	-0.41779	-0.41808	-0.41701	-0.41671	-0.41571	-0.41502	-0.41446	-0.41976	-0.43283	-0.46163	-0.52433	-0.62863	-0.76474	-0.91528	-1.05715	-1.17943	-1.28736	-1.39019	-1.46563	-1.55413	-1.61816	-1.69667	-1.75443	-1.81233	-1.89133	-2.05317	-2.28469	-2.34610	-2.39603	-2.49540	-2.61931	-2.82865	-3.06691	-3.24716	-3.29747	-3.17847	-2.47043	-2.13599	-0.07281	 0.45422	 0.90015	 0.99991	 0.93932	 0.82577	 0.69660	 0.59259	 0.49143	 0.38930	 0.29573	 0.21283	 0.12491	 0.06134	 0.01086	-0.00827	-0.00911	 0.01511	 0.03611	 0.06455	 0.10910	 0.11045	-0.35671	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99559	 0.98353	 0.97021	 0.95414	 0.93203	 0.90148	 0.86486	 0.81650	 0.76705	 0.71570	 0.69007	 0.66960	 0.64770	 0.62811	 0.61052	 0.58927	 0.57744	 0.56399	 0.55255	 0.54333	 0.53900	 0.53490	 0.53194	 0.53125	 0.53218	 0.53730	 0.54154	 0.55022	 0.55766	 0.56820	 0.57516	 0.58924	 0.60139	 0.61159	 0.62689	 0.64034	 0.65560	 0.67045	 0.68574	 0.70007	 0.71786	 0.73170	 0.76367	 0.79297	 0.81897	 0.84532	 0.87109	 0.89306	 0.91590	 0.93279	 0.95963	 0.97825	 0.98866	 0.99494	 0.99798	 1.00000	 1.00000	 1.00000	 1.00000	 0.02782	 0.03163	 0.02954	-0.00901	-0.00025	-0.03693	-0.07722	-0.09453	-0.09550	-0.08710	-0.07304	-0.05941	-0.04499	-0.03864	-0.04986	-0.06730	
       2	  13.000	  1.1015	-0.149676	 -0.0543	0.101930	  1.1069	  1.1115	0.082002	  259.16	   0.000	2.922E+6	   0.226	 3631.27	   79.44	  1511.8	 1012.81	   33.44	-0.39960	-0.45907	-0.46838	-0.46792	-0.46401	-0.46115	-0.45705	-0.45307	-0.44890	-0.44897	-0.45235	-0.46298	-0.49032	-0.54583	-0.63778	-0.76336	-0.90492	-1.04130	-1.17199	-1.29496	-1.38966	-1.49549	-1.57463	-1.66760	-1.73767	-1.80975	-1.90197	-2.07356	-2.31286	-2.39054	-2.45925	-2.57887	-2.72175	-2.95074	-3.22319	-3.44432	-3.53151	-3.44759	-2.74025	-2.41363	-0.05788	 0.35533	 0.86192	 0.99932	 0.95636	 0.85168	 0.72641	 0.62182	 0.51927	 0.41537	 0.31953	 0.23363	 0.14265	 0.07513	 0.02019	-0.00324	-0.00822	 0.01161	 0.02816	 0.05243	 0.09344	 0.08510	-0.40736	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99697	 0.98560	 0.95962	 0.93526	 0.90930	 0.87676	 0.83478	 0.78908	 0.73234	 0.68062	 0.62877	 0.60386	 0.58426	 0.56469	 0.54839	 0.53337	 0.51275	 0.50633	 0.49578	 0.48703	 0.48023	 0.47849	 0.47743	 0.47685	 0.47891	 0.48144	 0.48841	 0.49311	 0.50400	 0.51255	 0.52420	 0.53079	 0.54629	 0.55865	 0.56909	 0.58437	 0.59718	 0.61249	 0.62728	 0.64197	 0.65582	 0.67347	 0.68720	 0.71846	 0.74877	 0.77629	 0.80545	 0.83385	 0.85875	 0.88535	 0.90553	 0.93827	 0.96349	 0.97885	 0.98933	 0.99542	 1.00000	 1.00000	 1.00000	 1.00000	 0.01683	 0.02185	 0.02046	-0.02214	-0.02349	-0.06639	-0.10843	-0.12515	-0.12387	-0.11523	-0.10139	-0.08564	-0.06692	-0.05163	-0.05958	-0.07780	
       3	  14.008	  1.1218	-0.122373	 -0.0577	0.152805	  1.1181	  1.1311	0.100616	  260.82	   0.000	2.912E+6	   0.226	 3614.80	   79.30	  1505.2	 1012.81	   33.71	-0.46097	-0.50994	-0.51479	-0.51186	-0.50643	-0.50167	-0.49645	-0.49183	-0.48685	-0.48539	-0.48533	-0.48903	-0.50382	-0.53507	-0.59624	-0.69796	-0.83245	-0.97253	-1.11220	-1.24494	-1.35072	-1.46743	-1.55803	-1.66198	-1.74115	-1.82665	-1.93048	-2.11079	-2.35747	-2.45014	-2.53728	-2.67768	-2.84254	-3.09115	-3.40253	-3.66129	-3.78598	-3.73831	-3.03486	-2.71686	-0.05452	 0.24415	 0.81601	 0.99549	 0.97125	 0.87636	 0.75566	 0.65104	 0.54735	 0.44197	 0.34393	 0.25544	 0.16144	 0.09029	 0.03116	 0.00316	-0.00543	 0.01024	 0.02275	 0.04331	 0.08108	 0.06263	-0.44498	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99792	 0.99039	 0.97144	 0.93324	 0.90142	 0.87167	 0.83452	 0.78995	 0.74275	 0.68163	 0.62496	 0.56511	 0.53283	 0.50683	 0.48202	 0.46036	 0.43606	 0.40274	 0.39182	 0.37221	 0.35384	 0.33718	 0.32782	 0.31559	 0.30380	 0.29682	 0.28697	 0.28682	 0.27936	 0.28503	 0.28324	 0.28851	 0.28581	 0.29787	 0.30363	 0.31057	 0.32299	 0.33255	 0.34664	 0.35932	 0.37394	 0.38763	 0.40850	 0.42296	 0.46066	 0.50341	 0.54193	 0.58540	 0.62940	 0.67017	 0.71649	 0.75313	 0.81932	 0.87852	 0.92114	 0.95377	 0.97496	 0.99370	 1.00000	 1.00000	 1.00000	 0.00437	 0.01003	 0.00793	-0.03866	-0.05248	-0.10121	-0.14304	-0.15573	-0.15070	-0.13899	-0.11694	-0.09636	-0.07549	-0.06534	-0.07688	-0.09539	
       4	  15.012	  1.1209	-0.073918	 -0.0657	0.218953	  1.1018	  1.1268	0.125976	  259.19	   0.000	2.887E+6	   0.224	 3563.88	   78.79	  1484.6	 1012.81	   34.14	-0.53161	-0.57489	-0.57898	-0.57591	-0.57065	-0.56563	-0.55972	-0.55441	-0.54812	-0.54414	-0.54082	-0.53894	-0.54361	-0.55601	-0.58222	-0.63193	-0.71773	-0.83382	-0.97231	-1.11467	-1.23608	-1.36872	-1.47403	-1.59392	-1.68344	-1.78377	-1.89916	-2.08568	-2.33412	-2.44082	-2.54546	-2.70193	-2.88274	-3.14584	-3.48041	-3.76633	-3.91819	-3.89673	-3.20758	-2.89961	-0.04945	 0.16900	 0.78348	 0.99079	 0.97937	 0.89121	 0.77365	 0.66878	 0.56413	 0.45726	 0.35727	 0.26615	 0.16926	 0.09466	 0.03184	-0.00003	-0.01213	 0.00001	 0.00890	 0.02588	 0.06092	 0.03225	-0.49906	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99764	 0.99051	 0.97228	 0.93957	 0.87889	 0.83525	 0.79764	 0.75212	 0.69965	 0.64724	 0.57923	 0.51776	 0.45126	 0.41414	 0.38348	 0.35458	 0.33201	 0.30438	 0.26285	 0.25026	 0.22447	 0.19965	 0.17740	 0.16237	 0.14446	 0.12685	 0.11577	 0.09859	 0.09531	 0.08038	 0.08251	 0.07198	 0.07261	 0.06464	 0.07158	 0.07074	 0.07439	 0.08049	 0.08558	 0.09527	 0.10345	 0.11415	 0.12442	 0.14132	 0.15287	 0.18328	 0.22361	 0.26025	 0.30470	 0.35124	 0.39594	 0.45502	 0.50371	 0.59746	 0.69418	 0.77565	 0.84646	 0.90024	 0.96188	 0.99025	 0.99807	 1.00000	-0.01783	-0.01183	-0.01646	-0.06545	-0.09344	-0.14892	-0.19409	-0.20438	-0.19544	-0.18175	-0.16086	-0.13946	-0.11471	-0.09596	-0.10484	-0.12228	
       5	   8.489	  1.0233	-0.121798	 -0.0541	0.030588	  1.0300	  1.0306	0.026910	  260.78	   0.000	2.962E+6	   0.230	 3761.31	   80.98	  1564.3	 1012.76	   34.42	-0.13636	-0.17219	-0.18039	-0.19158	-0.20532	-0.22688	-0.25629	-0.29617	-0.36351	-0.47075	-0.59883	-0.73662	-0.86794	-0.98692	-1.09699	-1.20247	-1.28317	-1.34668	-1.39696	-1.45178	-1.48481	-1.52907	-1.55320	-1.59339	-1.61274	-1.62799	-1.66159	-1.78110	-1.96958	-1.97240	-1.95806	-1.98065	-2.03624	-2.13903	-2.25929	-2.27005	-2.17697	-1.93576	-1.27739	-0.94003	-0.00022	 0.80894	 0.99655	 0.95012	 0.81822	 0.67426	 0.53439	 0.43847	 0.34804	 0.25321	 0.17048	 0.10056	 0.02559	-0.02201	-0.05539	-0.05632	-0.03985	 0.00235	 0.04047	 0.08558	 0.14440	 0.18837	-0.13804	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99815	 0.99306	 0.98133	 0.96042	 0.92554	 0.90316	 0.88029	 0.85245	 0.82161	 0.79295	 0.76082	 0.73134	 0.70413	 0.68089	 0.66363	 0.65308	 0.64844	 0.64886	 0.65537	 0.66828	 0.68433	 0.70744	 0.72721	 0.75233	 0.77790	 0.80734	 0.83292	 0.85889	 0.87954	 0.90324	 0.92337	 0.93994	 0.95442	 0.96602	 0.97520	 0.98259	 0.98785	 0.99472	 0.99750	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04420	 0.04549	 0.04059	 0.00691	 0.03247	 0.02263	-0.00639	-0.02085	-0.02100	-0.01177	-0.00012	 0.00307	-0.00000	-0.01450	-0.02715	-0.04114	
       6	   7.492	  0.9795	-0.102700	 -0.0586	0.025881	  0.9845	  0.9852	0.020706	  259.23	   0.000	2.966E+6	   0.231	 3773.38	   81.12	  1569.2	 1012.78	   34.52	-0.07277	-0.10450	-0.12015	-0.14038	-0.16733	-0.20426	-0.25222	-0.32758	-0.43530	-0.55315	-0.67354	-0.79801	-0.91420	-1.01874	-1.11615	-1.21063	-1.28025	-1.33369	-1.37349	-1.41900	-1.44323	-1.47743	-1.49240	-1.52310	-1.53247	-1.53717	-1.55869	-1.66405	-1.83708	-1.82338	-1.79217	-1.79342	-1.83030	-1.89490	-1.97764	-1.94716	-1.81643	-1.54799	-0.91887	-0.58909	 0.00325	 0.88845	 0.99896	 0.91033	 0.76136	 0.61099	 0.47025	 0.37940	 0.29378	 0.20210	 0.12335	 0.05792	-0.01243	-0.05521	-0.08311	-0.07804	-0.05617	-0.00809	 0.03554	 0.08596	 0.14947	 0.20736	-0.07400	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99786	 0.99096	 0.97463	 0.96172	 0.94754	 0.92786	 0.90357	 0.87804	 0.84550	 0.81268	 0.77869	 0.74502	 0.71526	 0.69230	 0.67497	 0.66414	 0.66012	 0.66431	 0.67461	 0.69360	 0.71216	 0.73744	 0.76438	 0.79723	 0.82568	 0.85525	 0.87895	 0.90598	 0.92933	 0.94792	 0.96357	 0.97542	 0.98410	 0.99028	 0.99437	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04414	 0.04522	 0.03997	 0.00649	 0.03163	 0.02714	 0.00600	-0.00756	-0.00709	 0.00319	 0.00860	 0.00515	 0.00062	-0.01247	-0.02385	-0.03685	
       7	   7.492	  0.9793	-0.102734	 -0.0586	0.025825	  0.9843	  0.9850	0.020724	  260.82	   0.000	2.964E+6	   0.231	 3773.50	   81.14	  1569.2	 1012.78	   34.64	-0.07303	-0.10463	-0.12012	-0.14014	-0.16753	-0.20429	-0.25209	-0.32723	-0.43501	-0.55280	-0.67328	-0.79773	-0.91400	-1.01853	-1.11599	-1.21053	-1.28010	-1.33353	-1.37349	-1.41892	-1.44317	-1.47725	-1.49236	-1.52291	-1.53230	-1.53704	-1.55848	-1.66375	-1.83689	-1.82303	-1.79186	-1.79289	-1.82995	-1.89435	-1.97692	-1.94632	-1.81536	-1.54679	-0.91773	-0.58786	 0.00417	 0.88867	 0.99891	 0.91022	 0.76118	 0.61085	 0.47010	 0.37927	 0.29362	 0.20207	 0.12321	 0.05781	-0.01252	-0.05521	-0.08313	-0.07807	-0.05620	-0.00810	 0.03555	 0.08597	 0.14947	 0.20742	-0.07394	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99778	 0.99118	 0.97525	 0.96204	 0.94794	 0.92819	 0.90372	 0.87832	 0.84645	 0.81389	 0.77990	 0.74682	 0.71722	 0.69395	 0.67582	 0.66509	 0.66111	 0.66492	 0.67456	 0.69363	 0.71206	 0.73676	 0.76378	 0.79664	 0.82570	 0.85544	 0.87912	 0.90625	 0.92922	 0.94761	 0.96328	 0.97522	 0.98399	 0.99041	 0.99450	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04449	 0.04552	 0.04022	 0.00689	 0.03189	 0.02740	 0.00634	-0.00740	-0.00711	 0.00321	 0.00875	 0.00530	 0.00078	-0.01227	-0.02360	-0.03655	
       8	   6.498	  0.9182	-0.082383	 -0.0628	0.022062	  0.9217	  0.9224	0.015440	  259.24	   0.000	2.966E+6	   0.231	 3781.44	   81.25	  1572.4	 1012.76	   34.78	-0.02017	-0.05167	-0.07688	-0.10874	-0.14658	-0.19921	-0.27579	-0.37057	-0.48013	-0.59117	-0.70229	-0.81745	-0.92388	-1.01831	-1.10671	-1.19298	-1.25357	-1.29876	-1.32974	-1.36694	-1.38323	-1.40812	-1.41487	-1.43636	-1.43590	-1.43078	-1.44033	-1.53079	-1.68725	-1.65708	-1.60983	-1.58963	-1.60720	-1.63466	-1.67778	-1.60921	-1.44368	-1.15275	-0.56137	-0.24408	 0.00998	 0.95097	 0.98504	 0.85322	 0.68982	 0.53507	 0.39474	 0.31082	 0.23109	 0.14328	 0.06900	 0.00890	-0.05709	-0.09443	-0.11646	-0.10525	-0.07766	-0.02335	 0.02582	 0.08157	 0.14986	 0.22049	-0.02179	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99732	 0.99349	 0.98921	 0.98107	 0.96905	 0.95389	 0.93167	 0.90514	 0.87339	 0.83698	 0.79989	 0.76522	 0.73228	 0.70587	 0.68511	 0.67353	 0.67151	 0.67956	 0.69251	 0.71394	 0.73972	 0.77366	 0.80467	 0.83830	 0.86567	 0.89723	 0.92415	 0.94603	 0.96426	 0.97748	 0.98648	 0.99263	 0.99624	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04309	 0.04421	 0.03893	 0.00612	 0.03059	 0.02786	 0.01588	-0.00016	-0.00084	 0.00840	 0.00990	 0.00574	 0.00180	-0.01004	-0.02042	-0.03259	
       9	  11.009	  1.0941	-0.149043	 -0.0534	0.062635	  1.1025	  1.1040	0.054651	  261.43	   0.000	2.942E+6	   0.229	 3727.45	   80.69	  1550.7	 1012.73	   34.95	-0.29141	-0.35196	-0.35999	-0.36337	-0.36634	-0.36970	-0.37247	-0.37629	-0.38348	-0.40058	-0.43262	-0.49365	-0.59805	-0.73420	-0.88311	-1.02948	-1.15588	-1.25962	-1.34845	-1.43549	-1.49722	-1.57183	-1.62324	-1.69016	-1.73670	-1.78174	-1.84774	-1.99897	-2.22006	-2.26519	-2.29580	-2.37204	-2.47944	-2.66441	-2.86555	-2.99800	-3.00824	-2.84903	-2.14636	-1.80732	 0.00518	 0.56154	 0.93743	 0.99620	 0.91463	 0.79190	 0.65882	 0.55602	 0.45688	 0.35652	 0.26560	 0.18602	 0.10151	 0.04214	-0.00363	-0.01791	-0.01424	 0.01484	 0.04041	 0.07328	 0.12162	 0.13420	-0.30288	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99506	 0.98848	 0.97871	 0.96439	 0.94166	 0.91159	 0.86923	 0.82331	 0.77291	 0.74795	 0.72735	 0.70576	 0.68680	 0.67095	 0.65387	 0.64222	 0.63165	 0.62309	 0.61721	 0.61520	 0.61616	 0.61815	 0.62163	 0.62772	 0.63534	 0.64410	 0.65384	 0.66411	 0.67562	 0.68604	 0.69938	 0.71166	 0.72131	 0.73480	 0.74668	 0.75894	 0.77101	 0.78301	 0.79449	 0.80762	 0.81818	 0.84182	 0.86303	 0.88151	 0.90020	 0.91791	 0.93232	 0.94683	 0.95797	 0.97564	 0.98720	 0.99339	 0.99704	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03529	 0.03812	 0.03507	-0.00092	 0.01557	-0.01456	-0.05183	-0.06841	-0.07174	-0.06437	-0.05257	-0.04149	-0.03041	-0.02894	-0.04146	-0.05810	
