   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	  -0.007	  0.2531	0.013504	 -0.0680	0.013472	  0.2531	  0.2531	-0.000550	  260.77	   0.000	2.959E+6	   0.229	 3732.02	   80.57	  1552.5	 1012.92	   33.73	 0.14040	 0.07602	 0.01843	-0.04512	-0.11230	-0.18508	-0.26369	-0.34053	-0.41835	-0.49213	-0.56332	-0.63829	-0.69916	-0.74581	-0.78756	-0.82627	-0.84074	-0.84051	-0.82304	-0.81365	-0.78586	-0.75812	-0.71860	-0.68413	-0.63173	-0.57420	-0.51737	-0.50985	-0.54219	-0.43363	-0.32100	-0.20508	-0.09686	 0.03045	 0.18156	 0.37793	 0.59992	 0.81761	 0.97333	 0.99857	 0.01993	 0.45077	 0.09623	-0.14966	-0.24657	-0.33163	-0.38810	-0.38247	-0.38716	-0.41940	-0.44505	-0.45462	-0.47605	-0.46476	-0.43793	-0.37602	-0.30247	-0.19797	-0.10815	-0.01571	 0.08184	 0.21002	 0.13936	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99417	 0.98072	 0.95430	 0.91147	 0.85470	 0.79484	 0.74171	 0.69899	 0.67458	 0.67128	 0.69257	 0.72982	 0.78718	 0.83255	 0.88631	 0.92922	 0.96588	 0.98495	 0.99538	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02007	 0.02441	 0.02190	-0.00256	 0.01863	 0.01844	 0.01521	 0.01096	 0.00866	 0.01331	 0.01005	 0.00878	 0.00801	 0.00204	-0.00282	-0.00936	
       2	   1.004	  0.3718	0.007326	 -0.0689	0.013843	  0.3717	  0.3719	0.000122	  259.40	   0.000	2.957E+6	   0.229	 3727.15	   80.52	  1550.5	 1012.99	   33.79	 0.12751	 0.06877	 0.01157	-0.05263	-0.12133	-0.19712	-0.27938	-0.36048	-0.44329	-0.52249	-0.59932	-0.68015	-0.74767	-0.80118	-0.84973	-0.89521	-0.91629	-0.92229	-0.91151	-0.90854	-0.88652	-0.86611	-0.83230	-0.80556	-0.75959	-0.70839	-0.65968	-0.66549	-0.71557	-0.61550	-0.50569	-0.40478	-0.30729	-0.19361	-0.05464	 0.14128	 0.38023	 0.64056	 0.88301	 0.97950	 0.02156	 0.67548	 0.34405	 0.08545	-0.04519	-0.15609	-0.23422	-0.24935	-0.27106	-0.31576	-0.35144	-0.37125	-0.40150	-0.39913	-0.38149	-0.32857	-0.26315	-0.16704	-0.08401	 0.00211	 0.09582	 0.21766	 0.12718	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99774	 0.99297	 0.97950	 0.95448	 0.91379	 0.85926	 0.80087	 0.74829	 0.70484	 0.67874	 0.67263	 0.68966	 0.72207	 0.77413	 0.81681	 0.86891	 0.91294	 0.95338	 0.97664	 0.99089	 0.99630	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02391	 0.02756	 0.02443	-0.00163	 0.01994	 0.01929	 0.01553	 0.01003	 0.00758	 0.01259	 0.00888	 0.00705	 0.00585	-0.00103	-0.00676	-0.01416	
       3	   2.005	  0.4846	-0.002327	 -0.0693	0.014630	  0.4844	  0.4848	0.001457	  260.85	   0.000	2.962E+6	   0.230	 3743.81	   80.71	  1557.3	 1012.95	   33.87	 0.11210	 0.05978	 0.00470	-0.05872	-0.12797	-0.20603	-0.29151	-0.37665	-0.46457	-0.54882	-0.63140	-0.71816	-0.79216	-0.85235	-0.90772	-0.96008	-0.98793	-1.00025	-0.99626	-0.99985	-0.98391	-0.97110	-0.94353	-0.92473	-0.88562	-0.84135	-0.80149	-0.82127	-0.88980	-0.79898	-0.69279	-0.61032	-0.52705	-0.43095	-0.30987	-0.12214	 0.12345	 0.41321	 0.73445	 0.89179	 0.02508	 0.83570	 0.54380	 0.28625	 0.13117	 0.00162	-0.09430	-0.12764	-0.16388	-0.21943	-0.26398	-0.29280	-0.33091	-0.33678	-0.32744	-0.28297	-0.22515	-0.13715	-0.06050	 0.01981	 0.10927	 0.22394	 0.11212	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99815	 0.99382	 0.98281	 0.96259	 0.93125	 0.88660	 0.83621	 0.78021	 0.73012	 0.69618	 0.67685	 0.67773	 0.69489	 0.72534	 0.77301	 0.81911	 0.86788	 0.90571	 0.94486	 0.97154	 0.98699	 0.99513	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02863	 0.03172	 0.02816	 0.00089	 0.02284	 0.02196	 0.01862	 0.01191	 0.00727	 0.01357	 0.01052	 0.00833	 0.00666	-0.00097	-0.00754	-0.01583	
       4	   2.999	  0.5944	-0.015726	 -0.0692	0.015389	  0.5944	  0.5950	0.003287	  259.90	   0.000	2.970E+6	   0.230	 3767.09	   80.98	  1566.7	 1012.95	   33.97	 0.09222	 0.04682	-0.00423	-0.06482	-0.13297	-0.21225	-0.30051	-0.38954	-0.48235	-0.57201	-0.66036	-0.75324	-0.83390	-0.90115	-0.96356	-1.02305	-1.05809	-1.07700	-1.08022	-1.09085	-1.08124	-1.07644	-1.05573	-1.04535	-1.01395	-0.97735	-0.94719	-0.98203	-1.07047	-0.98993	-0.89404	-0.81802	-0.76146	-0.68831	-0.59041	-0.41857	-0.17558	 0.13217	 0.52613	 0.73431	 0.02565	 0.94130	 0.70560	 0.46057	 0.28980	 0.14627	 0.03341	-0.01348	-0.06239	-0.12737	-0.18015	-0.21743	-0.26278	-0.27645	-0.27504	-0.23880	-0.18820	-0.10818	-0.03788	 0.03661	 0.12164	 0.22809	 0.09269	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99829	 0.99451	 0.98758	 0.97275	 0.94971	 0.91616	 0.87194	 0.82375	 0.77732	 0.73441	 0.70266	 0.68345	 0.68215	 0.69625	 0.72879	 0.76079	 0.80509	 0.84819	 0.89566	 0.93044	 0.95948	 0.97647	 0.98981	 0.99632	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03232	 0.03477	 0.03057	 0.00156	 0.02417	 0.02260	 0.01737	 0.00858	 0.00612	 0.01307	 0.00868	 0.00590	 0.00368	-0.00491	-0.01234	-0.02144	
       5	   3.996	  0.6986	-0.031963	 -0.0684	0.016795	  0.6991	  0.6999	0.005679	  260.61	   0.000	2.967E+6	   0.230	 3762.14	   80.93	  1564.7	 1012.96	   34.05	 0.06809	 0.02873	-0.01622	-0.07126	-0.13561	-0.21415	-0.30410	-0.39673	-0.49469	-0.58981	-0.68403	-0.78298	-0.87069	-0.94520	-1.01469	-1.08139	-1.12401	-1.14974	-1.16061	-1.17840	-1.17579	-1.17942	-1.16591	-1.16423	-1.14124	-1.11299	-1.09355	-1.14430	-1.25312	-1.18455	-1.10102	-1.03684	-1.00136	-0.95861	-0.89156	-0.74223	-0.51118	-0.19640	 0.26309	 0.51303	 0.02695	 0.99266	 0.82869	 0.60636	 0.42876	 0.27684	 0.14787	 0.09190	 0.03169	-0.04104	-0.10101	-0.14594	-0.19792	-0.21880	-0.22477	-0.19643	-0.15270	-0.08050	-0.01629	 0.05232	 0.13274	 0.23010	 0.06784	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99785	 0.99462	 0.98749	 0.97415	 0.95389	 0.92611	 0.88882	 0.84798	 0.80158	 0.75732	 0.72281	 0.69507	 0.68509	 0.68438	 0.69610	 0.72287	 0.75496	 0.79445	 0.83020	 0.87395	 0.91221	 0.94269	 0.96631	 0.98190	 0.99114	 0.99644	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03638	 0.03842	 0.03385	 0.00370	 0.02690	 0.02516	 0.02102	 0.01025	 0.00534	 0.01165	 0.01079	 0.00751	 0.00498	-0.00442	-0.01269	-0.02272	
       6	   5.011	  0.7941	-0.051188	 -0.0669	0.018369	  0.7955	  0.7963	0.009273	  259.14	   0.000	2.971E+6	   0.231	 3773.61	   81.07	  1569.3	 1012.94	   34.14	 0.03807	 0.00327	-0.03410	-0.08038	-0.13676	-0.21077	-0.30037	-0.39587	-0.49884	-0.59964	-0.70007	-0.80531	-0.90015	-0.98207	-1.05886	-1.13278	-1.18291	-1.21584	-1.23433	-1.25960	-1.26409	-1.27651	-1.27049	-1.27764	-1.26373	-1.24406	-1.23568	-1.30259	-1.43081	-1.37693	-1.30623	-1.26011	-1.24061	-1.22919	-1.20165	-1.08064	-0.86981	-0.55797	-0.04125	 0.24066	 0.02993	 0.99922	 0.91480	 0.72354	 0.54673	 0.39086	 0.25530	 0.18619	 0.11727	 0.03763	-0.02824	-0.08017	-0.13791	-0.16545	-0.17842	-0.15723	-0.12011	-0.05517	 0.00306	 0.06605	 0.14179	 0.22921	 0.03834	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99555	 0.98984	 0.98156	 0.96640	 0.94561	 0.91692	 0.88048	 0.84077	 0.80122	 0.76145	 0.72775	 0.70002	 0.68403	 0.68039	 0.69007	 0.70542	 0.73184	 0.76277	 0.80376	 0.84057	 0.87807	 0.90677	 0.93745	 0.96088	 0.97716	 0.98818	 0.99439	 0.99758	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03922	 0.04079	 0.03576	 0.00424	 0.02772	 0.02573	 0.01852	 0.00505	 0.00316	 0.01196	 0.00937	 0.00552	 0.00244	-0.00791	-0.01702	-0.02783	
       7	   6.005	  0.8805	-0.071787	 -0.0644	0.020716	  0.8832	  0.8839	0.013276	  260.82	   0.000	2.967E+6	   0.230	 3765.80	   80.99	  1566.1	 1012.93	   34.20	 0.00078	-0.03108	-0.06072	-0.09707	-0.14066	-0.20227	-0.28614	-0.38259	-0.49027	-0.59731	-0.70474	-0.81688	-0.91930	-1.00934	-1.09381	-1.17525	-1.23339	-1.27395	-1.30075	-1.33387	-1.34573	-1.36742	-1.36944	-1.38583	-1.38141	-1.37125	-1.37471	-1.45785	-1.60504	-1.56684	-1.51166	-1.48439	-1.48704	-1.49971	-1.52113	-1.43498	-1.25168	-0.95217	-0.38608	-0.07892	 0.03450	 0.97439	 0.96923	 0.81661	 0.64728	 0.49151	 0.35255	 0.27237	 0.19590	 0.11051	 0.03908	-0.01895	-0.08204	-0.11590	-0.13534	-0.12116	-0.09047	-0.03245	 0.01987	 0.07726	 0.14824	 0.22460	 0.00043	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99718	 0.99364	 0.98746	 0.97895	 0.96424	 0.94494	 0.91940	 0.88736	 0.85183	 0.81529	 0.77720	 0.74337	 0.71250	 0.68996	 0.67824	 0.67573	 0.68185	 0.69687	 0.71817	 0.74969	 0.78078	 0.81554	 0.84562	 0.88121	 0.91232	 0.93783	 0.95890	 0.97440	 0.98479	 0.99187	 0.99608	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04238	 0.04364	 0.03837	 0.00593	 0.02997	 0.02776	 0.01938	 0.00283	 0.00094	 0.00915	 0.01045	 0.00642	 0.00279	-0.00848	-0.01845	-0.03009	
       8	   7.002	  0.9523	-0.092831	 -0.0607	0.023947	  0.9565	  0.9572	0.018058	  259.15	   0.000	2.961E+6	   0.230	 3753.94	   80.87	  1561.4	 1012.95	   34.27	-0.04689	-0.07799	-0.09808	-0.12408	-0.15657	-0.19911	-0.26114	-0.35001	-0.46036	-0.57441	-0.69014	-0.81042	-0.92185	-1.02102	-1.11399	-1.20349	-1.27019	-1.31890	-1.35433	-1.39575	-1.41535	-1.44650	-1.45709	-1.48255	-1.48806	-1.48790	-1.50362	-1.60239	-1.76721	-1.74592	-1.70701	-1.69929	-1.72491	-1.77267	-1.83530	-1.78840	-1.63852	-1.35882	-0.75130	-0.42758	 0.03685	 0.92091	 0.99505	 0.88587	 0.72923	 0.57675	 0.43637	 0.34794	 0.26501	 0.17507	 0.09837	 0.03486	-0.03291	-0.07255	-0.09806	-0.09052	-0.06580	-0.01455	 0.03178	 0.08401	 0.15016	 0.21416	-0.04650	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99717	 0.98873	 0.98022	 0.97053	 0.95568	 0.93609	 0.91449	 0.88556	 0.85396	 0.81873	 0.78181	 0.74783	 0.71879	 0.69409	 0.67683	 0.66647	 0.66523	 0.67183	 0.68793	 0.70508	 0.72951	 0.75665	 0.79100	 0.82178	 0.85343	 0.87891	 0.90766	 0.93182	 0.95134	 0.96707	 0.97874	 0.98689	 0.99260	 0.99613	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04350	 0.04462	 0.03928	 0.00579	 0.03066	 0.02759	 0.01071	-0.00381	-0.00412	 0.00613	 0.00925	 0.00515	 0.00086	-0.01157	-0.02251	-0.03498	
       9	   7.999	  1.0049	-0.112783	 -0.0560	0.028155	  1.0108	  1.0115	0.023519	  260.79	   0.000	2.963E+6	   0.230	 3761.03	   80.96	  1564.2	 1012.95	   34.38	-0.10837	-0.14140	-0.15249	-0.16729	-0.18660	-0.21556	-0.25255	-0.30151	-0.39155	-0.50881	-0.63585	-0.76883	-0.89313	-1.00495	-1.10902	-1.20833	-1.28524	-1.34326	-1.38869	-1.43914	-1.46745	-1.50846	-1.52777	-1.56289	-1.57843	-1.58863	-1.61694	-1.73050	-1.91165	-1.90730	-1.88514	-1.89828	-1.94507	-2.02991	-2.12909	-2.12616	-2.01348	-1.75897	-1.11894	-0.78451	 0.04069	 0.84705	 0.99918	 0.93424	 0.79401	 0.64722	 0.50713	 0.41267	 0.32430	 0.23086	 0.14983	 0.08149	 0.00912	-0.03586	-0.06723	-0.06574	-0.04675	-0.00168	 0.03900	 0.08571	 0.14699	 0.19692	-0.10680	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99744	 0.99099	 0.97636	 0.94918	 0.93050	 0.91093	 0.88564	 0.85621	 0.82774	 0.79434	 0.76204	 0.73096	 0.70293	 0.68078	 0.66552	 0.65651	 0.65376	 0.65710	 0.66770	 0.68294	 0.70568	 0.72596	 0.75232	 0.77902	 0.81001	 0.83717	 0.86459	 0.88653	 0.91139	 0.93209	 0.94905	 0.96318	 0.97419	 0.98243	 0.98884	 0.99309	 0.99776	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04416	 0.04535	 0.04020	 0.00622	 0.03182	 0.02502	-0.00077	-0.01491	-0.01495	-0.00567	 0.00438	 0.00450	 0.00026	-0.01369	-0.02580	-0.03920	
