   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   0.000	  0.2467	0.014962	 -0.0669	0.014962	  0.2467	  0.2467	-0.000797	  200.81	   0.000	2.953E+6	   0.228	 3690.23	   80.02	  1535.7	 1012.64	   32.88	 0.13508	 0.07373	 0.01743	-0.04567	-0.11175	-0.18409	-0.26132	-0.33755	-0.41463	-0.48879	-0.55978	-0.63301	-0.69387	-0.74001	-0.78172	-0.81962	-0.83287	-0.83299	-0.81554	-0.80380	-0.77654	-0.74710	-0.70966	-0.68382	-0.69561	-0.62567	-0.55927	-0.53135	-0.48910	-0.39783	-0.29649	-0.18593	-0.08055	 0.04417	 0.19475	 0.38946	 0.60811	 0.82297	 0.97558	 0.99850	-0.04343	 0.44545	 0.09392	-0.14967	-0.24077	-0.31835	-0.36129	-0.41530	-0.43173	-0.45071	-0.44201	-0.45454	-0.47445	-0.46502	-0.43830	-0.37649	-0.30384	-0.20001	-0.11043	-0.01859	 0.07711	 0.20473	 0.13429	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99645	 0.98808	 0.96810	 0.93073	 0.88008	 0.82361	 0.76461	 0.71368	 0.67272	 0.65176	 0.65340	 0.68008	 0.71308	 0.76365	 0.81622	 0.87666	 0.92161	 0.95812	 0.97816	 0.99236	 0.99799	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.01894	 0.02342	 0.02112	-0.00271	 0.01820	 0.01812	 0.01543	 0.01117	 0.00758	 0.01352	 0.01041	 0.00920	 0.00850	 0.00261	-0.00218	-0.00872	
       2	   2.002	  0.4772	-0.000741	 -0.0683	0.015929	  0.4770	  0.4775	0.001358	  199.17	   0.000	2.962E+6	   0.230	 3750.51	   80.82	  1560.0	 1012.64	   34.04	 0.10772	 0.05707	 0.00316	-0.05974	-0.12771	-0.20492	-0.28881	-0.37310	-0.46017	-0.54477	-0.62698	-0.71209	-0.78582	-0.84567	-0.90077	-0.95229	-0.97881	-0.99155	-0.98744	-0.98858	-0.97330	-0.95856	-0.93361	-0.92605	-0.95737	-0.90032	-0.84915	-0.84530	-0.82561	-0.75470	-0.66237	-0.58496	-0.50469	-0.41057	-0.28968	-0.10310	 0.13906	 0.42617	 0.74327	 0.89729	-0.01796	 0.83130	 0.54027	 0.28381	 0.13332	 0.01004	-0.07436	-0.15707	-0.20261	-0.24630	-0.26228	-0.29402	-0.33079	-0.33818	-0.32899	-0.28453	-0.22728	-0.13983	-0.06330	 0.01660	 0.10456	 0.21872	 0.10789	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99611	 0.98905	 0.97362	 0.94474	 0.90332	 0.85361	 0.79675	 0.74407	 0.69702	 0.66557	 0.65418	 0.66328	 0.68358	 0.72063	 0.76399	 0.81944	 0.86629	 0.91106	 0.94189	 0.97014	 0.98690	 0.99485	 0.99831	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02724	 0.03041	 0.02692	 0.00003	 0.02173	 0.02076	 0.01726	 0.00997	 0.00631	 0.01288	 0.00927	 0.00707	 0.00542	-0.00219	-0.00869	-0.01693	
       3	   3.992	  0.6911	-0.029968	 -0.0675	0.018223	  0.6915	  0.6924	0.005723	  200.77	   0.000	2.958E+6	   0.230	 3757.45	   80.97	  1562.8	 1012.62	   34.61	 0.06511	 0.02633	-0.01851	-0.07334	-0.13648	-0.21352	-0.30132	-0.39260	-0.48941	-0.58465	-0.67865	-0.77574	-0.86315	-0.93734	-1.00653	-1.07228	-1.11346	-1.13973	-1.15054	-1.16580	-1.16415	-1.16557	-1.15527	-1.16836	-1.22051	-1.17920	-1.14780	-1.16800	-1.18010	-1.13257	-1.06346	-1.00476	-0.97944	-0.93351	-0.86514	-0.71668	-0.48911	-0.17648	 0.27921	 0.52628	-0.00355	 0.99138	 0.82613	 0.60380	 0.42955	 0.28256	 0.16255	 0.06699	-0.00095	-0.06330	-0.09967	-0.14714	-0.19805	-0.22019	-0.22642	-0.19793	-0.15492	-0.08300	-0.01899	 0.04929	 0.12838	 0.22546	 0.06458	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99692	 0.99161	 0.98235	 0.96628	 0.94076	 0.90748	 0.86856	 0.82249	 0.77777	 0.73308	 0.69612	 0.67300	 0.66175	 0.66451	 0.67952	 0.70455	 0.74370	 0.78285	 0.82655	 0.86286	 0.90428	 0.93786	 0.96218	 0.97963	 0.99006	 0.99567	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03546	 0.03753	 0.03301	 0.00353	 0.02599	 0.02441	 0.01973	 0.00765	 0.00485	 0.01203	 0.00995	 0.00667	 0.00409	-0.00530	-0.01350	-0.02346	
       4	  -0.004	  0.2488	0.014991	 -0.0670	0.014976	  0.2488	  0.2488	-0.000473	  194.18	   0.000	2.968E+6	   0.231	 3794.50	   81.42	  1577.7	 1012.57	   35.00	 0.13460	 0.07339	 0.01707	-0.04611	-0.11216	-0.18456	-0.26189	-0.33819	-0.41550	-0.48988	-0.56093	-0.63435	-0.69531	-0.74173	-0.78360	-0.82171	-0.83503	-0.83519	-0.81803	-0.80642	-0.77917	-0.74976	-0.71217	-0.68640	-0.69812	-0.62841	-0.56194	-0.53440	-0.49247	-0.40084	-0.29952	-0.18859	-0.08361	 0.04118	 0.19158	 0.38653	 0.60558	 0.82116	 0.97479	 0.99871	 0.01142	 0.44936	 0.09780	-0.14630	-0.23816	-0.31608	-0.35995	-0.41432	-0.43042	-0.44907	-0.44158	-0.45429	-0.47423	-0.46463	-0.43819	-0.37630	-0.30371	-0.19988	-0.11031	-0.01855	 0.07722	 0.20476	 0.13441	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99656	 0.98817	 0.96789	 0.93059	 0.87992	 0.82376	 0.76460	 0.71388	 0.67293	 0.65216	 0.65369	 0.68019	 0.71285	 0.76304	 0.81550	 0.87604	 0.92120	 0.95791	 0.97808	 0.99236	 0.99806	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.01849	 0.02300	 0.02073	-0.00382	 0.01801	 0.01774	 0.01508	 0.01071	 0.00715	 0.01317	 0.01004	 0.00880	 0.00808	 0.00208	-0.00278	-0.00942	
       5	   1.001	  0.3656	0.008921	 -0.0678	0.015305	  0.3654	  0.3656	0.000187	  195.86	   0.000	2.965E+6	   0.231	 3793.00	   81.43	  1577.1	 1012.55	   35.18	 0.12285	 0.06648	 0.01067	-0.05309	-0.12060	-0.19579	-0.27662	-0.35704	-0.43934	-0.51895	-0.59560	-0.67486	-0.74220	-0.79540	-0.84385	-0.88867	-0.90856	-0.91507	-0.90422	-0.89884	-0.87752	-0.85523	-0.82358	-0.80678	-0.82799	-0.76454	-0.70554	-0.68926	-0.65800	-0.57595	-0.48108	-0.38356	-0.28838	-0.17679	-0.03833	 0.15633	 0.39198	 0.64959	 0.88821	 0.98175	 0.01523	 0.67085	 0.34148	 0.08446	-0.04118	-0.14486	-0.21171	-0.28053	-0.31249	-0.34416	-0.34939	-0.37194	-0.40081	-0.39992	-0.38248	-0.32947	-0.26480	-0.16926	-0.08636	-0.00075	 0.09148	 0.21274	 0.12282	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99677	 0.98965	 0.97217	 0.93839	 0.89066	 0.83568	 0.77577	 0.72340	 0.67976	 0.65491	 0.65188	 0.67231	 0.70090	 0.74655	 0.79603	 0.85500	 0.90113	 0.94140	 0.96600	 0.98556	 0.99502	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02296	 0.02677	 0.02390	-0.00176	 0.01992	 0.01930	 0.01627	 0.01059	 0.00689	 0.01319	 0.00968	 0.00799	 0.00680	-0.00001	-0.00566	-0.01309	
       6	   2.999	  0.5879	-0.013818	 -0.0682	0.016958	  0.5878	  0.5885	0.003426	  194.22	   0.000	2.966E+6	   0.232	 3800.75	   81.54	  1580.2	 1012.55	   35.37	 0.08821	 0.04393	-0.00628	-0.06632	-0.13305	-0.21121	-0.29769	-0.38571	-0.47786	-0.56774	-0.65593	-0.74705	-0.82756	-0.89460	-0.95682	-1.01545	-1.04917	-1.06854	-1.07197	-1.08004	-1.07128	-1.06449	-1.04666	-1.04918	-1.09035	-1.04119	-0.99954	-1.00781	-1.00351	-0.94344	-0.86020	-0.80010	-0.73840	-0.66693	-0.56886	-0.39787	-0.15845	 0.14699	 0.53740	 0.74267	 0.02000	 0.93878	 0.70328	 0.45889	 0.29198	 0.15415	 0.04973	-0.03997	-0.09764	-0.15127	-0.17850	-0.21838	-0.26265	-0.27755	-0.27652	-0.24014	-0.19022	-0.11062	-0.04051	 0.03354	 0.11719	 0.22318	 0.08898	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99814	 0.99358	 0.98479	 0.96804	 0.93980	 0.90182	 0.85715	 0.80500	 0.75587	 0.71007	 0.67610	 0.65918	 0.65959	 0.67244	 0.70029	 0.73637	 0.78609	 0.83093	 0.87681	 0.91141	 0.94687	 0.97140	 0.98609	 0.99431	 0.99796	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03121	 0.03382	 0.02987	 0.00117	 0.02381	 0.02252	 0.01841	 0.00877	 0.00564	 0.01278	 0.00948	 0.00671	 0.00458	-0.00399	-0.01142	-0.02060	
       7	   5.011	  0.7875	-0.048876	 -0.0660	0.020099	  0.7888	  0.7897	0.009466	  195.85	   0.000	2.968E+6	   0.232	 3809.23	   81.65	  1583.6	 1012.54	   35.49	 0.03522	 0.00114	-0.03711	-0.08396	-0.13919	-0.21090	-0.29764	-0.39128	-0.49293	-0.59390	-0.69406	-0.79753	-0.89210	-0.97405	-1.05065	-1.12368	-1.17248	-1.20606	-1.22493	-1.24760	-1.25315	-1.26363	-1.26110	-1.28495	-1.34737	-1.31553	-1.29474	-1.32851	-1.35642	-1.32350	-1.26837	-1.22887	-1.21509	-1.20764	-1.17576	-1.05537	-0.84781	-0.53808	-0.02421	 0.25564	 0.02218	 0.99915	 0.91338	 0.72210	 0.54796	 0.39652	 0.26931	 0.16438	 0.08800	 0.01792	-0.02689	-0.08091	-0.13789	-0.16646	-0.17992	-0.15861	-0.12231	-0.05765	 0.00035	 0.06298	 0.13748	 0.22464	 0.03423	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99588	 0.99046	 0.98241	 0.96757	 0.94702	 0.91897	 0.88262	 0.84196	 0.80135	 0.75916	 0.72256	 0.69065	 0.66919	 0.65990	 0.66313	 0.67440	 0.69646	 0.72526	 0.76515	 0.80244	 0.84276	 0.87511	 0.91154	 0.94126	 0.96287	 0.97891	 0.98894	 0.99460	 0.99792	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03852	 0.04013	 0.03525	 0.00399	 0.02766	 0.02563	 0.01831	 0.00415	 0.00279	 0.01152	 0.00974	 0.00601	 0.00285	-0.00754	-0.01665	-0.02747	
       8	   7.002	  0.9408	-0.089153	 -0.0595	0.026198	  0.9446	  0.9456	0.018579	  194.16	   0.000	2.958E+6	   0.231	 3787.03	   81.42	  1574.7	 1012.54	   35.60	-0.05178	-0.08184	-0.10239	-0.12785	-0.16038	-0.20443	-0.26403	-0.34604	-0.45159	-0.56409	-0.67873	-0.79679	-0.90809	-1.00748	-1.10050	-1.18900	-1.25472	-1.30377	-1.33990	-1.37860	-1.39940	-1.42872	-1.44298	-1.48845	-1.57156	-1.55927	-1.56108	-1.62313	-1.67895	-1.67965	-1.65624	-1.65522	-1.68813	-1.73451	-1.79467	-1.74513	-1.59780	-1.31971	-0.71432	-0.39290	 0.02148	 0.92500	 0.99404	 0.88238	 0.72701	 0.57756	 0.44390	 0.32714	 0.23729	 0.15603	 0.09678	 0.03144	-0.03568	-0.07606	-0.10202	-0.09416	-0.07011	-0.01896	 0.02727	 0.07918	 0.14448	 0.20847	-0.05578	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99674	 0.99286	 0.98848	 0.98040	 0.96875	 0.95513	 0.93506	 0.91116	 0.88176	 0.84734	 0.81196	 0.77753	 0.74244	 0.71207	 0.68434	 0.66334	 0.65140	 0.64670	 0.64952	 0.65928	 0.67510	 0.69921	 0.72496	 0.75518	 0.78235	 0.81720	 0.85036	 0.87992	 0.90763	 0.93125	 0.95005	 0.96601	 0.97748	 0.99288	 0.99770	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04209	 0.04345	 0.03849	 0.00521	 0.03083	 0.02828	 0.01477	-0.00551	-0.00545	 0.00341	 0.01018	 0.00694	 0.00278	-0.00985	-0.02091	-0.03360	
       9	   8.995	  1.0302	-0.104850	 -0.0544	0.057505	  1.0340	  1.0374	0.035483	  195.84	   0.000	2.951E+6	   0.231	 3774.32	   81.30	  1569.6	 1012.51	   35.69	-0.16832	-0.21656	-0.22676	-0.23870	-0.25027	-0.26473	-0.28693	-0.32083	-0.37617	-0.45925	-0.56677	-0.69197	-0.82201	-0.94438	-1.05925	-1.16664	-1.25343	-1.32123	-1.37724	-1.43426	-1.47154	-1.52129	-1.55337	-1.61940	-1.72027	-1.72897	-1.75333	-1.84048	-1.92317	-1.95557	-1.96462	-2.00543	-2.07288	-2.19067	-2.32425	-2.35245	-2.27647	-2.04939	-1.38817	-1.05122	 0.01892	 0.77858	 0.99240	 0.96064	 0.83655	 0.69786	 0.56446	 0.44272	 0.34370	 0.25526	 0.18531	 0.11104	 0.03484	-0.01537	-0.05221	-0.05595	-0.04255	-0.00267	 0.03323	 0.07532	 0.13226	 0.17282	-0.20078	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99771	 0.99394	 0.98617	 0.97284	 0.95226	 0.93858	 0.92553	 0.90821	 0.88846	 0.86947	 0.84570	 0.82210	 0.79721	 0.77048	 0.74540	 0.72289	 0.70008	 0.67964	 0.65964	 0.64235	 0.62911	 0.61634	 0.61070	 0.60392	 0.60092	 0.59807	 0.60099	 0.60519	 0.60955	 0.61870	 0.62803	 0.63917	 0.65195	 0.66501	 0.67803	 0.69377	 0.70765	 0.74242	 0.77451	 0.80379	 0.83375	 0.86343	 0.88894	 0.91489	 0.93379	 0.96307	 0.98248	 0.99183	 0.99684	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03992	 0.04192	 0.03780	 0.00374	 0.03088	 0.01934	-0.01472	-0.02704	-0.02496	-0.01273	-0.00204	-0.00105	-0.00345	-0.01696	-0.02971	-0.04412	
