   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   0.004	  0.2699	0.011186	 -0.0704	0.011203	  0.2699	  0.2699	0.008003	  219.20	   0.000	2.962E+6	   0.227	 3642.66	   79.33	  1516.4	 1006.77	   29.83	 0.15318	 0.07964	 0.01841	-0.04756	-0.11729	-0.19171	-0.27113	-0.34846	-0.42711	-0.50019	-0.57268	-0.64712	-0.70838	-0.75490	-0.79694	-0.83627	-0.85046	-0.84999	-0.83258	-0.82382	-0.79598	-0.76851	-0.73235	-0.69597	-0.64496	-0.58877	-0.53068	-0.51187	-0.48388	-0.39675	-0.28461	-0.20070	-0.10753	 0.01957	 0.17092	 0.36907	 0.59002	 0.80968	 0.96962	 0.99803	 0.99948	 0.46248	 0.11244	-0.12833	-0.22523	-0.27310	-0.32681	-0.38006	-0.38294	-0.41646	-0.43999	-0.44944	-0.47249	-0.46074	-0.43395	-0.37192	-0.29808	-0.19329	-0.10306	-0.00979	 0.08897	 0.22626	 0.15272	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99737	 0.98894	 0.96828	 0.93198	 0.87981	 0.82289	 0.76575	 0.72269	 0.70327	 0.71030	 0.73337	 0.77697	 0.82693	 0.88655	 0.93103	 0.96613	 0.98424	 0.99559	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02108	 0.02550	 0.02309	-0.00092	 0.01997	 0.01970	 0.01702	 0.01335	 0.00954	 0.01484	 0.01169	 0.01036	 0.00968	 0.00362	-0.00130	-0.00808	
       2	  -2.005	  0.0257	0.012302	 -0.0664	0.011397	  0.0261	  0.0259	0.007278	  220.85	   0.000	2.947E+6	   0.227	 3636.22	   79.39	  1513.8	 1006.77	   30.84	 0.16401	 0.08800	 0.03194	-0.02846	-0.09228	-0.15914	-0.23047	-0.29909	-0.36791	-0.43081	-0.49300	-0.55494	-0.60396	-0.63787	-0.66721	-0.69375	-0.69551	-0.68377	-0.65508	-0.63427	-0.59635	-0.55600	-0.50997	-0.45990	-0.39922	-0.33156	-0.26290	-0.22338	-0.17675	-0.07135	 0.04951	 0.15067	 0.26154	 0.40063	 0.55552	 0.73026	 0.88986	 0.99001	 0.97836	 0.83782	 0.83903	-0.15634	-0.49776	-0.67405	-0.68248	-0.65385	-0.63961	-0.66601	-0.63083	-0.63673	-0.63694	-0.62365	-0.62781	-0.59713	-0.55106	-0.46996	-0.37984	-0.25776	-0.15380	-0.04860	 0.05754	 0.20550	 0.16316	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99474	 0.98219	 0.95651	 0.91719	 0.86543	 0.81154	 0.75802	 0.71768	 0.69998	 0.70878	 0.73318	 0.77975	 0.83247	 0.89446	 0.93919	 0.97255	 0.98840	 0.99720	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.01170	 0.01765	 0.01663	-0.00442	 0.01621	 0.01687	 0.01497	 0.01243	 0.00954	 0.01549	 0.01324	 0.01297	 0.01320	 0.00893	 0.00576	 0.00069	
       3	  -4.000	 -0.2126	-0.002440	 -0.0621	0.012397	 -0.2123	 -0.2127	0.007097	  219.15	   0.000	2.958E+6	   0.229	 3696.88	   80.20	  1538.3	 1006.72	   31.95	 0.16597	 0.09415	 0.04529	-0.00847	-0.06577	-0.12489	-0.18814	-0.24836	-0.30787	-0.36169	-0.41308	-0.46392	-0.50163	-0.52418	-0.54228	-0.55721	-0.54812	-0.52652	-0.48828	-0.45733	-0.41139	-0.36023	-0.30641	-0.24650	-0.17778	-0.10274	-0.02841	 0.02590	 0.09180	 0.20374	 0.32525	 0.43454	 0.54831	 0.68057	 0.81367	 0.93556	 0.99843	 0.96295	 0.75207	 0.38439	 0.38547	-0.98821	-1.25495	-1.31385	-1.19768	-1.05902	-0.98523	-0.96909	-0.88973	-0.86365	-0.83804	-0.79981	-0.78286	-0.73157	-0.66505	-0.56409	-0.45699	-0.31776	-0.20001	-0.08394	 0.02704	 0.17864	 0.16570	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99787	 0.99299	 0.98128	 0.95816	 0.92494	 0.87907	 0.82760	 0.78100	 0.73548	 0.71227	 0.69992	 0.70824	 0.74081	 0.78403	 0.83810	 0.88437	 0.93462	 0.96925	 0.98794	 0.99646	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.00157	 0.00924	 0.00984	-0.00785	 0.01254	 0.01430	 0.01321	 0.01269	 0.00943	 0.01600	 0.01554	 0.01630	 0.01747	 0.01495	 0.01339	 0.00987	
       4	  -4.993	 -0.3322	-0.015980	 -0.0599	0.012990	 -0.3323	 -0.3328	0.007313	  220.84	   0.000	2.958E+6	   0.229	 3709.79	   80.40	  1543.5	 1006.70	   32.39	 0.16386	 0.09631	 0.05193	 0.00191	-0.05187	-0.10695	-0.16608	-0.22204	-0.27681	-0.32591	-0.37213	-0.41757	-0.44983	-0.46689	-0.47958	-0.48888	-0.47490	-0.44874	-0.40614	-0.37052	-0.32102	-0.26525	-0.20804	-0.14348	-0.07197	 0.00598	 0.08153	 0.14316	 0.21510	 0.32789	 0.44712	 0.55646	 0.66635	 0.78840	 0.90154	 0.98534	 0.99166	 0.87293	 0.54419	 0.04456	 0.04558	-1.49630	-1.69852	-1.67653	-1.45786	-1.28416	-1.17322	-1.13034	-1.02655	-0.98228	-0.94211	-0.89017	-0.86120	-0.79876	-0.72102	-0.60947	-0.49344	-0.34536	-0.22060	-0.09954	 0.01210	 0.16248	 0.16349	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99716	 0.99115	 0.97915	 0.95764	 0.92453	 0.88386	 0.84017	 0.79398	 0.75328	 0.71974	 0.70215	 0.70317	 0.72733	 0.75770	 0.80571	 0.85539	 0.90982	 0.94734	 0.97497	 0.98850	 0.99666	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.00120	 0.00721	 0.00844	-0.00811	 0.01232	 0.01457	 0.01338	 0.01079	 0.00952	 0.01797	 0.01716	 0.01824	 0.01976	 0.01794	 0.01707	 0.01425	
       5	  -6.001	 -0.4480	-0.032951	 -0.0580	0.014069	 -0.4490	 -0.4497	0.007901	  219.14	   0.000	2.960E+6	   0.230	 3742.27	   80.87	  1556.6	 1006.63	   33.27	 0.15764	 0.09646	 0.05721	 0.01116	-0.03904	-0.09009	-0.14510	-0.19685	-0.24706	-0.29136	-0.33294	-0.37325	-0.39995	-0.41188	-0.41991	-0.42335	-0.40468	-0.37414	-0.32747	-0.28833	-0.23497	-0.17557	-0.11565	-0.04606	 0.02705	 0.10633	 0.18427	 0.25054	 0.32716	 0.43917	 0.55444	 0.66153	 0.76457	 0.87245	 0.96056	 1.00000	 0.94628	 0.73250	 0.27944	-0.35905	-0.35832	-2.05043	-2.17121	-2.05563	-1.73925	-1.51759	-1.36383	-1.29311	-1.16398	-1.10051	-1.04513	-0.97899	-0.93763	-0.86345	-0.77424	-0.65192	-0.52672	-0.36983	-0.23843	-0.11350	-0.00282	 0.14311	 0.15757	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99506	 0.98896	 0.97586	 0.95560	 0.92651	 0.88862	 0.84690	 0.80567	 0.76559	 0.73325	 0.70948	 0.70120	 0.70905	 0.73774	 0.76817	 0.81340	 0.85863	 0.90811	 0.94304	 0.97023	 0.98461	 0.99465	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.00566	 0.00363	 0.00564	-0.00970	 0.01098	 0.01376	 0.01233	 0.00966	 0.00875	 0.01865	 0.01829	 0.01978	 0.02171	 0.02061	 0.02038	 0.01826	
       6	  -6.995	 -0.5572	-0.052841	 -0.0565	0.015405	 -0.5595	 -0.5603	0.008530	  220.81	   0.000	2.954E+6	   0.230	 3735.51	   80.83	  1553.9	 1006.59	   33.53	 0.14575	 0.09441	 0.06084	 0.01902	-0.02750	-0.07443	-0.12545	-0.17315	-0.21887	-0.25867	-0.29545	-0.33094	-0.35283	-0.35921	-0.36223	-0.36102	-0.33744	-0.30295	-0.25283	-0.20955	-0.15369	-0.09130	-0.03240	 0.03844	 0.11325	 0.19579	 0.27809	 0.34753	 0.42716	 0.53690	 0.64699	 0.74857	 0.84303	 0.93315	 0.99216	 0.98759	 0.86338	 0.54657	-0.03399	-0.81928	-0.81848	-2.64131	-2.66518	-2.45210	-2.01974	-1.75259	-1.55347	-1.45344	-1.29850	-1.21516	-1.14407	-1.06325	-1.00879	-0.92279	-0.82165	-0.68840	-0.55392	-0.38848	-0.25068	-0.12339	-0.01672	 0.11954	 0.14642	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99778	 0.99382	 0.98682	 0.97435	 0.95436	 0.92838	 0.89709	 0.85876	 0.82077	 0.78156	 0.74738	 0.72313	 0.70775	 0.70599	 0.71560	 0.73621	 0.77213	 0.80982	 0.85262	 0.88779	 0.92692	 0.95679	 0.97656	 0.98914	 0.99567	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01050	-0.00039	 0.00240	-0.01106	 0.00944	 0.01282	 0.01236	 0.00925	 0.00743	 0.01766	 0.01988	 0.02189	 0.02427	 0.02393	 0.02441	 0.02295	
       7	  -7.999	 -0.6567	-0.075491	 -0.0556	0.016623	 -0.6608	 -0.6618	0.009329	  219.22	   0.000	2.959E+6	   0.231	 3755.55	   81.07	  1562.0	 1006.60	   33.73	 0.12496	 0.08837	 0.06143	 0.02414	-0.01884	-0.06147	-0.10865	-0.15217	-0.19353	-0.22889	-0.26124	-0.29273	-0.31000	-0.31296	-0.31267	-0.30670	-0.28145	-0.24370	-0.19454	-0.14512	-0.08811	-0.02004	 0.03978	 0.11458	 0.19143	 0.27837	 0.36225	 0.43363	 0.51485	 0.62138	 0.72505	 0.81966	 0.90286	 0.97259	 1.00000	 0.94732	 0.74908	 0.32489	-0.38422	-1.31933	-1.31855	-3.25481	-3.17030	-2.86848	-2.31216	-1.98459	-1.73911	-1.60898	-1.42804	-1.32424	-1.23710	-1.14147	-1.07344	-0.97530	-0.86185	-0.71732	-0.57323	-0.39937	-0.25589	-0.12933	-0.03219	 0.08998	 0.12591	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99676	 0.99253	 0.98651	 0.97525	 0.95945	 0.93783	 0.90966	 0.87842	 0.84578	 0.81105	 0.77990	 0.75096	 0.72866	 0.71623	 0.71391	 0.72029	 0.73703	 0.76102	 0.79679	 0.83176	 0.86920	 0.89940	 0.93290	 0.95866	 0.97612	 0.98791	 0.99462	 0.99791	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01430	-0.00328	 0.00031	-0.01249	 0.00885	 0.01267	 0.01138	 0.00761	 0.00610	 0.01813	 0.02122	 0.02359	 0.02622	 0.02637	 0.02730	 0.02631	
       8	  -9.000	 -0.7456	-0.098976	 -0.0548	0.018874	 -0.7519	 -0.7531	0.011202	  220.78	   0.000	2.954E+6	   0.231	 3748.09	   81.02	  1559.0	 1006.58	   33.91	 0.09063	 0.07853	 0.06050	 0.02874	-0.01072	-0.04764	-0.08984	-0.14006	-0.18205	-0.21192	-0.23963	-0.26286	-0.27580	-0.27778	-0.27417	-0.26006	-0.23125	-0.18733	-0.13529	-0.08183	-0.02247	 0.04949	 0.11180	 0.18798	 0.26578	 0.35368	 0.43799	 0.51024	 0.59174	 0.69391	 0.79051	 0.87636	 0.94639	 0.99363	 0.99048	 0.88320	 0.60794	 0.07383	-0.76410	-1.85204	-1.85126	-3.88189	-3.68042	-3.21649	-2.60257	-2.20996	-1.91781	-1.75672	-1.54993	-1.42521	-1.32168	-1.21091	-1.12875	-1.01799	-0.89133	-0.73475	-0.58043	-0.39825	-0.25129	-0.13213	-0.05290	 0.04950	 0.09061	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99784	 0.99499	 0.99121	 0.98374	 0.97359	 0.95926	 0.93945	 0.91652	 0.89079	 0.85967	 0.82952	 0.79773	 0.76801	 0.74426	 0.72388	 0.71390	 0.70844	 0.71136	 0.72422	 0.74332	 0.76978	 0.79608	 0.83198	 0.86764	 0.89970	 0.92948	 0.95333	 0.97073	 0.98357	 0.99123	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.01899	-0.00716	-0.00278	-0.01422	 0.00752	 0.01177	 0.01094	 0.00679	 0.00541	 0.01340	 0.02219	 0.02525	 0.02822	 0.02889	 0.03030	 0.02975	
       9	 -10.004	 -0.8191	-0.121082	 -0.0538	0.023064	 -0.8277	 -0.8292	0.014986	  219.20	   0.000	2.957E+6	   0.231	 3762.76	   81.20	  1564.9	 1006.54	   34.10	 0.04067	 0.05807	 0.04973	 0.02440	-0.01026	-0.03798	-0.07584	-0.14289	-0.16872	-0.19406	-0.21725	-0.23554	-0.24425	-0.24347	-0.23528	-0.21651	-0.18401	-0.13683	-0.08194	-0.02573	 0.03513	 0.10969	 0.17383	 0.25176	 0.33001	 0.41749	 0.50142	 0.57375	 0.65479	 0.75225	 0.84128	 0.91770	 0.97430	 0.99923	 0.96614	 0.80515	 0.45657	-0.18223	-1.13982	-2.37073	-2.36976	-4.47447	-4.16180	-3.47842	-2.86563	-2.41263	-2.07644	-1.88588	-1.65471	-1.50989	-1.39028	-1.26474	-1.16811	-1.04415	-0.90348	-0.73362	-0.56783	-0.37906	-0.23607	-0.13887	-0.08277	-0.00456	 0.03648	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99809	 0.99341	 0.98835	 0.98285	 0.97380	 0.96143	 0.94784	 0.92853	 0.90650	 0.88114	 0.85265	 0.82427	 0.79699	 0.76963	 0.74537	 0.72299	 0.70615	 0.69551	 0.69143	 0.69355	 0.70122	 0.71464	 0.73752	 0.76220	 0.79164	 0.81811	 0.85179	 0.88370	 0.91134	 0.93607	 0.95597	 0.97087	 0.98231	 0.98961	 0.99785	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	-0.02216	-0.00932	-0.00396	-0.01472	 0.00800	 0.01238	 0.00761	 0.00299	 0.00193	 0.01352	 0.02381	 0.02719	 0.03016	 0.03083	 0.03223	 0.03175	
