   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   0.000	  0.2600	0.012555	 -0.0687	0.012555	  0.2600	  0.2600	0.007779	  249.16	   0.000	2.941E+6	   0.232	 3771.13	   81.56	  1568.3	 1004.38	   35.45	 0.14531	 0.07752	 0.01827	-0.04648	-0.11486	-0.18817	-0.26689	-0.34410	-0.42206	-0.49578	-0.56723	-0.64122	-0.70273	-0.74968	-0.79158	-0.82986	-0.84426	-0.84348	-0.82555	-0.81599	-0.78756	-0.75749	-0.71471	-0.67150	-0.68765	-0.60964	-0.54432	-0.52273	-0.49256	-0.40683	-0.29653	-0.18449	-0.07904	 0.04250	 0.18983	 0.38436	 0.60230	 0.81727	 0.97204	 0.99894	 0.99955	 0.45767	 0.10965	-0.12397	-0.21223	-0.29150	-0.35911	-0.40267	-0.41491	-0.44731	-0.43504	-0.45166	-0.47438	-0.46449	-0.43767	-0.37569	-0.30175	-0.19712	-0.10713	-0.01389	 0.08507	 0.21739	 0.14443	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99625	 0.98622	 0.96374	 0.92598	 0.87299	 0.81622	 0.75813	 0.71204	 0.68818	 0.68777	 0.70523	 0.74300	 0.79008	 0.85036	 0.89901	 0.94221	 0.96833	 0.98809	 0.99672	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.01992	 0.02440	 0.02201	-0.00181	 0.01890	 0.01877	 0.01611	 0.01214	 0.00826	 0.01396	 0.01087	 0.00958	 0.00892	 0.00296	-0.00195	-0.00856	
       2	   2.002	  0.4943	-0.003902	 -0.0707	0.013366	  0.4942	  0.4943	0.009043	  250.77	   0.000	2.947E+6	   0.232	 3793.64	   81.84	  1577.4	 1004.39	   35.73	 0.12155	 0.06381	 0.00553	-0.06062	-0.13210	-0.21118	-0.29714	-0.38269	-0.47055	-0.55471	-0.63762	-0.72357	-0.79789	-0.85844	-0.91406	-0.96598	-0.99383	-1.00569	-1.00049	-1.00438	-0.98814	-0.97251	-0.94162	-0.91531	-0.95169	-0.88611	-0.83588	-0.83672	-0.83500	-0.76342	-0.67744	-0.58803	-0.50392	-0.41235	-0.29603	-0.11020	 0.12849	 0.41320	 0.73174	 0.88905	 0.88952	 0.83961	 0.55305	 0.30380	 0.15573	 0.03513	-0.06511	-0.14276	-0.18315	-0.24073	-0.25195	-0.28748	-0.32745	-0.33440	-0.32499	-0.28065	-0.22240	-0.13415	-0.05759	 0.02339	 0.11422	 0.23182	 0.12025	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99833	 0.99410	 0.98350	 0.96321	 0.93138	 0.88666	 0.83622	 0.78146	 0.73444	 0.70467	 0.69243	 0.69898	 0.72250	 0.75749	 0.80804	 0.85403	 0.89998	 0.93334	 0.96494	 0.98427	 0.99389	 0.99811	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02982	 0.03290	 0.02924	 0.00267	 0.02378	 0.02274	 0.01936	 0.01270	 0.00838	 0.01455	 0.01094	 0.00868	 0.00703	-0.00066	-0.00729	-0.01558	
       3	   3.987	  0.7150	-0.034700	 -0.0708	0.015095	  0.7157	  0.7160	0.010301	  255.12	   0.000	2.946E+6	   0.232	 3799.86	   81.94	  1579.9	 1004.36	   36.00	 0.08225	 0.03792	-0.01216	-0.07272	-0.14196	-0.22340	-0.31476	-0.40816	-0.50622	-0.60132	-0.69598	-0.79409	-0.88238	-0.95731	-1.02718	-1.09346	-1.13609	-1.16179	-1.17157	-1.18984	-1.18688	-1.18762	-1.17108	-1.16408	-1.22213	-1.17122	-1.14002	-1.16774	-1.19797	-1.15353	-1.08210	-1.03890	-0.99324	-0.95098	-0.88545	-0.73572	-0.51426	-0.20644	 0.25069	 0.49803	 0.49835	 0.99428	 0.83840	 0.62334	 0.45132	 0.30733	 0.18556	 0.08360	 0.01950	-0.05371	-0.08560	-0.13645	-0.19061	-0.21275	-0.21875	-0.19088	-0.14697	-0.07543	-0.01079	 0.05820	 0.13942	 0.23862	 0.08057	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99597	 0.98976	 0.97848	 0.95946	 0.93093	 0.89493	 0.85448	 0.81026	 0.77008	 0.73439	 0.71048	 0.70155	 0.70793	 0.72321	 0.75114	 0.78506	 0.82949	 0.86797	 0.90613	 0.93390	 0.96127	 0.97965	 0.99024	 0.99596	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03749	 0.03943	 0.03465	 0.00497	 0.02700	 0.02517	 0.02040	 0.00934	 0.00632	 0.01356	 0.00978	 0.00633	 0.00378	-0.00569	-0.01405	-0.02407	
       1	   3.992	  0.7152	-0.034712	 -0.0708	0.015168	  0.7159	  0.7162	0.010389	  250.84	   0.000	2.964E+6	   0.234	 3857.58	   82.61	  1603.1	 1004.34	   36.31	 0.08254	 0.03802	-0.01210	-0.07271	-0.14204	-0.22354	-0.31490	-0.40828	-0.50646	-0.60155	-0.69626	-0.79452	-0.88274	-0.95770	-1.02766	-1.09388	-1.13661	-1.16225	-1.17216	-1.19032	-1.18735	-1.18816	-1.17146	-1.16455	-1.22266	-1.17171	-1.14037	-1.16816	-1.19837	-1.15373	-1.08232	-1.03899	-0.99325	-0.95082	-0.88525	-0.73518	-0.51350	-0.20566	 0.25154	 0.49880	 0.49910	 0.99420	 0.83825	 0.62319	 0.45128	 0.30721	 0.18548	 0.08345	 0.01940	-0.05379	-0.08575	-0.13658	-0.19074	-0.21287	-0.21884	-0.19100	-0.14702	-0.07543	-0.01077	 0.05822	 0.13943	 0.23873	 0.08060	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99650	 0.99088	 0.98046	 0.96247	 0.93497	 0.89975	 0.85959	 0.81518	 0.77418	 0.73721	 0.71156	 0.70058	 0.70478	 0.71863	 0.74538	 0.77888	 0.82329	 0.86210	 0.90101	 0.92959	 0.95818	 0.97767	 0.98906	 0.99533	 0.99831	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03795	 0.03984	 0.03503	 0.00538	 0.02737	 0.02554	 0.02074	 0.00946	 0.00653	 0.01405	 0.01017	 0.00675	 0.00419	-0.00528	-0.01362	-0.02361	
       2	   6.008	  0.9039	-0.076495	 -0.0678	0.018535	  0.9069	  0.9074	0.013487	  254.09	   0.000	2.963E+6	   0.234	 3859.96	   82.66	  1604.1	 1004.31	   36.50	 0.01899	-0.01508	-0.04907	-0.09127	-0.14393	-0.21530	-0.30504	-0.40381	-0.51203	-0.61885	-0.72621	-0.83758	-0.94050	-1.03080	-1.11582	-1.19685	-1.25496	-1.29536	-1.32106	-1.35480	-1.36629	-1.38477	-1.38387	-1.39781	-1.47794	-1.44414	-1.43438	-1.49103	-1.55559	-1.54142	-1.50045	-1.47745	-1.49287	-1.52333	-1.53172	-1.44322	-1.27004	-0.97793	-0.41304	-0.11305	-0.11317	 0.96854	 0.97436	 0.83060	 0.66706	 0.51821	 0.38667	 0.27211	 0.18620	 0.10455	 0.05701	-0.00634	-0.07173	-0.10688	-0.12626	-0.11258	-0.08234	-0.02457	 0.02764	 0.08558	 0.15714	 0.23512	 0.01631	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99714	 0.99342	 0.98712	 0.97771	 0.96255	 0.94213	 0.91506	 0.88173	 0.84566	 0.80966	 0.77387	 0.74345	 0.71827	 0.70234	 0.69733	 0.70292	 0.71471	 0.73586	 0.76204	 0.79692	 0.82891	 0.86270	 0.88976	 0.92046	 0.94561	 0.96426	 0.97832	 0.98770	 0.99351	 0.99702	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04430	 0.04544	 0.03993	 0.00769	 0.03097	 0.02855	 0.02024	 0.00530	 0.00340	 0.01231	 0.01041	 0.00614	 0.00254	-0.00875	-0.01882	-0.03050	
       3	   8.003	  1.0316	-0.116122	 -0.0596	0.028628	  1.0377	  1.0392	0.018187	  250.61	   0.000	2.953E+6	   0.234	 3837.19	   82.43	  1594.9	 1004.29	   36.60	-0.09205	-0.12977	-0.14460	-0.16101	-0.18076	-0.20937	-0.25382	-0.32508	-0.42804	-0.54598	-0.67098	-0.80076	-0.92427	-1.03547	-1.13963	-1.23810	-1.31459	-1.37214	-1.41652	-1.46719	-1.49518	-1.53249	-1.54901	-1.58496	-1.68631	-1.67182	-1.68520	-1.77052	-1.87011	-1.88904	-1.87815	-1.89879	-1.95596	-2.07056	-2.16474	-2.15272	-2.05311	-1.80666	-1.16385	-0.84239	-0.84270	 0.82985	 0.99793	 0.94359	 0.81040	 0.67006	 0.53749	 0.41688	 0.32062	 0.22952	 0.16868	 0.09567	 0.02092	-0.02525	-0.05653	-0.05585	-0.03736	 0.00741	 0.04799	 0.09472	 0.15646	 0.20810	-0.10812	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99700	 0.99027	 0.97606	 0.95051	 0.93321	 0.91501	 0.89198	 0.86595	 0.84064	 0.81133	 0.78266	 0.75479	 0.72897	 0.70735	 0.69142	 0.68068	 0.67464	 0.67368	 0.67921	 0.68889	 0.70526	 0.72102	 0.74141	 0.76291	 0.78874	 0.81181	 0.83630	 0.85651	 0.88046	 0.90210	 0.92078	 0.93774	 0.95196	 0.96348	 0.97338	 0.98086	 0.99149	 0.99612	 0.99831	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04685	 0.04774	 0.04211	 0.00814	 0.03274	 0.02553	-0.00072	-0.00732	-0.00582	 0.00717	 0.00824	 0.00350	-0.00109	-0.01440	-0.02619	-0.03939	
       4	  10.004	  1.0652	-0.129330	 -0.0585	0.057679	  1.0714	  1.0758	0.032928	  249.19	   0.000	2.941E+6	   0.233	 3810.71	   82.16	  1584.2	 1004.26	   36.70	-0.27371	-0.33452	-0.34609	-0.35286	-0.35757	-0.36139	-0.36187	-0.36227	-0.36498	-0.37792	-0.40817	-0.47537	-0.60494	-0.76888	-0.93039	-1.07438	-1.19437	-1.28729	-1.36526	-1.44290	-1.49543	-1.55780	-1.59647	-1.65702	-1.77718	-1.78518	-1.82300	-1.93330	-2.06295	-2.11380	-2.13461	-2.18807	-2.29674	-2.46611	-2.64649	-2.70734	-2.68379	-2.49476	-1.81259	-1.49004	-1.49035	 0.65476	 0.96422	 0.98781	 0.89036	 0.76353	 0.63445	 0.51197	 0.41014	 0.31194	 0.24264	 0.16244	 0.07961	 0.02357	-0.01760	-0.02791	-0.01969	 0.01416	 0.04376	 0.07977	 0.13161	 0.14995	-0.27085	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99687	 0.99303	 0.98604	 0.97403	 0.95542	 0.92633	 0.89038	 0.84730	 0.82456	 0.80448	 0.78250	 0.76122	 0.74245	 0.72262	 0.70587	 0.69060	 0.67741	 0.66703	 0.65992	 0.65563	 0.65269	 0.65125	 0.65213	 0.65518	 0.65879	 0.66482	 0.67145	 0.67954	 0.68669	 0.69683	 0.70664	 0.71488	 0.72666	 0.73712	 0.74840	 0.75938	 0.77007	 0.78016	 0.79197	 0.80172	 0.82385	 0.84452	 0.86402	 0.88432	 0.90374	 0.92028	 0.93701	 0.94906	 0.96893	 0.98351	 0.99162	 0.99592	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04048	 0.04278	 0.03874	 0.00420	 0.02649	 0.00509	-0.03320	-0.05864	-0.06891	-0.06822	-0.06098	-0.04880	-0.03211	-0.02280	-0.03384	-0.04980	
       5	  11.005	  1.0667	-0.123231	 -0.0577	0.082673	  1.0706	  1.0784	0.042818	  250.83	   0.000	2.928E+6	   0.232	 3781.24	   81.86	  1572.4	 1004.26	   36.83	-0.33718	-0.39959	-0.40843	-0.41040	-0.40992	-0.40914	-0.40557	-0.40208	-0.39804	-0.39932	-0.40848	-0.43317	-0.49299	-0.60402	-0.76213	-0.92759	-1.07600	-1.19355	-1.29389	-1.38873	-1.45636	-1.53340	-1.58492	-1.65854	-1.78758	-1.80834	-1.85877	-1.98063	-2.12435	-2.19072	-2.22819	-2.29954	-2.42412	-2.61939	-2.84620	-2.94154	-2.95590	-2.79816	-2.10623	-1.78706	-1.78733	 0.56222	 0.93589	 0.99648	 0.91753	 0.79831	 0.67189	 0.54928	 0.44552	 0.34468	 0.27153	 0.18822	 0.10147	 0.04126	-0.00479	-0.02018	-0.01666	 0.01231	 0.03695	 0.06819	 0.11584	 0.12156	-0.32985	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99541	 0.98976	 0.98178	 0.96983	 0.95205	 0.92803	 0.89423	 0.85680	 0.81436	 0.79268	 0.77440	 0.75417	 0.73467	 0.71706	 0.69657	 0.68068	 0.66429	 0.64880	 0.63508	 0.62454	 0.61462	 0.60566	 0.59744	 0.59084	 0.58731	 0.58252	 0.58391	 0.58340	 0.58506	 0.58409	 0.58994	 0.59412	 0.59688	 0.60407	 0.60988	 0.61813	 0.62567	 0.63469	 0.64316	 0.65587	 0.66425	 0.68727	 0.71289	 0.73729	 0.76551	 0.79341	 0.81972	 0.84858	 0.87214	 0.91298	 0.94529	 0.96724	 0.98295	 0.99234	 1.00000	 1.00000	 1.00000	 1.00000	 0.03389	 0.03702	 0.03383	-0.00120	 0.01574	-0.01262	-0.05534	-0.08368	-0.09383	-0.09332	-0.08535	-0.07248	-0.05350	-0.03305	-0.03990	-0.05664	
       6	  11.999	  1.1006	-0.112119	 -0.0620	0.119128	  1.0998	  1.1129	0.057562	  200.00	   0.000	2.917E+6	   0.231	 3753.96	   81.57	  1561.4	 1004.23	   36.91	-0.40356	-0.46064	-0.46555	-0.46361	-0.46040	-0.45788	-0.45369	-0.44957	-0.44515	-0.44233	-0.44399	-0.45317	-0.48852	-0.56783	-0.70189	-0.86239	-1.01987	-1.14934	-1.26286	-1.36898	-1.44679	-1.53487	-1.59651	-1.68042	-1.81726	-1.84928	-1.91171	-2.04501	-2.20294	-2.28514	-2.33980	-2.43128	-2.57138	-2.79089	-3.07205	-3.20425	-3.25981	-3.13628	-2.43428	-2.12009	-2.12036	 0.45291	 0.89734	 0.99957	 0.94145	 0.83124	 0.70831	 0.58616	 0.48076	 0.37750	 0.30091	 0.21442	 0.12440	 0.06023	 0.00956	-0.01070	-0.01151	 0.01276	 0.03313	 0.06029	 0.10449	 0.09920	-0.37753	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99687	 0.98859	 0.97913	 0.96828	 0.95256	 0.93196	 0.90466	 0.86878	 0.82975	 0.78421	 0.75866	 0.73638	 0.71283	 0.68998	 0.66803	 0.63848	 0.61895	 0.59484	 0.57085	 0.54918	 0.53226	 0.51217	 0.49432	 0.47681	 0.45900	 0.44761	 0.43111	 0.42596	 0.41603	 0.41023	 0.39848	 0.40012	 0.39783	 0.39602	 0.39932	 0.40050	 0.40646	 0.41090	 0.41846	 0.42542	 0.44063	 0.44929	 0.47508	 0.50990	 0.54309	 0.58408	 0.62622	 0.66804	 0.71698	 0.75712	 0.83171	 0.89392	 0.93656	 0.96593	 0.98322	 0.99699	 1.00000	 1.00000	 1.00000	 0.02442	 0.02834	 0.02559	-0.01038	 0.00201	-0.03498	-0.08688	-0.11587	-0.12106	-0.11789	-0.10424	-0.08581	-0.06163	-0.03948	-0.04818	-0.06628	
