   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   3.992	  0.7120	-0.034517	 -0.0702	0.015142	  0.7127	  0.7131	0.009953	  229.19	   0.000	2.953E+6	   0.235	 3850.77	   82.89	  1600.4	  993.89	   35.73	 0.07556	 0.03313	-0.01492	-0.07298	-0.14026	-0.22125	-0.31241	-0.40570	-0.50437	-0.59957	-0.69532	-0.79362	-0.88190	-0.95743	-1.02774	-1.09487	-1.13759	-1.16334	-1.17366	-1.19235	-1.19113	-1.19496	-1.18533	-1.18320	-1.15873	-1.13426	-1.11146	-1.13639	-1.16400	-1.11512	-1.04406	-1.09799	-1.06754	-1.00007	-0.92413	-0.76259	-0.53167	-0.21493	 0.24877	 0.50099	 0.50183	 0.99401	 0.83279	 0.60783	 0.42361	 0.31204	 0.19817	 0.09262	 0.03300	-0.03959	-0.09804	-0.14316	-0.19546	-0.21644	-0.22190	-0.19404	-0.14952	-0.07742	-0.01262	 0.05606	 0.13614	 0.23686	 0.07319	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99592	 0.98956	 0.97876	 0.96076	 0.93393	 0.89979	 0.86150	 0.81906	 0.78003	 0.74429	 0.71957	 0.70867	 0.71166	 0.72373	 0.74814	 0.77921	 0.82074	 0.85822	 0.89609	 0.92445	 0.95328	 0.97387	 0.98649	 0.99397	 0.99769	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03718	 0.03913	 0.03452	 0.00417	 0.02703	 0.02512	 0.02019	 0.00852	 0.00559	 0.01353	 0.00990	 0.00652	 0.00398	-0.00556	-0.01397	-0.02403	
       2	   6.008	  0.8862	-0.073803	 -0.0655	0.019366	  0.8891	  0.8897	0.013185	  230.84	   0.000	2.961E+6	   0.236	 3874.82	   83.17	  1610.1	  993.87	   35.88	-0.00065	-0.03419	-0.06204	-0.09647	-0.14051	-0.20448	-0.28938	-0.38631	-0.49498	-0.60262	-0.71184	-0.82379	-0.92706	-1.01845	-1.10388	-1.18600	-1.24419	-1.28496	-1.31089	-1.34506	-1.35832	-1.37986	-1.38574	-1.40309	-1.39514	-1.38866	-1.38744	-1.43923	-1.49903	-1.48041	-1.44162	-1.53879	-1.56036	-1.55810	-1.55240	-1.44763	-1.26399	-0.96195	-0.39345	-0.08411	-0.08385	 0.97448	 0.97070	 0.81524	 0.64177	 0.51445	 0.38547	 0.27086	 0.19468	 0.10971	 0.03934	-0.01859	-0.08211	-0.11582	-0.13476	-0.12099	-0.08943	-0.03143	 0.02149	 0.07872	 0.14932	 0.22753	-0.00611	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99730	 0.99330	 0.98872	 0.97982	 0.96676	 0.95096	 0.92799	 0.90053	 0.86851	 0.83295	 0.79762	 0.76628	 0.73825	 0.71800	 0.70444	 0.70080	 0.70598	 0.72200	 0.73924	 0.76439	 0.79192	 0.82611	 0.85607	 0.88643	 0.91014	 0.93596	 0.95627	 0.97121	 0.98243	 0.98993	 0.99449	 0.99754	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04271	 0.04389	 0.03864	 0.00630	 0.02989	 0.02714	 0.01520	 0.00212	 0.00132	 0.01163	 0.00939	 0.00512	 0.00160	-0.00964	-0.01959	-0.03114	
       3	   8.006	  1.0025	-0.102740	 -0.0580	0.037899	  1.0071	  1.0096	0.019614	  229.24	   0.000	2.948E+6	   0.235	 3846.26	   82.87	  1598.6	  993.87	   35.98	-0.11454	-0.15837	-0.17002	-0.18446	-0.19857	-0.22030	-0.25473	-0.31259	-0.40391	-0.51559	-0.63925	-0.76865	-0.89267	-1.00566	-1.11080	-1.21067	-1.28780	-1.34620	-1.39083	-1.44235	-1.47203	-1.51240	-1.53532	-1.57352	-1.58373	-1.59663	-1.61848	-1.69644	-1.78827	-1.80178	-1.80016	-1.95077	-2.00720	-2.05920	-2.15767	-2.12427	-2.00865	-1.74992	-1.10940	-0.77232	-0.77255	 0.85060	 1.00000	 0.93162	 0.78776	 0.66020	 0.52827	 0.40747	 0.31980	 0.22725	 0.14697	 0.07845	 0.00552	-0.03952	-0.07040	-0.06948	-0.04965	-0.00452	 0.03670	 0.08325	 0.14446	 0.19671	-0.14457	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99689	 0.99131	 0.98002	 0.96135	 0.93286	 0.91526	 0.89806	 0.87698	 0.85392	 0.83196	 0.80616	 0.78078	 0.75564	 0.73112	 0.70912	 0.69114	 0.67602	 0.66432	 0.65551	 0.65103	 0.65075	 0.65434	 0.66057	 0.66988	 0.68170	 0.69743	 0.71396	 0.73265	 0.74916	 0.77065	 0.79218	 0.81297	 0.83369	 0.85368	 0.87240	 0.89067	 0.90645	 0.93844	 0.95911	 0.97416	 0.98537	 0.99242	 0.99637	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04386	 0.04515	 0.04006	 0.00605	 0.03096	 0.01930	-0.00955	-0.01146	-0.00814	 0.00605	 0.00646	 0.00160	-0.00283	-0.01601	-0.02772	-0.04085	
       4	  10.004	  1.0621	-0.122844	 -0.0582	0.063541	  1.0673	  1.0726	0.033866	  230.85	   0.000	2.943E+6	   0.235	 3835.02	   82.77	  1594.0	  993.86	   36.09	-0.27154	-0.33199	-0.34206	-0.34770	-0.35171	-0.35492	-0.35655	-0.35830	-0.36321	-0.37826	-0.41730	-0.50164	-0.64357	-0.80441	-0.95642	-1.09394	-1.20752	-1.29646	-1.37066	-1.44657	-1.49897	-1.56263	-1.60604	-1.66733	-1.69802	-1.73205	-1.77864	-1.88117	-2.00269	-2.04878	-2.08533	-2.28370	-2.38761	-2.48612	-2.67591	-2.72059	-2.68246	-2.48232	-1.80062	-1.45570	-1.45644	 0.67076	 0.97153	 0.98462	 0.87910	 0.76050	 0.63236	 0.50928	 0.41276	 0.31539	 0.22970	 0.15325	 0.07162	 0.01714	-0.02396	-0.03425	-0.02492	 0.00915	 0.03960	 0.07560	 0.12733	 0.14890	-0.27365	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99823	 0.99495	 0.98918	 0.98003	 0.96459	 0.94273	 0.90962	 0.87049	 0.82458	 0.80102	 0.78069	 0.75828	 0.73674	 0.71843	 0.69794	 0.68161	 0.66615	 0.65222	 0.64108	 0.63294	 0.62705	 0.62264	 0.61954	 0.61926	 0.62092	 0.62329	 0.62850	 0.63413	 0.64197	 0.64806	 0.65818	 0.66750	 0.67577	 0.68779	 0.69892	 0.71090	 0.72273	 0.73541	 0.74703	 0.76100	 0.77221	 0.79951	 0.82469	 0.84774	 0.87161	 0.89454	 0.91365	 0.93325	 0.94760	 0.97101	 0.98591	 0.99339	 0.99723	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03905	 0.04144	 0.03763	 0.00253	 0.02207	-0.00407	-0.04145	-0.05963	-0.06424	-0.05835	-0.04736	-0.03521	-0.02278	-0.02341	-0.03617	-0.05171	
       5	  11.004	  1.0697	-0.139963	 -0.0542	0.066805	  1.0768	  1.0822	0.039142	  229.24	   0.000	2.930E+6	   0.234	 3806.30	   82.47	  1582.5	  993.87	   36.21	-0.33276	-0.38493	-0.38899	-0.38815	-0.38637	-0.38509	-0.38215	-0.37929	-0.37679	-0.37872	-0.39019	-0.42088	-0.50393	-0.65040	-0.82045	-0.98229	-1.12126	-1.23133	-1.32493	-1.41636	-1.48277	-1.55986	-1.61509	-1.68903	-1.73109	-1.77669	-1.83630	-1.95082	-2.08701	-2.14994	-2.20640	-2.42698	-2.55493	-2.67655	-2.90891	-2.99682	-3.00027	-2.83468	-2.14125	-1.79738	-1.79825	 0.56573	 0.94039	 0.99581	 0.91174	 0.79967	 0.67455	 0.55168	 0.45240	 0.35199	 0.26059	 0.18161	 0.09970	 0.04076	-0.00557	-0.02112	-0.01683	 0.01221	 0.03747	 0.06845	 0.11578	 0.12401	-0.31958	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99687	 0.98948	 0.97914	 0.96539	 0.94624	 0.91855	 0.88349	 0.83769	 0.79099	 0.74372	 0.72126	 0.70342	 0.68473	 0.66817	 0.65493	 0.63960	 0.63099	 0.62305	 0.61654	 0.61244	 0.61214	 0.61278	 0.61436	 0.61729	 0.62237	 0.62881	 0.63611	 0.64504	 0.65434	 0.66517	 0.67408	 0.68684	 0.69837	 0.70821	 0.72171	 0.73396	 0.74722	 0.75946	 0.77167	 0.78349	 0.79707	 0.80831	 0.83350	 0.85591	 0.87667	 0.89776	 0.91714	 0.93325	 0.94888	 0.96035	 0.97798	 0.98886	 0.99469	 0.99781	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03410	 0.03754	 0.03490	-0.00212	 0.01208	-0.02137	-0.06521	-0.08734	-0.09328	-0.09039	-0.07802	-0.05984	-0.03809	-0.02633	-0.03965	-0.05744	
       6	  12.002	  1.0993	-0.116907	 -0.0555	0.114246	  1.0996	  1.1134	0.049345	  280.00	   0.000	2.920E+6	   0.233	 3782.57	   82.22	  1572.9	  993.87	   36.27	-0.38109	-0.42872	-0.43028	-0.42688	-0.42311	-0.42019	-0.41704	-0.41372	-0.41006	-0.40908	-0.41459	-0.43014	-0.47612	-0.57737	-0.73081	-0.89849	-1.05305	-1.17903	-1.28870	-1.39327	-1.47192	-1.56127	-1.62760	-1.71353	-1.76691	-1.82383	-1.89678	-2.02306	-2.17378	-2.25443	-2.33200	-2.57507	-2.72766	-2.87746	-3.14554	-3.28647	-3.33485	-3.20907	-2.50722	-2.16664	-2.16778	 0.44359	 0.89766	 1.00000	 0.93992	 0.83628	 0.71548	 0.59375	 0.49291	 0.39040	 0.29465	 0.21046	 0.12807	 0.06468	 0.01487	-0.00503	-0.00502	 0.01958	 0.03896	 0.06509	 0.10908	 0.10726	-0.35734	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99197	 0.97587	 0.96030	 0.94258	 0.92120	 0.89302	 0.85889	 0.81591	 0.77089	 0.72164	 0.69592	 0.67282	 0.64915	 0.62698	 0.60538	 0.57534	 0.55776	 0.53526	 0.51282	 0.49298	 0.47921	 0.46367	 0.44862	 0.43541	 0.42405	 0.41787	 0.40862	 0.40832	 0.40406	 0.40513	 0.40021	 0.40648	 0.40977	 0.41328	 0.42292	 0.42922	 0.44022	 0.45177	 0.46525	 0.47719	 0.49739	 0.51085	 0.54757	 0.58722	 0.62637	 0.66891	 0.71173	 0.75343	 0.79780	 0.83272	 0.89318	 0.94001	 0.96877	 0.98603	 0.99396	 1.00000	 1.00000	 1.00000	 1.00000	 0.02854	 0.03238	 0.02986	-0.00966	-0.00458	-0.04421	-0.08785	-0.11002	-0.11270	-0.10010	-0.07892	-0.05959	-0.04204	-0.03991	-0.05257	-0.06931	
       7	  13.000	  1.1137	-0.142936	 -0.0551	0.111242	  1.1173	  1.1295	0.058333	  280.00	   0.000	2.908E+6	   0.232	 3751.52	   81.89	  1560.4	  993.88	   36.33	-0.40786	-0.46062	-0.46408	-0.45999	-0.45462	-0.44997	-0.44398	-0.43841	-0.43274	-0.42914	-0.43095	-0.43726	-0.46054	-0.51521	-0.62431	-0.78045	-0.94989	-1.09572	-1.22676	-1.34799	-1.44148	-1.54514	-1.62371	-1.72246	-1.78749	-1.85659	-1.94258	-2.08084	-2.24535	-2.34344	-2.44192	-2.70524	-2.88187	-3.05973	-3.35494	-3.55232	-3.64605	-3.56061	-2.85585	-2.52202	-2.52329	 0.31896	 0.84929	 0.99910	 0.96108	 0.86661	 0.75038	 0.63037	 0.52830	 0.42424	 0.32577	 0.23839	 0.15276	 0.08252	 0.02700	 0.00234	-0.00096	 0.01572	 0.03909	 0.06270	 0.10427	 0.09594	-0.39096	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99314	 0.97716	 0.94447	 0.91712	 0.89061	 0.85726	 0.81550	 0.77253	 0.71977	 0.66703	 0.61633	 0.59117	 0.57186	 0.55088	 0.53228	 0.51402	 0.48954	 0.48230	 0.47067	 0.45990	 0.45117	 0.44547	 0.44301	 0.43934	 0.43793	 0.43628	 0.44060	 0.44241	 0.45100	 0.45803	 0.46956	 0.47790	 0.49329	 0.50494	 0.51509	 0.53109	 0.54406	 0.55996	 0.57580	 0.59230	 0.60767	 0.62686	 0.64134	 0.67577	 0.71250	 0.74580	 0.78024	 0.81290	 0.84015	 0.86977	 0.89226	 0.93088	 0.95945	 0.97706	 0.98824	 0.99464	 1.00000	 1.00000	 1.00000	 1.00000	 0.02228	 0.02728	 0.02547	-0.01958	-0.02313	-0.06810	-0.11272	-0.13389	-0.13391	-0.12274	-0.10315	-0.08143	-0.05967	-0.04712	-0.05894	-0.07740	
       8	  14.004	  1.1452	-0.124214	 -0.0589	0.156593	  1.1412	  1.1620	0.073008	  280.00	   0.000	2.925E+6	   0.234	 3799.64	   82.43	  1579.8	  993.89	   36.42	-0.45907	-0.50318	-0.50358	-0.49939	-0.49335	-0.48813	-0.48270	-0.47770	-0.47268	-0.46897	-0.46891	-0.47185	-0.48553	-0.51946	-0.59224	-0.71807	-0.87984	-1.03325	-1.17734	-1.31146	-1.41694	-1.53360	-1.62282	-1.73324	-1.81048	-1.89108	-1.99049	-2.14030	-2.31887	-2.43503	-2.55552	-2.83898	-3.04092	-3.25024	-3.56429	-3.82286	-3.96226	-3.91877	-3.21791	-2.89118	-2.89266	 0.18162	 0.79134	 0.99250	 0.97754	 0.89357	 0.78293	 0.66528	 0.56239	 0.45733	 0.35677	 0.26661	 0.17775	 0.10357	 0.04356	 0.01337	 0.00523	 0.01329	 0.03634	 0.05910	 0.09499	 0.08401	-0.42686	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99430	 0.98203	 0.95691	 0.90525	 0.86736	 0.83357	 0.79348	 0.74579	 0.69588	 0.63481	 0.57807	 0.52086	 0.48966	 0.46542	 0.44159	 0.42031	 0.39748	 0.36447	 0.35415	 0.33544	 0.31712	 0.30018	 0.29127	 0.28068	 0.27031	 0.26423	 0.25426	 0.25436	 0.24555	 0.25048	 0.24654	 0.25089	 0.24876	 0.26062	 0.26638	 0.27244	 0.28499	 0.29453	 0.30950	 0.32221	 0.33621	 0.34972	 0.37242	 0.38811	 0.42995	 0.47906	 0.52158	 0.57075	 0.62111	 0.66814	 0.72184	 0.76653	 0.84334	 0.90893	 0.94943	 0.97386	 0.98820	 1.00000	 1.00000	 1.00000	 1.00000	 0.01171	 0.01736	 0.01496	-0.03585	-0.05213	-0.10186	-0.14090	-0.14879	-0.14126	-0.12361	-0.09815	-0.07689	-0.06068	-0.06232	-0.07667	-0.09441	
       9	  15.004	  1.1691	-0.131799	 -0.0628	0.175370	  1.1634	  1.1865	0.088959	  280.00	   0.000	2.910E+6	   0.233	 3761.67	   82.03	  1564.5	  993.89	   36.50	-0.49464	-0.54189	-0.54455	-0.54055	-0.53441	-0.52834	-0.52183	-0.51635	-0.51073	-0.50672	-0.50548	-0.50492	-0.51315	-0.53404	-0.57831	-0.66363	-0.79918	-0.95047	-1.10672	-1.25523	-1.37462	-1.50527	-1.60674	-1.72900	-1.81826	-1.91113	-2.02355	-2.18447	-2.37519	-2.50866	-2.65051	-2.95062	-3.17530	-3.41253	-3.75669	-4.05972	-4.24823	-4.24748	-3.55211	-3.23586	-3.23751	 0.04675	 0.73146	 0.98071	 0.98841	 0.91511	 0.80992	 0.69478	 0.59150	 0.48592	 0.38347	 0.29079	 0.19907	 0.12173	 0.05798	 0.02374	 0.01181	 0.01535	 0.03405	 0.05415	 0.08203	 0.07249	-0.46578	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99525	 0.98676	 0.96479	 0.92641	 0.85478	 0.80627	 0.76582	 0.72048	 0.66591	 0.61088	 0.54589	 0.48810	 0.43127	 0.39890	 0.37351	 0.34964	 0.33230	 0.31230	 0.27933	 0.27543	 0.25873	 0.24309	 0.22945	 0.22270	 0.21278	 0.20244	 0.19803	 0.18870	 0.19120	 0.18358	 0.19188	 0.19109	 0.20005	 0.20077	 0.21521	 0.22400	 0.23350	 0.24697	 0.25940	 0.27777	 0.29405	 0.31240	 0.32895	 0.35456	 0.37352	 0.41951	 0.46977	 0.51228	 0.55952	 0.60641	 0.65279	 0.70636	 0.74982	 0.82552	 0.88631	 0.92874	 0.95927	 0.97880	 0.99573	 1.00000	 1.00000	 1.00000	 0.00032	 0.00677	 0.00182	-0.05804	-0.08765	-0.13401	-0.16860	-0.17260	-0.16248	-0.14364	-0.11711	-0.09515	-0.07870	-0.07832	-0.09272	-0.11095	
