   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   0.004	  0.2654	0.012317	 -0.0688	0.012334	  0.2654	  0.2654	0.007134	  190.80	   0.000	2.953E+6	   0.235	 3825.26	   82.52	  1590.1	  993.63	   34.92	 0.14558	 0.07659	 0.01679	-0.04796	-0.11658	-0.19052	-0.26959	-0.34677	-0.42472	-0.49917	-0.57167	-0.64583	-0.70718	-0.75417	-0.79672	-0.83596	-0.85077	-0.85115	-0.83283	-0.82502	-0.79712	-0.76925	-0.73234	-0.69778	-0.64538	-0.59004	-0.53250	-0.51034	-0.48161	-0.38838	-0.29481	-0.23580	-0.13373	 0.00434	 0.16082	 0.36064	 0.58647	 0.80860	 0.96999	 0.99894	 1.00000	 0.45751	 0.10027	-0.14998	-0.27302	-0.28418	-0.31762	-0.38064	-0.38650	-0.41731	-0.44301	-0.45299	-0.47491	-0.46430	-0.43649	-0.37539	-0.30134	-0.19792	-0.10661	-0.01392	 0.08334	 0.21560	 0.14426	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99762	 0.99106	 0.97366	 0.93978	 0.89166	 0.83647	 0.77966	 0.73242	 0.69901	 0.68879	 0.70156	 0.74023	 0.77901	 0.83274	 0.88232	 0.93263	 0.96429	 0.98545	 0.99406	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02013	 0.02452	 0.02216	-0.00211	 0.01887	 0.01854	 0.01572	 0.01106	 0.00822	 0.01354	 0.01027	 0.00893	 0.00823	 0.00218	-0.00271	-0.00944	
       2	   2.002	  0.4952	-0.004063	 -0.0704	0.013236	  0.4950	  0.4952	0.008445	  189.19	   0.000	2.948E+6	   0.234	 3817.05	   82.44	  1586.8	  993.66	   35.02	 0.11891	 0.06179	 0.00347	-0.06184	-0.13300	-0.21245	-0.29849	-0.38389	-0.47168	-0.55651	-0.64019	-0.72615	-0.80036	-0.86087	-0.91687	-0.96975	-0.99788	-1.01076	-1.00557	-1.01091	-0.99473	-0.98163	-0.95712	-0.93809	-0.89858	-0.85718	-0.81474	-0.81534	-0.81257	-0.73874	-0.65373	-0.64687	-0.57166	-0.46089	-0.33260	-0.14179	 0.10779	 0.40082	 0.72717	 0.88710	 0.88829	 0.83810	 0.54527	 0.28346	 0.11035	 0.03673	-0.04087	-0.12876	-0.16529	-0.21878	-0.26310	-0.29215	-0.33050	-0.33693	-0.32644	-0.28268	-0.22418	-0.13687	-0.05891	 0.02177	 0.11098	 0.22959	 0.11702	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99523	 0.98695	 0.96981	 0.93998	 0.89903	 0.85156	 0.79969	 0.75413	 0.71733	 0.69877	 0.69985	 0.72255	 0.75048	 0.79338	 0.83812	 0.88934	 0.92734	 0.95869	 0.97694	 0.99084	 0.99703	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02877	 0.03186	 0.02834	 0.00115	 0.02282	 0.02160	 0.01787	 0.01014	 0.00716	 0.01355	 0.00947	 0.00718	 0.00549	-0.00228	-0.00892	-0.01736	
       3	   3.996	  0.7071	-0.033788	 -0.0695	0.015571	  0.7078	  0.7082	0.009856	  190.85	   0.000	2.961E+6	   0.235	 3856.11	   82.89	  1602.5	  993.67	   35.21	 0.07261	 0.03090	-0.01624	-0.07319	-0.13956	-0.21961	-0.31031	-0.40326	-0.50101	-0.59675	-0.69236	-0.79059	-0.87857	-0.95345	-1.02363	-1.09110	-1.13370	-1.16045	-1.16981	-1.18987	-1.18692	-1.19026	-1.17986	-1.17880	-1.15452	-1.12971	-1.10542	-1.13244	-1.16056	-1.11246	-1.05186	-1.08395	-1.06047	-0.99724	-0.91922	-0.76714	-0.53078	-0.21332	 0.25295	 0.50444	 0.50526	 0.99323	 0.83042	 0.60490	 0.41483	 0.30391	 0.19129	 0.09036	 0.03004	-0.04047	-0.10007	-0.14534	-0.19747	-0.21885	-0.22387	-0.19597	-0.15174	-0.07988	-0.01478	 0.05408	 0.13409	 0.23456	 0.06917	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99831	 0.99545	 0.98914	 0.97815	 0.96024	 0.93354	 0.89986	 0.86171	 0.81922	 0.77994	 0.74374	 0.71761	 0.70493	 0.70646	 0.71747	 0.74084	 0.77042	 0.81114	 0.84818	 0.88623	 0.91560	 0.94627	 0.96873	 0.98336	 0.99222	 0.99678	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03656	 0.03855	 0.03406	 0.00410	 0.02659	 0.02485	 0.01979	 0.00773	 0.00505	 0.01333	 0.00983	 0.00649	 0.00397	-0.00547	-0.01376	-0.02386	
       4	   6.001	  0.8787	-0.072252	 -0.0648	0.020012	  0.8814	  0.8822	0.013106	  189.24	   0.000	2.958E+6	   0.235	 3856.46	   82.93	  1602.7	  993.69	   35.48	-0.00473	-0.03746	-0.06489	-0.09881	-0.14168	-0.20338	-0.28679	-0.38277	-0.49026	-0.59828	-0.70719	-0.81894	-0.92187	-1.01236	-1.09754	-1.17979	-1.23786	-1.27947	-1.30425	-1.33990	-1.35121	-1.37204	-1.37710	-1.39475	-1.38746	-1.38073	-1.37665	-1.43065	-1.49143	-1.47392	-1.44426	-1.52760	-1.54788	-1.54683	-1.53856	-1.44791	-1.25570	-0.95309	-0.38082	-0.07409	-0.07391	 0.97530	 0.96827	 0.81149	 0.63354	 0.50624	 0.37909	 0.26620	 0.18990	 0.10656	 0.03575	-0.02265	-0.08580	-0.11984	-0.13839	-0.12432	-0.09301	-0.03503	 0.01817	 0.07585	 0.14644	 0.22444	-0.00921	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99725	 0.99332	 0.98864	 0.98008	 0.96763	 0.95219	 0.92975	 0.90301	 0.87125	 0.83518	 0.79962	 0.76748	 0.73830	 0.71647	 0.70104	 0.69534	 0.69871	 0.71248	 0.72805	 0.75219	 0.77885	 0.81260	 0.84263	 0.87359	 0.89792	 0.92520	 0.94742	 0.96438	 0.97752	 0.98653	 0.99234	 0.99621	 0.99824	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04182	 0.04318	 0.03811	 0.00585	 0.02951	 0.02709	 0.01469	 0.00108	 0.00065	 0.01144	 0.00955	 0.00534	 0.00177	-0.00950	-0.01947	-0.03120	
       5	   6.001	  0.8784	-0.072202	 -0.0648	0.020033	  0.8812	  0.8819	0.013116	  190.77	   0.000	2.957E+6	   0.235	 3856.50	   82.94	  1602.7	  993.70	   35.59	-0.00450	-0.03724	-0.06475	-0.09878	-0.14163	-0.20325	-0.28661	-0.38259	-0.49004	-0.59812	-0.70701	-0.81870	-0.92167	-1.01222	-1.09733	-1.17945	-1.23760	-1.27923	-1.30406	-1.33969	-1.35095	-1.37177	-1.37681	-1.39453	-1.38726	-1.38039	-1.37627	-1.43027	-1.49106	-1.47345	-1.44383	-1.52721	-1.54744	-1.54618	-1.53775	-1.44708	-1.25465	-0.95201	-0.37974	-0.07318	-0.07293	 0.97543	 0.96821	 0.81132	 0.63334	 0.50603	 0.37886	 0.26600	 0.18976	 0.10646	 0.03559	-0.02274	-0.08591	-0.11991	-0.13842	-0.12433	-0.09306	-0.03506	 0.01816	 0.07587	 0.14649	 0.22450	-0.00938	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99728	 0.99355	 0.98902	 0.98063	 0.96820	 0.95276	 0.93062	 0.90391	 0.87225	 0.83674	 0.80110	 0.76896	 0.73983	 0.71727	 0.70116	 0.69500	 0.69788	 0.71092	 0.72658	 0.75016	 0.77671	 0.81025	 0.84058	 0.87166	 0.89598	 0.92358	 0.94629	 0.96383	 0.97725	 0.98654	 0.99245	 0.99629	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04182	 0.04315	 0.03807	 0.00582	 0.02944	 0.02701	 0.01475	 0.00109	 0.00069	 0.01137	 0.00953	 0.00533	 0.00178	-0.00944	-0.01935	-0.03103	
       6	   8.006	  0.9943	-0.102287	 -0.0569	0.037202	  0.9989	  1.0014	0.019027	  189.16	   0.000	2.958E+6	   0.236	 3866.18	   83.07	  1606.6	  993.71	   35.78	-0.12039	-0.16015	-0.17001	-0.18281	-0.19690	-0.21823	-0.25063	-0.30563	-0.39506	-0.50773	-0.63243	-0.76259	-0.88699	-0.99942	-1.10443	-1.20445	-1.28160	-1.34093	-1.38416	-1.43748	-1.46528	-1.50486	-1.52699	-1.56495	-1.57600	-1.58939	-1.60728	-1.68772	-1.78089	-1.79659	-1.80386	-1.93760	-2.00367	-2.06008	-2.14207	-2.12670	-1.99990	-1.74158	-1.09440	-0.76139	-0.76170	 0.85296	 1.00000	 0.92924	 0.78204	 0.65376	 0.52335	 0.40319	 0.31370	 0.22386	 0.14312	 0.07429	 0.00169	-0.04365	-0.07425	-0.07300	-0.05346	-0.00818	 0.03319	 0.08022	 0.14132	 0.19299	-0.13937	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99667	 0.99065	 0.97838	 0.95849	 0.92886	 0.91090	 0.89266	 0.87037	 0.84634	 0.82324	 0.79679	 0.77127	 0.74587	 0.72164	 0.70013	 0.68298	 0.66906	 0.65866	 0.65171	 0.64963	 0.65157	 0.65853	 0.66710	 0.67879	 0.69250	 0.71051	 0.72858	 0.74895	 0.76652	 0.78932	 0.81114	 0.83198	 0.85265	 0.87173	 0.88903	 0.90578	 0.92022	 0.94889	 0.96679	 0.97913	 0.98808	 0.99394	 0.99723	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04277	 0.04431	 0.03955	 0.00583	 0.03085	 0.01925	-0.01167	-0.01599	-0.01209	 0.00291	 0.00677	 0.00290	-0.00159	-0.01520	-0.02714	-0.04057	
       7	  10.008	  1.0706	-0.119286	 -0.0569	0.068587	  1.0751	  1.0812	0.033772	  190.76	   0.000	2.949E+6	   0.235	 3846.25	   82.87	  1598.6	  993.72	   35.91	-0.24897	-0.30814	-0.31633	-0.32259	-0.32931	-0.33470	-0.34042	-0.34829	-0.36360	-0.39748	-0.46145	-0.56620	-0.70942	-0.85911	-0.99980	-1.12908	-1.23589	-1.32040	-1.38838	-1.46349	-1.51165	-1.57250	-1.61389	-1.67317	-1.70369	-1.73856	-1.77969	-1.88454	-2.00779	-2.05705	-2.10339	-2.28407	-2.39259	-2.51254	-2.67780	-2.74245	-2.69168	-2.49475	-1.80237	-1.46276	-1.46354	 0.67020	 0.97106	 0.98403	 0.87671	 0.75731	 0.62959	 0.50773	 0.40981	 0.31459	 0.22785	 0.15058	 0.06975	 0.01497	-0.02570	-0.03557	-0.02641	 0.00795	 0.03903	 0.07605	 0.12849	 0.15401	-0.27242	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99819	 0.99450	 0.98854	 0.97893	 0.96437	 0.94318	 0.91134	 0.87224	 0.82666	 0.80274	 0.78176	 0.75939	 0.73793	 0.71852	 0.69773	 0.68053	 0.66401	 0.64911	 0.63696	 0.62865	 0.62150	 0.61628	 0.61349	 0.61249	 0.61326	 0.61486	 0.61933	 0.62381	 0.62989	 0.63495	 0.64396	 0.65188	 0.65856	 0.66917	 0.67861	 0.68958	 0.70011	 0.71038	 0.72056	 0.73363	 0.74341	 0.76743	 0.79108	 0.81231	 0.83490	 0.85702	 0.87751	 0.89954	 0.91655	 0.94656	 0.96930	 0.98315	 0.99223	 0.99723	 1.00000	 1.00000	 1.00000	 1.00000	 0.03841	 0.04097	 0.03738	 0.00227	 0.02126	-0.00676	-0.04197	-0.05393	-0.05449	-0.04388	-0.03248	-0.02398	-0.01660	-0.02314	-0.03660	-0.05217	
       8	  11.003	  1.0739	-0.152466	 -0.0539	0.055315	  1.0833	  1.0864	0.039309	  150.00	   0.000	2.935E+6	   0.234	 3817.48	   82.59	  1587.0	  993.74	   36.14	-0.32067	-0.37566	-0.38076	-0.38144	-0.38106	-0.38111	-0.37972	-0.37814	-0.37646	-0.38164	-0.39801	-0.43804	-0.53237	-0.68146	-0.84767	-1.00459	-1.13953	-1.24695	-1.33601	-1.42751	-1.49031	-1.56541	-1.61897	-1.69109	-1.73336	-1.78003	-1.83397	-1.95072	-2.08852	-2.15456	-2.22172	-2.42314	-2.55488	-2.70318	-2.90700	-3.01259	-3.00179	-2.84012	-2.13537	-1.79851	-1.79947	 0.56774	 0.94116	 0.99545	 0.90925	 0.79621	 0.67125	 0.54959	 0.44916	 0.35083	 0.26159	 0.18158	 0.09661	 0.03744	-0.00804	-0.02334	-0.01904	 0.01011	 0.03607	 0.06790	 0.11569	 0.12603	-0.31953	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99781	 0.98850	 0.97682	 0.96178	 0.94074	 0.91079	 0.87189	 0.82104	 0.76871	 0.71876	 0.69721	 0.68015	 0.66431	 0.65190	 0.64264	 0.63397	 0.63063	 0.62936	 0.63085	 0.63504	 0.64134	 0.65125	 0.66154	 0.67325	 0.68702	 0.70065	 0.71642	 0.73069	 0.74644	 0.76152	 0.77617	 0.79094	 0.80524	 0.81634	 0.83034	 0.84232	 0.85379	 0.86391	 0.87365	 0.88212	 0.89142	 0.89822	 0.91222	 0.92416	 0.93422	 0.94398	 0.95318	 0.96036	 0.96789	 0.97371	 0.98345	 0.99032	 0.99457	 0.99703	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03395	 0.03772	 0.03566	-0.00223	 0.01024	-0.02481	-0.06764	-0.08482	-0.08613	-0.07999	-0.06641	-0.04852	-0.02823	-0.02238	-0.03809	-0.05656	
       9	  11.005	  1.0712	-0.151887	 -0.0539	0.055400	  1.0805	  1.0837	0.039185	  189.20	   0.000	2.931E+6	   0.234	 3813.06	   82.57	  1585.2	  993.76	   36.32	-0.32146	-0.37694	-0.38267	-0.38350	-0.38327	-0.38286	-0.38113	-0.37969	-0.37760	-0.38235	-0.39711	-0.43382	-0.52286	-0.66861	-0.83523	-0.99384	-1.13068	-1.23966	-1.32992	-1.42221	-1.48567	-1.56132	-1.61540	-1.68778	-1.73033	-1.77724	-1.83147	-1.94817	-2.08617	-2.15231	-2.21944	-2.42058	-2.55264	-2.70109	-2.90486	-3.01023	-2.99951	-2.83798	-2.13367	-1.79662	-1.79755	 0.56820	 0.94129	 0.99555	 0.90926	 0.79622	 0.67117	 0.54956	 0.44914	 0.35077	 0.26156	 0.18157	 0.09662	 0.03737	-0.00809	-0.02343	-0.01913	 0.01002	 0.03596	 0.06776	 0.11545	 0.12563	-0.31934	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99789	 0.98842	 0.97660	 0.96072	 0.93825	 0.90708	 0.86798	 0.81670	 0.76564	 0.71502	 0.69303	 0.67620	 0.65999	 0.64715	 0.63741	 0.62848	 0.62533	 0.62424	 0.62552	 0.62959	 0.63574	 0.64444	 0.65390	 0.66606	 0.68061	 0.69484	 0.71071	 0.72492	 0.74057	 0.75584	 0.77064	 0.78609	 0.80031	 0.81134	 0.82545	 0.83794	 0.84977	 0.86080	 0.87146	 0.88109	 0.89110	 0.89910	 0.91546	 0.92884	 0.94031	 0.95125	 0.96033	 0.96813	 0.97526	 0.98043	 0.98837	 0.99356	 0.99621	 0.99802	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03373	 0.03744	 0.03518	-0.00253	 0.00998	-0.02374	-0.06567	-0.08335	-0.08634	-0.08194	-0.07106	-0.05349	-0.03340	-0.02463	-0.03893	-0.05724	
