   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   0.004	  0.2693	0.011759	 -0.0698	0.011776	  0.2693	  0.2693	0.007707	  219.16	   0.000	2.963E+6	   0.237	 3896.29	   83.47	  1618.7	  993.52	   36.27	 0.14829	 0.07761	 0.01696	-0.04854	-0.11776	-0.19212	-0.27145	-0.34897	-0.42732	-0.50140	-0.57452	-0.64926	-0.71018	-0.75744	-0.79896	-0.83926	-0.85348	-0.85438	-0.83652	-0.82713	-0.79908	-0.77227	-0.73464	-0.69780	-0.64586	-0.58535	-0.52469	-0.49555	-0.53817	-0.42770	-0.31642	-0.20569	-0.09835	 0.02555	 0.17479	 0.37017	 0.59085	 0.80903	 0.97014	 0.99971	 1.00000	 0.46676	 0.12186	-0.12289	-0.21528	-0.28899	-0.37156	-0.37445	-0.38018	-0.41761	-0.44134	-0.45105	-0.47397	-0.46328	-0.43635	-0.37416	-0.30063	-0.19570	-0.10544	-0.01280	 0.08589	 0.22104	 0.14770	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99788	 0.99175	 0.97494	 0.94089	 0.89190	 0.83642	 0.77965	 0.73329	 0.70209	 0.69608	 0.71291	 0.75556	 0.79642	 0.85066	 0.89943	 0.94637	 0.97383	 0.99052	 0.99658	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02032	 0.02473	 0.02219	-0.00278	 0.01886	 0.01838	 0.01554	 0.01091	 0.00827	 0.01320	 0.00991	 0.00852	 0.00783	 0.00165	-0.00331	-0.01003	
       2	   2.000	  0.5021	-0.004938	 -0.0718	0.012589	  0.5019	  0.5021	0.008977	  220.86	   0.000	2.963E+6	   0.237	 3900.20	   83.53	  1620.3	  993.52	   36.41	 0.12389	 0.06422	 0.00427	-0.06265	-0.13503	-0.21532	-0.30186	-0.38770	-0.47593	-0.56044	-0.64479	-0.73139	-0.80515	-0.86595	-0.92103	-0.97487	-1.00257	-1.01621	-1.01113	-1.01492	-0.99872	-0.98692	-0.96187	-0.94131	-0.90178	-0.85473	-0.81042	-0.80401	-0.88519	-0.79466	-0.69285	-0.61221	-0.52707	-0.42917	-0.30991	-0.12426	 0.11626	 0.40248	 0.72621	 0.88557	 0.88619	 0.84343	 0.55861	 0.30285	 0.15121	 0.03346	-0.07753	-0.11784	-0.15725	-0.21639	-0.25965	-0.28887	-0.32806	-0.33436	-0.32454	-0.27995	-0.22182	-0.13313	-0.05636	 0.02403	 0.11453	 0.23545	 0.12291	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99592	 0.98832	 0.97183	 0.94219	 0.90084	 0.85252	 0.80071	 0.75537	 0.72000	 0.70380	 0.70819	 0.73481	 0.76560	 0.81045	 0.85565	 0.90556	 0.94116	 0.96904	 0.98394	 0.99418	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02935	 0.03237	 0.02860	 0.00090	 0.02285	 0.02150	 0.01784	 0.01034	 0.00747	 0.01337	 0.00923	 0.00687	 0.00522	-0.00260	-0.00921	-0.01753	
       3	   3.992	  0.7222	-0.035801	 -0.0717	0.014568	  0.7229	  0.7232	0.010338	  219.17	   0.000	2.961E+6	   0.237	 3898.26	   83.52	  1619.5	  993.51	   36.53	 0.08439	 0.03915	-0.01245	-0.07396	-0.14430	-0.22728	-0.31949	-0.41329	-0.51165	-0.60708	-0.70328	-0.80220	-0.88984	-0.96497	-1.03422	-1.10266	-1.14495	-1.17255	-1.18191	-1.20060	-1.19779	-1.20256	-1.19211	-1.18984	-1.16552	-1.13447	-1.10944	-1.12971	-1.25518	-1.18780	-1.11103	-1.05122	-1.01553	-0.97246	-0.90303	-0.75211	-0.52866	-0.22079	 0.24092	 0.49200	 0.49205	 0.99520	 0.84192	 0.62287	 0.44843	 0.30641	 0.17357	 0.10506	 0.04156	-0.03373	-0.09286	-0.13832	-0.19095	-0.21246	-0.21807	-0.18979	-0.14609	-0.07362	-0.00952	 0.05887	 0.13964	 0.24161	 0.08247	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99578	 0.98924	 0.97769	 0.95826	 0.92944	 0.89319	 0.85306	 0.80988	 0.77087	 0.73728	 0.71622	 0.70943	 0.71827	 0.73529	 0.76457	 0.79907	 0.84324	 0.88084	 0.91734	 0.94305	 0.96763	 0.98370	 0.99269	 0.99721	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03752	 0.03945	 0.03463	 0.00399	 0.02679	 0.02491	 0.01993	 0.00867	 0.00601	 0.01356	 0.00938	 0.00593	 0.00339	-0.00621	-0.01460	-0.02471	
       4	   6.008	  0.9093	-0.077464	 -0.0683	0.018140	  0.9124	  0.9129	0.013364	  220.81	   0.000	2.962E+6	   0.237	 3903.59	   83.59	  1621.6	  993.52	   36.64	 0.01994	-0.01465	-0.04833	-0.09013	-0.14370	-0.21699	-0.30807	-0.40764	-0.51632	-0.62368	-0.73271	-0.84470	-0.94700	-1.03759	-1.12186	-1.20514	-1.26282	-1.30522	-1.33023	-1.36458	-1.37617	-1.39876	-1.40421	-1.42167	-1.41440	-1.40100	-1.39762	-1.44673	-1.61750	-1.57918	-1.52923	-1.50740	-1.51246	-1.54277	-1.55016	-1.46040	-1.28483	-0.99288	-0.42533	-0.11839	-0.11915	 0.96773	 0.97628	 0.83061	 0.66506	 0.51689	 0.37486	 0.28783	 0.20809	 0.12076	 0.04970	-0.00880	-0.07219	-0.10672	-0.12579	-0.11175	-0.08130	-0.02328	 0.02869	 0.08595	 0.15700	 0.23713	 0.01613	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99822	 0.99572	 0.99148	 0.98350	 0.97162	 0.95411	 0.93003	 0.90101	 0.86882	 0.83211	 0.79713	 0.76287	 0.73517	 0.71690	 0.70654	 0.70705	 0.71532	 0.73106	 0.75728	 0.78458	 0.81633	 0.84447	 0.87861	 0.90945	 0.93500	 0.95641	 0.97236	 0.98348	 0.99116	 0.99568	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04423	 0.04540	 0.03996	 0.00689	 0.03091	 0.02851	 0.02199	 0.00616	 0.00300	 0.01073	 0.01083	 0.00669	 0.00320	-0.00809	-0.01804	-0.02981	
       5	   8.003	  1.0370	-0.117855	 -0.0600	0.027669	  1.0433	  1.0447	0.018036	  219.19	   0.000	2.957E+6	   0.237	 3897.72	   83.56	  1619.3	  993.54	   36.84	-0.09310	-0.13344	-0.14793	-0.16353	-0.18162	-0.20835	-0.25234	-0.32461	-0.42952	-0.54941	-0.67708	-0.80807	-0.93117	-1.04286	-1.14629	-1.24716	-1.32349	-1.38317	-1.42652	-1.47821	-1.50640	-1.54804	-1.57079	-1.60905	-1.62043	-1.62692	-1.64667	-1.72515	-1.93800	-1.93222	-1.91491	-1.93125	-1.99128	-2.06416	-2.18285	-2.17497	-2.07375	-1.82842	-1.18227	-0.84947	-0.85074	 0.82669	 0.99925	 0.94443	 0.80994	 0.66974	 0.52715	 0.42942	 0.33718	 0.24367	 0.16285	 0.09370	 0.02086	-0.02478	-0.05585	-0.05482	-0.03637	 0.00860	 0.04889	 0.09485	 0.15602	 0.20910	-0.11224	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99576	 0.98724	 0.97047	 0.95774	 0.94442	 0.92643	 0.90484	 0.88292	 0.85572	 0.82740	 0.79857	 0.76959	 0.74357	 0.72230	 0.70543	 0.69285	 0.68517	 0.68380	 0.68760	 0.69719	 0.70857	 0.72472	 0.74329	 0.76673	 0.78874	 0.81254	 0.83284	 0.85715	 0.88014	 0.90067	 0.91957	 0.93614	 0.94975	 0.96186	 0.97123	 0.98614	 0.99316	 0.99682	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04657	 0.04763	 0.04214	 0.00729	 0.03302	 0.02749	 0.00293	-0.01031	-0.00906	 0.00314	 0.00814	 0.00453	 0.00022	-0.01332	-0.02521	-0.03872	
       6	  10.012	  1.1040	-0.135283	 -0.0598	0.058703	  1.1107	  1.1153	0.032678	  220.77	   0.000	2.940E+6	   0.235	 3856.79	   83.13	  1602.8	  993.54	   36.95	-0.24021	-0.30848	-0.32061	-0.32963	-0.33708	-0.34328	-0.34820	-0.35456	-0.36655	-0.39493	-0.45531	-0.56436	-0.71696	-0.87507	-1.02088	-1.15507	-1.26405	-1.35121	-1.42191	-1.49643	-1.54599	-1.61012	-1.65308	-1.71390	-1.74512	-1.77332	-1.81692	-1.92219	-2.16924	-2.19645	-2.21236	-2.26929	-2.37329	-2.51521	-2.71160	-2.79275	-2.77376	-2.59163	-1.90212	-1.56228	-1.56416	 0.63097	 0.95963	 0.99086	 0.89650	 0.77098	 0.63456	 0.53083	 0.43169	 0.33337	 0.24595	 0.16871	 0.08803	 0.03251	-0.00869	-0.01882	-0.01103	 0.02286	 0.05261	 0.08814	 0.14010	 0.16411	-0.26434	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99670	 0.99245	 0.98414	 0.97115	 0.94948	 0.91993	 0.88157	 0.86005	 0.84053	 0.81864	 0.79670	 0.77730	 0.75689	 0.73923	 0.72312	 0.70853	 0.69701	 0.68919	 0.68248	 0.67753	 0.67466	 0.67432	 0.67521	 0.67714	 0.68128	 0.68574	 0.69098	 0.69583	 0.70330	 0.71009	 0.71521	 0.72339	 0.73044	 0.73793	 0.74486	 0.75194	 0.75890	 0.76804	 0.77468	 0.79103	 0.80772	 0.82331	 0.84155	 0.85989	 0.87764	 0.89756	 0.91352	 0.94277	 0.96604	 0.98077	 0.99082	 0.99647	 1.00000	 1.00000	 1.00000	 1.00000	 0.04233	 0.04426	 0.03978	 0.00395	 0.02779	 0.00838	-0.02539	-0.04471	-0.05182	-0.04834	-0.04227	-0.03354	-0.02201	-0.02150	-0.03412	-0.04988	
       7	  11.999	  1.1048	-0.181090	 -0.0554	0.052545	  1.1183	  1.1193	0.047710	  219.15	   0.000	2.933E+6	   0.235	 3843.46	   83.01	  1597.4	  993.57	   37.12	-0.35160	-0.42613	-0.43934	-0.43974	-0.43560	-0.43160	-0.42516	-0.41837	-0.41050	-0.40652	-0.40922	-0.41949	-0.45362	-0.53903	-0.68693	-0.86436	-1.03212	-1.17009	-1.28728	-1.39720	-1.47783	-1.57132	-1.64004	-1.72670	-1.78146	-1.83366	-1.90263	-2.03314	-2.30722	-2.36805	-2.41721	-2.51396	-2.66098	-2.86396	-3.12538	-3.29877	-3.36266	-3.25084	-2.54269	-2.20934	-2.21173	 0.41933	 0.88765	 1.00000	 0.94749	 0.83950	 0.71160	 0.60515	 0.50277	 0.40021	 0.30742	 0.22354	 0.13589	 0.07186	 0.02124	 0.00134	-0.00009	 0.02389	 0.04380	 0.06976	 0.11330	 0.11193	-0.36955	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99634	 0.98318	 0.96833	 0.94986	 0.92420	 0.88848	 0.84589	 0.79294	 0.74481	 0.70101	 0.68240	 0.66965	 0.65702	 0.64822	 0.64243	 0.63690	 0.63695	 0.63878	 0.64328	 0.64994	 0.65955	 0.67042	 0.68196	 0.69496	 0.71020	 0.72506	 0.74068	 0.75545	 0.77084	 0.78631	 0.80032	 0.81568	 0.82986	 0.84078	 0.85429	 0.86606	 0.87764	 0.88787	 0.89750	 0.90633	 0.91508	 0.92235	 0.93638	 0.94736	 0.95652	 0.96492	 0.97242	 0.97824	 0.98349	 0.98720	 0.99294	 0.99658	 0.99812	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03098	 0.03503	 0.03291	-0.00605	 0.00752	-0.02509	-0.06947	-0.09563	-0.10344	-0.10473	-0.10022	-0.08784	-0.06536	-0.03492	-0.04127	-0.06066	
       8	  12.996	  1.1386	-0.136613	 -0.0575	0.122934	  1.1401	  1.1546	0.060316	  260.00	   0.000	2.937E+6	   0.236	 3858.46	   83.20	  1603.5	  993.57	   37.30	-0.41545	-0.47096	-0.47479	-0.47095	-0.46518	-0.46024	-0.45461	-0.44928	-0.44360	-0.44027	-0.44164	-0.44708	-0.46921	-0.52801	-0.64512	-0.80803	-0.97944	-1.12689	-1.25651	-1.37707	-1.46848	-1.57336	-1.65193	-1.74995	-1.81483	-1.87920	-1.95998	-2.10345	-2.38986	-2.46896	-2.53592	-2.65416	-2.82726	-3.05475	-3.35597	-3.58698	-3.69743	-3.62606	-2.91180	-2.58295	-2.58546	 0.28686	 0.83477	 0.99780	 0.96749	 0.87091	 0.74879	 0.64247	 0.53911	 0.43512	 0.34000	 0.25317	 0.16248	 0.09458	 0.03944	 0.01449	 0.00885	 0.02791	 0.04348	 0.06521	 0.10506	 0.09276	-0.39992	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99265	 0.97629	 0.96054	 0.94367	 0.92086	 0.89013	 0.85588	 0.80919	 0.76266	 0.71313	 0.68643	 0.66414	 0.64009	 0.61761	 0.59559	 0.56652	 0.55006	 0.52897	 0.50877	 0.49132	 0.47870	 0.46413	 0.45070	 0.43973	 0.42806	 0.42246	 0.41212	 0.41241	 0.40775	 0.40765	 0.40176	 0.40796	 0.40939	 0.41145	 0.41890	 0.42383	 0.43287	 0.44059	 0.45044	 0.45976	 0.47520	 0.48608	 0.51621	 0.55230	 0.58525	 0.62209	 0.66052	 0.69878	 0.74364	 0.77925	 0.84548	 0.90194	 0.94073	 0.96862	 0.98578	 0.99745	 1.00000	 1.00000	 1.00000	 0.02273	 0.02711	 0.02481	-0.01521	-0.00985	-0.05136	-0.09901	-0.12299	-0.12602	-0.12088	-0.10407	-0.08362	-0.06073	-0.04634	-0.05654	-0.07495	
       9	  14.004	  1.1504	-0.127412	 -0.0595	0.154768	  1.1471	  1.1672	0.074014	  260.00	   0.000	2.922E+6	   0.234	 3822.39	   82.82	  1588.9	  993.58	   37.42	-0.45966	-0.51109	-0.51502	-0.51099	-0.50415	-0.49810	-0.49137	-0.48550	-0.47882	-0.47420	-0.47310	-0.47301	-0.48217	-0.50866	-0.57151	-0.69263	-0.85879	-1.02100	-1.17140	-1.30964	-1.41706	-1.53695	-1.62852	-1.73934	-1.81623	-1.89333	-1.98672	-2.14172	-2.43857	-2.53553	-2.61984	-2.75851	-2.95615	-3.20503	-3.54232	-3.81821	-3.96999	-3.93792	-3.23038	-2.91216	-2.91490	 0.16342	 0.78179	 0.99054	 0.98098	 0.89516	 0.77862	 0.67264	 0.56881	 0.46336	 0.36616	 0.27680	 0.18322	 0.11161	 0.05232	 0.02305	 0.01343	 0.02781	 0.03951	 0.05728	 0.09379	 0.07253	-0.43528	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99381	 0.97935	 0.94989	 0.92421	 0.89853	 0.86679	 0.82860	 0.78771	 0.73410	 0.68270	 0.62775	 0.59764	 0.57294	 0.54719	 0.52482	 0.50192	 0.46911	 0.45468	 0.43279	 0.41107	 0.39121	 0.37908	 0.36155	 0.34541	 0.33277	 0.31769	 0.31229	 0.30070	 0.30091	 0.29497	 0.29418	 0.28682	 0.29325	 0.29341	 0.29564	 0.30286	 0.30675	 0.31608	 0.32334	 0.33320	 0.34185	 0.35827	 0.36865	 0.39793	 0.43522	 0.46933	 0.51154	 0.55465	 0.59606	 0.64592	 0.68677	 0.76578	 0.83960	 0.89599	 0.94003	 0.96759	 0.99212	 1.00000	 1.00000	 1.00000	 0.01148	 0.01665	 0.01426	-0.02992	-0.03511	-0.08257	-0.13044	-0.15173	-0.15180	-0.14433	-0.12415	-0.10200	-0.07608	-0.05923	-0.06955	-0.08853	
