   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       1	   0.007	  0.2663	0.012993	 -0.0691	0.013026	  0.2663	  0.2663	0.007232	  260.89	   0.000	2.937E+6	   0.234	 3803.58	   82.37	  1581.4	  993.44	   35.53	 0.14568	 0.07671	 0.01681	-0.04823	-0.11708	-0.19132	-0.27061	-0.34799	-0.42590	-0.50002	-0.57289	-0.64767	-0.70889	-0.75596	-0.79826	-0.83842	-0.85223	-0.85296	-0.83582	-0.82624	-0.79935	-0.77231	-0.73622	-0.69976	-0.64774	-0.59177	-0.53468	-0.51592	-0.48783	-0.40295	-0.29874	-0.22334	-0.12832	 0.00177	 0.15877	 0.36123	 0.58552	 0.80605	 0.96810	 0.99963	 1.00000	 0.47917	 0.12937	-0.11626	-0.21002	-0.29733	-0.36112	-0.41590	-0.42021	-0.43881	-0.43532	-0.44712	-0.46953	-0.45993	-0.43343	-0.37173	-0.29890	-0.19497	-0.10558	-0.01238	 0.08370	 0.21244	 0.14564	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99470	 0.98296	 0.95739	 0.91439	 0.86033	 0.80428	 0.75045	 0.70882	 0.68268	 0.68073	 0.69973	 0.74416	 0.78547	 0.84031	 0.88994	 0.93841	 0.96810	 0.98738	 0.99506	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02009	 0.02441	 0.02184	-0.00243	 0.01840	 0.01811	 0.01517	 0.01111	 0.00789	 0.01297	 0.00970	 0.00840	 0.00766	 0.00163	-0.00334	-0.00997	
       2	   2.002	  0.4966	-0.003583	 -0.0707	0.013766	  0.4965	  0.4967	0.008250	  259.11	   0.000	2.951E+6	   0.235	 3846.20	   82.85	  1598.5	  993.44	   35.69	 0.12082	 0.06308	 0.00445	-0.06157	-0.13320	-0.21319	-0.29969	-0.38538	-0.47319	-0.55758	-0.64183	-0.72850	-0.80259	-0.86315	-0.91895	-0.97279	-0.99993	-1.01338	-1.00912	-1.01281	-0.99739	-0.98544	-0.96155	-0.94065	-0.90124	-0.85935	-0.81693	-0.82208	-0.82133	-0.74950	-0.67280	-0.63150	-0.56503	-0.46448	-0.33571	-0.13919	 0.10766	 0.39842	 0.72306	 0.88380	 0.88463	 0.84791	 0.56386	 0.30775	 0.15712	 0.02843	-0.07057	-0.15908	-0.19352	-0.23652	-0.25579	-0.28659	-0.32570	-0.33289	-0.32371	-0.27935	-0.22189	-0.13424	-0.05794	 0.02326	 0.11153	 0.22652	 0.12028	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99821	 0.99376	 0.98329	 0.96243	 0.92709	 0.88057	 0.82906	 0.77616	 0.73195	 0.69919	 0.68646	 0.69296	 0.72139	 0.75258	 0.79816	 0.84380	 0.89450	 0.93181	 0.96215	 0.97936	 0.99194	 0.99754	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02855	 0.03156	 0.02784	 0.00071	 0.02209	 0.02092	 0.01721	 0.01042	 0.00680	 0.01279	 0.00868	 0.00641	 0.00475	-0.00298	-0.00962	-0.01791	
       3	   3.992	  0.7094	-0.033762	 -0.0697	0.015712	  0.7100	  0.7105	0.009447	  260.86	   0.000	2.945E+6	   0.235	 3834.89	   82.76	  1594.0	  993.44	   35.87	 0.07613	 0.03330	-0.01447	-0.07225	-0.13950	-0.22059	-0.31200	-0.40546	-0.50330	-0.59879	-0.69482	-0.79364	-0.88151	-0.95647	-1.02645	-1.09465	-1.13646	-1.16378	-1.17399	-1.19249	-1.19028	-1.19485	-1.18497	-1.18221	-1.15757	-1.13262	-1.10873	-1.14022	-1.17133	-1.12720	-1.07025	-1.08165	-1.05586	-1.00229	-0.92440	-0.76295	-0.53081	-0.21496	 0.24837	 0.49912	 0.49944	 0.99470	 0.84060	 0.62128	 0.44820	 0.29848	 0.17655	 0.06673	 0.00711	-0.05508	-0.09343	-0.14012	-0.19321	-0.21530	-0.22145	-0.19318	-0.14983	-0.07763	-0.01405	 0.05552	 0.13472	 0.23205	 0.07326	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99789	 0.99457	 0.98725	 0.97451	 0.95428	 0.92466	 0.88842	 0.84846	 0.80526	 0.76617	 0.73156	 0.70881	 0.69962	 0.70526	 0.71924	 0.74552	 0.77772	 0.82016	 0.85789	 0.89579	 0.92411	 0.95315	 0.97361	 0.98632	 0.99371	 0.99752	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.03654	 0.03846	 0.03371	 0.00366	 0.02615	 0.02424	 0.01923	 0.00819	 0.00484	 0.01269	 0.00893	 0.00557	 0.00305	-0.00635	-0.01462	-0.02461	
       4	   6.012	  0.8849	-0.073220	 -0.0651	0.019865	  0.8877	  0.8885	0.012480	  259.11	   0.000	2.951E+6	   0.236	 3857.48	   83.03	  1603.1	  993.45	   36.10	-0.00067	-0.03454	-0.06333	-0.09904	-0.14209	-0.20364	-0.28815	-0.38534	-0.49335	-0.60144	-0.71111	-0.82359	-0.92664	-1.01748	-1.10281	-1.18596	-1.24347	-1.28573	-1.31174	-1.34588	-1.35820	-1.38076	-1.38623	-1.40288	-1.39479	-1.38818	-1.38569	-1.44563	-1.51002	-1.49728	-1.45784	-1.53673	-1.55984	-1.56594	-1.55701	-1.45373	-1.26811	-0.96664	-0.39585	-0.08944	-0.08994	 0.97089	 0.97375	 0.82452	 0.65988	 0.50654	 0.37398	 0.25199	 0.16969	 0.09703	 0.04415	-0.01544	-0.07990	-0.11478	-0.13442	-0.12033	-0.08990	-0.03189	 0.01983	 0.07811	 0.14790	 0.22337	-0.00590	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99816	 0.99674	 0.99292	 0.98676	 0.97794	 0.96401	 0.94566	 0.92189	 0.89193	 0.85913	 0.82548	 0.79043	 0.75937	 0.73151	 0.71103	 0.70019	 0.69834	 0.70370	 0.71694	 0.73584	 0.76353	 0.79161	 0.82293	 0.84958	 0.88164	 0.91089	 0.93486	 0.95498	 0.97050	 0.98152	 0.98934	 0.99432	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04205	 0.04336	 0.03811	 0.00593	 0.02956	 0.02713	 0.01851	 0.00263	 0.00056	 0.00912	 0.00956	 0.00550	 0.00198	-0.00917	-0.01911	-0.03072	
       5	   8.003	  1.0039	-0.106490	 -0.0579	0.034306	  1.0089	  1.0111	0.018846	  260.87	   0.000	2.939E+6	   0.235	 3831.53	   82.76	  1592.6	  993.46	   36.22	-0.11035	-0.15127	-0.16249	-0.17638	-0.19266	-0.21899	-0.25845	-0.31743	-0.40992	-0.52335	-0.64764	-0.77708	-0.89959	-1.01067	-1.11468	-1.21481	-1.29053	-1.34973	-1.39393	-1.44490	-1.47335	-1.51457	-1.53672	-1.57334	-1.58338	-1.59585	-1.61635	-1.70274	-1.80207	-1.82028	-1.81747	-1.93652	-2.02339	-2.09432	-2.16102	-2.12919	-2.01054	-1.75115	-1.10503	-0.77244	-0.77350	 0.84420	 1.00000	 0.93628	 0.79945	 0.65477	 0.52020	 0.39283	 0.29780	 0.21546	 0.15075	 0.08069	 0.00704	-0.03884	-0.07025	-0.06881	-0.05000	-0.00457	 0.03578	 0.08373	 0.14442	 0.19552	-0.13127	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99787	 0.99342	 0.98381	 0.96652	 0.95427	 0.94152	 0.92473	 0.90519	 0.88539	 0.86086	 0.83567	 0.80889	 0.78122	 0.75507	 0.73172	 0.71059	 0.69285	 0.67823	 0.66858	 0.66334	 0.66242	 0.66553	 0.67173	 0.68155	 0.69546	 0.71153	 0.72962	 0.74576	 0.76764	 0.78933	 0.81081	 0.83289	 0.85373	 0.87282	 0.89157	 0.90803	 0.94007	 0.96021	 0.97490	 0.98561	 0.99251	 0.99627	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04392	 0.04518	 0.03998	 0.00601	 0.03116	 0.02442	-0.00133	-0.01074	-0.00991	 0.00246	 0.00695	 0.00286	-0.00170	-0.01485	-0.02643	-0.03952	
       6	  10.012	  1.0989	-0.132930	 -0.0581	0.060140	  1.1053	  1.1100	0.033782	  259.35	   0.000	2.930E+6	   0.234	 3812.65	   82.58	  1585.0	  993.45	   36.37	-0.22253	-0.28757	-0.29333	-0.30050	-0.30888	-0.31577	-0.32444	-0.34058	-0.37114	-0.42795	-0.52225	-0.64864	-0.79154	-0.93012	-1.06024	-1.18226	-1.28107	-1.36084	-1.42664	-1.49636	-1.54317	-1.60413	-1.64458	-1.70150	-1.73093	-1.76303	-1.80802	-1.91940	-2.05218	-2.10452	-2.14432	-2.26042	-2.45792	-2.59086	-2.73262	-2.78005	-2.74221	-2.54395	-1.84725	-1.50606	-1.50779	 0.64776	 0.96429	 0.98842	 0.89170	 0.76300	 0.63249	 0.50419	 0.40243	 0.31123	 0.23809	 0.15991	 0.07812	 0.02277	-0.01866	-0.02846	-0.02013	 0.01443	 0.04479	 0.08302	 0.13542	 0.16262	-0.25651	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99608	 0.99181	 0.98369	 0.97114	 0.95053	 0.92288	 0.88714	 0.86749	 0.84916	 0.82768	 0.80567	 0.78458	 0.76066	 0.73839	 0.71662	 0.69513	 0.67558	 0.66006	 0.64599	 0.63355	 0.62256	 0.61445	 0.60895	 0.60502	 0.60525	 0.60615	 0.60949	 0.61261	 0.62083	 0.62887	 0.63652	 0.64863	 0.66035	 0.67357	 0.68769	 0.70205	 0.71578	 0.73231	 0.74629	 0.78000	 0.81084	 0.83824	 0.86548	 0.89136	 0.91312	 0.93477	 0.94996	 0.97303	 0.98712	 0.99445	 0.99787	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.04040	 0.04219	 0.03764	 0.00229	 0.02315	-0.00108	-0.03086	-0.03427	-0.03218	-0.01822	-0.00984	-0.01043	-0.01281	-0.02574	-0.03833	-0.05282	
       7	  12.002	  1.1194	-0.145476	 -0.0555	0.090491	  1.1252	  1.1341	0.048565	  260.83	   0.000	2.908E+6	   0.232	 3758.76	   82.02	  1563.3	  993.46	   36.52	-0.36290	-0.41951	-0.42265	-0.41997	-0.41654	-0.41428	-0.41142	-0.40946	-0.40751	-0.40994	-0.42068	-0.44535	-0.51012	-0.63168	-0.79112	-0.95485	-1.10186	-1.22316	-1.32803	-1.42899	-1.50381	-1.59209	-1.65701	-1.73875	-1.79142	-1.84683	-1.91822	-2.05263	-2.21750	-2.30444	-2.38671	-2.55282	-2.72381	-3.01168	-3.21135	-3.33661	-3.38458	-3.25947	-2.53882	-2.20378	-2.20613	 0.42131	 0.88796	 1.00000	 0.94720	 0.83784	 0.71514	 0.58866	 0.48323	 0.38548	 0.30613	 0.22111	 0.13239	 0.06845	 0.01752	-0.00248	-0.00364	 0.02032	 0.04059	 0.06889	 0.11221	 0.11074	-0.35399	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99690	 0.98772	 0.97799	 0.96597	 0.94910	 0.92563	 0.89687	 0.85558	 0.81026	 0.75901	 0.73203	 0.70907	 0.68380	 0.66070	 0.63913	 0.61264	 0.59552	 0.57633	 0.55800	 0.54194	 0.53065	 0.51945	 0.51008	 0.50264	 0.49666	 0.49479	 0.49148	 0.49559	 0.49750	 0.50320	 0.50472	 0.51618	 0.52477	 0.53239	 0.54609	 0.55783	 0.57257	 0.58716	 0.60270	 0.61727	 0.63684	 0.65187	 0.68792	 0.72333	 0.75713	 0.79258	 0.82635	 0.85561	 0.88654	 0.90924	 0.94539	 0.97052	 0.98442	 0.99272	 0.99736	 1.00000	 1.00000	 1.00000	 1.00000	 0.03020	 0.03381	 0.03124	-0.00686	 0.00357	-0.03374	-0.07767	-0.09786	-0.10092	-0.09280	-0.07483	-0.05667	-0.03872	-0.03540	-0.04874	-0.06614	
       8	  14.008	  1.1476	-0.153585	 -0.0559	0.128767	  1.1507	  1.1653	0.070050	  220.00	   0.000	2.882E+6	   0.231	 3697.64	   81.36	  1538.6	  993.47	   36.67	-0.44336	-0.49147	-0.49457	-0.49109	-0.48531	-0.48001	-0.47392	-0.46868	-0.46278	-0.46013	-0.46166	-0.46628	-0.48278	-0.52137	-0.60217	-0.73382	-0.89458	-1.04726	-1.19024	-1.32350	-1.42795	-1.54489	-1.63482	-1.74178	-1.81835	-1.89803	-1.99565	-2.15305	-2.34694	-2.46873	-2.59136	-2.80376	-2.98534	-3.37682	-3.65706	-3.85594	-3.99420	-3.95121	-3.22498	-2.90510	-2.90800	 0.16500	 0.78250	 0.99066	 0.98113	 0.89425	 0.78202	 0.65962	 0.55249	 0.45123	 0.36564	 0.27497	 0.18057	 0.10911	 0.04942	 0.02029	 0.01097	 0.02558	 0.03726	 0.05724	 0.09353	 0.07381	-0.42371	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99195	 0.97505	 0.94115	 0.91251	 0.88472	 0.84866	 0.80357	 0.75616	 0.69677	 0.64181	 0.58460	 0.55550	 0.53257	 0.50907	 0.48933	 0.47043	 0.44186	 0.43227	 0.41492	 0.39944	 0.38631	 0.37966	 0.37180	 0.36469	 0.36147	 0.35669	 0.36023	 0.35836	 0.36706	 0.37039	 0.37948	 0.38210	 0.39687	 0.40624	 0.41575	 0.43195	 0.44486	 0.46144	 0.47704	 0.49388	 0.51000	 0.53159	 0.54784	 0.58750	 0.62898	 0.66644	 0.70719	 0.74776	 0.78419	 0.82319	 0.85333	 0.90354	 0.94349	 0.96872	 0.98413	 0.99287	 1.00000	 1.00000	 1.00000	 1.00000	 0.01253	 0.01817	 0.01617	-0.03262	-0.04471	-0.09478	-0.13676	-0.14560	-0.13986	-0.13050	-0.11287	-0.09027	-0.06458	-0.04924	-0.06320	-0.08417	
       9	  15.001	  1.1649	-0.140220	 -0.0595	0.166086	  1.1615	  1.1831	0.085687	  220.00	   0.000	2.893E+6	   0.232	 3728.29	   81.72	  1551.0	  993.46	   36.80	-0.48858	-0.53192	-0.53508	-0.53156	-0.52562	-0.52029	-0.51411	-0.50840	-0.50173	-0.49738	-0.49619	-0.49642	-0.50452	-0.52517	-0.57089	-0.65897	-0.79727	-0.95118	-1.10723	-1.25526	-1.37448	-1.50627	-1.60878	-1.72885	-1.81718	-1.90949	-2.01978	-2.18821	-2.39494	-2.53359	-2.67593	-2.90845	-3.12227	-3.47704	-3.85226	-4.08548	-4.26614	-4.26350	-3.54008	-3.23044	-3.23355	 0.03691	 0.72462	 0.97864	 0.99048	 0.91510	 0.80845	 0.68870	 0.58125	 0.47897	 0.39090	 0.29784	 0.20087	 0.12613	 0.06256	 0.02940	 0.01624	 0.02646	 0.03446	 0.05072	 0.08387	 0.05557	-0.45885	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99791	 0.99282	 0.97861	 0.95052	 0.89601	 0.85491	 0.81799	 0.77395	 0.72296	 0.67068	 0.60447	 0.54394	 0.48502	 0.45396	 0.42874	 0.40507	 0.38613	 0.36610	 0.33388	 0.32707	 0.30876	 0.29188	 0.27682	 0.26888	 0.25879	 0.24844	 0.24351	 0.23505	 0.23788	 0.23165	 0.23991	 0.23946	 0.24643	 0.24624	 0.26078	 0.26858	 0.27756	 0.29121	 0.30274	 0.31876	 0.33301	 0.34923	 0.36411	 0.38659	 0.40324	 0.44328	 0.48822	 0.52886	 0.57493	 0.61970	 0.66191	 0.71145	 0.75140	 0.82198	 0.88383	 0.92627	 0.95873	 0.97900	 0.99517	 1.00000	 1.00000	 1.00000	-0.00126	 0.00472	 0.00077	-0.05253	-0.07641	-0.13026	-0.16848	-0.17350	-0.16434	-0.15307	-0.13347	-0.11045	-0.08452	-0.06737	-0.08039	-0.10110	
