   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       0	  -0.007	  0.2529	0.013579	 -0.0679	0.013548	  0.2529	  0.2529	-0.000606	  300.00	   0.000	2.959E+6	   0.229	 3732.09	   80.57	  1552.5	 1012.92	   33.72	 0.14080	 0.07658	 0.01884	-0.04466	-0.11179	-0.18465	-0.26330	-0.34018	-0.41706	-0.49184	-0.56362	-0.63795	-0.69833	-0.74558	-0.78758	-0.82609	-0.84044	-0.84100	-0.82237	-0.81391	-0.78536	-0.75755	-0.71874	-0.68407	-0.63190	-0.57446	-0.51687	-0.51009	-0.54261	-0.43293	-0.32119	-0.20468	-0.09665	 0.03019	 0.18135	 0.37773	 0.59968	 0.81726	 0.97368	 0.99871	 0.01955	 0.45109	 0.09637	-0.14943	-0.24694	-0.33142	-0.38792	-0.38235	-0.38727	-0.41974	-0.44495	-0.45447	-0.47559	-0.46432	-0.43809	-0.37580	-0.30246	-0.19735	-0.10807	-0.01516	 0.08177	 0.20988	 0.13939	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99319	 0.97829	 0.94935	 0.90436	 0.84644	 0.78649	 0.73256	 0.68923	 0.67144	 0.67363	 0.69937	 0.73576	 0.79399	 0.83834	 0.88863	 0.93283	 0.96762	 0.98598	 0.99639	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02019	 0.02458	 0.02193	-0.00189	 0.01868	 0.01846	 0.01507	 0.01058	 0.00880	 0.01330	 0.01002	 0.00877	 0.00801	 0.00205	-0.00281	-0.00926	
       0	  -0.007	  0.2530	0.013665	 -0.0680	0.013634	  0.2530	  0.2530	-0.000589	  300.00	   0.000	2.959E+6	   0.229	 3732.14	   80.57	  1552.6	 1012.92	   33.72	 0.14092	 0.07655	 0.01874	-0.04476	-0.11196	-0.18467	-0.26333	-0.34028	-0.41860	-0.49193	-0.56300	-0.63804	-0.69914	-0.74567	-0.78767	-0.82618	-0.84053	-0.84033	-0.82246	-0.81329	-0.78617	-0.75835	-0.71811	-0.68416	-0.63127	-0.57385	-0.51696	-0.50949	-0.54200	-0.43303	-0.32129	-0.20478	-0.09675	 0.03081	 0.18124	 0.37835	 0.60031	 0.81715	 0.97357	 0.99860	 0.01981	 0.45062	 0.09557	-0.14953	-0.24668	-0.33188	-0.38801	-0.38245	-0.38700	-0.41984	-0.44504	-0.45420	-0.47604	-0.46478	-0.43782	-0.37590	-0.30255	-0.19745	-0.10780	-0.01602	 0.08238	 0.21049	 0.13965	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99681	 0.99014	 0.97575	 0.94753	 0.90278	 0.84776	 0.78930	 0.73380	 0.69204	 0.67112	 0.67063	 0.69718	 0.73463	 0.79036	 0.83396	 0.88764	 0.93153	 0.96787	 0.98721	 0.99728	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02015	 0.02445	 0.02188	-0.00199	 0.01861	 0.01836	 0.01514	 0.01071	 0.00861	 0.01320	 0.00992	 0.00870	 0.00788	 0.00195	-0.00286	-0.00934	
       0	  -0.007	  0.2528	0.013699	 -0.0679	0.013667	  0.2528	  0.2528	-0.000587	  299.93	   0.000	2.959E+6	   0.229	 3732.19	   80.57	  1552.6	 1012.92	   33.72	 0.14089	 0.07653	 0.01864	-0.04479	-0.11185	-0.18469	-0.26328	-0.34023	-0.41862	-0.49125	-0.56373	-0.63806	-0.69844	-0.74498	-0.78769	-0.82620	-0.84054	-0.84035	-0.82247	-0.81330	-0.78547	-0.75766	-0.71813	-0.68347	-0.63201	-0.57386	-0.51769	-0.50951	-0.54202	-0.43376	-0.32059	-0.20552	-0.09678	 0.03079	 0.18191	 0.37759	 0.60027	 0.81712	 0.97282	 0.99856	 0.01978	 0.45058	 0.09589	-0.14956	-0.24670	-0.33154	-0.38839	-0.38282	-0.38702	-0.41915	-0.44544	-0.45423	-0.47606	-0.46443	-0.43748	-0.37556	-0.30293	-0.19783	-0.10819	-0.01529	 0.08164	 0.21010	 0.13888	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99793	 0.99245	 0.97599	 0.94608	 0.89744	 0.83630	 0.77913	 0.73228	 0.69338	 0.67479	 0.67729	 0.70074	 0.73540	 0.79010	 0.83591	 0.88988	 0.93260	 0.96783	 0.98657	 0.99632	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02027	 0.02461	 0.02203	-0.00183	 0.01873	 0.01857	 0.01523	 0.01127	 0.00893	 0.01335	 0.01007	 0.00884	 0.00803	 0.00206	-0.00274	-0.00922	
       0	  -0.007	  0.2529	0.013499	 -0.0680	0.013467	  0.2529	  0.2529	-0.000606	  299.55	   0.000	2.959E+6	   0.229	 3732.21	   80.57	  1552.6	 1012.92	   33.72	 0.14096	 0.07652	 0.01878	-0.04479	-0.11178	-0.18470	-0.26335	-0.34023	-0.41855	-0.49188	-0.56294	-0.63799	-0.69908	-0.74561	-0.78691	-0.82612	-0.84047	-0.84027	-0.82311	-0.81323	-0.78539	-0.75829	-0.71805	-0.68340	-0.63193	-0.57379	-0.51691	-0.50943	-0.54194	-0.43439	-0.32051	-0.20473	-0.09671	 0.03086	 0.18198	 0.37839	 0.60034	 0.81718	 0.97289	 0.99862	 0.02021	 0.44992	 0.09596	-0.14986	-0.24663	-0.33182	-0.38832	-0.38275	-0.38731	-0.41943	-0.44536	-0.45451	-0.47634	-0.46473	-0.43849	-0.37549	-0.30216	-0.19776	-0.10812	-0.01485	 0.08207	 0.21053	 0.13932	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99383	 0.97959	 0.95305	 0.90840	 0.85114	 0.78809	 0.73277	 0.69017	 0.66991	 0.66854	 0.69353	 0.73305	 0.79218	 0.84004	 0.89401	 0.93578	 0.96980	 0.98731	 0.99680	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02020	 0.02450	 0.02187	-0.00192	 0.01863	 0.01843	 0.01519	 0.01093	 0.00897	 0.01330	 0.01005	 0.00880	 0.00805	 0.00216	-0.00272	-0.00923	
       0	  -0.007	  0.2527	0.013570	 -0.0679	0.013539	  0.2527	  0.2527	-0.000603	  299.07	   0.000	2.959E+6	   0.229	 3732.24	   80.57	  1552.6	 1012.92	   33.72	 0.14091	 0.07660	 0.01893	-0.04471	-0.11177	-0.18468	-0.26327	-0.34022	-0.41795	-0.49201	-0.56236	-0.63739	-0.69921	-0.74503	-0.78704	-0.82554	-0.84059	-0.84040	-0.82252	-0.81264	-0.78552	-0.75771	-0.71890	-0.68352	-0.63134	-0.57392	-0.51704	-0.50956	-0.54207	-0.43311	-0.32137	-0.20486	-0.09611	 0.03073	 0.18185	 0.37825	 0.60020	 0.81779	 0.97346	 0.99848	 0.02043	 0.45015	 0.09548	-0.14999	-0.24676	-0.33160	-0.38845	-0.38253	-0.38744	-0.41956	-0.44475	-0.45464	-0.47576	-0.46486	-0.43790	-0.37597	-0.30229	-0.19753	-0.10789	-0.01535	 0.08229	 0.20968	 0.13956	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99810	 0.99355	 0.97841	 0.95031	 0.90804	 0.85122	 0.79086	 0.73427	 0.69004	 0.66883	 0.67130	 0.69459	 0.73679	 0.79549	 0.83841	 0.89025	 0.93208	 0.96666	 0.98373	 0.99474	 0.99767	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02033	 0.02464	 0.02199	-0.00187	 0.01872	 0.01851	 0.01528	 0.01080	 0.00895	 0.01328	 0.01001	 0.00872	 0.00797	 0.00206	-0.00280	-0.00928	
       0	  -0.007	  0.2528	0.013665	 -0.0679	0.013633	  0.2528	  0.2528	-0.000578	  298.55	   0.000	2.959E+6	   0.229	 3732.21	   80.57	  1552.6	 1012.92	   33.72	 0.14093	 0.07649	 0.01909	-0.04454	-0.11167	-0.18473	-0.26325	-0.34013	-0.41793	-0.49198	-0.56305	-0.63809	-0.69919	-0.74572	-0.78772	-0.82552	-0.83988	-0.83961	-0.82250	-0.81262	-0.78477	-0.75769	-0.71816	-0.68350	-0.63132	-0.57390	-0.51773	-0.50885	-0.54205	-0.43308	-0.32062	-0.20484	-0.09609	 0.03075	 0.18188	 0.37755	 0.60023	 0.81782	 0.97349	 0.99852	 0.02010	 0.45054	 0.09620	-0.14997	-0.24673	-0.33193	-0.38843	-0.38215	-0.38742	-0.41918	-0.44510	-0.45462	-0.47574	-0.46410	-0.43752	-0.37595	-0.30191	-0.19786	-0.10786	-0.01570	 0.08196	 0.21042	 0.13922	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99763	 0.99175	 0.97595	 0.94693	 0.90248	 0.84604	 0.78608	 0.73337	 0.69283	 0.67220	 0.67203	 0.69662	 0.73799	 0.79416	 0.83822	 0.88962	 0.93034	 0.96574	 0.98362	 0.99469	 0.99801	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02041	 0.02466	 0.02216	-0.00184	 0.01881	 0.01865	 0.01536	 0.01097	 0.00895	 0.01351	 0.01021	 0.00894	 0.00818	 0.00223	-0.00263	-0.00911	
       0	  -0.007	  0.2528	0.013509	 -0.0679	0.013477	  0.2528	  0.2528	-0.000598	  298.02	   0.000	2.959E+6	   0.229	 3732.19	   80.57	  1552.6	 1012.92	   33.72	 0.14113	 0.07653	 0.01899	-0.04450	-0.11170	-0.18468	-0.26328	-0.34009	-0.41803	-0.49209	-0.56244	-0.63820	-0.69857	-0.74582	-0.78712	-0.82562	-0.83998	-0.84048	-0.82261	-0.81344	-0.78560	-0.75779	-0.71754	-0.68360	-0.63142	-0.57471	-0.51712	-0.50964	-0.54215	-0.43389	-0.32072	-0.20494	-0.09691	 0.03065	 0.18178	 0.37819	 0.60014	 0.81698	 0.97340	 0.99843	 0.02001	 0.45082	 0.09610	-0.14969	-0.24683	-0.33167	-0.38781	-0.38225	-0.38716	-0.41928	-0.44520	-0.45436	-0.47584	-0.46457	-0.43762	-0.37534	-0.30271	-0.19796	-0.10796	-0.01543	 0.08222	 0.20997	 0.13912	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99821	 0.99327	 0.97835	 0.95070	 0.90798	 0.84845	 0.78781	 0.73548	 0.69631	 0.67560	 0.67553	 0.69781	 0.73673	 0.79162	 0.83799	 0.89027	 0.93203	 0.96821	 0.98510	 0.99502	 0.99831	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02055	 0.02490	 0.02232	-0.00170	 0.01902	 0.01884	 0.01555	 0.01110	 0.00906	 0.01359	 0.01035	 0.00907	 0.00823	 0.00236	-0.00252	-0.00904	
       0	  -0.007	  0.2529	0.013631	 -0.0679	0.013599	  0.2529	  0.2529	-0.000613	  297.52	   0.000	2.959E+6	   0.229	 3732.14	   80.57	  1552.6	 1012.92	   33.72	 0.14115	 0.07655	 0.01922	-0.04440	-0.11168	-0.18444	-0.26312	-0.33993	-0.41802	-0.49137	-0.56243	-0.63746	-0.69856	-0.74510	-0.78711	-0.82561	-0.83998	-0.84047	-0.82260	-0.81271	-0.78559	-0.75778	-0.71825	-0.68359	-0.63141	-0.57399	-0.51710	-0.50963	-0.54143	-0.43317	-0.32070	-0.20492	-0.09689	 0.03067	 0.18180	 0.37821	 0.59943	 0.81776	 0.97343	 0.99846	 0.02003	 0.45048	 0.09647	-0.14967	-0.24610	-0.33130	-0.38779	-0.38224	-0.38714	-0.41927	-0.44481	-0.45435	-0.47582	-0.46419	-0.43725	-0.37568	-0.30200	-0.19723	-0.10794	-0.01541	 0.08224	 0.21035	 0.13951	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99774	 0.99352	 0.97832	 0.95222	 0.90897	 0.85105	 0.79061	 0.73694	 0.69481	 0.67083	 0.66859	 0.69048	 0.72959	 0.78706	 0.83218	 0.88765	 0.93198	 0.96722	 0.98490	 0.99530	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02060	 0.02495	 0.02237	-0.00168	 0.01904	 0.01886	 0.01566	 0.01115	 0.00933	 0.01376	 0.01046	 0.00917	 0.00843	 0.00252	-0.00236	-0.00885	
       0	  -0.007	  0.2529	0.013555	 -0.0679	0.013523	  0.2529	  0.2529	-0.000597	  297.02	   0.000	2.959E+6	   0.229	 3732.09	   80.57	  1552.5	 1012.92	   33.72	 0.14113	 0.07667	 0.01920	-0.04443	-0.11171	-0.18447	-0.26308	-0.34003	-0.41805	-0.49141	-0.56317	-0.63749	-0.69931	-0.74514	-0.78715	-0.82565	-0.84001	-0.84051	-0.82264	-0.81275	-0.78490	-0.75782	-0.71828	-0.68363	-0.63072	-0.57402	-0.51714	-0.50966	-0.54147	-0.43320	-0.32073	-0.20495	-0.09692	 0.02992	 0.18249	 0.37819	 0.60015	 0.81774	 0.97271	 0.99845	 0.02035	 0.45082	 0.09575	-0.14932	-0.24648	-0.33169	-0.38818	-0.38192	-0.38681	-0.41966	-0.44485	-0.45402	-0.47586	-0.46422	-0.43763	-0.37571	-0.30238	-0.19762	-0.10797	-0.01543	 0.08222	 0.21068	 0.13949	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99814	 0.99292	 0.97796	 0.94923	 0.90594	 0.84796	 0.79067	 0.73799	 0.69399	 0.67125	 0.67280	 0.69814	 0.73506	 0.78970	 0.83252	 0.88852	 0.93279	 0.97013	 0.98728	 0.99596	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02040	 0.02471	 0.02214	-0.00179	 0.01885	 0.01863	 0.01546	 0.01113	 0.00913	 0.01350	 0.01026	 0.00903	 0.00825	 0.00230	-0.00247	-0.00902	
