   Runnr	   Alpha	      Cn	      Ct	      Cm	      Cd	      Cl	Cl-press	Cd-press	  Z-w.r.	    Flap	      Re	       M	       Q	       V	     Dpb	   P-bar	       T	 Cpu_001	 Cpu_002	 Cpu_003	 Cpu_004	 Cpu_005	 Cpu_006	 Cpu_007	 Cpu_008	 Cpu_009	 Cpu_010	 Cpu_011	 Cpu_012	 Cpu_013	 Cpu_014	 Cpu_015	 Cpu_016	 Cpu_017	 Cpu_018	 Cpu_019	 Cpu_020	 Cpu_021	 Cpu_022	 Cpu_023	 Cpu_024	 Cpu_025	 Cpu_026	 Cpu_027	 Cpu_028	 Cpu_029	 Cpu_030	 Cpu_031	 Cpu_032	 Cpu_033	 Cpu_034	 Cpu_035	 Cpu_036	 Cpu_037	 Cpu_038	 Cpu_039	 Cpu_040	 Cpl_001	 Cpl_002	 Cpl_003	 Cpl_004	 Cpl_005	 Cpl_006	 Cpl_007	 Cpl_008	 Cpl_009	 Cpl_010	 Cpl_011	 Cpl_012	 Cpl_013	 Cpl_014	 Cpl_015	 Cpl_016	 Cpl_017	 Cpl_018	 Cpl_019	 Cpl_020	 Cpl_021	 Cpl_022	 Cpl_023	  Cpt_01	  Cpt_02	  Cpt_03	  Cpt_04	  Cpt_05	  Cpt_06	  Cpt_07	  Cpt_08	  Cpt_09	  Cpt_10	  Cpt_11	  Cpt_12	  Cpt_13	  Cpt_14	  Cpt_15	  Cpt_16	  Cpt_17	  Cpt_18	  Cpt_19	  Cpt_20	  Cpt_21	  Cpt_22	  Cpt_23	  Cpt_24	  Cpt_25	  Cpt_26	  Cpt_27	  Cpt_28	  Cpt_29	  Cpt_30	  Cpt_31	  Cpt_32	  Cpt_33	  Cpt_34	  Cpt_35	  Cpt_36	  Cpt_37	  Cpt_38	  Cpt_39	  Cpt_40	  Cpt_41	  Cpt_42	  Cpt_43	  Cpt_44	  Cpt_45	  Cpt_46	  Cpt_47	  Cpt_48	  Cpt_49	  Cpt_50	  Cpt_51	  Cpt_52	  Cpt_53	  Cpt_54	  Cpt_55	  Cpt_56	  Cpt_57	  Cpt_58	  Cpt_59	  Cpt_60	  Cpt_61	  Cpt_62	  Cpt_63	  Cpt_64	  Cpt_65	  Cpt_66	  Cpt_67	  Cps_01	  Cps_02	  Cps_03	  Cps_04	  Cps_05	  Cps_06	  Cps_07	  Cps_08	  Cps_09	  Cps_10	  Cps_11	  Cps_12	  Cps_13	  Cps_14	  Cps_15	  Cps_16
       /	 degrees	       /	       /	       /	       /	       /	       /	       /	      mm	 degrees	       /	       /	      Pa	     m/s	      Pa	      Pa	  degr_C	  100.00	   94.76	   89.84	   84.97	   80.44	   75.81	   71.34	   67.21	   63.02	   59.06	   55.22	   51.47	   47.87	   44.31	   40.97	   37.84	   34.73	   31.83	   28.95	   26.24	   23.77	   21.21	   19.02	   16.69	   14.78	   12.88	   11.12	    9.52	    7.96	    6.55	    5.35	    4.20	    3.24	    2.37	    1.63	    1.03	    0.58	    0.26	    0.02	    0.00	    0.00	    0.51	    1.21	    2.24	    3.62	    5.34	    7.43	    9.84	   12.66	   15.80	   19.37	   23.34	   27.72	   32.33	   37.52	   42.99	   48.39	   54.79	   61.58	   68.55	   75.87	   92.00	  100.00	    0.00	   24.00	   48.00	   72.00	   96.00	  108.00	  120.00	  132.00	  144.00	  156.00	  162.00	  168.00	  174.00	  180.00	  186.00	  192.00	  198.00	  204.00	  207.00	  210.00	  213.00	  216.00	  219.00	  222.00	  225.00	  228.00	  231.00	  234.00	  237.00	  240.00	  243.00	  246.00	  249.00	  252.00	  255.00	  258.00	  261.00	  264.00	  267.00	  270.00	  273.00	  276.00	  279.00	  282.00	  285.00	  288.00	  291.00	  294.00	  297.00	  300.00	  306.00	  312.00	  318.00	  324.00	  330.00	  336.00	  342.00	  348.00	  360.00	  372.00	  384.00	  396.00	  408.00	  432.00	  456.00	  480.00	  504.00	    0.00	   48.00	   96.00	  144.00	  168.00	  192.00	  216.00	  240.00	  264.00	  288.00	  312.00	  336.00	  360.00	  408.00	  456.00	  504.00
       0	   0.007	  0.2669	0.012155	 -0.0691	0.012189	  0.2669	  0.2669	0.007401	  180.00	   0.000	2.937E+6	   0.233	 3770.20	   81.85	  1567.9	  993.98	   34.52	 0.14640	 0.07685	 0.01681	-0.04823	-0.11681	-0.19108	-0.27007	-0.34731	-0.42618	-0.49982	-0.57259	-0.64635	-0.70806	-0.75533	-0.79807	-0.83659	-0.85118	-0.85025	-0.83364	-0.82456	-0.79799	-0.77057	-0.73408	-0.69798	-0.64665	-0.59085	-0.53390	-0.51025	-0.48172	-0.38840	-0.28749	-0.23492	-0.13420	 0.00575	 0.16082	 0.36412	 0.58737	 0.80858	 0.97035	 0.99958	 1.00000	 0.46099	 0.10102	-0.14870	-0.26028	-0.27090	-0.31701	-0.38074	-0.38562	-0.41914	-0.44235	-0.45285	-0.47514	-0.46335	-0.43663	-0.37496	-0.30131	-0.19726	-0.10597	-0.01322	 0.08434	 0.21778	 0.14593	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99647	 0.98456	 0.96212	 0.92609	 0.87758	 0.82365	 0.76827	 0.72311	 0.69674	 0.69769	 0.71984	 0.75012	 0.79821	 0.85038	 0.90619	 0.94339	 0.97069	 0.98621	 0.99627	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02034	 0.02471	 0.02237	-0.00235	 0.01905	 0.01884	 0.01615	 0.01175	 0.00841	 0.01386	 0.01060	 0.00930	 0.00860	 0.00250	-0.00257	-0.00927	
       0	   0.007	  0.2667	0.012046	 -0.0690	0.012079	  0.2667	  0.2667	0.007386	  180.00	   0.000	2.937E+6	   0.233	 3770.25	   81.85	  1567.9	  993.98	   34.52	 0.14634	 0.07686	 0.01683	-0.04814	-0.11680	-0.19106	-0.27005	-0.34722	-0.42544	-0.49979	-0.57186	-0.64632	-0.70803	-0.75461	-0.79804	-0.83657	-0.85115	-0.85097	-0.83362	-0.82453	-0.79796	-0.76985	-0.73334	-0.69865	-0.64662	-0.59152	-0.53247	-0.50954	-0.48170	-0.38908	-0.28819	-0.23490	-0.13418	 0.00505	 0.16084	 0.36413	 0.58738	 0.80858	 0.97035	 0.99887	 1.00000	 0.46100	 0.10069	-0.14868	-0.26026	-0.27088	-0.31699	-0.38037	-0.38560	-0.41877	-0.44233	-0.45283	-0.47512	-0.46405	-0.43625	-0.37494	-0.30094	-0.19653	-0.10596	-0.01320	 0.08400	 0.21709	 0.14594	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99655	 0.98698	 0.96638	 0.93059	 0.88119	 0.82626	 0.77275	 0.72626	 0.69682	 0.69400	 0.71545	 0.74830	 0.79698	 0.84877	 0.90677	 0.94398	 0.97532	 0.98924	 0.99728	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02024	 0.02472	 0.02239	-0.00236	 0.01906	 0.01879	 0.01611	 0.01154	 0.00823	 0.01382	 0.01061	 0.00926	 0.00856	 0.00243	-0.00256	-0.00928	
       0	   0.007	  0.2667	0.012033	 -0.0691	0.012066	  0.2667	  0.2667	0.007380	  180.07	   0.000	2.937E+6	   0.233	 3770.23	   81.85	  1567.9	  993.98	   34.52	 0.14629	 0.07689	 0.01672	-0.04832	-0.11698	-0.19111	-0.27016	-0.34740	-0.42606	-0.49970	-0.57176	-0.64623	-0.70794	-0.75591	-0.79795	-0.83647	-0.85175	-0.85088	-0.83352	-0.82444	-0.79787	-0.77045	-0.73396	-0.69856	-0.64653	-0.59143	-0.53308	-0.51013	-0.48091	-0.38898	-0.28738	-0.23480	-0.13480	 0.00586	 0.16024	 0.36352	 0.58748	 0.80869	 0.97046	 0.99898	 1.00000	 0.46075	 0.10079	-0.14896	-0.26052	-0.27149	-0.31760	-0.38097	-0.38586	-0.41902	-0.44297	-0.45273	-0.47467	-0.46395	-0.43722	-0.37519	-0.30119	-0.19714	-0.10586	-0.01347	 0.08481	 0.21684	 0.14604	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99754	 0.99008	 0.96790	 0.92953	 0.87967	 0.81993	 0.76629	 0.71867	 0.69305	 0.69150	 0.71739	 0.75073	 0.80320	 0.85488	 0.90890	 0.94844	 0.97641	 0.98989	 0.99688	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.01999	 0.02443	 0.02212	-0.00254	 0.01879	 0.01849	 0.01584	 0.01123	 0.00802	 0.01366	 0.01042	 0.00911	 0.00839	 0.00227	-0.00272	-0.00944	
       0	   0.007	  0.2668	0.012094	 -0.0691	0.012128	  0.2668	  0.2668	0.007393	  180.45	   0.000	2.937E+6	   0.233	 3770.20	   81.85	  1567.9	  993.98	   34.52	 0.14639	 0.07663	 0.01660	-0.04852	-0.11703	-0.19131	-0.27029	-0.34767	-0.42618	-0.49982	-0.57260	-0.64708	-0.70735	-0.75534	-0.79808	-0.83731	-0.85188	-0.85100	-0.83365	-0.82457	-0.79799	-0.77057	-0.73408	-0.69869	-0.64665	-0.59155	-0.53390	-0.51095	-0.48173	-0.38911	-0.28750	-0.23492	-0.13421	 0.00574	 0.16082	 0.36411	 0.58736	 0.80857	 0.97034	 0.99886	 1.00000	 0.46063	 0.10033	-0.14908	-0.26100	-0.27126	-0.31737	-0.38074	-0.38598	-0.41950	-0.44273	-0.45250	-0.47480	-0.46444	-0.43664	-0.37497	-0.30097	-0.19726	-0.10634	-0.01359	 0.08398	 0.21742	 0.14592	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99713	 0.98858	 0.96665	 0.92826	 0.87948	 0.82089	 0.76906	 0.72457	 0.69776	 0.69537	 0.71713	 0.74772	 0.79922	 0.84890	 0.90445	 0.94545	 0.97440	 0.98807	 0.99662	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02007	 0.02455	 0.02217	-0.00251	 0.01890	 0.01860	 0.01589	 0.01151	 0.00792	 0.01368	 0.01041	 0.00910	 0.00839	 0.00229	-0.00270	-0.00942	
       0	   0.007	  0.2669	0.012105	 -0.0691	0.012138	  0.2669	  0.2669	0.007394	  180.94	   0.000	2.937E+6	   0.233	 3770.20	   81.85	  1567.9	  993.98	   34.52	 0.14615	 0.07647	 0.01665	-0.04847	-0.11712	-0.19132	-0.27038	-0.34769	-0.42699	-0.50060	-0.57269	-0.64645	-0.70816	-0.75543	-0.79817	-0.83740	-0.85197	-0.85110	-0.83445	-0.82466	-0.79880	-0.77067	-0.73418	-0.69878	-0.64674	-0.59165	-0.53329	-0.51035	-0.48182	-0.38920	-0.28759	-0.23572	-0.13502	 0.00565	 0.16002	 0.36330	 0.58727	 0.80848	 0.97025	 0.99877	 1.00000	 0.46054	 0.10058	-0.14917	-0.26073	-0.27136	-0.31781	-0.38083	-0.38644	-0.41889	-0.44245	-0.45295	-0.47489	-0.46380	-0.43673	-0.37576	-0.30106	-0.19735	-0.10680	-0.01331	 0.08389	 0.21733	 0.14619	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99689	 0.98651	 0.96464	 0.92846	 0.87967	 0.82153	 0.76832	 0.72266	 0.69712	 0.69585	 0.72130	 0.75157	 0.80015	 0.84896	 0.90551	 0.94329	 0.97183	 0.98775	 0.99646	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02018	 0.02458	 0.02228	-0.00245	 0.01889	 0.01868	 0.01599	 0.01151	 0.00806	 0.01368	 0.01047	 0.00917	 0.00845	 0.00226	-0.00273	-0.00945	
       0	   0.007	  0.2669	0.011935	 -0.0691	0.011968	  0.2668	  0.2669	0.007408	  181.44	   0.000	2.937E+6	   0.233	 3770.23	   81.85	  1567.9	  993.98	   34.52	 0.14618	 0.07678	 0.01661	-0.04837	-0.11709	-0.19130	-0.27041	-0.34772	-0.42689	-0.49981	-0.57258	-0.64706	-0.70805	-0.75603	-0.79806	-0.83729	-0.85186	-0.85099	-0.83363	-0.82526	-0.79942	-0.77056	-0.73478	-0.69797	-0.64664	-0.59154	-0.53319	-0.51025	-0.48242	-0.38910	-0.28749	-0.23491	-0.13420	 0.00503	 0.16082	 0.36340	 0.58737	 0.80857	 0.96964	 0.99958	 0.99975	 0.46136	 0.10068	-0.14870	-0.26027	-0.27195	-0.31736	-0.38108	-0.38597	-0.41949	-0.44308	-0.45284	-0.47478	-0.46406	-0.43698	-0.37495	-0.30130	-0.19725	-0.10633	-0.01395	 0.08399	 0.21708	 0.14593	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99757	 0.98931	 0.96595	 0.92971	 0.88168	 0.82669	 0.77281	 0.72576	 0.69895	 0.69588	 0.72104	 0.75125	 0.79893	 0.85111	 0.91060	 0.94774	 0.97481	 0.98916	 0.99691	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.01990	 0.02432	 0.02201	-0.00262	 0.01865	 0.01844	 0.01570	 0.01124	 0.00773	 0.01346	 0.01025	 0.00889	 0.00819	 0.00208	-0.00294	-0.00966	
       0	   0.007	  0.2669	0.012114	 -0.0691	0.012147	  0.2669	  0.2669	0.007391	  181.93	   0.000	2.937E+6	   0.233	 3770.23	   81.85	  1567.9	  993.98	   34.52	 0.14624	 0.07670	 0.01667	-0.04845	-0.11703	-0.19131	-0.27036	-0.34767	-0.42619	-0.49982	-0.57260	-0.64635	-0.70806	-0.75604	-0.79877	-0.83660	-0.85188	-0.85176	-0.83436	-0.82457	-0.79871	-0.77057	-0.73408	-0.69869	-0.64665	-0.59226	-0.53320	-0.51026	-0.48173	-0.38911	-0.28750	-0.23493	-0.13493	 0.00502	 0.16081	 0.36339	 0.58735	 0.80856	 0.96963	 0.99957	 1.00000	 0.46135	 0.10101	-0.14909	-0.26028	-0.27127	-0.31737	-0.38074	-0.38599	-0.41950	-0.44273	-0.45321	-0.47515	-0.46408	-0.43664	-0.37532	-0.30132	-0.19691	-0.10562	-0.01359	 0.08362	 0.21742	 0.14592	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99756	 0.98886	 0.96607	 0.92665	 0.87904	 0.82146	 0.76912	 0.72079	 0.69593	 0.69427	 0.71961	 0.75201	 0.80096	 0.85043	 0.90480	 0.94403	 0.97224	 0.98643	 0.99569	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02012	 0.02455	 0.02219	-0.00248	 0.01892	 0.01868	 0.01600	 0.01131	 0.00800	 0.01371	 0.01047	 0.00915	 0.00847	 0.00235	-0.00270	-0.00936	
       0	   0.007	  0.2668	0.012220	 -0.0691	0.012253	  0.2668	  0.2668	0.007414	  182.42	   0.000	2.937E+6	   0.233	 3770.28	   81.85	  1567.9	  993.98	   34.52	 0.14607	 0.07674	 0.01671	-0.04847	-0.11719	-0.19125	-0.27031	-0.34762	-0.42556	-0.49991	-0.57197	-0.64716	-0.70815	-0.75612	-0.79816	-0.83739	-0.85196	-0.85109	-0.83373	-0.82465	-0.79808	-0.77066	-0.73417	-0.69807	-0.64602	-0.59164	-0.53329	-0.51035	-0.48182	-0.38920	-0.28759	-0.23431	-0.13502	 0.00564	 0.16072	 0.36329	 0.58725	 0.80846	 0.97022	 0.99874	 1.00000	 0.46125	 0.10057	-0.14880	-0.26038	-0.27136	-0.31746	-0.38083	-0.38572	-0.41924	-0.44282	-0.45294	-0.47453	-0.46416	-0.43708	-0.37506	-0.30141	-0.19736	-0.10644	-0.01332	 0.08388	 0.21697	 0.14618	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99694	 0.98722	 0.96256	 0.92321	 0.87618	 0.81905	 0.76657	 0.72313	 0.69781	 0.69706	 0.72057	 0.75106	 0.79926	 0.84938	 0.90252	 0.94171	 0.96998	 0.98477	 0.99529	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02000	 0.02443	 0.02218	-0.00257	 0.01886	 0.01862	 0.01593	 0.01142	 0.00822	 0.01367	 0.01044	 0.00914	 0.00844	 0.00237	-0.00268	-0.00932	
       0	   0.007	  0.2668	0.012152	 -0.0691	0.012185	  0.2668	  0.2668	0.007389	  182.92	   0.000	2.937E+6	   0.233	 3770.35	   81.85	  1568.0	  993.98	   34.52	 0.14624	 0.07676	 0.01666	-0.04838	-0.11703	-0.19115	-0.27028	-0.34759	-0.42624	-0.49988	-0.57265	-0.64640	-0.70811	-0.75538	-0.79743	-0.83735	-0.85192	-0.85104	-0.83369	-0.82461	-0.79876	-0.77062	-0.73413	-0.69803	-0.64670	-0.59160	-0.53325	-0.51031	-0.48179	-0.38917	-0.28756	-0.23499	-0.13428	 0.00495	 0.16004	 0.36403	 0.58726	 0.80846	 0.97023	 0.99946	 1.00000	 0.46054	 0.10094	-0.14878	-0.26070	-0.27097	-0.31743	-0.38080	-0.38569	-0.41920	-0.44242	-0.45326	-0.47520	-0.46377	-0.43634	-0.37538	-0.30138	-0.19768	-0.10641	-0.01292	 0.08426	 0.21734	 0.14584	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.99576	 0.98693	 0.96470	 0.92692	 0.87725	 0.82274	 0.76867	 0.72111	 0.69291	 0.69157	 0.71881	 0.75388	 0.80283	 0.85129	 0.90636	 0.94334	 0.97139	 0.98532	 0.99551	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 1.00000	 0.02020	 0.02463	 0.02229	-0.00237	 0.01911	 0.01884	 0.01612	 0.01144	 0.00822	 0.01381	 0.01067	 0.00930	 0.00864	 0.00248	-0.00251	-0.00921	
