,   Alpha,       M,       Q,       V,  Z_w.r., Cpu_001, Cpu_002, Cpu_003, Cpu_004, Cpu_005, Cpu_006, Cpu_007, Cpu_008, Cpu_009, Cpu_010, Cpu_011, Cpu_012, Cpu_013, Cpu_014, Cpu_015, Cpu_016, Cpu_017, Cpu_018, Cpu_019, Cpu_020, Cpu_021, Cpu_022, Cpu_023, Cpu_024, Cpu_025, Cpu_026, Cpu_027, Cpu_028, Cpu_029, Cpu_030, Cpu_031, Cpu_032, Cpu_033, Cpu_034, Cpu_035, Cpu_036, Cpu_037, Cpu_038, Cpu_039, Cpu_040, Cpl_001, Cpl_002, Cpl_003, Cpl_004, Cpl_005, Cpl_006, Cpl_007, Cpl_008, Cpl_009, Cpl_010, Cpl_011, Cpl_012, Cpl_013, Cpl_014, Cpl_015, Cpl_016, Cpl_017, Cpl_018, Cpl_019, Cpl_020, Cpl_021, Cpl_022, Cpl_023,Grade,Grit Size,Lower Coverage,Upper Coverage
0,0.004,0.224,3558.27,77.62,49.17,0.19678,0.10041,0.03706,-0.03095,-0.10319,-0.17576,-0.25578,-0.331,-0.40781,-0.47723,-0.54145,-0.6245,-0.71654,-0.75784,-0.79955,-0.83064,-0.84819,-0.84412,-0.83308,-0.82065,-0.79884,-0.76507,-0.74118,-0.71057,-0.66014,-0.59668,-0.54401,-0.52173,-0.49862,-0.41075,-0.30399,-0.19683,-0.09592,0.02409,0.16797,0.35884,0.57453,0.79278,0.96022,0.99948,1.0,0.52869,0.19331,-0.04151,-0.14075,-0.22833,-0.29248,-0.34166,-0.35372,-0.38493,-0.4098,-0.42091,-0.43105,-0.42953,-0.40497,-0.35145,-0.27468,-0.14402,-0.0676,0.02037,0.12475,0.2742,0.1961,0.0,0.0,0.0,0.0
1,0.004,0.224,3550.2,77.67,199.18,0.19911,0.10283,0.03934,-0.0288,-0.1011,-0.17376,-0.25385,-0.32917,-0.40597,-0.47552,-0.53972,-0.62355,-0.71508,-0.75642,-0.79821,-0.82936,-0.84698,-0.84293,-0.83203,-0.81967,-0.79794,-0.76419,-0.7404,-0.7098,-0.65944,-0.59607,-0.54341,-0.52115,-0.49808,-0.41025,-0.30343,-0.19635,-0.09543,0.02452,0.16838,0.35921,0.57485,0.79304,0.96031,0.99957,1.0,0.5288,0.19354,-0.04123,-0.14042,-0.22795,-0.29213,-0.34121,-0.35325,-0.3844,-0.40916,-0.4202,-0.43023,-0.42863,-0.40396,-0.35043,-0.27362,-0.14285,-0.06636,0.0217,0.12618,0.2759,0.19768,0.0,0.0,0.0,0.0
2,4.122,0.223,3526.76,77.6,200.84,0.18588,0.09642,0.02256,-0.05688,-0.141,-0.22945,-0.32569,-0.4193,-0.51694,-0.60916,-0.70113,-0.80032,-0.87906,-0.94171,-1.07675,-1.12393,-1.16382,-1.18425,-1.20148,-1.21678,-1.22145,-1.21834,-1.2255,-1.23166,-1.20966,-1.17561,-1.16329,-1.19386,-1.23636,-1.20029,-1.1362,-1.08693,-1.05505,-1.02241,-0.97021,-0.83372,-0.62462,-0.3246,0.14317,0.39883,0.41249,1.0,0.88714,0.69095,0.52134,0.37586,0.25455,0.15239,0.08587,0.01446,-0.0473,-0.09405,-0.13719,-0.16575,-0.17303,-0.14769,-0.10919,-0.05202,0.04333,0.10359,0.18685,0.30277,0.18596,0.0,0.0,0.0,0.0
3,6.172,0.227,3655.0,79.11,199.15,0.14319,0.08557,0.01886,-0.05833,-0.14332,-0.23758,-0.34013,-0.4424,-0.54983,-0.65348,-0.75829,-0.87049,-0.97015,-1.05286,-1.1333,-1.21674,-1.2636,-1.29411,-1.36105,-1.4018,-1.41913,-1.43249,-1.4565,-1.48271,-1.47748,-1.46217,-1.47605,-1.53708,-1.61613,-1.61498,-1.58314,-1.57539,-1.59556,-1.63145,-1.65928,-1.59246,-1.44364,-1.16978,-0.59581,-0.29024,-0.27929,0.93432,0.99365,0.88163,0.72986,0.58549,0.45591,0.3422,0.25968,0.17596,0.10147,0.04179,-0.01338,-0.05385,-0.07446,-0.06312,-0.036,0.00692,0.0896,0.13754,0.21012,0.30544,0.15433,0.0,0.0,0.0,0.0
4,0.0,0.229,3710.81,79.8,50.82,0.19684,0.10047,0.03698,-0.03111,-0.10341,-0.17605,-0.25619,-0.33149,-0.40846,-0.47814,-0.5418,-0.62486,-0.71825,-0.75962,-0.80147,-0.83271,-0.8503,-0.84623,-0.83545,-0.82314,-0.80127,-0.76762,-0.74368,-0.71313,-0.66272,-0.59917,-0.54655,-0.52408,-0.50119,-0.41321,-0.30613,-0.19903,-0.09794,0.02217,0.16613,0.35716,0.5731,0.79152,0.9596,0.99952,1.0,0.53097,0.19579,-0.03964,-0.13934,-0.2273,-0.29205,-0.34144,-0.35373,-0.38518,-0.41015,-0.42129,-0.43152,-0.42998,-0.40544,-0.35202,-0.27297,-0.14427,-0.06777,0.02017,0.12465,0.27426,0.19616,0.0,0.0,0.0,0.0
5,1.038,0.229,3701.49,79.71,49.18,0.19449,0.09783,0.03128,-0.0399,-0.11531,-0.1919,-0.2761,-0.35591,-0.43819,-0.51371,-0.58535,-0.65616,-0.77252,-0.82312,-0.86814,-0.90481,-0.92852,-0.93022,-0.926,-0.92005,-0.90406,-0.87727,-0.86023,-0.83782,-0.79339,-0.73598,-0.69173,-0.68059,-0.67175,-0.5939,-0.49376,-0.39753,-0.30759,-0.2016,-0.07052,0.1192,0.34875,0.60564,0.85635,0.96508,0.97207,0.73547,0.42732,0.18214,0.05116,-0.05868,-0.14266,-0.20882,-0.2372,-0.28048,-0.31614,-0.3372,-0.35662,-0.36309,-0.34694,-0.29906,-0.25023,-0.10831,-0.04134,0.03997,0.13934,0.281,0.19399,0.0,0.0,0.0,0.0
6,2.065,0.229,3702.44,79.74,50.75,0.19199,0.09598,0.02656,-0.04762,-0.12621,-0.20675,-0.29513,-0.37959,-0.46721,-0.54832,-0.62719,-0.70803,-0.79521,-0.89133,-0.93749,-0.97872,-1.0086,-1.01678,-1.01942,-1.0203,-1.01087,-0.99155,-0.98203,-0.96867,-0.93108,-0.8806,-0.84563,-0.8475,-0.85457,-0.78871,-0.69842,-0.61519,-0.54101,-0.45426,-0.34288,-0.16277,0.07055,0.35423,0.68425,0.85236,0.86372,0.88396,0.62221,0.38104,0.22739,0.1,0.0003,-0.0805,-0.12349,-0.17759,-0.22307,-0.25356,-0.28165,-0.29602,-0.28809,-0.24743,-0.20091,-0.07339,-0.01385,0.0606,0.15482,0.288,0.19169,0.0,0.0,0.0,0.0
7,3.092,0.228,3692.67,79.65,49.24,0.18855,0.0945,0.02249,-0.05457,-0.13618,-0.22068,-0.31321,-0.4024,-0.4952,-0.58192,-0.66767,-0.75856,-0.82486,-0.94985,-1.00987,-1.05378,-1.08958,-1.10408,-1.11399,-1.12209,-1.11961,-1.10812,-1.10678,-1.10312,-1.0729,-1.03035,-1.00619,-1.02187,-1.04653,-0.99479,-0.9164,-0.84889,-0.7944,-0.73239,-0.64723,-0.48482,-0.25837,0.03985,0.44329,0.66018,0.67466,0.97237,0.77662,0.55226,0.38573,0.24656,0.1338,0.04091,-0.01503,-0.07835,-0.13274,-0.17193,-0.20815,-0.22981,-0.22986,-0.1969,-0.15368,-0.05907,0.01409,0.08158,0.17035,0.29483,0.18857,0.0,0.0,0.0,0.0
8,4.119,0.229,3714.05,79.9,50.74,0.18321,0.09375,0.01981,-0.05972,-0.14395,-0.23247,-0.32891,-0.42262,-0.52052,-0.61303,-0.7053,-0.80496,-0.88442,-0.94342,-1.08138,-1.1296,-1.16938,-1.18988,-1.20705,-1.22248,-1.22718,-1.22421,-1.23133,-1.23759,-1.21549,-1.18144,-1.16913,-1.19972,-1.24261,-1.20655,-1.14225,-1.09298,-1.06102,-1.02851,-0.97642,-0.8396,-0.63028,-0.32988,0.13942,0.3957,0.41105,1.0,0.88833,0.69264,0.5229,0.37732,0.25562,0.1532,0.08638,0.01471,-0.04721,-0.09416,-0.13758,-0.16615,-0.17373,-0.14837,-0.11003,-0.05084,0.04173,0.10233,0.18572,0.30118,0.18416,0.0,0.0,0.0,0.0
9,5.156,0.229,3703.56,79.8,49.18,0.1719,0.09211,0.01822,-0.06262,-0.1488,-0.24106,-0.34084,-0.43909,-0.54182,-0.63997,-0.73872,-0.84545,-0.93679,-1.00572,-1.06393,-1.18877,-1.24739,-1.27325,-1.29646,-1.3184,-1.33004,-1.33581,-1.35173,-1.36808,-1.35438,-1.32944,-1.32968,-1.37575,-1.43712,-1.41815,-1.36951,-1.34056,-1.33391,-1.33475,-1.3212,-1.21702,-1.03452,-0.74276,-0.21577,0.0697,0.08511,0.98514,0.95939,0.80244,0.63817,0.49127,0.36388,0.25465,0.17892,0.10049,0.03184,-0.02199,-0.07185,-0.10661,-0.12106,-0.1031,-0.07039,-0.0248,0.06859,0.12139,0.19941,0.30556,0.1742,0.0,0.0,0.0,0.0
