	      Cd	      Cl	      Cm
0	0.006015	0.299	-0.0746
1	0.006014	0.2986	-0.0745
2	0.007121	0.7784	-0.0791
3	0.008984	0.9849	-0.0775
4	0.005976	0.3003	-0.0746
5	0.006091	0.4207	-0.0762
6	0.006264	0.544	-0.0779
7	0.006448	0.6656	-0.079
8	0.006904	0.7822	-0.0795
9	0.007547	0.8926	-0.0795
10	0.009105	0.9882	-0.0777
11	0.011931	1.0641	-0.073
12	0.014135	1.1459	-0.0692
13	0.017227	1.2109	-0.0642
14	0.019178	1.2293	-0.0611
15	0.042676	1.2098	-0.061
16	0.052033	1.1869	-0.0572
17	0.084396	1.1882	-0.0576
18	0.108786	1.1953	-0.0562
19	0.125634	1.184	-0.0547
20	0.006041	0.3032	-0.0747
21	0.006017	0.1792	-0.0732
22	0.0061	0.0539	-0.0712
23	0.006502	-0.0669	-0.0692
24	0.007688	-0.1886	-0.0663
25	0.008454	-0.303	-0.064
26	0.009396	-0.4239	-0.0618
27	0.010482	-0.5425	-0.06
28	0.011636	-0.6565	-0.0582
29	0.013068	-0.7642	-0.0567
30	0.014989	-0.8641	-0.056
31	0.018668	-0.9507	-0.0548
32	0.041192	-1.0101	-0.0493
33	0.00715	0.8384	-0.0796
34	0.008273	0.9446	-0.0789
35	0.010578	1.031	-0.0754
36	0.006009	0.3	-0.0747
37	0.006378	0.296	-0.0737
38	0.006472	0.4188	-0.0754
39	0.006648	0.5368	-0.0765
40	0.006853	0.6556	-0.0775
41	0.00723	0.7733	-0.0788
42	0.007674	0.8833	-0.0791
43	0.008559	0.9893	-0.078
44	0.010919	1.0704	-0.0742
45	0.014298	1.127	-0.0679
46	0.017865	1.1841	-0.0623
47	0.034216	1.2113	-0.0571
48	0.060472	1.2225	-0.0582
49	0.071039	1.2004	-0.057
50	0.094907	1.1924	-0.0581
51	0.106398	1.1869	-0.0559
52	0.124774	1.1755	-0.0547
53	0.006318	0.296	-0.0737
54	0.006332	0.1789	-0.072
55	0.006437	0.0556	-0.0706
56	0.006654	-0.0661	-0.0686
57	0.007395	-0.1803	-0.0663
58	0.008768	-0.2969	-0.0635
59	0.009895	-0.4137	-0.0614
60	0.011047	-0.526	-0.0592
61	0.012369	-0.6365	-0.058
62	0.01421	-0.7356	-0.056
63	0.017036	-0.8251	-0.0544
64	0.00644	0.2972	-0.0738
65	0.008041	0.9392	-0.0788
66	0.009448	1.0357	-0.0767
67	0.032685	-0.8934	-0.052
68	0.046714	-0.9603	-0.0468
69	0.064404	-0.9678	-0.0306
70	0.00637	0.2957	-0.0738
71	0.00839	0.7566	-0.0776
72	0.007682	0.286	-0.0722
73	0.009256	0.978	-0.0785
74	0.007692	0.2848	-0.0722
75	0.007736	0.407	-0.0743
76	0.008003	0.5237	-0.0757
77	0.00822	0.641	-0.0769
78	0.008467	0.7542	-0.0774
79	0.008804	0.8654	-0.0787
80	0.009296	0.9766	-0.0784
81	0.010191	1.0759	-0.0771
82	0.012792	1.1438	-0.0715
83	0.018095	1.1648	-0.0601
84	0.031204	1.1808	-0.0532
85	0.043381	1.2021	-0.0507
86	0.068546	1.204	-0.0539
87	0.052341	1.1695	-0.047
88	0.070511	1.1597	-0.048
89	0.109561	1.1518	-0.0499
90	0.014942	1.1585	-0.0667
91	0.010859	1.1165	-0.0757
92	0.007617	0.1702	-0.072
93	0.007646	0.0513	-0.0699
94	0.00763	-0.0688	-0.0683
95	0.007807	-0.1865	-0.0664
96	0.008943	-0.3011	-0.0642
97	0.010668	-0.4058	-0.0616
98	0.012353	-0.5146	-0.0597
99	0.01423	-0.6149	-0.058
100	0.016829	-0.699	-0.0569
101	0.023563	-0.7641	-0.0559
102	0.051393	-0.8209	-0.049
103	0.050117	-0.833	-0.0363
104	0.066538	-0.8254	-0.0355
105	0.084372	-0.8354	-0.0304
106	0.113222	-0.806	-0.0253
107	0.008036	-0.2423	-0.0657
108	0.009971	-0.3548	-0.063
109	0.008995	0.9231	-0.0788
110	0.00961	1.0281	-0.078
111	0.011814	1.133	-0.0738
112	0.007694	0.2842	-0.0722
113	0.010496	0.2509	-0.0691
114	0.011932	0.7021	-0.0732
115	0.013309	0.9055	-0.073
116	0.010482	0.2655	-0.0679
117	0.010582	0.3787	-0.0689
118	0.010908	0.4964	-0.0697
119	0.01132	0.6109	-0.0702
120	0.011869	0.7223	-0.0703
121	0.012504	0.8294	-0.0701
122	0.013317	0.9339	-0.0693
123	0.01436	1.0333	-0.0677
124	0.016225	1.12	-0.0644
125	0.020324	1.1778	-0.0589
126	0.047655	1.1962	-0.0557
127	0.061846	1.2014	-0.0568
128	0.079879	1.1891	-0.0549
129	0.105669	1.2069	-0.0574
130	0.101731	1.1902	-0.0516
131	0.113824	1.1876	-0.05
132	0.01043	0.2633	-0.068
133	0.010314	0.1494	-0.0669
134	0.010259	0.0273	-0.0657
135	0.010282	-0.0891	-0.0644
136	0.010406	-0.2111	-0.0629
137	0.010731	-0.3266	-0.0614
138	0.011679	-0.4407	-0.0596
139	0.012565	-0.5556	-0.0583
140	0.01362	-0.6649	-0.0569
141	0.015095	-0.7688	-0.056
142	0.017201	-0.8672	-0.0558
143	0.021423	-0.943	-0.0554
144	0.038263	-1.0011	-0.0522
145	0.010486	0.2592	-0.0679
146	0.012969	0.8831	-0.0698
147	0.013891	0.9859	-0.0686
148	0.015202	1.0758	-0.0663
149	0.011633	0.2547	-0.0658
150	0.01192	0.3656	-0.0664
151	0.012364	0.4789	-0.0667
152	0.012965	0.588	-0.0666
153	0.013685	0.694	-0.0661
154	0.014671	0.7935	-0.065
155	0.015837	0.8889	-0.0632
156	0.017641	0.9742	-0.0604
157	0.021162	1.0426	-0.0566
158	0.034705	1.0842	-0.0525
159	0.05662	1.1099	-0.0501
160	0.067204	1.1485	-0.051
161	0.056673	1.1516	-0.0472
162	0.056817	1.1717	-0.0446
163	0.066569	1.1955	-0.0436
164	0.080832	1.2219	-0.0438
165	0.011681	0.2562	-0.0658
166	0.011515	0.1397	-0.0651
167	0.011464	0.0233	-0.0641
168	0.011484	-0.0908	-0.0631
169	0.011696	-0.2095	-0.0619
170	0.012384	-0.3204	-0.0606
171	0.013368	-0.4299	-0.0593
172	0.014381	-0.5403	-0.0585
173	0.015789	-0.6427	-0.0576
174	0.017571	-0.7379	-0.0572
175	0.020499	-0.8221	-0.0576
176	0.029138	-0.8891	-0.0573
177	0.050418	-0.9461	-0.0542
178	0.053632	-1.0052	-0.0497
179	0.069883	-1.0441	-0.0422
180	0.086148	-1.0335	-0.0387
181	0.014204	0.743	-0.0655
182	0.015348	0.8423	-0.0641
183	0.016768	0.9336	-0.0618
184	0.019167	1.0086	-0.0586
185	0.080139	1.0419	-0.0447
186	0.097378	1.0307	-0.0449
187	0.144361	1.0293	-0.0476
188	0.203891	0.9994	-0.0543
189	0.029739	0.9765	-0.0461
190	0.025201	0.9347	-0.0509
191	0.025145	0.9346	-0.0509
192	0.021509	0.8762	-0.0554
193	0.060408	1.0365	-0.0446
194	0.049067	1.0257	-0.0445
195	0.013212	0.2457	-0.0649
196	0.013128	0.2456	-0.0649
197	0.01318	0.0199	-0.0638
198	0.014608	-0.2001	-0.0619
199	0.017209	-0.4143	-0.0601
200	0.02214	-0.6056	-0.0592
201	0.031732	-0.7352	-0.0586
202	0.069699	-0.7702	-0.0473
203	0.275079	-0.4741	0.0577
